date,PRC,is_prediction
2012/01/03,20.22,True
2012/01/04,19.93,True
2012/01/05,20.2,True
2012/01/06,20.06,True
2012/01/09,20.21,True
2012/01/10,21.19,True
2012/01/11,21.68,True
2012/01/12,21.57,True
2012/01/13,21.07,True
2012/01/17,21.31,True
2012/01/18,22.14,True
2012/01/19,22.28,True
2012/01/20,22.5,True
2012/01/23,22.7,True
2012/01/24,22.86,True
2012/01/25,21.94,True
2012/01/26,20.69,True
2012/01/27,20.98,True
2012/01/30,21.41,True
2012/01/31,21.54,True
2012/02/01,22.12,True
2012/02/02,22.67,True
2012/02/03,23.84,True
2012/02/06,23.65,True
2012/02/07,23.82,True
2012/02/08,24.39,True
2012/02/09,24.38,True
2012/02/10,24.165,True
2012/02/13,24.77,True
2012/02/14,24.0,True
2012/02/15,24.32,True
2012/02/16,25.56,True
2012/02/17,25.56,True
2012/02/21,25.79,True
2012/02/22,24.99,True
2012/02/23,25.18,True
2012/02/24,25.08,True
2012/02/27,25.12,True
2012/02/28,25.11,True
2012/02/29,24.84,True
2012/03/01,25.68,True
2012/03/02,24.97,True
2012/03/05,24.7,True
2012/03/06,23.945,True
2012/03/07,24.25,True
2012/03/08,24.21,True
2012/03/09,24.7,True
2012/03/12,24.52,True
2012/03/13,25.6,True
2012/03/14,26.12,True
2012/03/15,27.29,True
2012/03/16,26.77,True
2012/03/19,27.07,True
2012/03/20,26.86,True
2012/03/21,26.67,True
2012/03/22,26.04,True
2012/03/23,26.45,True
2012/03/26,27.06,True
2012/03/27,27.04,True
2012/03/28,26.61,True
2012/03/29,25.75,True
2012/03/30,26.36,True
2012/04/02,26.56,True
2012/04/03,26.23,True
2012/04/04,25.63,True
2012/04/05,25.55,True
2012/04/09,24.48,True
2012/04/10,23.57,True
2012/04/11,23.79,True
2012/04/12,24.7,True
2012/04/13,24.15,True
2012/04/16,24.18,True
2012/04/17,24.67,True
2012/04/18,24.19,True
2012/04/19,23.9,True
2012/04/20,23.66,True
2012/04/23,23.86,True
2012/04/24,23.95,True
2012/04/25,24.63,True
2012/04/26,24.64,True
2012/04/27,24.67,True
2012/04/30,24.77,True
2012/05/01,24.92,True
2012/05/02,24.58,True
2012/05/03,23.74,True
2012/05/04,23.11,True
2012/05/07,23.36,True
2012/05/08,23.36,True
2012/05/09,22.89,True
2012/05/10,23.49,True
2012/05/11,23.58,True
2012/05/14,22.73,True
2012/05/15,22.2,True
2012/05/16,21.48,True
2012/05/17,20.86,True
2012/05/18,20.56,True
2012/05/21,21.2,True
2012/05/22,21.56,True
2012/05/23,21.23,True
2012/05/24,21.31,True
2012/05/25,21.27,True
2012/05/29,21.73,True
2012/05/30,20.8,True
2012/05/31,20.67,True
2012/06/01,19.4,True
2012/06/04,19.34,True
2012/06/05,19.73,True
2012/06/06,20.89,True
2012/06/07,20.78,True
2012/06/08,20.98,True
2012/06/11,20.32,True
2012/06/12,20.98,True
2012/06/13,20.74,True
2012/06/14,21.21,True
2012/06/15,21.23,True
2012/06/18,20.92,True
2012/06/19,21.72,True
2012/06/20,21.4,True
2012/06/21,20.64,True
2012/06/22,20.81,True
2012/06/25,20.05,True
2012/06/26,20.6,True
2012/06/27,21.05,True
2012/06/28,20.93,True
2012/06/29,21.87,True
2012/07/02,21.42,True
2012/07/03,21.73,True
2012/07/05,21.26,True
2012/07/06,20.77,True
2012/07/09,20.63,True
2012/07/10,20.31,True
2012/07/11,20.69,True
2012/07/12,20.3,True
2012/07/13,20.88,True
2012/07/16,20.5,True
2012/07/17,20.73,True
2012/07/18,20.9,True
2012/07/19,20.9,True
2012/07/20,20.08,True
2012/07/23,19.79,True
2012/07/24,19.36,True
2012/07/25,19.29,True
2012/07/26,19.61,True
2012/07/27,20.32,True
2012/07/30,20.2,True
2012/07/31,20.05,True
2012/08/01,19.84,True
2012/08/02,21.34,True
2012/08/03,22.03,True
2012/08/06,22.3,True
2012/08/07,22.61,True
2012/08/08,22.7,True
2012/08/09,23.23,True
2012/08/10,22.94,True
2012/08/13,22.95,True
2012/08/14,23.59,True
2012/08/15,23.6,True
2012/08/16,24.0,True
2012/08/17,23.89,True
2012/08/20,23.87,True
2012/08/21,24.02,True
2012/08/22,23.83,True
2012/08/23,23.53,True
2012/08/24,23.78,True
2012/08/27,23.45,True
2012/08/28,23.31,True
2012/08/29,23.3,True
2012/08/30,23.26,True
2012/08/31,23.22,True
2012/09/04,23.31,True
2012/09/05,23.17,True
2012/09/06,24.16,True
2012/09/07,24.38,True
2012/09/10,24.32,True
2012/09/11,24.43,True
2012/09/12,24.67,True
2012/09/13,25.36,True
2012/09/14,25.8,True
2012/09/17,25.45,True
2012/09/18,25.31,True
2012/09/19,25.25,True
2012/09/20,25.0,True
2012/09/21,24.8,True
2012/09/24,24.79,True
2012/09/25,24.26,True
2012/09/26,23.77,True
2012/09/27,24.13,True
2012/09/28,24.19,True
2012/10/01,24.0,True
2012/10/02,24.32,True
2012/10/03,24.14,True
2012/10/04,24.64,True
2012/10/05,24.39,True
2012/10/08,24.47,True
2012/10/09,24.21,True
2012/10/10,24.03,True
2012/10/11,24.27,True
2012/10/12,23.76,True
2012/10/15,24.0,True
2012/10/16,24.85,True
2012/10/17,25.63,True
2012/10/18,25.74,True
2012/10/19,25.33,True
2012/10/22,25.34,True
2012/10/23,24.77,True
2012/10/24,24.71,True
2012/10/25,25.09,True
2012/10/26,24.68,True
