date,PRC,is_prediction
2012/01/03,43.52,True
2012/01/04,43.23,True
2012/01/05,43.66,True
2012/01/06,43.44,True
2012/01/09,43.35,True
2012/01/10,43.42,True
2012/01/11,43.17,True
2012/01/12,42.92,True
2012/01/13,42.87,True
2012/01/17,43.11,True
2012/01/18,43.23,True
2012/01/19,42.61,True
2012/01/20,43.08,True
2012/01/23,42.75,True
2012/01/24,42.25,True
2012/01/25,43.04,True
2012/01/26,43.22,True
2012/01/27,42.51,True
2012/01/30,42.1,True
2012/01/31,42.39,True
2012/02/01,42.82,True
2012/02/02,42.75,True
2012/02/03,42.97,True
2012/02/06,43.06,True
2012/02/07,43.4,True
2012/02/08,43.43,True
2012/02/09,43.36,True
2012/02/10,43.08,True
2012/02/13,42.73,True
2012/02/14,42.73,True
2012/02/15,42.76,True
2012/02/16,43.1,True
2012/02/17,43.13,True
2012/02/21,42.83,True
2012/02/22,43.05,True
2012/02/23,43.14,True
2012/02/24,43.29,True
2012/02/27,43.25,True
2012/02/28,42.81,True
2012/02/29,42.64,True
2012/03/01,42.72,True
2012/03/02,42.48,True
2012/03/05,42.51,True
2012/03/06,42.61,True
2012/03/07,42.95,True
2012/03/08,43.1,True
2012/03/09,43.39,True
2012/03/12,43.61,True
2012/03/13,43.68,True
2012/03/14,42.8,True
2012/03/15,42.94,True
2012/03/16,43.0,True
2012/03/19,42.88,True
2012/03/20,42.81,True
2012/03/21,42.66,True
2012/03/22,42.38,True
2012/03/23,42.29,True
2012/03/26,43.25,True
2012/03/27,43.16,True
2012/03/28,43.17,True
2012/03/29,43.6,True
2012/03/30,43.32,True
2012/04/02,43.34,True
2012/04/03,43.45,True
2012/04/04,43.33,True
2012/04/05,42.98,True
2012/04/09,42.97,True
2012/04/10,42.31,True
2012/04/11,42.35,True
2012/04/12,42.84,True
2012/04/13,42.81,True
2012/04/16,43.15,True
2012/04/17,43.64,True
2012/04/18,43.51,True
2012/04/19,43.47,True
2012/04/20,44.17,True
2012/04/23,44.04,True
2012/04/24,44.68,True
2012/04/25,45.0,True
2012/04/26,44.78,True
2012/04/27,45.17,True
2012/04/30,45.24,True
2012/05/01,45.33,True
2012/05/02,45.24,True
2012/05/03,44.66,True
2012/05/04,43.9,True
2012/05/07,43.44,True
2012/05/08,44.1,True
2012/05/09,43.9,True
2012/05/10,44.36,True
2012/05/11,44.62,True
2012/05/14,44.77,True
2012/05/15,44.65,True
2012/05/16,44.39,True
2012/05/17,43.8,True
2012/05/18,43.47,True
2012/05/21,43.63,True
2012/05/22,44.13,True
2012/05/23,43.66,True
2012/05/24,43.93,True
2012/05/25,44.04,True
2012/05/29,44.1,True
2012/05/30,43.61,True
2012/05/31,43.69,True
2012/06/01,43.41,True
2012/06/04,43.47,True
2012/06/05,43.88,True
2012/06/06,44.44,True
2012/06/07,44.69,True
2012/06/08,44.92,True
2012/06/11,44.91,True
2012/06/12,45.1,True
2012/06/13,45.11,True
2012/06/14,45.11,True
2012/06/15,45.5,True
2012/06/18,45.81,True
2012/06/19,45.46,True
2012/06/20,45.11,True
2012/06/21,44.64,True
2012/06/22,44.98,True
2012/06/25,44.62,True
2012/06/26,44.61,True
2012/06/27,44.92,True
2012/06/28,45.3,True
2012/06/29,45.57,True
2012/07/02,46.25,True
2012/07/03,45.93,True
2012/07/05,45.66,True
2012/07/06,45.56,True
