date,PRC,is_prediction
2012/01/03,25.52,True
2012/01/04,26.47,True
2012/01/05,26.37,True
2012/01/06,26.34,True
2012/01/09,26.1,True
2012/01/10,26.43,True
2012/01/11,26.53,True
2012/01/12,26.39,True
2012/01/13,26.32,True
2012/01/17,26.8,True
2012/01/18,27.46,True
2012/01/19,27.33,True
2012/01/20,26.53,True
2012/01/23,26.33,True
2012/01/24,26.88,True
2012/01/25,26.91,True
2012/01/26,26.95,True
2012/01/27,26.91,True
2012/01/30,26.82,True
2012/01/31,26.83,True
2012/02/01,26.88,True
2012/02/02,26.82,True
2012/02/03,27.2,True
2012/02/06,27.01,True
2012/02/07,26.96,True
2012/02/08,26.88,True
2012/02/09,26.91,True
2012/02/10,27.09,True
2012/02/13,27.39,True
2012/02/14,27.19,True
2012/02/15,27.43,True
2012/02/16,27.31,True
2012/02/17,27.68,True
2012/02/21,27.76,True
2012/02/22,26.95,True
2012/02/23,27.06,True
2012/02/24,27.16,True
2012/02/27,27.34,True
2012/02/28,27.71,True
2012/02/29,28.38,True
2012/03/01,28.38,True
2012/03/02,28.13,True
2012/03/05,28.24,True
2012/03/06,27.84,True
2012/03/07,28.87,True
2012/03/08,29.36,True
2012/03/09,29.77,True
2012/03/12,29.84,True
2012/03/13,30.23,True
2012/03/14,30.49,True
2012/03/15,30.69,True
2012/03/16,30.41,True
2012/03/19,30.53,True
2012/03/20,30.59,True
2012/03/21,30.86,True
2012/03/22,30.95,True
2012/03/23,30.735,True
2012/03/26,31.18,True
2012/03/27,31.18,True
2012/03/28,31.22,True
2012/03/29,31.21,True
2012/03/30,31.38,True
2012/04/02,31.38,True
2012/04/03,31.07,True
2012/04/04,31.27,True
2012/04/05,31.35,True
2012/04/09,31.09,True
2012/04/10,30.33,True
2012/04/11,31.02,True
2012/04/12,31.5,True
2012/04/13,31.69,True
2012/04/16,32.05,True
2012/04/17,32.08,True
2012/04/18,31.96,True
2012/04/19,32.0,True
2012/04/20,31.65,True
2012/04/23,31.12,True
2012/04/24,31.38,True
2012/04/25,31.73,True
2012/04/26,31.43,True
2012/04/27,31.61,True
2012/04/30,31.47,True
2012/05/01,31.61,True
2012/05/02,32.1,True
2012/05/03,31.66,True
2012/05/04,31.09,True
2012/05/07,30.79,True
2012/05/08,30.67,True
2012/05/09,30.34,True
2012/05/10,30.18,True
2012/05/11,29.62,True
2012/05/14,29.56,True
2012/05/15,29.03,True
2012/05/16,29.32,True
2012/05/17,28.37,True
2012/05/18,28.48,True
2012/05/21,25.6,True
2012/05/22,25.49,True
2012/05/23,26.19,True
2012/05/24,27.1,True
2012/05/25,27.24,True
2012/05/29,27.49,True
2012/05/30,26.99,True
2012/05/31,26.72,True
2012/06/01,26.36,True
2012/06/04,26.66,True
2012/06/05,26.43,True
2012/06/06,27.48,True
2012/06/07,27.69,True
2012/06/08,27.92,True
2012/06/11,26.98,True
2012/06/12,27.44,True
2012/06/13,26.88,True
2012/06/14,27.77,True
2012/06/15,28.05,True
2012/06/18,28.43,True
2012/06/19,28.54,True
2012/06/20,28.63,True
2012/06/21,27.5,True
2012/06/22,27.31,True
2012/06/25,26.93,True
2012/06/26,27.26,True
2012/06/27,27.3,True
2012/06/28,27.24,True
2012/06/29,28.44,True
2012/07/02,28.62,True
2012/07/03,27.62,True
2012/07/05,27.58,True
2012/07/06,27.85,True
2012/07/09,27.28,True
2012/07/10,27.17,True
2012/07/11,26.67,True
2012/07/12,26.57,True
2012/07/13,26.72,True
2012/07/16,25.8,True
2012/07/17,25.55,True
2012/07/18,25.66,True
2012/07/19,26.03,True
2012/07/20,25.79,True
2012/07/23,25.77,True
2012/07/24,25.77,True
2012/07/25,25.6,True
2012/07/26,26.6,True
2012/07/27,27.07,True
2012/07/30,26.86,True
2012/07/31,25.37,True
2012/08/01,25.14,True
2012/08/02,24.85,True
2012/08/03,25.49,True
2012/08/06,25.41,True
2012/08/07,25.97,True
2012/08/08,26.42,True
2012/08/09,26.91,True
2012/08/10,26.77,True
2012/08/13,26.55,True
2012/08/14,26.54,True
2012/08/15,26.83,True
2012/08/16,27.45,True
2012/08/17,27.87,True
2012/08/20,26.26,True
2012/08/21,26.43,True
2012/08/22,27.24,True
2012/08/23,27.36,True
2012/08/24,27.73,True
2012/08/27,27.7,True
2012/08/28,27.85,True
2012/08/29,28.34,True
2012/08/30,28.18,True
2012/08/31,28.48,True
2012/09/04,28.43,True
2012/09/05,28.1,True
2012/09/06,28.38,True
2012/09/07,28.32,True
2012/09/10,28.69,True
2012/09/11,28.6,True
2012/09/12,28.22,True
2012/09/13,29.02,True
2012/09/14,29.4,True
2012/09/17,29.23,True
2012/09/18,29.18,True
2012/09/19,29.59,True
2012/09/20,30.0,True
2012/09/21,30.19,True
2012/09/24,29.8,True
2012/09/25,29.67,True
2012/09/26,30.005,True
2012/09/27,30.26,True
2012/09/28,30.24,True
2012/10/01,30.31,True
2012/10/02,30.29,True
2012/10/03,30.7,True
2012/10/04,30.95,True
2012/10/05,31.77,True
2012/10/08,31.55,True
2012/10/09,31.13,True
2012/10/10,30.89,True
2012/10/11,30.77,True
2012/10/12,31.18,True
2012/10/15,32.2,True
2012/10/16,32.35,True
2012/10/17,32.79,True
2012/10/18,32.57,True
2012/10/19,32.64,True
2012/10/22,32.71,True
2012/10/23,32.3,True
2012/10/24,32.29,True
2012/10/25,31.79,True
2012/10/26,31.36,True
2012/10/31,32.38,True
2012/11/01,32.96,True
2012/11/02,33.15,True
2012/11/05,33.06,True
2012/11/06,33.29,True
2012/11/07,32.77,True
2012/11/08,32.1,True
2012/11/09,31.47,True
2012/11/12,31.98,True
2012/11/13,31.97,True
2012/11/14,31.98,True
2012/11/15,31.401,True
2012/11/16,31.98,True
2012/11/19,33.96,True
2012/11/20,34.45,True
2012/11/21,34.55,True
2012/11/23,35.15,True
2012/11/26,35.345,True
2012/11/27,35.34,True
2012/11/28,35.77,True
2012/11/29,35.61,True
2012/11/30,36.09,True
2012/12/03,36.04,True
2012/12/04,35.62,True
2012/12/05,35.2,True
2012/12/06,35.17,True
2012/12/07,35.11,True
2012/12/10,34.81,True
2012/12/11,34.82,True
2012/12/12,34.73,True
2012/12/13,34.53,True
2012/12/14,34.46,True
2012/12/17,35.85,True
