date,PRC,is_prediction
2012/01/03,36.75,True
2012/01/04,36.65,True
2012/01/05,37.37,True
2012/01/06,37.84,True
2012/01/09,38.71,True
2012/01/10,39.0,True
2012/01/11,39.89,True
2012/01/12,39.88,True
2012/01/13,38.5,True
2012/01/17,40.07,True
2012/01/18,41.64,True
2012/01/19,42.32,True
2012/01/20,42.23,True
2012/01/23,42.14,True
2012/01/24,43.35,True
2012/01/25,43.55,True
2012/01/26,42.29,True
2012/01/27,43.1,True
2012/01/30,42.47,True
2012/01/31,42.59,True
2012/02/01,43.97,True
2012/02/02,44.51,True
2012/02/03,44.19,True
2012/02/06,43.23,True
2012/02/07,43.38,True
2012/02/08,43.62,True
2012/02/09,43.11,True
2012/02/10,42.33,True
2012/02/13,42.36,True
2012/02/14,41.91,True
2012/02/15,41.75,True
2012/02/16,42.95,True
2012/02/17,41.98,True
2012/02/21,40.58,True
2012/02/22,40.46,True
2012/02/23,40.5,True
2012/02/24,40.56,True
2012/02/27,40.65,True
2012/02/28,42.13,True
2012/02/29,41.7,True
2012/03/01,41.74,True
2012/03/02,41.04,True
2012/03/05,39.5,True
2012/03/06,39.54,True
2012/03/07,40.26,True
2012/03/08,41.1,True
2012/03/09,41.95,True
2012/03/12,41.72,True
2012/03/13,42.94,True
2012/03/14,42.58,True
2012/03/15,43.3,True
2012/03/16,43.28,True
2012/03/19,43.58,True
2012/03/20,44.08,True
2012/03/21,43.75,True
2012/03/22,43.45,True
2012/03/23,43.82,True
2012/03/26,44.492,True
2012/03/27,44.91,True
2012/03/28,43.88,True
2012/03/29,44.23,True
2012/03/30,44.62,True
2012/04/02,44.17,True
2012/04/03,43.56,True
2012/04/04,42.43,True
2012/04/05,42.48,True
2012/04/09,41.96,True
2012/04/10,41.41,True
2012/04/11,42.59,True
2012/04/12,43.42,True
2012/04/13,42.18,True
2012/04/16,42.15,True
2012/04/17,42.78,True
2012/04/18,42.04,True
2012/04/19,41.44,True
2012/04/20,40.39,True
2012/04/23,39.9,True
2012/04/24,40.0,True
2012/04/25,40.67,True
2012/04/26,41.72,True
2012/04/27,42.07,True
2012/04/30,41.67,True
2012/05/01,42.19,True
2012/05/02,41.99,True
2012/05/03,41.18,True
2012/05/04,40.24,True
2012/05/07,40.13,True
2012/05/08,40.08,True
2012/05/09,40.57,True
2012/05/10,40.45,True
2012/05/11,41.42,True
2012/05/14,41.2,True
2012/05/15,40.89,True
2012/05/16,38.865,True
2012/05/17,37.75,True
2012/05/18,37.57,True
2012/05/21,38.15,True
2012/05/22,38.22,True
2012/05/23,38.15,True
2012/05/24,37.63,True
2012/05/25,38.37,True
2012/05/29,38.79,True
2012/05/30,37.75,True
2012/05/31,37.3,True
2012/06/01,36.13,True
2012/06/04,35.99,True
2012/06/05,37.32,True
2012/06/06,38.22,True
2012/06/07,37.43,True
2012/06/08,37.62,True
2012/06/11,37.15,True
2012/06/12,37.35,True
2012/06/13,36.91,True
2012/06/14,36.53,True
2012/06/15,37.76,True
2012/06/18,37.57,True
2012/06/19,38.14,True
2012/06/20,38.75,True
2012/06/21,37.8,True
2012/06/22,37.95,True
2012/06/25,36.44,True
2012/06/26,36.21,True
2012/06/27,36.56,True
2012/06/28,36.32,True
2012/06/29,37.74,True
2012/07/02,37.63,True
2012/07/03,37.82,True
2012/07/05,36.98,True
2012/07/06,35.495,True
2012/07/09,35.17,True
2012/07/10,34.74,True
2012/07/11,34.0,True
2012/07/12,33.75,True
2012/07/13,34.23,True
2012/07/16,34.175,True
2012/07/17,34.18,True
2012/07/18,35.03,True
2012/07/19,35.18,True
2012/07/20,34.8,True
2012/07/23,34.45,True
2012/07/24,34.19,True
2012/07/25,34.24,True
2012/07/26,34.37,True
2012/07/27,34.14,True
2012/07/30,34.2,True
2012/07/31,34.41,True
2012/08/01,34.42,True
2012/08/02,33.67,True
2012/08/03,34.57,True
2012/08/06,34.62,True
2012/08/07,35.71,True
2012/08/08,35.56,True
2012/08/09,35.56,True
2012/08/10,35.54,True
2012/08/13,35.27,True
2012/08/14,34.83,True
2012/08/15,34.89,True
2012/08/16,35.19,True
2012/08/17,35.21,True
2012/08/20,35.23,True
2012/08/21,35.12,True
2012/08/22,34.99,True
2012/08/23,34.55,True
2012/08/24,34.62,True
2012/08/27,34.056999999999995,True
2012/08/28,34.24,True
2012/08/29,34.15,True
2012/08/30,33.39,True
2012/08/31,34.13,True
2012/09/04,33.63,True
2012/09/05,33.26,True
2012/09/06,34.2905,True
2012/09/07,34.72,True
2012/09/10,34.325,True
2012/09/11,34.07,True
2012/09/12,33.78,True
2012/09/13,33.91,True
2012/09/14,34.35,True
2012/09/17,34.06,True
2012/09/18,33.7,True
2012/09/19,32.85,True
2012/09/20,32.64,True
2012/09/21,32.91,True
2012/09/24,32.5,True
2012/09/25,31.84,True
2012/09/26,31.3,True
2012/09/27,31.78,True
2012/09/28,31.78,True
2012/10/01,31.57,True
2012/10/02,32.1,True
2012/10/03,31.75,True
2012/10/04,31.78,True
2012/10/05,32.26,True
2012/10/08,32.12,True
2012/10/09,32.1298,True
2012/10/10,31.89,True
2012/10/11,32.71,True
2012/10/12,32.46,True
2012/10/15,32.67,True
2012/10/16,33.44,True
2012/10/17,33.58,True
2012/10/18,36.01,True
2012/10/19,35.37,True
2012/10/22,35.85,True
2012/10/23,35.53,True
2012/10/24,35.45,True
2012/10/25,35.68,True
2012/10/26,35.36,True
2012/10/31,35.4,True
2012/11/01,36.92,True
2012/11/02,36.06,True
2012/11/05,36.84,True
2012/11/06,37.69,True
2012/11/07,36.17,True
2012/11/08,35.94,True
2012/11/09,36.43,True
2012/11/12,36.68,True
2012/11/13,36.308,True
2012/11/14,35.41,True
2012/11/15,34.62,True
2012/11/16,34.52,True
2012/11/19,34.68,True
2012/11/20,34.55,True
2012/11/21,34.5,True
2012/11/23,35.34,True
2012/11/26,35.25,True
2012/11/27,34.91,True
2012/11/28,35.42,True
2012/11/29,35.16,True
2012/11/30,35.12,True
2012/12/03,34.86,True
2012/12/04,35.51,True
2012/12/05,35.26,True
2012/12/06,35.1,True
2012/12/07,35.46,True
2012/12/10,36.0519,True
2012/12/11,36.35,True
2012/12/12,36.05,True
2012/12/13,36.24,True
2012/12/14,36.37,True
2012/12/17,36.28,True
2012/12/18,36.86,True
2012/12/19,36.5,True
2012/12/20,36.59,True
2012/12/21,36.24,True
2012/12/24,36.95,True
2012/12/26,36.45,True
2012/12/27,35.98,True
2012/12/28,35.67,True
2012/12/31,36.13,True
2013/01/01,36.30929233178667,False
2013/01/02,36.21218915233938,False
2013/01/03,36.3145306192677,False
2013/01/04,36.29340754518497,False
2013/01/07,36.280181361548436,False
2013/01/08,36.226662819279895,False
2013/01/09,36.20144148387302,False
2013/01/10,36.22602960877851,False
2013/01/11,36.20909259307504,False
2013/01/14,36.21478230576728,False
2013/01/15,36.215570070231735,False
2013/01/16,36.21220690507639,False
2013/01/17,36.21125304050851,False
2013/01/18,36.20169757138314,False
2013/01/21,36.19986906636301,False
2013/01/22,36.19525964466431,False
2013/01/23,36.19070596126623,False
2013/01/24,36.18811701167915,False
2013/01/25,36.183823703456724,False
2013/01/28,36.18097774203851,False
2013/01/29,36.17701681684268,False
2013/01/30,36.17322423239976,False
2013/01/31,36.16973726202536,False
2013/02/01,36.16574871562508,False
2013/02/04,36.162189521744274,False
2013/02/05,36.15840700536803,False
2013/02/06,36.1547217502882,False
2013/02/07,36.15107983091459,False
2013/02/08,36.147324086259694,False
2013/02/11,36.14367590360906,False
2013/02/12,36.13995222715617,False
2013/02/13,36.13625396411274,False
2013/02/14,36.1325617167819,False
2013/02/15,36.12884698642174,False
2013/02/18,36.12515980759596,False
2013/02/19,36.12145286288263,False
2013/02/20,36.117755347989394,False
2013/02/21,36.11405758061408,False
2013/02/22,36.11035442783181,False
2013/02/25,36.106657524477676,False
2013/02/26,36.102955285586745,False
2013/02/27,36.099255812512446,False
2013/02/28,36.09555577739871,False
2013/03/01,36.09185468527195,False
2013/03/04,36.08815513666029,False
2013/03/05,36.08445412215099,False
2013/03/06,36.080753872905696,False
2013/03/07,36.07705334990941,False
2013/03/08,36.07335257145498,False
2013/03/11,36.06965209075476,False
