date,PRC,is_prediction
2012/01/03,24.02,True
2012/01/04,23.98,True
2012/01/05,24.03,True
2012/01/06,23.89,True
2012/01/09,24.12,True
2012/01/10,25.23,True
2012/01/11,25.37,True
2012/01/12,25.92,True
2012/01/13,25.45,True
2012/01/17,25.1,True
2012/01/18,26.8,True
2012/01/19,27.23,True
2012/01/20,27.39,True
2012/01/23,27.42,True
2012/01/24,27.64,True
2012/01/25,28.06,True
2012/01/26,28.41,True
2012/01/27,28.3,True
2012/01/30,28.05,True
2012/01/31,27.76,True
2012/02/01,28.43,True
2012/02/02,28.53,True
2012/02/03,29.6,True
2012/02/06,29.54,True
2012/02/07,29.36,True
2012/02/08,29.46,True
2012/02/09,29.42,True
2012/02/10,29.18,True
2012/02/13,29.72,True
2012/02/14,28.63,True
2012/02/15,28.45,True
2012/02/16,29.08,True
2012/02/17,29.36,True
2012/02/21,28.98,True
2012/02/22,28.49,True
2012/02/23,29.36,True
2012/02/24,28.8,True
2012/02/27,29.05,True
2012/02/28,28.95,True
2012/02/29,28.49,True
2012/03/01,28.38,True
2012/03/02,28.17,True
2012/03/05,27.84,True
2012/03/06,26.6,True
2012/03/07,26.64,True
2012/03/08,26.77,True
2012/03/09,26.96,True
2012/03/12,26.74,True
2012/03/13,27.5,True
2012/03/14,27.11,True
2012/03/15,27.24,True
2012/03/16,27.96,True
2012/03/19,28.51,True
2012/03/20,28.31,True
2012/03/21,27.79,True
2012/03/22,26.69,True
2012/03/23,26.88,True
2012/03/26,27.41,True
2012/03/27,26.99,True
2012/03/28,26.8,True
2012/03/29,26.34,True
2012/03/30,26.1,True
2012/04/02,25.99,True
2012/04/03,25.63,True
2012/04/04,24.79,True
2012/04/05,24.87,True
2012/04/09,24.33,True
2012/04/10,23.85,True
2012/04/11,23.86,True
2012/04/12,24.85,True
2012/04/13,24.15,True
2012/04/16,23.94,True
2012/04/17,24.29,True
2012/04/18,24.15,True
2012/04/19,24.32,True
2012/04/20,24.41,True
2012/04/23,24.03,True
2012/04/24,24.44,True
2012/04/25,24.78,True
2012/04/26,25.04,True
2012/04/27,25.09,True
2012/04/30,24.86,True
2012/05/01,25.5,True
2012/05/02,25.3,True
2012/05/03,24.91,True
2012/05/04,24.61,True
2012/05/07,24.52,True
2012/05/08,23.88,True
2012/05/09,23.69,True
2012/05/10,23.39,True
2012/05/11,23.3,True
2012/05/14,22.31,True
2012/05/15,21.99,True
2012/05/16,21.47,True
2012/05/17,21.41,True
2012/05/18,20.99,True
2012/05/21,21.08,True
2012/05/22,21.15,True
2012/05/23,21.25,True
2012/05/24,20.94,True
2012/05/25,21.03,True
2012/05/29,21.48,True
2012/05/30,20.8,True
2012/05/31,20.32,True
2012/06/01,19.99,True
2012/06/04,19.84,True
2012/06/05,20.02,True
2012/06/06,20.66,True
2012/06/07,20.51,True
2012/06/08,20.76,True
2012/06/11,20.3,True
2012/06/12,20.84,True
2012/06/13,20.57,True
2012/06/14,20.74,True
2012/06/15,21.41,True
2012/06/18,21.08,True
2012/06/19,21.69,True
2012/06/20,21.53,True
2012/06/21,20.75,True
2012/06/22,21.18,True
2012/06/25,20.33,True
2012/06/26,20.27,True
2012/06/27,20.72,True
2012/06/28,20.68,True
2012/06/29,21.27,True
2012/07/02,21.53,True
2012/07/03,22.28,True
2012/07/05,21.4,True
2012/07/06,21.32,True
2012/07/09,21.32,True
2012/07/10,20.92,True
2012/07/11,21.63,True
2012/07/12,21.43,True
2012/07/13,22.33,True
2012/07/16,22.16,True
2012/07/17,22.11,True
2012/07/18,21.93,True
2012/07/19,21.95,True
2012/07/20,21.49,True
2012/07/23,21.31,True
2012/07/24,21.14,True
2012/07/25,21.0,True
2012/07/26,21.58,True
2012/07/27,22.35,True
2012/07/30,22.21,True
2012/07/31,21.68,True
2012/08/01,21.78,True
2012/08/02,20.56,True
2012/08/03,21.11,True
2012/08/06,21.63,True
2012/08/07,22.24,True
2012/08/08,22.23,True
2012/08/09,22.22,True
2012/08/10,22.19,True
2012/08/13,21.85,True
2012/08/14,21.76,True
2012/08/15,21.95,True
2012/08/16,22.22,True
2012/08/17,22.52,True
2012/08/20,22.22,True
2012/08/21,22.29,True
2012/08/22,22.21,True
2012/08/23,21.78,True
2012/08/24,21.94,True
2012/08/27,21.86,True
2012/08/28,21.82,True
