date,PRC,is_prediction
2012/01/03,8.41,True
2012/01/04,8.6,True
2012/01/05,8.62,True
2012/01/06,8.52,True
2012/01/09,8.59,True
2012/01/10,8.71,True
2012/01/11,8.88,True
2012/01/12,8.97,True
2012/01/13,8.84,True
2012/01/17,8.94,True
2012/01/18,9.02,True
2012/01/19,9.3,True
2012/01/20,9.4,True
2012/01/23,9.28,True
2012/01/24,9.16,True
2012/01/25,9.51,True
2012/01/26,9.38,True
2012/01/27,9.62,True
2012/01/30,9.38,True
2012/01/31,9.58,True
2012/02/01,9.74,True
2012/02/02,9.75,True
2012/02/03,10.04,True
2012/02/06,9.75,True
2012/02/07,9.64,True
2012/02/08,9.63,True
2012/02/09,9.78,True
2012/02/10,9.62,True
2012/02/13,9.72,True
2012/02/14,9.59,True
2012/02/15,9.53,True
2012/02/16,9.59,True
2012/02/17,9.43,True
2012/02/21,9.1,True
2012/02/22,9.02,True
2012/02/23,8.87,True
2012/02/24,8.68,True
2012/02/27,8.82,True
2012/02/28,8.95,True
2012/02/29,8.98,True
2012/03/01,8.88,True
2012/03/02,8.96,True
2012/03/05,8.74,True
2012/03/06,8.6,True
2012/03/07,8.49,True
2012/03/08,8.5,True
2012/03/09,8.48,True
2012/03/12,8.28,True
2012/03/13,8.41,True
2012/03/14,8.18,True
2012/03/15,8.45,True
2012/03/16,8.31,True
2012/03/19,8.41,True
2012/03/20,8.39,True
2012/03/21,8.32,True
2012/03/22,8.19,True
2012/03/23,8.23,True
2012/03/26,8.35,True
2012/03/27,8.23,True
2012/03/28,8.36,True
2012/03/29,8.4,True
2012/03/30,8.24,True
2012/04/02,8.26,True
2012/04/03,8.2,True
2012/04/04,8.38,True
2012/04/05,8.31,True
2012/04/09,8.22,True
2012/04/10,7.91,True
2012/04/11,7.95,True
2012/04/12,8.14,True
2012/04/13,7.94,True
2012/04/16,7.99,True
2012/04/17,8.08,True
2012/04/18,7.89,True
2012/04/19,8.23,True
2012/04/20,7.91,True
2012/04/23,7.88,True
2012/04/24,8.02,True
2012/04/25,7.98,True
2012/04/26,8.09,True
2012/04/27,8.25,True
2012/04/30,8.28,True
2012/05/01,8.28,True
2012/05/02,8.17,True
2012/05/03,8.22,True
2012/05/04,8.1,True
2012/05/07,8.26,True
2012/05/08,8.27,True
2012/05/09,8.2,True
2012/05/10,8.1,True
2012/05/11,8.05,True
2012/05/14,8.08,True
2012/05/15,8.07,True
2012/05/16,8.21,True
2012/05/17,8.35,True
2012/05/18,8.15,True
2012/05/21,8.34,True
2012/05/22,8.27,True
2012/05/23,8.36,True
2012/05/24,8.74,True
2012/05/25,8.76,True
2012/05/29,8.94,True
2012/05/30,8.87,True
2012/05/31,9.03,True
2012/06/01,8.95,True
2012/06/04,8.6,True
2012/06/05,8.66,True
2012/06/06,8.8,True
2012/06/07,8.86,True
2012/06/08,9.06,True
2012/06/11,8.98,True
2012/06/12,8.99,True
2012/06/13,9.19,True
2012/06/14,9.2,True
2012/06/15,8.93,True
2012/06/18,9.03,True
2012/06/19,9.23,True
2012/06/20,9.31,True
2012/06/21,9.21,True
2012/06/22,9.21,True
2012/06/25,8.76,True
2012/06/26,8.87,True
2012/06/27,9.14,True
2012/06/28,9.21,True
2012/06/29,9.22,True
2012/07/02,9.31,True
2012/07/03,9.28,True
2012/07/05,9.15,True
2012/07/06,9.27,True
2012/07/09,9.24,True
2012/07/10,9.63,True
2012/07/11,9.56,True
2012/07/12,9.31,True
2012/07/13,9.44,True
2012/07/16,9.42,True
2012/07/17,9.39,True
2012/07/18,9.42,True
2012/07/19,9.15,True
2012/07/20,8.86,True
2012/07/23,8.71,True
2012/07/24,8.66,True
2012/07/25,8.47,True
2012/07/26,8.68,True
2012/07/27,8.9,True
2012/07/30,9.15,True
2012/07/31,9.19,True
2012/08/01,9.18,True
2012/08/02,8.94,True
2012/08/03,9.13,True
2012/08/06,9.26,True
2012/08/07,9.09,True
2012/08/08,9.1,True
2012/08/09,9.04,True
2012/08/10,9.07,True
2012/08/13,9.12,True
2012/08/14,9.01,True
2012/08/15,9.02,True
2012/08/16,9.07,True
2012/08/17,9.13,True
2012/08/20,9.44,True
2012/08/21,9.46,True
2012/08/22,9.32,True
2012/08/23,9.3,True
2012/08/24,9.21,True
2012/08/27,9.07,True
2012/08/28,8.98,True
2012/08/29,8.89,True
2012/08/30,8.96,True
2012/08/31,8.94,True
2012/09/04,8.85,True
2012/09/05,9.09,True
2012/09/06,9.21,True
2012/09/07,9.19,True
2012/09/10,9.15,True
2012/09/11,8.95,True
2012/09/12,9.18,True
2012/09/13,9.11,True
2012/09/14,9.07,True
2012/09/17,9.05,True
2012/09/18,8.92,True
2012/09/19,9.06,True
2012/09/20,8.94,True
2012/09/21,8.84,True
2012/09/24,8.89,True
2012/09/25,8.84,True
2012/09/26,8.92,True
2012/09/27,8.88,True
2012/09/28,8.77,True
2012/10/01,8.86,True
2012/10/02,8.98,True
2012/10/03,9.14,True
2012/10/04,9.1,True
2012/10/05,8.97,True
2012/10/08,8.86,True
2012/10/09,8.75,True
2012/10/10,8.77,True
2012/10/11,8.71,True
2012/10/12,8.84,True
2012/10/15,8.89,True
2012/10/16,8.88,True
2012/10/17,8.95,True
2012/10/18,8.98,True
2012/10/19,8.88,True
2012/10/22,8.83,True
2012/10/23,8.79,True
2012/10/24,8.75,True
2012/10/25,8.83,True
2012/10/26,8.74,True
2012/10/31,8.82,True
2012/11/01,9.05,True
2012/11/02,9.03,True
2012/11/05,9.04,True
2012/11/06,9.15,True
2012/11/07,9.01,True
2012/11/08,9.18,True
2012/11/09,9.06,True
2012/11/12,9.07,True
2012/11/13,9.03,True
2012/11/14,8.76,True
2012/11/15,8.84,True
2012/11/16,8.93,True
2012/11/19,9.1,True
2012/11/20,9.11,True
2012/11/21,9.23,True
2012/11/23,9.37,True
2012/11/26,9.4,True
2012/11/27,9.29,True
2012/11/28,9.43,True
2012/11/29,9.5,True
2012/11/30,9.53,True
2012/12/03,9.44,True
2012/12/04,9.63,True
2012/12/05,9.79,True
2012/12/06,9.88,True
2012/12/07,9.81,True
2012/12/10,9.84,True
2012/12/11,10.12,True
2012/12/12,10.02,True
2012/12/13,10.14,True
2012/12/14,10.19,True
2012/12/17,10.36,True
2012/12/18,10.5,True
2012/12/19,10.56,True
2012/12/20,10.54,True
2012/12/21,10.46,True
2012/12/24,10.43,True
2012/12/26,10.31,True
2012/12/27,10.26,True
2012/12/28,10.16,True
2012/12/31,10.24,True
2013/01/01,10.255105633380294,False
2013/01/02,10.264845739295797,False
2013/01/03,10.281728132299452,False
2013/01/04,10.280235475141412,False
2013/01/07,10.297607256317649,False
2013/01/08,10.309491492433189,False
2013/01/09,10.311462019214245,False
2013/01/10,10.320240224902006,False
2013/01/11,10.325333879717457,False
2013/01/14,10.332706117615848,False
2013/01/15,10.341239948060139,False
2013/01/16,10.347242815662321,False
2013/01/17,10.354774072999302,False
2013/01/18,10.362120367072741,False
2013/01/21,10.369225654301063,False
2013/01/22,10.376869284200215,False
2013/01/23,10.383971024684584,False
2013/01/24,10.391222871834724,False
2013/01/25,10.398591513659184,False
2013/01/28,10.405797308051323,False
2013/01/29,10.41312672190933,False
2013/01/30,10.420393945001914,False
