date,PRC,is_prediction
2012/01/03,32.68,True
2012/01/04,32.65,True
2012/01/05,33.92,True
2012/01/06,34.56,True
2012/01/09,34.46,True
2012/01/10,34.87,True
2012/01/11,34.84,True
2012/01/12,35.04,True
2012/01/13,34.42,True
2012/01/17,34.68,True
2012/01/18,35.37,True
2012/01/19,35.82,True
2012/01/20,35.38,True
2012/01/23,35.09,True
2012/01/24,35.28,True
2012/01/25,34.19,True
2012/01/26,33.27,True
2012/01/27,33.82,True
2012/01/30,34.32,True
2012/01/31,33.69,True
2012/02/01,33.99,True
2012/02/02,35.23,True
2012/02/03,36.12,True
2012/02/06,35.72,True
2012/02/07,35.87,True
2012/02/08,35.86,True
2012/02/09,36.21,True
2012/02/10,35.68,True
2012/02/13,35.8,True
2012/02/14,35.56,True
2012/02/15,34.97,True
2012/02/16,35.3,True
2012/02/17,36.25,True
2012/02/21,36.69,True
2012/02/22,37.68,True
2012/02/23,36.99,True
2012/02/24,37.06,True
2012/02/27,37.37,True
2012/02/28,37.84,True
2012/02/29,37.97,True
2012/03/01,38.85,True
2012/03/02,38.31,True
2012/03/05,38.24,True
2012/03/06,37.28,True
2012/03/07,38.47,True
2012/03/08,39.3,True
2012/03/09,39.67,True
2012/03/12,39.58,True
2012/03/13,39.57,True
2012/03/14,39.91,True
2012/03/15,39.77,True
2012/03/16,39.73,True
2012/03/19,39.62,True
2012/03/20,39.7,True
2012/03/21,40.47,True
2012/03/22,40.06,True
2012/03/23,39.84,True
2012/03/26,40.44,True
2012/03/27,40.42,True
2012/03/28,40.04,True
2012/03/29,39.93,True
2012/03/30,39.73,True
2012/04/02,40.24,True
2012/04/03,40.89,True
2012/04/04,40.905,True
2012/04/05,40.87,True
2012/04/09,39.98,True
2012/04/10,38.56,True
2012/04/11,39.39,True
2012/04/12,40.33,True
2012/04/13,39.98,True
2012/04/16,40.01,True
2012/04/17,40.18,True
2012/04/18,40.13,True
2012/04/19,39.65,True
2012/04/20,39.1,True
2012/04/23,38.76,True
2012/04/24,38.82,True
2012/04/25,39.94,True
2012/04/26,40.65,True
2012/04/27,41.18,True
2012/04/30,41.02,True
2012/05/01,41.44,True
2012/05/02,41.27,True
2012/05/03,41.55,True
2012/05/04,41.11,True
2012/05/07,40.29,True
2012/05/08,39.51,True
2012/05/09,38.05,True
2012/05/10,37.83,True
2012/05/11,37.98,True
2012/05/14,36.68,True
2012/05/15,37.01,True
2012/05/16,37.29,True
2012/05/17,35.43,True
2012/05/18,35.24,True
2012/05/21,36.28,True
2012/05/22,36.47,True
2012/05/23,37.05,True
