date,PRC,is_prediction
2012/01/03,30.0,True
2012/01/04,30.47,True
2012/01/05,31.47,True
2012/01/06,31.74,True
2012/01/09,32.17,True
2012/01/10,32.7,True
2012/01/11,33.02,True
2012/01/12,33.85,True
2012/01/13,33.53,True
2012/01/17,33.63,True
2012/01/18,33.94,True
2012/01/19,34.66,True
2012/01/20,34.84,True
2012/01/23,34.84,True
2012/01/24,34.94,True
2012/01/25,35.16,True
2012/01/26,34.63,True
2012/01/27,34.57,True
2012/01/30,34.65,True
2012/01/31,34.45,True
2012/02/01,35.13,True
2012/02/02,35.17,True
2012/02/03,36.13,True
2012/02/06,36.15,True
2012/02/07,36.17,True
2012/02/08,36.22,True
2012/02/09,36.05,True
2012/02/10,35.72,True
2012/02/13,35.94,True
2012/02/14,35.13,True
2012/02/15,34.73,True
2012/02/16,34.82,True
2012/02/17,34.93,True
2012/02/21,34.32,True
2012/02/22,34.44,True
2012/02/23,34.3,True
2012/02/24,34.73,True
2012/02/27,34.9,True
2012/02/28,35.41,True
2012/02/29,35.28,True
2012/03/01,35.75,True
2012/03/02,35.75,True
2012/03/05,36.07,True
2012/03/06,35.78,True
2012/03/07,35.9,True
2012/03/08,36.74,True
2012/03/09,37.54,True
2012/03/12,37.48,True
2012/03/13,38.36,True
2012/03/14,38.39,True
2012/03/15,38.38,True
2012/03/16,38.14,True
2012/03/19,38.08,True
2012/03/20,37.64,True
2012/03/21,37.88,True
2012/03/22,37.71,True
2012/03/23,37.72,True
2012/03/26,38.62,True
2012/03/27,38.55,True
2012/03/28,38.05,True
2012/03/29,37.64,True
2012/03/30,37.85,True
2012/04/02,38.04,True
2012/04/03,38.32,True
2012/04/04,37.66,True
2012/04/05,37.78,True
2012/04/09,37.49,True
2012/04/10,36.47,True
2012/04/11,37.34,True
2012/04/12,37.57,True
2012/04/13,37.31,True
2012/04/16,37.31,True
2012/04/17,37.91,True
2012/04/18,37.83,True
2012/04/19,39.45,True
2012/04/20,38.9,True
2012/04/23,38.51,True
2012/04/24,38.4,True
2012/04/25,39.02,True
2012/04/26,39.77,True
2012/04/27,39.53,True
2012/04/30,39.09,True
2012/05/01,39.65,True
2012/05/02,39.99,True
2012/05/03,40.09,True
2012/05/04,39.28,True
2012/05/07,39.29,True
2012/05/08,38.82,True
2012/05/09,39.18,True
2012/05/10,39.24,True
2012/05/11,39.34,True
2012/05/14,38.69,True
2012/05/15,39.04,True
2012/05/16,38.57,True
2012/05/17,37.02,True
2012/05/18,36.83,True
2012/05/21,38.01,True
2012/05/22,37.88,True
2012/05/23,38.11,True
2012/05/24,38.39,True
2012/05/25,38.64,True
2012/05/29,39.14,True
2012/05/30,38.29,True
2012/05/31,38.71,True
2012/06/01,36.49,True
2012/06/04,36.33,True
2012/06/05,36.71,True
2012/06/06,37.55,True
2012/06/07,37.54,True
2012/06/08,37.8,True
2012/06/11,36.86,True
2012/06/12,37.5,True
2012/06/13,36.97,True
2012/06/14,37.65,True
2012/06/15,37.98,True
2012/06/18,38.38,True
2012/06/19,39.62,True
2012/06/20,39.81,True
2012/06/21,38.64,True
2012/06/22,38.8,True
2012/06/25,37.78,True
2012/06/26,37.87,True
2012/06/27,38.16,True
2012/06/28,37.54,True
2012/06/29,39.2,True
2012/07/02,39.25,True
2012/07/03,39.25,True
2012/07/05,39.58,True
2012/07/06,39.4,True
2012/07/09,38.96,True
2012/07/10,38.17,True
2012/07/11,38.03,True
2012/07/12,35.58,True
2012/07/13,36.28,True
2012/07/16,36.12,True
2012/07/17,36.7,True
2012/07/18,36.7,True
2012/07/19,37.29,True
2012/07/20,36.85,True
2012/07/23,35.8,True
2012/07/24,35.03,True
2012/07/25,35.34,True
2012/07/26,36.06,True
2012/07/27,36.89,True
2012/07/30,36.5,True
2012/07/31,36.42,True
2012/08/01,36.35,True
2012/08/02,36.32,True
2012/08/03,37.55,True
2012/08/06,37.35,True
2012/08/07,38.12,True
2012/08/08,37.24,True
2012/08/09,37.29,True
2012/08/10,36.94,True
2012/08/13,36.93,True
2012/08/14,36.66,True
2012/08/15,36.79,True
2012/08/16,37.81,True
2012/08/17,38.05,True
2012/08/20,37.55,True
2012/08/21,37.2,True
2012/08/22,37.24,True
2012/08/23,37.12,True
2012/08/24,36.97,True
2012/08/27,37.36,True
2012/08/28,37.26,True
2012/08/29,37.6,True
2012/08/30,37.54,True
2012/08/31,37.68,True
2012/09/04,37.63,True
2012/09/05,37.4,True
2012/09/06,38.75,True
2012/09/07,39.36,True
2012/09/10,38.97,True
2012/09/11,39.34,True
2012/09/12,39.52,True
2012/09/13,40.98,True
2012/09/14,41.6,True
2012/09/17,41.16,True
2012/09/18,41.07,True
2012/09/19,40.9,True
2012/09/20,40.75,True
2012/09/21,40.43,True
2012/09/24,40.22,True
2012/09/25,39.14,True
2012/09/26,39.01,True
2012/09/27,39.58,True
2012/09/28,39.1,True
2012/10/01,38.97,True
2012/10/02,38.63,True
2012/10/03,39.0,True
2012/10/04,38.94,True
2012/10/05,38.29,True
2012/10/08,38.73,True
2012/10/09,38.45,True
2012/10/10,38.38,True
2012/10/11,38.17,True
2012/10/12,38.16,True
2012/10/15,38.53,True
2012/10/16,38.89,True
2012/10/17,38.79,True
2012/10/18,38.89,True
2012/10/19,37.53,True
2012/10/22,37.94,True
2012/10/23,36.89,True
2012/10/24,36.44,True
2012/10/25,36.47,True
2012/10/26,36.82,True
2012/10/31,36.48,True
2012/11/01,36.96,True
2012/11/02,36.69,True
2012/11/05,36.64,True
2012/11/06,36.77,True
2012/11/07,36.01,True
2012/11/08,35.28,True
2012/11/09,35.54,True
2012/11/12,35.31,True
2012/11/13,35.13,True
2012/11/14,34.38,True
2012/11/15,34.11,True
2012/11/16,34.43,True
2012/11/19,35.45,True
2012/11/20,34.88,True
2012/11/21,34.82,True
2012/11/23,35.24,True
2012/11/26,34.71,True
2012/11/27,34.64,True
2012/11/28,35.21,True
2012/11/29,36.63,True
2012/11/30,36.29,True
2012/12/03,35.89,True
2012/12/04,35.53,True
2012/12/05,35.27,True
2012/12/06,35.46,True
2012/12/07,35.43,True
2012/12/10,35.59,True
2012/12/11,35.79,True
2012/12/12,35.92,True
2012/12/13,35.62,True
2012/12/14,36.11,True
2012/12/17,36.84,True
2012/12/18,37.42,True
2012/12/19,37.22,True
2012/12/20,37.68,True
2012/12/21,37.4,True
2012/12/24,37.12,True
2012/12/26,36.71,True
2012/12/27,36.88,True
2012/12/28,36.48,True
2012/12/31,37.27,True
2013/01/01,37.23715286001688,False
2013/01/02,37.36937097554806,False
2013/01/03,37.34721980400763,False
2013/01/04,37.40365774614024,False
2013/01/07,37.3780688385052,False
2013/01/08,37.44957494444126,False
2013/01/09,37.412823922251484,False
2013/01/10,37.45509546855868,False
2013/01/11,37.46796626933683,False
2013/01/14,37.506565689781134,False
2013/01/15,37.529872873752,False
2013/01/16,37.56519291015017,False
2013/01/17,37.587214157403146,False
2013/01/18,37.620290800280806,False
2013/01/21,37.64496917492103,False
2013/01/22,37.67411442082211,False
2013/01/23,37.69978373494203,False
2013/01/24,37.72782157397954,False
2013/01/25,37.75414469031509,False
2013/01/28,37.782155331930774,False
2013/01/29,37.808905679149845,False
2013/01/30,37.836615610392606,False
2013/01/31,37.86370424427142,False
2013/02/01,37.891243855363626,False
2013/02/04,37.91845143373566,False
2013/02/05,37.945896264455016,False
2013/02/06,37.973131316381924,False
2013/02/07,38.000520139613336,False
2013/02/08,38.02779354345278,False
2013/02/11,38.05514920793882,False
2013/02/12,38.08244632542031,False
2013/02/13,38.10978760404795,False
2013/02/14,38.13709677032683,False
2013/02/15,38.164431940162935,False
2013/02/18,38.19174763527496,False
2013/02/19,38.219077545839234,False
2013/02/20,38.24639672927382,False
2013/02/21,38.27372342419304,False
2013/02/22,38.30104426468638,False
2013/02/25,38.32836922591401,False
2013/02/26,38.355690844094326,False
2013/02/27,38.38301483896925,False
2013/02/28,38.41033694518457,False
2013/03/01,38.43766031810477,False
2013/03/04,38.46498264894899,False
