date,PRC,is_prediction
2012/01/03,10.98,True
2012/01/04,11.19,True
2012/01/05,11.54,True
2012/01/06,11.4,True
2012/01/09,11.4,True
2012/01/10,11.46,True
2012/01/11,11.99,True
2012/01/12,11.93,True
2012/01/13,12.09,True
2012/01/17,12.1,True
2012/01/18,12.66,True
2012/01/19,12.85,True
2012/01/20,12.41,True
2012/01/23,12.12,True
2012/01/24,12.22,True
2012/01/25,12.6,True
2012/01/26,12.25,True
2012/01/27,12.33,True
2012/01/30,12.25,True
2012/01/31,12.07,True
2012/02/01,12.45,True
2012/02/02,12.44,True
2012/02/03,12.92,True
2012/02/06,12.9,True
2012/02/07,12.8,True
2012/02/08,12.82,True
2012/02/09,13.01,True
2012/02/10,12.72,True
2012/02/13,13.23,True
2012/02/14,11.63,True
2012/02/15,11.67,True
2012/02/16,12.04,True
2012/02/17,12.1,True
2012/02/21,11.77,True
2012/02/22,11.87,True
2012/02/23,11.93,True
2012/02/24,11.57,True
2012/02/27,11.75,True
2012/02/28,11.98,True
2012/02/29,11.88,True
2012/03/01,11.87,True
2012/03/02,11.56,True
2012/03/05,11.74,True
2012/03/06,11.06,True
2012/03/07,11.57,True
2012/03/08,11.98,True
2012/03/09,12.11,True
2012/03/12,12.05,True
2012/03/13,12.9,True
2012/03/14,12.92,True
2012/03/15,13.59,True
2012/03/16,13.38,True
2012/03/19,13.7,True
2012/03/20,13.61,True
2012/03/21,14.1,True
2012/03/22,13.74,True
2012/03/23,13.58,True
2012/03/26,13.78,True
2012/03/27,13.81,True
2012/03/28,13.68,True
2012/03/29,13.64,True
2012/03/30,13.37,True
2012/04/02,13.22,True
2012/04/03,13.08,True
2012/04/04,12.79,True
2012/04/05,12.77,True
2012/04/09,12.27,True
2012/04/10,12.05,True
2012/04/11,12.2,True
2012/04/12,12.57,True
2012/04/13,12.14,True
2012/04/16,12.2,True
2012/04/17,12.49,True
2012/04/18,11.99,True
2012/04/19,11.97,True
2012/04/20,12.0,True
2012/04/23,11.88,True
2012/04/24,12.24,True
2012/04/25,12.64,True
2012/04/26,12.9,True
2012/04/27,13.44,True
2012/04/30,13.18,True
2012/05/01,13.93,True
2012/05/02,14.54,True
2012/05/03,14.42,True
2012/05/04,14.4,True
2012/05/07,14.55,True
2012/05/08,14.32,True
2012/05/09,14.01,True
2012/05/10,13.93,True
2012/05/11,13.97,True
2012/05/14,13.5,True
2012/05/15,13.21,True
2012/05/16,13.16,True
2012/05/17,12.16,True
2012/05/18,11.85,True
2012/05/21,12.26,True
2012/05/22,12.55,True
2012/05/23,12.76,True
2012/05/24,12.69,True
2012/05/25,12.6,True
2012/05/29,13.0,True
2012/05/30,12.36,True
2012/05/31,12.67,True
2012/06/01,12.04,True
2012/06/04,11.73,True
2012/06/05,12.15,True
2012/06/06,12.88,True
2012/06/07,12.99,True
2012/06/08,13.5,True
2012/06/11,12.84,True
