date,PRC,is_prediction
2012/01/03,27.755,True
2012/01/04,28.18,True
2012/01/05,28.47,True
2012/01/06,28.155,True
2012/01/09,28.525,True
2012/01/10,28.84,True
2012/01/11,29.02,True
2012/01/12,28.9,True
2012/01/13,28.14,True
2012/01/17,28.21,True
2012/01/18,28.81,True
2012/01/19,28.67,True
2012/01/20,28.53,True
2012/01/23,28.9,True
2012/01/24,29.09,True
2012/01/25,29.53,True
2012/01/26,29.55,True
2012/01/27,29.35,True
2012/01/30,29.53,True
2012/01/31,31.0,True
2012/02/01,31.0,True
2012/02/02,31.06,True
2012/02/03,31.53,True
2012/02/06,31.75,True
2012/02/07,32.0,True
2012/02/08,31.75,True
2012/02/09,32.19,True
2012/02/10,32.165,True
2012/02/13,32.4,True
2012/02/14,32.495,True
2012/02/15,32.39,True
2012/02/16,32.59,True
2012/02/17,32.44,True
2012/02/21,32.02,True
2012/02/22,32.01,True
2012/02/23,32.31,True
2012/02/24,32.16,True
2012/02/27,32.33,True
2012/02/28,32.59,True
2012/02/29,32.44,True
2012/03/01,32.82,True
2012/03/02,32.68,True
2012/03/05,33.03,True
2012/03/06,32.23,True
2012/03/07,32.5,True
2012/03/08,33.06,True
2012/03/09,33.39,True
2012/03/12,33.39,True
2012/03/13,33.53,True
2012/03/14,33.42,True
2012/03/15,33.36,True
2012/03/16,33.06,True
2012/03/19,33.53,True
2012/03/20,33.5,True
2012/03/21,33.32,True
2012/03/22,33.64,True
2012/03/23,33.76,True
2012/03/26,34.385,True
2012/03/27,34.38,True
2012/03/28,34.1,True
2012/03/29,34.03,True
2012/03/30,33.66,True
2012/04/02,34.13,True
2012/04/03,34.24,True
2012/04/04,33.88,True
2012/04/05,33.92,True
2012/04/09,33.64,True
2012/04/10,33.0,True
2012/04/11,33.68,True
2012/04/12,34.3,True
2012/04/13,34.13,True
2012/04/16,31.01,True
2012/04/17,31.795,True
2012/04/18,32.11,True
2012/04/19,31.76,True
2012/04/20,32.06,True
2012/04/23,31.81,True
2012/04/24,32.33,True
2012/04/25,32.88,True
2012/04/26,33.24,True
2012/04/27,33.52,True
2012/04/30,33.6,True
2012/05/01,33.8,True
2012/05/02,33.87,True
2012/05/03,33.59,True
2012/05/04,32.98,True
2012/05/07,32.93,True
2012/05/08,32.52,True
2012/05/09,32.09,True
2012/05/10,32.42,True
2012/05/11,32.47,True
2012/05/14,31.87,True
2012/05/15,31.98,True
2012/05/16,32.08,True
2012/05/17,31.07,True
2012/05/18,31.13,True
2012/05/21,31.25,True
2012/05/22,31.36,True
2012/05/23,31.17,True
2012/05/24,31.04,True
2012/05/25,31.26,True
2012/05/29,31.51,True
2012/05/30,31.17,True
2012/05/31,31.13,True
2012/06/01,30.56,True
2012/06/04,30.58,True
2012/06/05,30.78,True
2012/06/06,31.57,True
2012/06/07,31.54,True
2012/06/08,31.69,True
2012/06/11,31.39,True
2012/06/12,32.11,True
2012/06/13,31.76,True
2012/06/14,32.13,True
2012/06/15,32.405,True
2012/06/18,32.42,True
2012/06/19,32.43,True
2012/06/20,32.44,True
2012/06/21,32.02,True
2012/06/22,32.21,True
2012/06/25,31.665,True
2012/06/26,31.94,True
2012/06/27,31.85,True
2012/06/28,31.81,True
2012/06/29,32.44,True
2012/07/02,32.51,True
2012/07/03,32.74,True
2012/07/05,32.82,True
2012/07/06,32.41,True
2012/07/09,31.8,True
2012/07/10,31.58,True
2012/07/11,31.43,True
2012/07/12,31.09,True
2012/07/13,31.23,True
2012/07/16,31.04,True
2012/07/17,34.05,True
2012/07/18,34.23,True
2012/07/19,34.58,True
2012/07/20,34.39,True
2012/07/23,34.34,True
2012/07/24,34.47,True
2012/07/25,34.5,True
2012/07/26,34.64,True
2012/07/27,35.28,True
2012/07/30,35.46,True
2012/07/31,35.17,True
2012/08/01,34.76,True
2012/08/02,34.56,True
2012/08/03,35.22,True
2012/08/06,35.28,True
2012/08/07,35.38,True
2012/08/08,35.59,True
2012/08/09,35.44,True
2012/08/10,35.65,True
2012/08/13,35.59,True
2012/08/14,35.66,True
2012/08/15,35.52,True
2012/08/16,35.67,True
2012/08/17,35.76,True
2012/08/20,35.73,True
2012/08/21,35.54,True
2012/08/22,35.48,True
2012/08/23,35.37,True
2012/08/24,35.65,True
2012/08/27,35.19,True
2012/08/28,35.01,True
2012/08/29,35.36,True
2012/08/30,35.21,True
2012/08/31,35.14,True
2012/09/04,34.97,True
2012/09/05,34.76,True
2012/09/06,35.6403,True
2012/09/07,35.5,True
2012/09/10,35.55,True
2012/09/11,35.54,True
2012/09/12,35.54,True
2012/09/13,35.66,True
2012/09/14,36.17,True
