date,PRC,is_prediction
2012/01/03,98.84,True
2012/01/04,99.39,True
2012/01/05,99.83,True
2012/01/06,100.6,True
2012/01/09,99.64,True
2012/01/10,99.7,True
2012/01/11,99.93,True
2012/01/12,100.57,True
2012/01/13,100.35,True
2012/01/17,100.55,True
2012/01/18,101.56,True
2012/01/19,101.26,True
2012/01/20,101.74,True
2012/01/23,100.95,True
2012/01/24,98.75,True
2012/01/25,99.23,True
2012/01/26,99.18,True
2012/01/27,98.69,True
2012/01/30,98.69,True
2012/01/31,99.05,True
2012/02/01,98.4,True
2012/02/02,98.62,True
2012/02/03,100.01,True
2012/02/06,99.49,True
2012/02/07,100.91,True
2012/02/08,100.05,True
2012/02/09,99.99,True
2012/02/10,99.47,True
2012/02/13,99.65,True
2012/02/14,99.55,True
2012/02/15,98.61,True
2012/02/16,99.26,True
2012/02/17,99.99,True
2012/02/21,100.49,True
2012/02/22,100.66,True
2012/02/23,100.81,True
2012/02/24,100.32,True
2012/02/27,100.36,True
2012/02/28,99.78,True
2012/02/29,99.28,True
2012/03/01,99.25,True
2012/03/02,99.5,True
2012/03/05,99.94,True
2012/03/06,99.89,True
2012/03/07,100.18,True
2012/03/08,96.96,True
2012/03/09,96.84,True
2012/03/12,96.66,True
2012/03/13,96.78,True
2012/03/14,97.29,True
2012/03/15,98.04,True
2012/03/16,97.66,True
2012/03/19,97.73,True
2012/03/20,97.65,True
2012/03/21,96.72,True
2012/03/22,95.8,True
2012/03/23,95.55,True
2012/03/26,96.97,True
2012/03/27,97.34,True
2012/03/28,97.08,True
2012/03/29,97.64,True
2012/03/30,98.1,True
2012/04/02,98.36,True
2012/04/03,99.4,True
2012/04/04,97.48,True
2012/04/05,98.62,True
2012/04/09,98.88,True
2012/04/10,97.67,True
2012/04/11,98.56,True
2012/04/12,97.645,True
2012/04/13,96.97,True
2012/04/16,96.58,True
2012/04/17,97.11,True
2012/04/18,97.34,True
2012/04/19,95.28,True
2012/04/20,95.94,True
2012/04/23,95.19,True
2012/04/24,94.59,True
2012/04/25,95.22,True
2012/04/26,95.83,True
2012/04/27,97.38,True
2012/04/30,97.45,True
2012/05/01,97.2,True
2012/05/02,97.51,True
2012/05/03,97.04,True
2012/05/04,95.87,True
2012/05/07,95.51,True
2012/05/08,93.55,True
2012/05/09,91.93,True
2012/05/10,91.87,True
2012/05/11,91.9,True
2012/05/14,90.88,True
2012/05/15,91.01,True
2012/05/16,91.43,True
2012/05/17,89.62,True
2012/05/18,89.85,True
2012/05/21,91.27,True
2012/05/22,91.34,True
2012/05/23,91.48,True
2012/05/24,91.53,True
2012/05/25,91.05,True
2012/05/29,90.9,True
2012/05/30,90.11,True
2012/05/31,89.34,True
2012/06/01,86.71,True
2012/06/04,86.32,True
2012/06/05,87.08,True
2012/06/06,88.66,True
2012/06/07,88.38,True
2012/06/08,87.75,True
2012/06/11,86.59,True
2012/06/12,87.51,True
2012/06/13,87.97,True
2012/06/14,89.72,True
2012/06/15,90.5,True
2012/06/18,90.24,True
2012/06/19,89.6,True
2012/06/20,88.65,True
2012/06/21,87.64,True
2012/06/22,88.35,True
2012/06/25,88.12,True
2012/06/26,89.1,True
2012/06/27,88.33,True
2012/06/28,88.18,True
2012/06/29,88.53,True
2012/07/02,88.08,True
2012/07/03,88.58,True
2012/07/05,89.3,True
2012/07/06,89.66,True
2012/07/09,89.8,True
2012/07/10,90.25,True
2012/07/11,89.53,True
2012/07/12,91.93,True
2012/07/13,92.29,True
2012/07/16,91.65,True
2012/07/17,91.89,True
2012/07/18,92.22,True
2012/07/19,92.76,True
2012/07/20,91.58,True
2012/07/23,88.94,True
2012/07/24,88.06,True
2012/07/25,88.04,True
2012/07/26,89.0,True
2012/07/27,89.19,True
2012/07/30,89.33,True
2012/07/31,89.36,True
2012/08/01,89.43,True
2012/08/02,89.59,True
2012/08/03,89.59,True
2012/08/06,89.69,True
2012/08/07,89.01,True
2012/08/08,87.53,True
2012/08/09,87.15,True
2012/08/10,88.2,True
2012/08/13,87.9,True
2012/08/14,88.12,True
2012/08/15,87.81,True
2012/08/16,87.46,True
2012/08/17,87.36,True
2012/08/20,88.17,True
2012/08/21,88.52,True
2012/08/22,88.55,True
2012/08/23,88.25,True
2012/08/24,88.92,True
2012/08/27,89.54,True
2012/08/28,89.14,True
2012/08/29,89.65,True
2012/08/30,88.7,True
2012/08/31,89.49,True
2012/09/04,89.05,True
2012/09/05,89.06,True
2012/09/06,90.67,True
2012/09/07,91.02,True
2012/09/10,91.3,True
2012/09/11,91.2,True
2012/09/12,90.82,True
2012/09/13,91.57,True
2012/09/14,91.7,True
2012/09/17,92.14,True
2012/09/18,93.08,True
2012/09/19,92.83,True
2012/09/20,93.15,True
2012/09/21,93.71,True
2012/09/24,93.71,True
2012/09/25,92.86,True
2012/09/26,93.2,True
2012/09/27,93.27,True
2012/09/28,91.75,True
2012/10/01,91.99,True
2012/10/02,90.93,True
2012/10/03,90.35,True
2012/10/04,91.03,True
2012/10/05,91.0,True
2012/10/08,91.54,True
2012/10/09,92.11,True
2012/10/10,92.4,True
2012/10/11,92.36,True
2012/10/12,92.51,True
2012/10/15,93.5,True
2012/10/16,94.09,True
2012/10/17,93.6804,True
2012/10/18,92.86,True
2012/10/19,88.72,True
2012/10/22,88.45,True
2012/10/23,87.96,True
2012/10/24,87.28,True
2012/10/25,87.33,True
2012/10/26,86.71,True
2012/10/31,86.8,True
2012/11/01,86.8,True
2012/11/02,86.86,True
2012/11/05,87.46,True
2012/11/06,87.97,True
2012/11/07,86.86,True
2012/11/08,85.13,True
2012/11/09,84.74,True
2012/11/12,84.88,True
2012/11/13,84.64,True
2012/11/14,84.62,True
2012/11/15,84.05,True
2012/11/16,84.1198,True
2012/11/19,85.04,True
2012/11/20,85.68,True
2012/11/21,86.01,True
2012/11/23,87.05,True
2012/11/26,86.24,True
2012/11/27,85.92,True
2012/11/28,86.52,True
2012/11/29,86.49,True
2012/11/30,87.04,True
2012/12/03,87.06,True
2012/12/04,87.2,True
2012/12/05,86.97,True
2012/12/06,88.09,True
2012/12/07,88.48,True
2012/12/10,89.41,True
2012/12/11,89.62,True
2012/12/12,89.3077,True
2012/12/13,89.17,True
2012/12/14,88.88,True
2012/12/17,89.91,True
2012/12/18,90.52,True
2012/12/19,89.71,True
2012/12/20,90.04,True
2012/12/21,90.18,True
2012/12/24,89.29,True
2012/12/26,88.74,True
2012/12/27,88.72,True
2012/12/28,87.58,True
2012/12/31,88.21,True
2013/01/01,88.27743792252886,False
2013/01/02,88.18332499007418,False
2013/01/03,88.35146626978702,False
2013/01/04,88.19938521610763,False
2013/01/07,88.13213790912914,False
2013/01/08,88.16585950800419,False
2013/01/09,88.06427381748698,False
