date,PRC,is_prediction
2012/01/03,38.69,True
2012/01/04,38.31,True
2012/01/05,38.49,True
2012/01/06,39.03,True
2012/01/09,39.3,True
2012/01/10,39.1,True
2012/01/11,39.19,True
2012/01/12,38.85,True
2012/01/13,38.65,True
2012/01/17,39.03,True
2012/01/18,39.12,True
2012/01/19,39.14,True
2012/01/20,39.94,True
2012/01/23,39.54,True
2012/01/24,39.33,True
2012/01/25,39.96,True
2012/01/26,39.43,True
2012/01/27,39.28,True
2012/01/30,38.85,True
2012/01/31,38.57,True
2012/02/01,39.62,True
2012/02/02,39.8,True
2012/02/03,40.2,True
2012/02/06,40.56,True
2012/02/07,40.65,True
2012/02/08,40.49,True
2012/02/09,39.93,True
2012/02/10,39.73,True
2012/02/13,40.48,True
2012/02/14,39.53,True
2012/02/15,39.29,True
2012/02/16,39.58,True
2012/02/17,39.94,True
2012/02/21,38.99,True
2012/02/22,38.21,True
2012/02/23,37.88,True
2012/02/24,38.12,True
2012/02/27,38.35,True
2012/02/28,38.6,True
2012/02/29,38.12,True
2012/03/01,38.0,True
2012/03/02,37.91,True
2012/03/05,37.76,True
2012/03/06,37.51,True
2012/03/07,37.52,True
2012/03/08,38.13,True
2012/03/09,37.67,True
2012/03/12,37.6,True
2012/03/13,38.66,True
2012/03/14,38.62,True
2012/03/15,39.37,True
2012/03/16,39.68,True
2012/03/19,39.48,True
2012/03/20,39.52,True
2012/03/21,38.94,True
2012/03/22,38.86,True
2012/03/23,38.7,True
2012/03/26,40.0,True
2012/03/27,39.57,True
2012/03/28,39.44,True
2012/03/29,39.21,True
2012/03/30,39.19,True
2012/04/02,39.54,True
2012/04/03,39.1,True
2012/04/04,38.26,True
2012/04/05,38.2,True
2012/04/09,37.75,True
2012/04/10,37.37,True
2012/04/11,37.72,True
2012/04/12,38.24,True
2012/04/13,37.51,True
2012/04/16,37.55,True
2012/04/17,38.02,True
2012/04/18,38.02,True
2012/04/19,37.92,True
2012/04/20,37.61,True
2012/04/23,37.17,True
2012/04/24,37.12,True
2012/04/25,37.2,True
2012/04/26,37.1,True
2012/04/27,37.69,True
2012/04/30,38.2,True
2012/05/01,38.48,True
2012/05/02,38.38,True
2012/05/03,38.54,True
2012/05/04,38.15,True
2012/05/07,38.08,True
2012/05/08,38.22,True
2012/05/09,38.03,True
2012/05/10,38.42,True
2012/05/11,38.03,True
2012/05/14,38.09,True
2012/05/15,38.15,True
2012/05/16,38.22,True
2012/05/17,37.07,True
2012/05/18,36.96,True
2012/05/21,37.7,True
2012/05/22,36.96,True
2012/05/23,36.79,True
2012/05/24,37.07,True
2012/05/25,36.88,True
2012/05/29,37.28,True
2012/05/30,36.65,True
2012/05/31,36.84,True
2012/06/01,36.11,True
2012/06/04,35.89,True
2012/06/05,36.18,True
2012/06/06,36.82,True
2012/06/07,37.05,True
2012/06/08,37.33,True
2012/06/11,37.03,True
2012/06/12,37.67,True
2012/06/13,37.15,True
2012/06/14,37.49,True
2012/06/15,37.77,True
2012/06/18,37.96,True
2012/06/19,38.41,True
2012/06/20,38.4,True
2012/06/21,37.8,True
2012/06/22,38.16,True
2012/06/25,37.28,True
2012/06/26,37.31,True
2012/06/27,37.91,True
2012/06/28,37.84,True
2012/06/29,38.73,True
2012/07/02,39.17,True
2012/07/03,39.05,True
2012/07/05,38.41,True
2012/07/06,37.96,True
2012/07/09,38.26,True
2012/07/10,38.0,True
2012/07/11,38.02,True
2012/07/12,37.66,True
2012/07/13,37.56,True
2012/07/16,37.85,True
2012/07/17,38.86,True
2012/07/18,38.98,True
2012/07/19,38.96,True
2012/07/20,38.22,True
2012/07/23,37.71,True
2012/07/24,37.35,True
2012/07/25,37.52,True
2012/07/26,37.56,True
2012/07/27,39.03,True
2012/07/30,38.81,True
2012/07/31,39.42,True
2012/08/01,39.27,True
2012/08/02,38.9,True
2012/08/03,39.81,True
2012/08/06,39.74,True
2012/08/07,40.24,True
2012/08/08,40.4,True
2012/08/09,40.0,True
2012/08/10,40.26,True
2012/08/13,40.26,True
2012/08/14,40.17,True
2012/08/15,40.33,True
2012/08/16,40.47,True
2012/08/17,40.84,True
2012/08/20,41.45,True
2012/08/21,41.14,True
