date,PRC,is_prediction
2012/01/03,32.04,True
2012/01/04,32.21,True
2012/01/05,32.99,True
2012/01/06,32.9,True
2012/01/09,33.26,True
2012/01/10,34.55,True
2012/01/11,35.79,True
2012/01/12,35.93,True
2012/01/13,35.24,True
2012/01/17,34.65,True
2012/01/18,35.61,True
2012/01/19,35.82,True
2012/01/20,36.35,True
2012/01/23,36.76,True
2012/01/24,36.91,True
2012/01/25,35.95,True
2012/01/26,34.5,True
2012/01/27,35.52,True
2012/01/30,35.71,True
2012/01/31,35.33,True
2012/02/01,36.12,True
2012/02/02,36.38,True
2012/02/03,37.63,True
2012/02/06,37.68,True
2012/02/07,37.7,True
2012/02/08,37.69,True
2012/02/09,37.25,True
2012/02/10,36.89,True
2012/02/13,37.68,True
2012/02/14,37.32,True
2012/02/15,37.89,True
2012/02/16,38.67,True
2012/02/17,38.86,True
2012/02/21,38.73,True
2012/02/22,37.9,True
2012/02/23,38.21,True
2012/02/24,37.76,True
2012/02/27,38.07,True
2012/02/28,38.29,True
2012/02/29,38.55,True
2012/03/01,38.97,True
2012/03/02,38.46,True
2012/03/05,38.67,True
2012/03/06,37.41,True
2012/03/07,37.89,True
2012/03/08,38.09,True
2012/03/09,38.42,True
2012/03/12,37.68,True
2012/03/13,39.46,True
2012/03/14,37.16,True
2012/03/15,38.41,True
2012/03/16,38.38,True
2012/03/19,38.79,True
2012/03/20,38.75,True
2012/03/21,38.63,True
2012/03/22,37.14,True
2012/03/23,37.64,True
2012/03/26,38.31,True
2012/03/27,37.76,True
2012/03/28,37.67,True
2012/03/29,37.14,True
2012/03/30,37.35,True
2012/04/02,38.0,True
2012/04/03,37.68,True
2012/04/04,36.82,True
2012/04/05,36.46,True
2012/04/09,35.74,True
2012/04/10,34.86,True
2012/04/11,35.33,True
2012/04/12,36.34,True
2012/04/13,35.64,True
2012/04/16,35.49,True
2012/04/17,36.29,True
2012/04/18,35.8,True
2012/04/19,35.38,True
2012/04/20,34.96,True
2012/04/23,35.39,True
2012/04/24,35.58,True
2012/04/25,35.97,True
2012/04/26,36.47,True
2012/04/27,36.31,True
2012/04/30,36.03,True
2012/05/01,36.08,True
2012/05/02,35.82,True
2012/05/03,35.16,True
2012/05/04,34.24,True
2012/05/07,34.55,True
2012/05/08,34.44,True
2012/05/09,33.92,True
2012/05/10,34.61,True
2012/05/11,34.69,True
2012/05/14,34.08,True
2012/05/15,33.21,True
2012/05/16,31.63,True
2012/05/17,30.85,True
2012/05/18,30.21,True
2012/05/21,30.91,True
2012/05/22,31.07,True
2012/05/23,30.96,True
2012/05/24,30.65,True
2012/05/25,30.33,True
2012/05/29,30.67,True
2012/05/30,29.61,True
2012/05/31,29.21,True
2012/06/01,27.83,True
2012/06/04,27.82,True
2012/06/05,28.39,True
2012/06/06,29.52,True
2012/06/07,29.52,True
2012/06/08,29.75,True
2012/06/11,29.49,True
2012/06/12,29.52,True
2012/06/13,29.32,True
2012/06/14,29.17,True
2012/06/15,29.96,True
2012/06/18,29.42,True
2012/06/19,30.88,True
2012/06/20,30.83,True
2012/06/21,29.71,True
2012/06/22,30.03,True
2012/06/25,29.15,True
2012/06/26,29.44,True
2012/06/27,29.75,True
2012/06/28,29.49,True
2012/06/29,30.85,True
2012/07/02,30.66,True
2012/07/03,31.21,True
2012/07/05,30.67,True
2012/07/06,30.51,True
2012/07/09,30.23,True
2012/07/10,30.09,True
2012/07/11,30.6,True
2012/07/12,29.89,True
2012/07/13,30.89,True
2012/07/16,30.39,True
2012/07/17,30.84,True
2012/07/18,30.96,True
2012/07/19,30.78,True
2012/07/20,29.53,True
2012/07/23,29.15,True
2012/07/24,28.68,True
2012/07/25,28.64,True
2012/07/26,29.34,True
2012/07/27,30.44,True
2012/07/30,30.65,True
2012/07/31,30.77,True
2012/08/01,30.43,True
2012/08/02,31.7,True
2012/08/03,33.19,True
2012/08/06,33.45,True
2012/08/07,34.31,True
2012/08/08,34.4,True
2012/08/09,34.65,True
2012/08/10,34.97,True
2012/08/13,34.97,True
2012/08/14,34.98,True
2012/08/15,34.79,True
2012/08/16,34.58,True
2012/08/17,34.79,True
2012/08/20,34.99,True
2012/08/21,35.33,True
2012/08/22,34.85,True
2012/08/23,34.45,True
2012/08/24,34.65,True
2012/08/27,34.4,True
2012/08/28,34.27,True
2012/08/29,34.18,True
2012/08/30,33.99,True
2012/08/31,34.13,True
2012/09/04,34.0,True
2012/09/05,34.01,True
2012/09/06,34.96,True
2012/09/07,35.28,True
2012/09/10,34.98,True
2012/09/11,35.36,True
2012/09/12,34.63,True
2012/09/13,35.46,True
2012/09/14,36.25,True
2012/09/17,35.91,True
2012/09/18,35.16,True
2012/09/19,34.96,True
2012/09/20,34.7,True
2012/09/21,34.87,True
2012/09/24,35.42,True
2012/09/25,34.71,True
2012/09/26,33.99,True
2012/09/27,34.49,True
2012/09/28,34.46,True
2012/10/01,34.33,True
