date,PRC,is_prediction
2012/01/03,60.16,True
2012/01/04,59.48,True
2012/01/05,59.97,True
2012/01/06,59.5,True
2012/01/09,59.39,True
2012/01/10,60.31,True
2012/01/11,63.14,True
2012/01/12,62.97,True
2012/01/13,62.52,True
2012/01/17,64.29,True
2012/01/18,65.31,True
2012/01/19,65.18,True
2012/01/20,63.3,True
2012/01/23,63.0,True
2012/01/24,63.11,True
2012/01/25,63.74,True
2012/01/26,63.36,True
2012/01/27,63.45,True
2012/01/30,62.11,True
2012/01/31,61.16,True
2012/02/01,63.35,True
2012/02/02,63.4,True
2012/02/03,66.59,True
2012/02/06,65.75,True
2012/02/07,66.19,True
2012/02/08,66.02,True
2012/02/09,66.25,True
2012/02/10,65.45,True
2012/02/13,66.94,True
2012/02/14,66.74,True
2012/02/15,66.46,True
2012/02/16,65.51,True
2012/02/17,66.79,True
2012/02/21,66.14,True
2012/02/22,65.1,True
2012/02/23,64.01,True
2012/02/24,62.41,True
2012/02/27,63.54,True
2012/02/28,62.42,True
2012/02/29,63.51,True
2012/03/01,62.83,True
2012/03/02,62.28,True
2012/03/05,62.55,True
2012/03/06,59.83,True
2012/03/07,60.87,True
2012/03/08,62.56,True
2012/03/09,63.19,True
2012/03/12,64.08,True
2012/03/13,66.57,True
2012/03/14,65.9,True
2012/03/15,67.22,True
2012/03/16,65.77,True
2012/03/19,66.44,True
2012/03/20,66.13,True
2012/03/21,65.65,True
2012/03/22,65.76,True
2012/03/23,65.06,True
2012/03/26,66.22,True
2012/03/27,67.12,True
2012/03/28,66.85,True
2012/03/29,66.31,True
2012/03/30,66.51,True
2012/04/02,66.39,True
2012/04/03,67.12,True
2012/04/04,66.6,True
2012/04/05,66.61,True
2012/04/09,63.33,True
2012/04/10,60.5,True
2012/04/11,62.17,True
2012/04/12,63.12,True
2012/04/13,62.66,True
2012/04/16,62.85,True
2012/04/17,63.7,True
2012/04/18,63.23,True
2012/04/19,62.74,True
2012/04/20,63.38,True
2012/04/23,61.45,True
2012/04/24,62.47,True
2012/04/25,64.58,True
2012/04/26,67.04,True
2012/04/27,68.05,True
2012/04/30,67.02,True
2012/05/01,68.01,True
2012/05/02,69.88,True
2012/05/03,68.5,True
2012/05/04,73.52,True
2012/05/07,73.68,True
2012/05/08,72.56,True
2012/05/09,71.95,True
2012/05/10,73.71,True
2012/05/11,74.57,True
2012/05/14,72.42,True
2012/05/15,72.14,True
2012/05/16,70.84,True
