date,PRC,is_prediction
2012/01/03,50.32,True
2012/01/04,50.32,True
2012/01/05,50.38,True
2012/01/06,50.38,True
2012/01/09,50.65,True
2012/01/10,51.19,True
2012/01/11,51.11,True
2012/01/12,51.24,True
2012/01/13,51.21,True
2012/01/17,51.4,True
2012/01/18,51.93,True
2012/01/19,52.07,True
2012/01/20,51.51,True
2012/01/23,51.31,True
2012/01/24,51.08,True
2012/01/25,51.86,True
2012/01/26,51.07,True
2012/01/27,50.41,True
2012/01/30,50.62,True
2012/01/31,50.54,True
2012/02/01,51.08,True
2012/02/02,51.35,True
2012/02/03,51.24,True
2012/02/06,51.15,True
2012/02/07,50.49,True
2012/02/08,50.6,True
2012/02/09,50.62,True
2012/02/10,50.45,True
2012/02/13,50.37,True
2012/02/14,50.32,True
2012/02/15,50.21,True
2012/02/16,50.47,True
2012/02/17,50.78,True
2012/02/21,50.22,True
2012/02/22,50.01,True
2012/02/23,50.13,True
2012/02/24,50.28,True
2012/02/27,50.54,True
2012/02/28,50.34,True
2012/02/29,50.45,True
2012/03/01,50.43,True
2012/03/02,50.8,True
2012/03/05,50.82,True
2012/03/06,50.43,True
2012/03/07,50.69,True
2012/03/08,50.78,True
2012/03/09,50.98,True
2012/03/12,51.36,True
2012/03/13,51.78,True
2012/03/14,51.4,True
2012/03/15,51.68,True
2012/03/16,51.73,True
2012/03/19,51.95,True
2012/03/20,51.73,True
2012/03/21,51.93,True
2012/03/22,52.07,True
2012/03/23,52.15,True
2012/03/26,53.02,True
2012/03/27,54.22,True
2012/03/28,54.24,True
2012/03/29,54.1,True
2012/03/30,54.43,True
2012/04/02,55.06,True
2012/04/03,54.89,True
2012/04/04,54.35,True
2012/04/05,54.4,True
2012/04/09,53.87,True
2012/04/10,53.39,True
2012/04/11,53.81,True
2012/04/12,54.01,True
2012/04/13,53.7,True
2012/04/16,54.05,True
2012/04/17,54.63,True
2012/04/18,54.66,True
2012/04/19,54.94,True
2012/04/20,55.41,True
2012/04/23,54.62,True
2012/04/24,54.88,True
2012/04/25,55.11,True
2012/04/26,55.58,True
2012/04/27,55.98,True
2012/04/30,55.91,True
2012/05/01,55.9,True
2012/05/02,55.8,True
2012/05/03,55.72,True
2012/05/04,55.79,True
2012/05/07,56.26,True
2012/05/08,56.47,True
2012/05/09,56.31,True
2012/05/10,56.88,True
2012/05/11,56.6,True
2012/05/14,56.7,True
2012/05/15,56.87,True
2012/05/16,57.4,True
2012/05/17,56.71,True
2012/05/18,56.43,True
2012/05/21,56.78,True
2012/05/22,56.82,True
2012/05/23,56.63,True
2012/05/24,56.82,True
2012/05/25,56.87,True
2012/05/29,57.34,True
2012/05/30,56.57,True
2012/05/31,56.36,True
2012/06/01,55.2,True
2012/06/04,55.32,True
2012/06/05,55.18,True
2012/06/06,55.8,True
2012/06/07,55.52,True
2012/06/08,55.8,True
2012/06/11,55.85,True
2012/06/12,56.23,True
2012/06/13,56.27,True
2012/06/14,56.64,True
2012/06/15,57.76,True
2012/06/18,58.35,True
2012/06/19,58.88,True
2012/06/20,58.71,True
2012/06/21,57.74,True
2012/06/22,57.87,True
2012/06/25,57.32,True
2012/06/26,57.42,True
2012/06/27,59.09,True
2012/06/28,59.06,True
2012/06/29,60.65,True
2012/07/02,60.95,True
2012/07/03,61.69,True
