date,PRC,is_prediction
2012/01/03,75.74,True
2012/01/04,75.71,True
2012/01/05,75.89,True
2012/01/06,74.19,True
2012/01/09,74.86,True
2012/01/10,74.77,True
2012/01/11,75.64,True
2012/01/12,77.82,True
2012/01/13,78.97,True
2012/01/17,78.16,True
2012/01/18,79.79,True
2012/01/19,80.65,True
2012/01/20,80.9,True
2012/01/23,80.02,True
2012/01/24,80.18,True
2012/01/25,81.67,True
2012/01/26,81.41,True
2012/01/27,81.62,True
2012/01/30,82.42,True
2012/01/31,82.51,True
2012/02/01,82.86,True
2012/02/02,83.25,True
2012/02/03,84.29,True
2012/02/06,85.58,True
2012/02/07,86.24,True
2012/02/08,86.42,True
2012/02/09,88.29,True
2012/02/10,87.2,True
2012/02/13,87.98,True
2012/02/14,88.36,True
2012/02/15,88.97,True
2012/02/16,89.5,True
2012/02/17,89.37,True
2012/02/21,87.94,True
2012/02/22,86.76,True
2012/02/23,87.87,True
2012/02/24,87.73,True
2012/02/27,87.76,True
2012/02/28,86.86,True
2012/02/29,85.87,True
2012/03/01,85.8,True
2012/03/02,85.15,True
2012/03/05,86.02,True
2012/03/06,83.8,True
2012/03/07,84.48,True
2012/03/08,86.39,True
2012/03/09,87.29,True
2012/03/12,86.84,True
2012/03/13,89.24,True
2012/03/14,88.36,True
2012/03/15,89.52,True
2012/03/16,88.7,True
2012/03/19,88.99,True
2012/03/20,88.23,True
2012/03/21,88.58,True
2012/03/22,87.18,True
2012/03/23,87.59,True
2012/03/26,88.06,True
2012/03/27,87.57,True
2012/03/28,86.3,True
2012/03/29,85.66,True
2012/03/30,85.63,True
2012/04/02,85.72,True
2012/04/03,85.39,True
2012/04/04,84.98,True
2012/04/05,85.09,True
2012/04/09,83.83,True
2012/04/10,82.12,True
2012/04/11,82.79,True
2012/04/12,83.82,True
2012/04/13,82.68,True
2012/04/16,83.08,True
2012/04/17,84.33,True
2012/04/18,82.6,True
2012/04/19,81.89,True
2012/04/20,82.07,True
2012/04/23,81.56,True
2012/04/24,81.58,True
2012/04/25,82.92,True
2012/04/26,82.75,True
2012/04/27,83.4,True
2012/04/30,82.88,True
2012/05/01,81.82,True
2012/05/02,82.13,True
2012/05/03,81.08,True
2012/05/04,79.43,True
2012/05/07,79.8,True
2012/05/08,78.91,True
2012/05/09,77.62,True
2012/05/10,76.99,True
2012/05/11,76.72,True
2012/05/14,75.89,True
2012/05/15,74.72,True
2012/05/16,68.6,True
2012/05/17,66.55,True
2012/05/18,68.39,True
2012/05/21,69.09,True
2012/05/22,68.24,True
2012/05/23,68.82,True
2012/05/24,69.12,True
2012/05/25,68.44,True
2012/05/29,69.62,True
