date,PRC,is_prediction
2012/01/03,31.82,True
2012/01/04,31.46,True
2012/01/05,31.15,True
2012/01/06,30.72,True
2012/01/09,30.79,True
2012/01/10,31.03,True
2012/01/11,31.19,True
2012/01/12,31.37,True
2012/01/13,31.37,True
2012/01/17,31.33,True
2012/01/18,31.49,True
2012/01/19,31.49,True
2012/01/20,31.63,True
2012/01/23,31.4,True
2012/01/24,31.15,True
2012/01/25,31.51,True
2012/01/26,31.77,True
2012/01/27,31.77,True
2012/01/30,31.6,True
2012/01/31,31.59,True
2012/02/01,32.1,True
2012/02/02,31.92,True
2012/02/03,32.53,True
2012/02/06,32.24,True
2012/02/07,32.62,True
2012/02/08,32.43,True
2012/02/09,32.45,True
2012/02/10,32.04,True
2012/02/13,32.25,True
2012/02/14,31.89,True
2012/02/15,31.23,True
2012/02/16,31.5,True
2012/02/17,32.22,True
2012/02/21,32.28,True
2012/02/22,31.76,True
2012/02/23,32.0,True
2012/02/24,31.77,True
2012/02/27,31.55,True
2012/02/28,31.4,True
2012/02/29,31.2,True
2012/03/01,32.02,True
2012/03/02,31.7,True
2012/03/05,31.89,True
2012/03/06,31.47,True
2012/03/07,31.81,True
2012/03/08,32.25,True
2012/03/09,32.25,True
2012/03/12,32.11,True
2012/03/13,32.72,True
2012/03/14,32.96,True
2012/03/15,33.31,True
2012/03/16,32.96,True
2012/03/19,32.73,True
2012/03/20,32.64,True
2012/03/21,32.86,True
2012/03/22,32.36,True
2012/03/23,32.5,True
2012/03/26,33.04,True
2012/03/27,32.92,True
2012/03/28,33.14,True
2012/03/29,32.77,True
2012/03/30,32.79,True
2012/04/02,32.85,True
2012/04/03,32.66,True
2012/04/04,32.52,True
2012/04/05,32.31,True
2012/04/09,31.85,True
2012/04/10,31.41,True
2012/04/11,31.85,True
2012/04/12,32.02,True
2012/04/13,31.92,True
2012/04/16,32.2,True
2012/04/17,32.86,True
2012/04/18,32.59,True
2012/04/19,32.89,True
2012/04/20,32.38,True
2012/04/23,31.94,True
2012/04/24,32.53,True
2012/04/25,32.97,True
2012/04/26,33.26,True
2012/04/27,33.2,True
2012/04/30,33.45,True
2012/05/01,34.35,True
2012/05/02,34.12,True
2012/05/03,34.35,True
2012/05/04,34.09,True
2012/05/07,34.14,True
2012/05/08,33.99,True
2012/05/09,33.36,True
2012/05/10,33.31,True
2012/05/11,33.05,True
2012/05/14,32.51,True
2012/05/15,32.59,True
2012/05/16,32.34,True
2012/05/17,31.96,True
2012/05/18,31.63,True
2012/05/21,31.91,True
2012/05/22,32.14,True
2012/05/23,32.28,True
2012/05/24,32.47,True
2012/05/25,32.3,True
2012/05/29,32.46,True
2012/05/30,31.88,True
2012/05/31,31.98,True
2012/06/01,31.54,True
2012/06/04,31.55,True
2012/06/05,31.83,True
2012/06/06,32.48,True
2012/06/07,32.16,True
2012/06/08,31.98,True
2012/06/11,31.52,True
2012/06/12,32.12,True
2012/06/13,31.67,True
2012/06/14,31.86,True
2012/06/15,31.78,True
2012/06/18,31.2,True
2012/06/19,31.3,True
2012/06/20,31.39,True
2012/06/21,30.8,True
2012/06/22,31.22,True
2012/06/25,30.89,True
2012/06/26,30.965,True
2012/06/27,31.14,True
2012/06/28,31.52,True
2012/06/29,32.23,True
2012/07/02,32.47,True
2012/07/03,32.4,True
2012/07/05,32.68,True
2012/07/06,32.66,True
2012/07/09,32.42,True
2012/07/10,32.06,True
2012/07/11,32.05,True
2012/07/12,31.88,True
2012/07/13,32.35,True
2012/07/16,32.23,True
2012/07/17,32.48,True
2012/07/18,32.6,True
2012/07/19,32.8,True
2012/07/20,32.37,True
2012/07/23,32.11,True
2012/07/24,31.65,True
2012/07/25,31.82,True
2012/07/26,32.28,True
2012/07/27,33.36,True
2012/07/30,33.72,True
2012/07/31,33.21,True
2012/08/01,33.04,True
2012/08/02,32.94,True
2012/08/03,33.41,True
2012/08/06,33.39,True
2012/08/07,34.11,True
2012/08/08,33.97,True
2012/08/09,33.84,True
2012/08/10,34.02,True
2012/08/13,33.86,True
2012/08/14,33.9,True
2012/08/15,33.99,True
2012/08/16,34.16,True
2012/08/17,34.24,True
2012/08/20,34.14,True
2012/08/21,33.83,True
2012/08/22,33.82,True
2012/08/23,33.74,True
2012/08/24,34.05,True
2012/08/27,34.26,True
2012/08/28,34.03,True
2012/08/29,34.03,True
2012/08/30,33.82,True
2012/08/31,34.17,True
2012/09/04,34.11,True
2012/09/05,33.85,True
2012/09/06,34.35,True
2012/09/07,34.32,True
2012/09/10,34.06,True
2012/09/11,33.97,True
2012/09/12,34.04,True
2012/09/13,34.68,True
2012/09/14,34.9,True
2012/09/17,34.8,True
2012/09/18,34.91,True
2012/09/19,34.5,True
2012/09/20,34.37,True
2012/09/21,34.5,True
2012/09/24,34.34,True
2012/09/25,33.91,True
2012/09/26,33.87,True
2012/09/27,33.81,True
2012/09/28,33.93,True
2012/10/01,34.27,True
2012/10/02,34.44,True
2012/10/03,34.22,True
2012/10/04,34.55,True
2012/10/05,34.77,True
2012/10/08,34.73,True
2012/10/09,34.37,True
2012/10/10,34.3,True
2012/10/11,34.38,True
2012/10/12,34.34,True
2012/10/15,34.54,True
2012/10/16,34.85,True
2012/10/17,34.92,True
2012/10/18,34.98,True
2012/10/19,34.35,True
2012/10/22,34.11,True
2012/10/23,33.56,True
2012/10/24,33.19,True
2012/10/25,33.39,True
2012/10/26,33.74,True
2012/10/31,34.03,True
2012/11/01,34.62,True
2012/11/02,34.28,True
2012/11/05,34.25,True
2012/11/06,34.92,True
2012/11/07,34.5,True
2012/11/08,34.14,True
2012/11/09,34.16,True
2012/11/12,34.17,True
2012/11/13,34.1,True
2012/11/14,34.06,True
2012/11/15,34.28,True
2012/11/16,34.54,True
2012/11/19,35.08,True
2012/11/20,35.41,True
2012/11/21,35.46,True
2012/11/23,35.78,True
2012/11/26,35.53,True
2012/11/27,35.25,True
2012/11/28,35.12,True
2012/11/29,35.2,True
2012/11/30,35.22,True
2012/12/03,35.11,True
2012/12/04,34.91,True
2012/12/05,35.2,True
2012/12/06,35.11,True
2012/12/07,35.11,True
2012/12/10,34.88,True
2012/12/11,34.79,True
2012/12/12,34.74,True
2012/12/13,34.44,True
2012/12/14,34.21,True
2012/12/17,34.49,True
2012/12/18,34.6,True
2012/12/19,34.76,True
2012/12/20,35.26,True
2012/12/21,35.03,True
2012/12/24,34.82,True
2012/12/26,34.6,True
2012/12/27,34.54,True
2012/12/28,34.23,True
2012/12/31,34.47,True
2013/01/01,34.50442379513964,False
2013/01/02,34.61866457158682,False
2013/01/03,34.68287834996727,False
2013/01/04,34.73001841420691,False
2013/01/07,34.745128953043114,False
2013/01/08,34.75464324432083,False
2013/01/09,34.7238244806668,False
2013/01/10,34.71737162690708,False
2013/01/11,34.712401112669944,False
2013/01/14,34.721383113837966,False
2013/01/15,34.736148499149444,False
2013/01/16,34.755736174308545,False
2013/01/17,34.77563811565318,False
2013/01/18,34.7956254571678,False
2013/01/21,34.81066090028001,False
2013/01/22,34.823378487879786,False
2013/01/23,34.83376077649408,False
2013/01/24,34.84366565278709,False
2013/01/25,34.85374462819064,False
2013/01/28,34.86466709162988,False
2013/01/29,34.87646287885953,False
2013/01/30,34.88919343757015,False
2013/01/31,34.902290509520995,False
2013/02/01,34.91547584944708,False
2013/02/04,34.92843990560817,False
2013/02/05,34.94111539498229,False
2013/02/06,34.95350830970972,False
2013/02/07,34.96571743635385,False
2013/02/08,34.97784372146949,False
2013/02/11,34.99000168754025,False
2013/02/12,35.0022404340334,False
2013/02/13,35.01457642153409,False
2013/02/14,35.02698562131682,False
2013/02/15,35.03943462695253,False
2013/02/18,35.05188877068209,False
2013/02/19,35.064324945960024,False
2013/02/20,35.07673165377482,False
2013/02/21,35.089111411555244,False
2013/02/22,35.10147316557784,False
2013/02/25,35.11382856247463,False
2013/02/26,35.126186698530134,False
2013/02/27,35.138552846434806,False
2013/02/28,35.150928034755005,False
2013/03/01,35.163310401310184,False
2013/03/04,35.17569651785133,False
2013/03/05,35.18808310143711,False
2013/03/06,35.20046784811683,False
2013/03/07,35.212849837662475,False
2013/03/08,35.2252292780769,False
2013/03/11,35.23760706737637,False
