date,PRC,is_prediction
2012/01/09,95.92,True
2012/01/10,95.25,True
2012/01/11,92.4,True
2012/01/12,95.03,True
2012/01/13,96.99,True
2012/01/17,100.56,True
2012/01/18,99.91,True
2012/01/19,100.96,True
2012/01/20,104.52,True
2012/01/23,105.0,True
2012/01/24,106.34,True
2012/01/25,108.485,True
2012/01/26,106.47,True
2012/01/27,107.53,True
2012/01/30,105.51,True
2012/01/31,104.51,True
2012/02/01,104.79,True
2012/02/02,105.84,True
2012/02/03,105.705,True
2012/02/06,105.39,True
2012/02/07,106.09,True
2012/02/08,107.0,True
2012/02/09,108.31,True
2012/02/10,108.29,True
2012/02/13,109.27,True
2012/02/14,110.27,True
2012/02/15,106.51,True
2012/02/16,52.99,True
2012/02/17,53.2,True
2012/02/21,53.65,True
2012/02/22,55.06,True
2012/02/23,54.87,True
2012/02/24,56.38,True
2012/02/27,57.27,True
2012/02/28,56.99,True
2012/02/29,57.18,True
2012/03/01,57.45,True
2012/03/02,58.59,True
2012/03/05,57.67,True
2012/03/06,56.47,True
2012/03/07,56.72,True
2012/03/08,57.685,True
2012/03/09,59.57,True
2012/03/12,59.59,True
2012/03/13,60.57,True
2012/03/14,59.24,True
2012/03/15,59.71,True
2012/03/16,59.54,True
2012/03/19,59.7,True
2012/03/20,60.44,True
2012/03/21,60.4,True
2012/03/22,60.83,True
2012/03/23,60.525,True
2012/03/26,61.43,True
2012/03/27,61.885,True
2012/03/28,61.81,True
2012/03/29,62.57,True
2012/03/30,62.09,True
2012/04/02,63.31,True
2012/04/03,63.79,True
2012/04/04,62.46,True
2012/04/05,63.38,True
2012/04/09,62.9,True
2012/04/10,60.87,True
2012/04/11,63.12,True
2012/04/12,62.58,True
2012/04/13,64.26,True
2012/04/16,63.38,True
2012/04/17,63.78,True
2012/04/18,64.17,True
2012/04/19,63.16,True
2012/04/20,63.51,True
2012/04/23,63.11,True
2012/04/24,62.87,True
2012/04/25,63.53,True
2012/04/26,65.38,True
2012/04/27,65.53,True
2012/04/30,65.0,True
2012/05/01,66.78,True
2012/05/02,68.67,True
2012/05/03,67.07,True
2012/05/04,66.74,True
2012/05/07,67.56,True
2012/05/08,65.49,True
2012/05/09,65.31,True
2012/05/10,71.17,True
2012/05/11,71.55,True
2012/05/14,70.84,True
2012/05/15,71.59,True
2012/05/16,71.473,True
2012/05/17,69.73,True
2012/05/18,68.6,True
2012/05/21,69.53,True
2012/05/22,69.92,True
2012/05/23,70.01,True
2012/05/24,72.95,True
2012/05/25,71.58,True
2012/05/29,73.04,True
2012/05/30,73.64,True
2012/05/31,72.6,True
2012/06/01,70.54,True
2012/06/04,73.11,True
2012/06/05,72.83,True
2012/06/06,73.95,True
2012/06/07,74.5,True
2012/06/08,76.1,True
2012/06/11,74.79,True
2012/06/12,75.39,True
2012/06/13,74.77,True
2012/06/14,76.31,True
2012/06/15,78.64,True
2012/06/18,78.72,True
2012/06/19,76.15,True
2012/06/20,75.3,True
2012/06/21,74.74,True
2012/06/22,73.61,True
2012/06/25,73.865,True
2012/06/26,74.62,True
2012/06/27,71.09,True
2012/06/28,68.64,True
2012/06/29,71.2,True
2012/07/02,74.78,True
2012/07/03,74.88,True
2012/07/05,74.096,True
2012/07/06,73.43,True
2012/07/09,72.51,True
2012/07/10,72.66,True
2012/07/11,71.78,True
2012/07/12,71.83,True
2012/07/13,73.73,True
2012/07/16,72.51,True
2012/07/17,71.815,True
2012/07/18,71.9,True
2012/07/19,67.83,True
2012/07/20,64.97,True
2012/07/23,66.16,True
2012/07/24,65.44,True
2012/07/25,66.57,True
2012/07/26,67.72,True
2012/07/27,68.16,True
2012/07/30,68.2,True
2012/07/31,66.42,True
2012/08/01,64.865,True
2012/08/02,64.14,True
2012/08/03,66.78,True
2012/08/06,66.02,True
2012/08/07,68.86,True
2012/08/08,67.77,True
2012/08/09,61.2,True
2012/08/10,54.27,True
2012/08/13,53.27,True
2012/08/14,58.59,True
2012/08/15,58.78,True
2012/08/16,60.26,True
2012/08/17,60.84,True
2012/08/20,60.42,True
2012/08/21,60.68,True
2012/08/22,61.31,True
2012/08/23,59.65,True
2012/08/24,59.75,True
2012/08/27,60.03,True
2012/08/28,59.48,True
2012/08/29,59.28,True
2012/08/30,58.57,True
2012/08/31,58.94,True
2012/09/04,57.25,True
2012/09/05,55.56,True
2012/09/06,58.07,True
2012/09/07,58.22,True
2012/09/10,57.22,True
2012/09/11,56.36,True
2012/09/12,50.78,True
2012/09/13,53.41,True
2012/09/14,53.77,True
2012/09/17,53.22,True
2012/09/18,52.38,True
2012/09/19,53.75,True
2012/09/20,55.52,True
2012/09/21,54.7,True
2012/09/24,54.4,True
2012/09/25,53.99,True
2012/09/26,53.31,True
2012/09/27,53.44,True
2012/09/28,54.06,True
2012/10/01,55.03,True
2012/10/02,54.69,True
2012/10/03,54.38,True
2012/10/04,55.38,True
2012/10/05,57.03,True
2012/10/08,56.99,True
2012/10/09,56.74,True
2012/10/10,53.63,True
2012/10/11,54.44,True
2012/10/12,57.08,True
2012/10/15,58.31,True
2012/10/16,58.42,True
2012/10/17,57.18,True
2012/10/18,56.0309,True
2012/10/19,53.3188,True
2012/10/22,45.73,True
2012/10/23,41.08,True
2012/10/24,47.97,True
2012/10/25,47.09,True
2012/10/26,45.86,True
2012/10/31,44.65,True
2012/11/01,44.99,True
2012/11/02,44.03,True
2012/11/05,45.04,True
2012/11/06,45.09,True
2012/11/07,44.9733,True
2012/11/08,44.4,True
2012/11/09,45.26,True
2012/11/12,45.16,True
2012/11/13,46.39,True
2012/11/14,44.74,True
2012/11/15,44.81,True
2012/11/16,45.47,True
2012/11/19,45.23,True
2012/11/20,44.8943,True
2012/11/21,45.74,True
2012/11/23,45.94,True
2012/11/26,45.875,True
2012/11/27,51.965,True
2012/11/28,51.36,True
2012/11/29,51.69,True
2012/11/30,52.05,True
2012/12/03,51.88,True
2012/12/04,51.66,True
2012/12/05,51.63,True
2012/12/06,51.85,True
2012/12/07,52.7784,True
2012/12/10,52.84,True
2012/12/11,54.908,True
2012/12/12,56.8,True
2012/12/13,54.69,True
2012/12/14,53.38,True
2012/12/17,52.76,True
2012/12/18,53.51,True
2012/12/19,53.0596,True
2012/12/20,52.12,True
2012/12/21,52.09,True
2012/12/24,52.42,True
2012/12/26,52.02,True
2012/12/27,52.22,True
2012/12/28,51.88,True
2012/12/31,52.84,True
2013/01/01,52.70073727854848,False
2013/01/02,52.464839859243575,False
2013/01/03,52.209239944919986,False
2013/01/04,52.02252799286684,False
2013/01/07,51.784502067627905,False
2013/01/08,51.58356652432018,False
2013/01/09,51.41291533127143,False
2013/01/10,51.246270817062715,False
2013/01/11,51.072677392180296,False
2013/01/14,50.89850994948985,False
2013/01/15,50.72303496636235,False
2013/01/16,50.545189487311355,False
2013/01/17,50.36654409256545,False
2013/01/18,50.18843330742182,False
2013/01/21,50.01070059978961,False
2013/01/22,49.83310418329741,False
2013/01/23,49.65564580013248,False
2013/01/24,49.47825972615686,False
2013/01/25,49.30084107177222,False
2013/01/28,49.12337406175986,False
2013/01/29,48.94588602445993,False
2013/01/30,48.76838984994036,False
2013/01/31,48.59088955027602,False
2013/02/01,48.413391287391434,False
2013/02/04,48.235897487404976,False
2013/02/05,48.0584061840382,False
2013/02/06,47.88091555354973,False
2013/02/07,47.703425170514144,False
2013/02/08,47.52593444700584,False
2013/02/11,47.34844295237805,False
2013/02/12,47.17095095111802,False
2013/02/13,46.99345860095253,False
2013/02/14,46.8159665870391,False
2013/02/15,46.63847404147234,False
2013/02/18,46.46098203832298,False
2013/02/19,46.283490087413284,False
2013/02/20,46.105997808384416,False
2013/02/21,45.928505412105096,False
2013/02/22,45.751013398467244,False
2013/02/25,45.57352133247865,False
2013/02/26,45.39602861416615,False
2013/02/27,45.21853598369769,False
2013/02/28,45.04104334917627,False
2013/03/01,44.86355088330955,False
2013/03/04,44.68605754146057,False
2013/03/05,44.50856483208456,False
2013/03/06,44.331072196024685,False
2013/03/07,44.15357947608102,False
2013/03/08,43.97608690508299,False
2013/03/11,43.79859392630238,False
