date,PRC,is_prediction
2012/01/03,71.94,True
2012/01/04,72.67,True
2012/01/05,76.68,True
2012/01/06,77.51,True
2012/01/09,78.5,True
2012/01/10,79.2,True
2012/01/11,79.85,True
2012/01/12,80.27,True
2012/01/13,79.59,True
2012/01/17,80.64,True
2012/01/18,80.98,True
2012/01/19,80.35,True
2012/01/20,80.05,True
2012/01/23,79.89,True
2012/01/24,80.11,True
2012/01/25,81.32,True
2012/01/26,81.15,True
2012/01/27,80.53,True
2012/01/30,82.29,True
2012/01/31,82.05,True
2012/02/01,83.41,True
2012/02/02,82.13,True
2012/02/03,82.15,True
2012/02/06,79.65,True
2012/02/07,79.8,True
2012/02/08,79.14,True
2012/02/09,78.33,True
2012/02/10,77.34,True
2012/02/13,77.93,True
2012/02/14,76.94,True
2012/02/15,77.8,True
2012/02/16,79.01,True
2012/02/17,79.34,True
2012/02/21,79.38,True
2012/02/22,79.75,True
2012/02/23,77.78,True
2012/02/24,79.52,True
2012/02/27,78.84,True
2012/02/28,79.01,True
2012/02/29,77.38,True
2012/03/01,80.15,True
2012/03/02,80.73,True
2012/03/05,80.0,True
2012/03/06,77.62,True
2012/03/07,77.66,True
2012/03/08,79.75,True
2012/03/09,79.29,True
2012/03/12,78.84,True
2012/03/13,79.33,True
2012/03/14,78.49,True
2012/03/15,79.3,True
2012/03/16,78.81,True
2012/03/19,79.97,True
2012/03/20,79.09,True
2012/03/21,79.16,True
2012/03/22,78.37,True
2012/03/23,78.44,True
2012/03/26,80.05,True
2012/03/27,79.82,True
2012/03/28,79.15,True
2012/03/29,78.91,True
2012/03/30,79.76,True
2012/04/02,81.48,True
2012/04/03,81.8,True
2012/04/04,80.58,True
2012/04/05,79.02,True
2012/04/09,76.59,True
2012/04/10,74.42,True
2012/04/11,76.12,True
2012/04/12,78.34,True
2012/04/13,77.07,True
2012/04/16,76.87,True
2012/04/17,77.6,True
2012/04/18,76.76,True
2012/04/19,76.79,True
2012/04/20,77.16,True
2012/04/23,75.74,True
2012/04/24,75.57,True
2012/04/25,77.51,True
2012/04/26,76.93,True
2012/04/27,77.84,True
2012/04/30,76.18,True
2012/05/01,76.33,True
2012/05/02,75.63,True
2012/05/03,75.16,True
2012/05/04,73.6,True
2012/05/07,72.83,True
2012/05/08,74.0,True
2012/05/09,71.9,True
2012/05/10,71.71,True
2012/05/11,72.45,True
2012/05/14,71.5,True
2012/05/15,72.08,True
2012/05/16,71.42,True
2012/05/17,70.14,True
2012/05/18,69.89,True
2012/05/21,72.1,True
2012/05/22,71.3,True
2012/05/23,71.82,True
2012/05/24,73.94,True
2012/05/25,73.56,True
2012/05/29,74.75,True
2012/05/30,76.41,True
2012/05/31,77.2,True
2012/06/01,76.17,True
2012/06/04,76.06,True
2012/06/05,76.86,True
2012/06/06,79.2,True
2012/06/07,78.61,True
2012/06/08,79.4,True
2012/06/11,78.56,True
2012/06/12,79.7,True
2012/06/13,77.78,True
2012/06/14,78.69,True
2012/06/15,78.7,True
2012/06/18,79.67,True
2012/06/19,80.45,True
2012/06/20,79.69,True
2012/06/21,77.78,True
2012/06/22,78.45,True
2012/06/25,77.88,True
2012/06/26,77.87,True
2012/06/27,80.89,True
2012/06/28,80.25,True
2012/06/29,82.78,True
2012/07/02,83.48,True
2012/07/03,83.58,True
2012/07/05,83.04,True
2012/07/06,82.09,True
2012/07/09,82.74,True
2012/07/10,81.88,True
2012/07/11,82.77,True
2012/07/12,82.66,True
2012/07/13,83.86,True
2012/07/16,85.5,True
2012/07/17,86.5,True
2012/07/18,86.52,True
2012/07/19,86.78,True
2012/07/20,87.52,True
2012/07/23,85.4,True
2012/07/24,85.06,True
2012/07/25,84.8,True
2012/07/26,85.6,True
2012/07/27,86.88,True
2012/07/30,86.9,True
2012/07/31,85.62,True
2012/08/01,86.41,True
2012/08/02,87.38,True
2012/08/03,87.04,True
2012/08/06,88.46,True
2012/08/07,88.61,True
2012/08/08,88.0,True
2012/08/09,88.62,True
2012/08/10,86.74,True
2012/08/13,86.9,True
2012/08/14,86.2,True
2012/08/15,86.64,True
2012/08/16,88.32,True
2012/08/17,87.87,True
2012/08/20,87.47,True
2012/08/21,87.69,True
2012/08/22,88.06,True
2012/08/23,85.83,True
2012/08/24,85.34,True
2012/08/27,86.13,True
2012/08/28,86.97,True
2012/08/29,87.73,True
2012/08/30,87.17,True
2012/08/31,87.11,True
2012/09/04,86.62,True
2012/09/05,87.55,True
2012/09/06,89.44,True
2012/09/07,89.39,True
2012/09/10,89.42,True
2012/09/11,89.5,True
2012/09/12,87.99,True
2012/09/13,89.9,True
2012/09/14,88.97,True
2012/09/17,89.08,True
2012/09/18,89.06,True
2012/09/19,91.16,True
2012/09/20,91.06,True
2012/09/21,90.92,True
2012/09/24,91.04,True
2012/09/25,90.45,True
2012/09/26,89.49,True
2012/09/27,91.36,True
2012/09/28,91.02,True
2012/10/01,90.39,True
2012/10/02,90.94,True
2012/10/03,88.59,True
2012/10/04,90.64,True
2012/10/05,91.16,True
2012/10/08,91.65,True
2012/10/09,90.51,True
2012/10/10,89.3,True
2012/10/11,88.49,True
2012/10/12,88.57,True
2012/10/15,89.18,True
2012/10/16,90.48,True
2012/10/17,89.63,True
2012/10/18,89.98,True
2012/10/19,88.69,True
2012/10/22,88.87,True
2012/10/23,86.93,True
2012/10/24,86.49,True
2012/10/25,86.49,True
2012/10/26,86.6,True
2012/10/31,86.07,True
2012/11/01,86.85,True
2012/11/02,85.87,True
2012/11/05,88.05,True
2012/11/06,88.95,True
2012/11/07,87.35,True
2012/11/08,86.33,True
2012/11/09,86.43,True
2012/11/12,85.6,True
2012/11/13,85.19,True
2012/11/14,83.84,True
2012/11/15,84.66,True
2012/11/16,85.23,True
2012/11/19,88.33,True
2012/11/20,89.23,True
2012/11/21,89.39,True
2012/11/23,90.58,True
2012/11/26,91.19,True
2012/11/27,90.81,True
2012/11/28,91.31,True
2012/11/29,92.08,True
2012/11/30,91.59,True
2012/12/03,89.43,True
2012/12/04,89.2,True
2012/12/05,89.6,True
2012/12/06,89.97,True
2012/12/07,90.69,True
2012/12/10,90.55,True
2012/12/11,91.07,True
2012/12/12,89.75,True
2012/12/13,89.5,True
2012/12/14,89.13,True
2012/12/17,90.67,True
2012/12/18,92.1,True
2012/12/19,91.68,True
2012/12/20,92.54,True
2012/12/21,92.55,True
2012/12/24,92.8,True
2012/12/26,94.1,True
2012/12/27,93.99,True
2012/12/28,93.08,True
2012/12/31,94.65,True
2013/01/01,94.55473150886691,False
2013/01/02,94.67683891928118,False
2013/01/03,94.74709079984807,False
2013/01/04,94.75412959318624,False
2013/01/07,94.74185386292467,False
2013/01/08,94.95583013095596,False
2013/01/09,94.95110478758856,False
2013/01/10,95.06559891472148,False
2013/01/11,95.14714422183297,False
2013/01/14,95.23707131276127,False
2013/01/15,95.31876975583086,False
2013/01/16,95.41935835887082,False
2013/01/17,95.4923868727516,False
2013/01/18,95.58562948633347,False
2013/01/21,95.66846808642441,False
2013/01/22,95.75559028414801,False
2013/01/23,95.84051289744419,False
2013/01/24,95.92803370374598,False
2013/01/25,96.01238075555263,False
2013/01/28,96.09973152042289,False
2013/01/29,96.18507788525699,False
2013/01/30,96.27150257527177,False
2013/01/31,96.35733636493387,False
2013/02/01,96.44360015798297,False
2013/02/04,96.52942691670049,False
2013/02/05,96.61567037601885,False
2013/02/06,96.70158488199931,False
2013/02/07,96.78771349070075,False
2013/02/08,96.8737145115915,False
2013/02/11,96.95979957005912,False
2013/02/12,97.04581641938078,False
2013/02/13,97.1318941068935,False
2013/02/14,97.21792067401128,False
2013/02/15,97.3039842357703,False
2013/02/18,97.39002298760245,False
2013/02/19,97.47607772563988,False
2013/02/20,97.56212047079278,False
2013/02/21,97.64817261655222,False
2013/02/22,97.73421667211707,False
2013/02/25,97.82026668204243,False
2013/02/26,97.90631212550583,False
2013/02/27,97.992360390327,False
2013/02/28,98.07840636483321,False
2013/03/01,98.16445376420539,False
