date,PRC,is_prediction
2012/01/03,16.08,True
2012/01/04,15.94,True
2012/01/05,16.28,True
2012/01/06,15.9,True
2012/01/09,16.2,True
2012/01/10,16.89,True
2012/01/11,17.1,True
2012/01/12,17.17,True
2012/01/13,16.63,True
2012/01/17,16.25,True
2012/01/18,17.35,True
2012/01/19,18.28,True
2012/01/20,18.39,True
2012/01/23,18.21,True
2012/01/24,18.14,True
2012/01/25,18.13,True
2012/01/26,18.2,True
2012/01/27,18.56,True
2012/01/30,18.2,True
2012/01/31,18.65,True
2012/02/01,19.39,True
2012/02/02,19.52,True
2012/02/03,20.31,True
2012/02/06,20.51,True
2012/02/07,20.26,True
2012/02/08,20.44,True
2012/02/09,20.34,True
2012/02/10,19.66,True
2012/02/13,19.54,True
2012/02/14,19.05,True
2012/02/15,18.96,True
2012/02/16,19.19,True
2012/02/17,19.16,True
2012/02/21,19.26,True
2012/02/22,18.73,True
2012/02/23,18.97,True
2012/02/24,18.49,True
2012/02/27,18.75,True
2012/02/28,18.71,True
2012/02/29,18.54,True
2012/03/01,19.19,True
2012/03/02,18.87,True
2012/03/05,18.29,True
2012/03/06,17.32,True
2012/03/07,17.88,True
2012/03/08,18.18,True
2012/03/09,18.37,True
2012/03/12,18.2,True
2012/03/13,18.93,True
2012/03/14,18.6,True
2012/03/15,19.51,True
2012/03/16,19.53,True
2012/03/19,20.06,True
2012/03/20,20.41,True
2012/03/21,20.06,True
2012/03/22,19.59,True
2012/03/23,20.33,True
2012/03/26,21.17,True
2012/03/27,20.72,True
2012/03/28,20.24,True
2012/03/29,19.74,True
2012/03/30,19.64,True
2012/04/02,19.81,True
2012/04/03,19.37,True
2012/04/04,18.69,True
2012/04/05,18.39,True
2012/04/09,17.98,True
2012/04/10,17.31,True
2012/04/11,17.51,True
2012/04/12,18.22,True
2012/04/13,17.28,True
2012/04/16,17.5,True
2012/04/17,17.85,True
2012/04/18,17.66,True
2012/04/19,18.07,True
2012/04/20,17.48,True
2012/04/23,16.98,True
2012/04/24,17.4,True
2012/04/25,17.14,True
2012/04/26,17.21,True
2012/04/27,16.95,True
2012/04/30,17.28,True
2012/05/01,17.49,True
2012/05/02,16.95,True
2012/05/03,16.23,True
2012/05/04,16.0,True
2012/05/07,16.15,True
2012/05/08,15.84,True
2012/05/09,15.49,True
2012/05/10,15.6,True
2012/05/11,14.95,True
2012/05/14,14.3,True
2012/05/15,14.14,True
2012/05/16,13.54,True
2012/05/17,13.46,True
2012/05/18,13.35,True
2012/05/21,13.19,True
2012/05/22,13.31,True
2012/05/23,13.37,True
2012/05/24,13.31,True
2012/05/25,13.25,True
2012/05/29,13.64,True
2012/05/30,13.09,True
2012/05/31,13.36,True
2012/06/01,12.73,True
2012/06/04,12.36,True
2012/06/05,12.86,True
2012/06/06,13.94,True
2012/06/07,13.41,True
2012/06/08,13.71,True
2012/06/11,13.37,True
2012/06/12,13.93,True
2012/06/13,13.65,True
2012/06/14,13.93,True
2012/06/15,14.3,True
2012/06/18,13.82,True
2012/06/19,14.26,True
2012/06/20,14.2,True
2012/06/21,13.96,True
2012/06/22,14.14,True
2012/06/25,13.48,True
2012/06/26,13.51,True
2012/06/27,13.91,True
2012/06/28,13.87,True
2012/06/29,14.59,True
2012/07/02,14.94,True
2012/07/03,15.11,True
2012/07/05,14.51,True
2012/07/06,14.14,True
2012/07/09,13.93,True
2012/07/10,13.71,True
2012/07/11,13.81,True
2012/07/12,13.55,True
2012/07/13,14.05,True
2012/07/16,14.25,True
2012/07/17,14.34,True
2012/07/18,13.99,True
2012/07/19,13.25,True
2012/07/20,12.78,True
2012/07/23,12.64,True
2012/07/24,12.62,True
2012/07/25,12.96,True
2012/07/26,13.0,True
2012/07/27,13.49,True
2012/07/30,13.51,True
2012/07/31,13.66,True
