date,PRC,is_prediction
2012/01/03,26.765,True
2012/01/04,27.4,True
2012/01/05,27.68,True
2012/01/06,28.105,True
2012/01/09,27.74,True
2012/01/10,27.84,True
2012/01/11,27.72,True
2012/01/12,28.0,True
2012/01/13,28.25,True
2012/01/17,28.255,True
2012/01/18,28.23,True
2012/01/19,28.12,True
2012/01/20,29.71,True
2012/01/23,29.73,True
2012/01/24,29.34,True
2012/01/25,29.56,True
2012/01/26,29.5,True
2012/01/27,29.23,True
2012/01/30,29.61,True
2012/01/31,29.53,True
2012/02/01,29.89,True
2012/02/02,29.95,True
2012/02/03,30.24,True
2012/02/06,30.2,True
2012/02/07,30.35,True
2012/02/08,30.66,True
2012/02/09,30.77,True
2012/02/10,30.495,True
2012/02/13,30.58,True
2012/02/14,30.25,True
2012/02/15,30.05,True
2012/02/16,31.285,True
2012/02/17,31.25,True
2012/02/21,31.44,True
2012/02/22,31.27,True
2012/02/23,31.37,True
2012/02/24,31.48,True
2012/02/27,31.35,True
2012/02/28,31.87,True
2012/02/29,31.74,True
2012/03/01,32.29,True
2012/03/02,32.075,True
2012/03/05,31.8,True
2012/03/06,31.555,True
2012/03/07,31.84,True
2012/03/08,32.01,True
2012/03/09,31.99,True
2012/03/12,32.04,True
2012/03/13,32.67,True
2012/03/14,32.77,True
2012/03/15,32.85,True
2012/03/16,32.6,True
2012/03/19,32.2,True
2012/03/20,31.99,True
2012/03/21,31.91,True
2012/03/22,31.995,True
2012/03/23,32.01,True
2012/03/26,32.59,True
2012/03/27,32.52,True
2012/03/28,32.19,True
2012/03/29,32.12,True
2012/03/30,32.255,True
2012/04/02,32.29,True
2012/04/03,31.94,True
2012/04/04,31.21,True
2012/04/05,31.52,True
2012/04/09,31.1,True
2012/04/10,30.47,True
2012/04/11,30.345,True
2012/04/12,30.975,True
2012/04/13,30.81,True
2012/04/16,31.075,True
2012/04/17,31.44,True
2012/04/18,31.14,True
2012/04/19,31.01,True
2012/04/20,32.42,True
2012/04/23,32.12,True
2012/04/24,31.92,True
2012/04/25,32.2,True
2012/04/26,32.11,True
2012/04/27,31.98,True
2012/04/30,32.015,True
2012/05/01,32.01,True
2012/05/02,31.8,True
2012/05/03,31.76,True
2012/05/04,30.98,True
2012/05/07,30.65,True
2012/05/08,30.5,True
2012/05/09,30.76,True
2012/05/10,30.74,True
2012/05/11,31.16,True
2012/05/14,30.68,True
2012/05/15,30.21,True
2012/05/16,29.9,True
2012/05/17,29.72,True
2012/05/18,29.27,True
2012/05/21,29.75,True
2012/05/22,29.76,True
2012/05/23,29.11,True
2012/05/24,29.07,True
2012/05/25,29.06,True
2012/05/29,29.56,True
2012/05/30,29.34,True
2012/05/31,29.19,True
2012/06/01,28.45,True
2012/06/04,28.55,True
2012/06/05,28.505,True
2012/06/06,29.35,True
2012/06/07,29.23,True
2012/06/08,29.65,True
2012/06/11,28.895,True
2012/06/12,29.29,True
2012/06/13,29.13,True
2012/06/14,29.34,True
2012/06/15,30.02,True
2012/06/18,29.84,True
2012/06/19,30.7,True
2012/06/20,30.93,True
2012/06/21,30.135,True
2012/06/22,30.7,True
2012/06/25,29.865,True
2012/06/26,30.02,True
2012/06/27,30.17,True
2012/06/28,29.91,True
2012/06/29,30.59,True
2012/07/02,30.56,True
2012/07/03,30.76,True
2012/07/05,30.7,True
2012/07/06,30.185,True
2012/07/09,30.0,True
2012/07/10,29.74,True
2012/07/11,29.3,True
2012/07/12,28.63,True
2012/07/13,29.39,True
2012/07/16,29.44,True
2012/07/17,29.66,True
2012/07/18,30.45,True
2012/07/19,30.665,True
2012/07/20,30.115,True
2012/07/23,29.28,True
2012/07/24,29.15,True
2012/07/25,28.83,True
2012/07/26,29.16,True
2012/07/27,29.755,True
2012/07/30,29.64,True
2012/07/31,29.47,True
2012/08/01,29.41,True
2012/08/02,29.19,True
2012/08/03,29.75,True
2012/08/06,29.95,True
2012/08/07,30.26,True
2012/08/08,30.33,True
2012/08/09,30.5,True
2012/08/10,30.42,True
2012/08/13,30.39,True
2012/08/14,30.13,True
2012/08/15,30.2,True
2012/08/16,30.78,True
2012/08/17,30.9,True
2012/08/20,30.74,True
2012/08/21,30.8,True
2012/08/22,30.54,True
2012/08/23,30.255,True
2012/08/24,30.56,True
2012/08/27,30.69,True
2012/08/28,30.63,True
2012/08/29,30.65,True
2012/08/30,30.32,True
2012/08/31,30.82,True
2012/09/04,30.385,True
2012/09/05,30.39,True
2012/09/06,31.345,True
2012/09/07,30.95,True
2012/09/10,30.72,True
2012/09/11,30.79,True
2012/09/12,30.78,True
2012/09/13,30.935,True
2012/09/14,31.21,True
2012/09/17,31.21,True
2012/09/18,31.175,True
2012/09/19,31.052,True
2012/09/20,31.45,True
2012/09/21,31.19,True
2012/09/24,30.78,True
2012/09/25,30.39,True
2012/09/26,30.165,True
2012/09/27,30.16,True
2012/09/28,29.76,True
2012/10/01,29.49,True
2012/10/02,29.66,True
2012/10/03,29.86,True
2012/10/04,30.03,True
2012/10/05,29.85,True
2012/10/08,29.78,True
2012/10/09,29.28,True
2012/10/10,28.98,True
2012/10/11,28.95,True
2012/10/12,29.2,True
2012/10/15,29.51,True
2012/10/16,29.49,True
2012/10/17,29.59,True
2012/10/18,29.495,True
2012/10/19,28.64,True
2012/10/22,28.0,True
2012/10/23,28.046999999999997,True
2012/10/24,27.9019,True
2012/10/25,27.88,True
2012/10/26,28.21,True
2012/10/31,28.54,True
2012/11/01,29.515,True
2012/11/02,29.4998,True
2012/11/05,29.63,True
2012/11/06,29.86,True
2012/11/07,29.08,True
2012/11/08,28.81,True
2012/11/09,28.83,True
2012/11/12,28.22,True
2012/11/13,27.0895,True
2012/11/14,26.84,True
2012/11/15,26.6607,True
2012/11/16,26.5209,True
2012/11/19,26.7277,True
2012/11/20,26.71,True
2012/11/21,26.95,True
2012/11/23,27.7,True
2012/11/26,27.385,True
2012/11/27,27.08,True
2012/11/28,27.36,True
2012/11/29,26.95,True
2012/11/30,26.615,True
2012/12/03,26.4294,True
2012/12/04,26.37,True
2012/12/05,26.67,True
2012/12/06,26.725,True
2012/12/07,26.455,True
2012/12/10,26.94,True
2012/12/11,27.32,True
2012/12/12,27.24,True
2012/12/13,27.11,True
2012/12/14,26.81,True
2012/12/17,27.095,True
2012/12/18,27.56,True
2012/12/19,27.31,True
2012/12/20,27.68,True
2012/12/21,27.45,True
2012/12/24,27.06,True
2012/12/26,26.86,True
2012/12/27,26.96,True
2012/12/28,26.55,True
2012/12/31,26.7097,True
2013/01/01,26.790561229448592,False
2013/01/02,26.780311207443837,False
2013/01/03,26.842559456921407,False
2013/01/04,26.863273358190458,False
2013/01/07,26.83616587651095,False
2013/01/08,26.831720163538723,False
2013/01/09,26.822030590569614,False
2013/01/10,26.81029079233235,False
2013/01/11,26.81099351116185,False
2013/01/14,26.812977214077957,False
2013/01/15,26.813910546549835,False
2013/01/16,26.816246749658315,False
2013/01/17,26.816875979452284,False
2013/01/18,26.816009845698385,False
2013/01/21,26.815136605531627,False
2013/01/22,26.814019270668748,False
2013/01/23,26.812959701970293,False
2013/01/24,26.812300843622467,False
2013/01/25,26.81179641423501,False
2013/01/28,26.81135271889141,False
2013/01/29,26.810948888803125,False
2013/01/30,26.810485732474454,False
2013/01/31,26.80996015356587,False
2013/02/01,26.809407166096356,False
2013/02/04,26.80883612522734,False
2013/02/05,26.808266241680702,False
2013/02/06,26.807710370783152,False
2013/02/07,26.807164745616003,False
2013/02/08,26.80662554741091,False
2013/02/11,26.806089095163607,False
2013/02/12,26.805551018004977,False
2013/02/13,26.805010198634747,False
2013/02/14,26.80446727291773,False
2013/02/15,26.80392299537904,False
2013/02/18,26.803378429475067,False
2013/02/19,26.802834278481818,False
2013/02/20,26.802290640227802,False
2013/02/21,26.801747411684786,False
2013/02/22,26.801204376227844,False
2013/02/25,26.800661313299614,False
2013/02/26,26.80011811165135,False
2013/02/27,26.79957476097266,False
2013/02/28,26.799031292359167,False
2013/03/01,26.798487759515506,False
2013/03/04,26.79794420804751,False
2013/03/05,26.79740064990321,False
2013/03/06,26.79685708759866,False
2013/03/07,26.796313512894553,False
2013/03/08,26.795769915394185,False
2013/03/11,26.79522628943851,False
