date,PRC,is_prediction
2012/01/03,46.62,True
2012/01/04,46.36,True
2012/01/05,46.67,True
2012/01/06,46.55,True
2012/01/09,46.18,True
2012/01/10,46.29,True
2012/01/11,46.1,True
2012/01/12,46.17,True
2012/01/13,46.48,True
2012/01/17,46.94,True
2012/01/18,47.43,True
2012/01/19,48.04,True
2012/01/20,47.59,True
2012/01/23,47.48,True
2012/01/24,47.86,True
2012/01/25,44.94,True
2012/01/26,45.33,True
2012/01/27,45.8,True
2012/01/30,45.96,True
2012/01/31,46.41,True
2012/02/01,46.5,True
2012/02/02,45.8,True
2012/02/03,47.13,True
2012/02/06,46.7,True
2012/02/07,47.19,True
2012/02/08,47.11,True
2012/02/09,47.88,True
2012/02/10,47.4,True
2012/02/13,48.0,True
2012/02/14,47.7,True
2012/02/15,48.21,True
2012/02/16,49.13,True
2012/02/17,50.63,True
2012/02/21,49.89,True
2012/02/22,49.82,True
2012/02/23,49.53,True
2012/02/24,49.43,True
2012/02/27,50.15,True
2012/02/28,50.11,True
2012/02/29,49.8,True
2012/03/01,49.99,True
2012/03/02,50.84,True
2012/03/05,50.67,True
2012/03/06,51.48,True
2012/03/07,51.62,True
2012/03/08,51.76,True
2012/03/09,50.74,True
2012/03/12,50.18,True
2012/03/13,50.49,True
2012/03/14,50.5,True
2012/03/15,50.52,True
2012/03/16,50.53,True
2012/03/19,50.42,True
2012/03/20,50.35,True
2012/03/21,50.25,True
2012/03/22,50.32,True
2012/03/23,50.67,True
2012/03/26,50.88,True
2012/03/27,51.25,True
2012/03/28,50.45,True
2012/03/29,50.65,True
2012/03/30,50.83,True
2012/04/02,50.82,True
2012/04/03,50.79,True
2012/04/04,50.17,True
2012/04/05,50.0,True
2012/04/09,49.04,True
2012/04/10,48.4,True
2012/04/11,48.59,True
2012/04/12,49.03,True
2012/04/13,48.4,True
2012/04/16,48.19,True
2012/04/17,49.53,True
2012/04/18,49.11,True
2012/04/19,48.91,True
2012/04/20,49.01,True
2012/04/23,48.59,True
2012/04/24,48.66,True
2012/04/25,51.32,True
2012/04/26,51.02,True
2012/04/27,50.75,True
2012/04/30,51.03,True
2012/05/01,51.46,True
2012/05/02,51.33,True
2012/05/03,50.8,True
2012/05/04,50.61,True
2012/05/07,50.88,True
2012/05/08,50.92,True
2012/05/09,49.71,True
2012/05/10,49.54,True
2012/05/11,49.83,True
2012/05/14,48.85,True
2012/05/15,49.1,True
2012/05/16,48.76,True
2012/05/17,47.87,True
2012/05/18,46.97,True
2012/05/21,47.93,True
2012/05/22,47.88,True
2012/05/23,48.24,True
2012/05/24,47.72,True
2012/05/25,48.02,True
2012/05/29,48.83,True
2012/05/30,47.81,True
2012/05/31,48.08,True
2012/06/01,46.96,True
2012/06/04,46.84,True
2012/06/05,47.98,True
2012/06/06,49.19,True
2012/06/07,48.23,True
2012/06/08,48.6,True
2012/06/11,47.43,True
2012/06/12,48.03,True
2012/06/13,47.4,True
2012/06/14,47.35,True
2012/06/15,48.7,True
2012/06/18,49.03,True
2012/06/19,48.44,True
2012/06/20,47.99,True
2012/06/21,47.49,True
2012/06/22,47.88,True
2012/06/25,46.73,True
2012/06/26,47.26,True
