date,PRC,is_prediction
2012/01/03,78.04,True
2012/01/04,78.03,True
2012/01/05,79.23,True
2012/01/06,79.45,True
2012/01/09,79.63,True
2012/01/10,80.14,True
2012/01/11,80.61,True
2012/01/12,81.45,True
2012/01/13,82.34,True
2012/01/17,81.04,True
2012/01/18,81.72,True
2012/01/19,81.79,True
2012/01/20,81.72,True
2012/01/23,82.03,True
2012/01/24,81.69,True
2012/01/25,82.0,True
2012/01/26,80.14,True
2012/01/27,80.11,True
2012/01/30,79.88,True
2012/01/31,79.74,True
2012/02/01,80.21,True
2012/02/02,80.55,True
2012/02/03,82.45,True
2012/02/06,80.99,True
2012/02/07,81.37,True
2012/02/08,81.71,True
2012/02/09,80.81,True
2012/02/10,79.8,True
2012/02/13,80.66,True
2012/02/14,81.03,True
2012/02/15,80.98,True
2012/02/16,81.87,True
2012/02/17,82.92,True
2012/02/21,82.65,True
2012/02/22,80.86,True
2012/02/23,82.11,True
2012/02/24,81.77,True
2012/02/27,82.33,True
2012/02/28,81.85,True
2012/02/29,81.62,True
2012/03/01,81.23,True
2012/03/02,80.59,True
2012/03/05,80.12,True
2012/03/06,78.72,True
2012/03/07,79.84,True
2012/03/08,80.67,True
2012/03/09,81.35,True
2012/03/12,81.15,True
2012/03/13,83.75,True
2012/03/14,83.16,True
2012/03/15,84.95,True
2012/03/16,85.69,True
2012/03/19,86.63,True
2012/03/20,86.26,True
2012/03/21,85.48,True
2012/03/22,84.99,True
2012/03/23,85.86,True
2012/03/26,86.62,True
2012/03/27,85.97,True
2012/03/28,87.27,True
2012/03/29,86.57,True
2012/03/30,86.88,True
2012/04/02,87.0,True
2012/04/03,87.03,True
2012/04/04,86.33,True
2012/04/05,86.88,True
2012/04/09,85.29,True
2012/04/10,83.95,True
2012/04/11,85.1,True
2012/04/12,86.33,True
2012/04/13,84.43,True
2012/04/16,85.62,True
2012/04/17,87.33,True
2012/04/18,87.09,True
2012/04/19,86.95,True
2012/04/20,87.39,True
2012/04/23,85.79,True
2012/04/24,86.61,True
2012/04/25,87.11,True
2012/04/26,87.36,True
2012/04/27,87.38,True
2012/04/30,86.27,True
2012/05/01,86.85,True
2012/05/02,86.65,True
2012/05/03,85.98,True
2012/05/04,85.56,True
2012/05/07,86.56,True
2012/05/08,86.26,True
2012/05/09,84.54,True
2012/05/10,85.23,True
2012/05/11,84.8,True
2012/05/14,83.84,True
2012/05/15,83.02,True
2012/05/16,82.53,True
2012/05/17,81.23,True
2012/05/18,80.71,True
2012/05/21,81.54,True
2012/05/22,81.6,True
2012/05/23,81.49,True
2012/05/24,81.25,True
2012/05/25,81.82,True
2012/05/29,82.9,True
2012/05/30,80.92,True
2012/05/31,81.32,True
2012/06/01,78.57,True
2012/06/04,77.35,True
2012/06/05,76.98,True
2012/06/06,78.41,True
2012/06/07,79.1,True
2012/06/08,79.93,True
2012/06/11,78.2,True
2012/06/12,79.45,True
2012/06/13,78.94,True
2012/06/14,80.27,True
2012/06/15,81.04,True
2012/06/18,80.76,True
2012/06/19,81.42,True
2012/06/20,81.71,True
2012/06/21,79.99,True
2012/06/22,80.96,True
2012/06/25,79.49,True
2012/06/26,79.81,True
2012/06/27,80.96,True
2012/06/28,80.84,True
2012/06/29,82.57,True
2012/07/02,83.44,True
2012/07/03,84.4,True
2012/07/05,83.83,True
2012/07/06,83.88,True
2012/07/09,83.68,True
2012/07/10,82.63,True
2012/07/11,83.68,True
2012/07/12,82.37,True
2012/07/13,83.98,True
2012/07/16,83.55,True
2012/07/17,85.73,True
2012/07/18,86.92,True
2012/07/19,86.62,True
2012/07/20,84.97,True
2012/07/23,84.19,True
2012/07/24,84.46,True
2012/07/25,84.4,True
2012/07/26,85.62,True
2012/07/27,86.45,True
2012/07/30,86.17,True
2012/07/31,85.84,True
2012/08/01,85.5,True
2012/08/02,84.51,True
2012/08/03,87.42,True
2012/08/06,86.67,True
2012/08/07,87.06,True
2012/08/08,86.76,True
2012/08/09,86.8,True
2012/08/10,86.66,True
2012/08/13,86.36,True
2012/08/14,86.21,True
2012/08/15,86.67,True
2012/08/16,86.84,True
2012/08/17,87.28,True
2012/08/20,87.69,True
2012/08/21,87.03,True
2012/08/22,86.63,True
2012/08/23,85.5,True
2012/08/24,85.87,True
2012/08/27,89.82,True
2012/08/28,88.42,True
2012/08/29,88.52,True
2012/08/30,87.0,True
2012/08/31,86.9,True
2012/09/04,87.44,True
2012/09/05,88.35,True
2012/09/06,89.85,True
2012/09/07,90.74,True
2012/09/10,90.44,True
2012/09/11,91.76,True
2012/09/12,92.11,True
2012/09/13,93.72,True
2012/09/14,94.8,True
2012/09/17,94.08,True
2012/09/18,93.92,True
2012/09/19,94.27,True
2012/09/20,94.34,True
2012/09/21,94.99,True
2012/09/24,95.33,True
2012/09/25,94.66,True
2012/09/26,94.03,True
2012/09/27,94.43,True
2012/09/28,95.16,True
2012/10/01,95.65,True
2012/10/02,95.63,True
2012/10/03,96.9,True
2012/10/04,98.08,True
2012/10/05,98.51,True
2012/10/08,97.98,True
2012/10/09,96.98,True
2012/10/10,98.63,True
2012/10/11,98.39,True
2012/10/12,96.32,True
2012/10/15,97.48,True
2012/10/16,97.39,True
2012/10/17,103.07,True
2012/10/18,104.88,True
2012/10/19,103.7,True
2012/10/22,104.57,True
2012/10/23,103.89,True
2012/10/24,104.38,True
2012/10/25,104.21,True
2012/10/26,103.44,True
2012/10/31,104.1,True
2012/11/01,104.51,True
2012/11/02,103.55,True
2012/11/05,103.22,True
2012/11/06,104.7,True
2012/11/07,100.97,True
2012/11/08,100.18,True
2012/11/09,99.09,True
2012/11/12,99.96,True
2012/11/13,98.12,True
2012/11/14,96.16,True
2012/11/15,96.41,True
2012/11/16,97.1,True
2012/11/19,98.18,True
2012/11/20,98.48,True
2012/11/21,98.29,True
2012/11/23,99.67,True
2012/11/26,98.91,True
2012/11/27,98.65,True
2012/11/28,98.28,True
2012/11/29,97.26,True
2012/11/30,97.73,True
2012/12/03,97.18,True
2012/12/04,96.15,True
2012/12/05,96.32,True
2012/12/06,97.34,True
2012/12/07,97.64,True
2012/12/10,97.99,True
2012/12/11,97.8,True
2012/12/12,98.11,True
2012/12/13,98.25,True
2012/12/14,97.91,True
2012/12/17,99.89,True
2012/12/18,101.23,True
2012/12/19,100.62,True
2012/12/20,101.13,True
2012/12/21,99.86,True
2012/12/24,99.15,True
2012/12/26,98.87,True
2012/12/27,98.26,True
2012/12/28,97.55,True
2012/12/31,98.47,True
2013/01/01,98.5685753375608,False
2013/01/02,98.80910202616485,False
2013/01/03,98.94184289929382,False
2013/01/04,99.00387380099093,False
2013/01/07,99.12720393000447,False
2013/01/08,99.18718157608424,False
2013/01/09,99.2430288512668,False
2013/01/10,99.3198844843095,False
2013/01/11,99.39328957489815,False
2013/01/14,99.47721918603766,False
2013/01/15,99.55999914888388,False
2013/01/16,99.64221750225265,False
2013/01/17,99.72625127811736,False
2013/01/18,99.80887809659704,False
2013/01/21,99.89120446805859,False
