date,PRC,is_prediction
2012/01/03,152.39,True
2012/01/04,152.19,True
2012/01/05,153.91,True
2012/01/06,155.36,True
2012/01/09,156.14999,True
2012/01/10,161.67,True
2012/01/11,162.37,True
2012/01/12,163.78,True
2012/01/13,163.59,True
2012/01/17,168.17999,True
2012/01/18,171.13,True
2012/01/19,172.03,True
2012/01/20,171.59,True
2012/01/23,171.52,True
2012/01/24,172.19,True
2012/01/25,175.77,True
2012/01/26,174.88,True
2012/01/27,176.41,True
2012/01/30,175.97,True
2012/01/31,175.5,True
2012/02/01,179.11,True
2012/02/02,180.02,True
2012/02/03,183.86,True
2012/02/06,180.87,True
2012/02/07,179.61,True
2012/02/08,183.28,True
2012/02/09,184.88,True
2012/02/10,181.14,True
2012/02/13,181.75999,True
2012/02/14,180.5,True
2012/02/15,178.44,True
2012/02/16,181.25,True
2012/02/17,178.39,True
2012/02/21,178.61,True
2012/02/22,179.60001,True
2012/02/23,180.5,True
2012/02/24,180.95,True
2012/02/27,184.11,True
2012/02/28,182.03999,True
2012/02/29,180.28,True
2012/03/01,183.21001,True
2012/03/02,180.10001,True
2012/03/05,177.19,True
2012/03/06,172.96001,True
2012/03/07,175.17999,True
2012/03/08,177.78,True
2012/03/09,179.91,True
2012/03/12,177.71001,True
2012/03/13,180.8,True
2012/03/14,177.88,True
2012/03/15,181.78,True
2012/03/16,184.2,True
2012/03/19,184.14999,True
2012/03/20,184.0,True
2012/03/21,184.60001,True
2012/03/22,183.03999,True
2012/03/23,183.5,True
2012/03/26,188.72,True
2012/03/27,189.67,True
2012/03/28,183.75,True
2012/03/29,183.02,True
2012/03/30,184.75,True
2012/04/02,184.17,True
2012/04/03,185.08,True
2012/04/04,182.67,True
2012/04/05,181.41,True
2012/04/09,178.23,True
2012/04/10,173.57001,True
2012/04/11,174.61,True
2012/04/12,179.88,True
2012/04/13,177.57001,True
2012/04/16,176.2,True
2012/04/17,179.08,True
2012/04/18,177.63,True
2012/04/19,176.3,True
2012/04/20,176.78999,True
2012/04/23,173.45,True
2012/04/24,171.92999,True
2012/04/25,177.25999,True
2012/04/26,179.03999,True
2012/04/27,179.03999,True
2012/04/30,179.32001,True
2012/05/01,182.00999,True
2012/05/02,184.06,True
2012/05/03,183.83,True
2012/05/04,169.53,True
2012/05/07,169.73,True
2012/05/08,170.14,True
2012/05/09,169.39999,True
2012/05/10,168.53,True
2012/05/11,167.21001,True
2012/05/14,165.47,True
2012/05/15,164.24001,True
2012/05/16,163.38,True
2012/05/17,160.44,True
2012/05/18,157.89,True
2012/05/21,163.98,True
2012/05/22,164.03,True
2012/05/23,163.74001,True
2012/05/24,163.0,True
2012/05/25,162.78,True
2012/05/29,166.5,True
2012/05/30,159.84,True
2012/05/31,156.12,True
2012/06/01,153.56,True
2012/06/04,153.00999,True
2012/06/05,154.69,True
2012/06/06,158.78999,True
2012/06/07,157.25999,True
2012/06/08,158.05,True
2012/06/11,155.31,True
2012/06/12,156.17,True
2012/06/13,153.44,True
2012/06/14,156.37,True
2012/06/15,156.42,True
2012/06/18,157.72,True
2012/06/19,159.45,True
2012/06/20,158.44,True
2012/06/21,152.85001,True
2012/06/22,153.17999,True
2012/06/25,150.57001,True
2012/06/26,151.25,True
2012/06/27,151.19,True
2012/06/28,152.61,True
2012/06/29,155.85001,True
2012/07/02,157.17999,True
2012/07/03,161.38,True
2012/07/05,160.06,True
2012/07/06,157.17999,True
2012/07/09,154.39999,True
2012/07/10,151.25,True
2012/07/11,148.67999,True
2012/07/12,148.83,True
2012/07/13,151.28,True
2012/07/16,151.42999,True
2012/07/17,152.86,True
2012/07/18,156.75999,True
2012/07/19,157.98,True
2012/07/20,155.64999,True
2012/07/23,152.55,True
2012/07/24,151.0,True
2012/07/25,151.11,True
2012/07/26,155.07001,True
2012/07/27,155.78999,True
2012/07/30,154.28999,True
2012/07/31,154.8,True
2012/08/01,155.21001,True
2012/08/02,151.28,True
2012/08/03,159.24001,True
2012/08/06,162.92999,True
2012/08/07,167.38,True
2012/08/08,168.66,True
2012/08/09,167.98,True
2012/08/10,165.77,True
2012/08/13,166.32001,True
2012/08/14,165.14,True
2012/08/15,166.16,True
2012/08/16,165.00999,True
2012/08/17,163.78,True
2012/08/20,162.75999,True
2012/08/21,164.98,True
2012/08/22,164.32001,True
2012/08/23,162.95,True
2012/08/24,162.45,True
2012/08/27,163.36,True
2012/08/28,165.42,True
2012/08/29,164.55,True
2012/08/30,164.32001,True
2012/08/31,165.11,True
2012/09/04,164.11,True
2012/09/05,163.19,True
2012/09/06,167.81,True
2012/09/07,172.94,True
2012/09/10,170.84,True
2012/09/11,170.91,True
2012/09/12,169.66,True
2012/09/13,174.24001,True
2012/09/14,177.44,True
2012/09/17,176.42,True
2012/09/18,173.32001,True
2012/09/19,174.97,True
2012/09/20,171.92999,True
2012/09/21,172.47,True
2012/09/24,173.72,True
2012/09/25,171.00999,True
2012/09/26,171.28999,True
2012/09/27,173.11,True
2012/09/28,170.74001,True
2012/10/01,171.62,True
2012/10/02,172.42999,True
2012/10/03,174.61,True
2012/10/04,176.06,True
2012/10/05,176.14,True
2012/10/08,175.2,True
2012/10/09,170.71001,True
2012/10/10,168.5,True
2012/10/11,170.48,True
2012/10/12,169.46001,True
2012/10/15,169.88,True
2012/10/16,170.94,True
2012/10/17,172.53999,True
2012/10/18,166.66,True
2012/10/19,164.62,True
2012/10/22,164.0,True
2012/10/23,161.8,True
2012/10/24,163.46001,True
2012/10/25,164.85001,True
2012/10/26,167.0,True
2012/10/31,169.37,True
2012/11/01,174.05,True
2012/11/02,174.94,True
2012/11/05,179.05,True
2012/11/06,181.28,True
2012/11/07,178.64,True
2012/11/08,175.17,True
2012/11/09,176.27,True
2012/11/12,178.35001,True
2012/11/13,176.39,True
2012/11/14,174.62,True
2012/11/15,176.25,True
2012/11/16,174.10001,True
2012/11/19,179.17999,True
2012/11/20,181.64999,True
2012/11/21,181.98,True
2012/11/23,184.59,True
2012/11/26,184.03999,True
2012/11/27,185.03,True
2012/11/28,186.39,True
2012/11/29,187.08,True
2012/11/30,187.09,True
2012/12/03,185.52,True
2012/12/04,185.73,True
2012/12/05,185.77,True
2012/12/06,184.62,True
2012/12/07,184.02,True
2012/12/10,188.42999,True
2012/12/11,190.7,True
2012/12/12,187.32001,True
2012/12/13,187.53,True
2012/12/14,188.55,True
2012/12/17,190.14999,True
2012/12/18,193.71001,True
2012/12/19,191.62,True
2012/12/20,195.0,True
2012/12/21,191.42999,True
2012/12/24,192.83,True
2012/12/26,191.39,True
2012/12/27,191.63,True
2012/12/28,188.59,True
2012/12/31,193.3,True
2013/01/01,193.18836874437704,False
2013/01/02,193.86597618133322,False
2013/01/03,193.63426807836106,False
2013/01/04,194.14163278113332,False
2013/01/07,193.69104952008976,False
2013/01/08,194.57351736241623,False
2013/01/09,194.122873328869,False
2013/01/10,194.3185132654669,False
2013/01/11,194.37523959981368,False
2013/01/14,194.66885710364198,False
2013/01/15,194.6997416361114,False
2013/01/16,195.03149961222505,False
2013/01/17,195.05911069720554,False
2013/01/18,195.293540701324,False
2013/01/21,195.43558254769175,False
2013/01/22,195.62296756229537,False
2013/01/23,195.7395858638363,False
2013/01/24,195.9324122550897,False
2013/01/25,196.05414691022884,False
2013/01/28,196.23269873424226,False
2013/01/29,196.37909823559644,False
2013/01/30,196.5430504046176,False
2013/01/31,196.6914554705039,False
2013/02/01,196.85920543039913,False
2013/02/04,197.00867952441996,False
2013/02/05,197.17254279946786,False
2013/02/06,197.3264586898074,False
2013/02/07,197.4861489579847,False
2013/02/08,197.6414523350026,False
2013/02/11,197.80131769115383,False
2013/02/12,197.9565205084984,False
2013/02/13,198.11558250492786,False
2013/02/14,198.27192132675106,False
2013/02/15,198.43008526434122,False
2013/02/18,198.58697995280733,False
2013/02/19,198.74503855107497,False
2013/02/20,198.901940252281,False
2013/02/21,199.0598575351274,False
2013/02/22,199.21701191249824,False
2013/02/25,199.37468744939218,False
2013/02/26,199.53198591724808,False
2013/02/27,199.68959434463093,False
2013/02/28,199.84691042812395,False
2013/03/01,200.00448976505695,False
2013/03/04,200.16186058753362,False
2013/03/05,200.31938076927122,False
2013/03/06,200.47679369588096,False
2013/03/07,200.63429191537705,False
2013/03/08,200.79171423350687,False
2013/03/11,200.94920410548283,False
