date,PRC,is_prediction
2012/01/03,97.76,True
2012/01/04,98.58,True
2012/01/05,97.5,True
2012/01/06,96.72,True
2012/01/09,98.33,True
2012/01/10,98.73,True
2012/01/11,97.49,True
2012/01/12,95.23,True
2012/01/13,95.91,True
2012/01/17,95.86,True
2012/01/18,97.39,True
2012/01/19,97.49,True
2012/01/20,96.32,True
2012/01/23,102.21,True
2012/01/24,100.46,True
2012/01/25,102.11,True
2012/01/26,100.09,True
2012/01/27,100.5,True
2012/01/30,101.23,True
2012/01/31,100.67,True
2012/02/01,101.82,True
2012/02/02,102.27,True
2012/02/03,102.96,True
2012/02/06,103.77,True
2012/02/07,103.67,True
2012/02/08,104.36,True
2012/02/09,103.53,True
2012/02/10,101.15,True
2012/02/13,103.75,True
2012/02/14,103.99,True
2012/02/15,103.31,True
2012/02/16,103.66,True
2012/02/17,104.01,True
2012/02/21,103.18,True
2012/02/22,103.48,True
2012/02/23,104.48,True
2012/02/24,104.57,True
2012/02/27,102.66,True
2012/02/28,102.48,True
2012/02/29,97.65,True
2012/03/01,95.93,True
2012/03/02,94.48,True
2012/03/05,96.55,True
2012/03/06,94.75,True
2012/03/07,95.4,True
2012/03/08,95.45,True
2012/03/09,96.53,True
2012/03/12,96.07,True
2012/03/13,97.55,True
2012/03/14,98.22,True
2012/03/15,99.06,True
2012/03/16,99.69,True
2012/03/19,100.14,True
2012/03/20,98.7,True
2012/03/21,99.27,True
2012/03/22,95.29,True
2012/03/23,96.36,True
2012/03/26,99.05,True
2012/03/27,98.46,True
2012/03/28,97.84,True
2012/03/29,98.17,True
2012/03/30,97.78,True
2012/04/02,100.26,True
2012/04/03,98.91,True
2012/04/04,97.1,True
2012/04/05,96.51,True
2012/04/09,95.75,True
2012/04/10,93.16,True
2012/04/11,92.45,True
2012/04/12,94.82,True
2012/04/13,94.46,True
2012/04/16,93.71,True
2012/04/17,94.75,True
2012/04/18,93.9,True
2012/04/19,93.73,True
2012/04/20,93.63,True
2012/04/23,93.84,True
2012/04/24,93.98,True
2012/04/25,95.73,True
2012/04/26,99.27,True
2012/04/27,100.05,True
2012/04/30,99.32,True
2012/05/01,99.89,True
2012/05/02,98.47,True
2012/05/03,96.91,True
2012/05/04,95.03,True
2012/05/07,94.02,True
2012/05/08,91.73,True
2012/05/09,90.13,True
2012/05/10,90.17,True
2012/05/11,89.19,True
2012/05/14,86.86,True
2012/05/15,85.0,True
2012/05/16,83.82,True
2012/05/17,82.46,True
2012/05/18,81.85,True
2012/05/21,84.76,True
2012/05/22,84.5,True
2012/05/23,84.71,True
2012/05/24,84.35,True
2012/05/25,83.94,True
2012/05/29,86.21,True
2012/05/30,84.04,True
2012/05/31,84.46,True
2012/06/01,80.95,True
2012/06/04,81.32,True
2012/06/05,82.49,True
2012/06/06,85.45,True
2012/06/07,84.63,True
2012/06/08,84.88,True
