date,PRC,is_prediction
2012/01/03,62.08,True
2012/01/04,61.89,True
2012/01/05,62.1,True
2012/01/06,61.97,True
2012/01/09,61.48,True
2012/01/10,62.65,True
2012/01/11,63.34,True
2012/01/12,64.04,True
2012/01/13,63.39,True
2012/01/17,60.94,True
2012/01/18,60.35,True
2012/01/19,59.6,True
2012/01/20,59.27,True
2012/01/23,59.26,True
2012/01/24,57.48,True
2012/01/25,60.25,True
2012/01/26,60.45,True
2012/01/27,61.51,True
2012/01/30,61.22,True
2012/01/31,61.48,True
2012/02/01,61.12,True
2012/02/02,62.29,True
2012/02/03,61.01,True
2012/02/06,60.89,True
2012/02/07,60.86,True
2012/02/08,60.7,True
2012/02/09,60.64,True
2012/02/10,59.62,True
2012/02/13,59.41,True
2012/02/14,58.77,True
2012/02/15,59.6,True
2012/02/16,60.43,True
2012/02/17,59.45,True
2012/02/21,61.54,True
2012/02/22,62.78,True
2012/02/23,63.8,True
2012/02/24,62.51,True
2012/02/27,61.52,True
2012/02/28,62.0,True
2012/02/29,59.425,True
2012/03/01,59.67,True
2012/03/02,58.96,True
2012/03/05,57.9,True
2012/03/06,57.17,True
2012/03/07,56.68,True
2012/03/08,56.95,True
2012/03/09,56.88,True
2012/03/12,55.75,True
2012/03/13,54.86,True
2012/03/14,54.3,True
2012/03/15,53.84,True
2012/03/16,53.75,True
2012/03/19,53.53,True
2012/03/20,53.68,True
2012/03/21,53.17,True
2012/03/22,52.41,True
2012/03/23,53.32,True
2012/03/26,53.45,True
2012/03/27,52.49,True
2012/03/28,51.5,True
2012/03/29,51.34,True
2012/03/30,51.27,True
2012/04/02,52.11,True
2012/04/03,50.34,True
2012/04/04,48.53,True
2012/04/05,47.73,True
2012/04/09,48.0,True
2012/04/10,48.97,True
2012/04/11,48.0,True
2012/04/12,49.55,True
2012/04/13,48.68,True
2012/04/16,48.17,True
2012/04/17,48.33,True
2012/04/18,47.89,True
2012/04/19,47.81,True
2012/04/20,47.25,True
2012/04/23,46.3,True
2012/04/24,46.37,True
2012/04/25,47.47,True
2012/04/26,47.73,True
2012/04/27,47.86,True
2012/04/30,47.65,True
2012/05/01,48.05,True
2012/05/02,47.1,True
2012/05/03,45.59,True
2012/05/04,46.16,True
2012/05/07,46.14,True
2012/05/08,44.76,True
2012/05/09,46.54,True
2012/05/10,46.2,True
2012/05/11,45.36,True
2012/05/14,44.67,True
2012/05/15,43.39,True
2012/05/16,43.51,True
2012/05/17,45.26,True
2012/05/18,45.58,True
2012/05/21,47.37,True
2012/05/22,47.19,True
2012/05/23,48.57,True
2012/05/24,48.63,True
2012/05/25,48.82,True
2012/05/29,48.18,True
2012/05/30,47.84,True
2012/05/31,47.16,True
2012/06/01,50.3,True
2012/06/04,51.55,True
2012/06/05,51.35,True
2012/06/06,51.7,True
2012/06/07,50.69,True
2012/06/08,50.28,True
2012/06/11,49.48,True
2012/06/12,50.52,True
2012/06/13,50.72,True
2012/06/14,50.69,True
2012/06/15,50.28,True
2012/06/18,50.85,True
2012/06/19,50.7,True
2012/06/20,50.36,True
2012/06/21,47.8,True
2012/06/22,47.96,True
2012/06/25,48.79,True
2012/06/26,47.935,True
2012/06/27,48.15,True
2012/06/28,47.12,True
2012/06/29,48.51,True
2012/07/02,48.49,True
2012/07/03,49.73,True
2012/07/05,49.04,True
2012/07/06,47.91,True
2012/07/09,47.72,True
2012/07/10,46.42,True
2012/07/11,45.98,True
2012/07/12,45.46,True
2012/07/13,46.16,True
2012/07/16,45.5,True
2012/07/17,45.07,True
2012/07/18,44.66,True
2012/07/19,45.15,True
2012/07/20,45.15,True
2012/07/23,44.5,True
2012/07/24,44.33,True
2012/07/25,45.8,True
2012/07/26,46.09,True
2012/07/27,44.525,True
2012/07/30,45.26,True
2012/07/31,44.47,True
2012/08/01,44.41,True
2012/08/02,43.62,True
2012/08/03,44.67,True
2012/08/06,46.12,True
2012/08/07,46.63,True
2012/08/08,46.92,True
2012/08/09,47.2,True
2012/08/10,47.48,True
2012/08/13,46.92,True
2012/08/14,46.34,True
2012/08/15,46.63,True
2012/08/16,47.59,True
2012/08/17,47.16,True
2012/08/20,47.93,True
2012/08/21,48.25,True
2012/08/22,49.3,True
2012/08/23,49.04,True
2012/08/24,49.23,True
2012/08/27,49.04,True
2012/08/28,48.84,True
2012/08/29,48.47,True
2012/08/30,48.55,True
2012/08/31,50.68,True
2012/09/04,49.47,True
2012/09/05,49.62,True
2012/09/06,50.9,True
2012/09/07,51.69,True
2012/09/10,51.36,True
2012/09/11,52.0,True
2012/09/12,52.56,True
2012/09/13,55.45,True
2012/09/14,57.2,True
2012/09/17,56.96,True
2012/09/18,56.77,True
2012/09/19,56.85,True
2012/09/20,56.62,True
2012/09/21,56.31,True
2012/09/24,55.26,True
2012/09/25,55.065,True
2012/09/26,55.26,True
2012/09/27,56.54,True
2012/09/28,56.015,True
2012/10/01,55.7,True
2012/10/02,55.67,True
2012/10/03,55.47,True
2012/10/04,56.24,True
2012/10/05,55.85,True
2012/10/08,55.76,True
2012/10/09,54.5,True
2012/10/10,54.85,True
2012/10/11,55.35,True
2012/10/12,54.94,True
2012/10/15,54.6,True
2012/10/16,55.88,True
2012/10/17,56.06,True
2012/10/18,54.97,True
2012/10/19,54.9,True
