date,PRC,is_prediction
2012/01/03,58.66,True
2012/01/04,58.63,True
2012/01/05,58.15,True
2012/01/06,57.9,True
2012/01/09,57.91,True
2012/01/10,58.62,True
2012/01/11,58.51,True
2012/01/12,59.75,True
2012/01/13,58.84,True
2012/01/17,59.63,True
2012/01/18,60.17,True
2012/01/19,61.31,True
2012/01/20,61.39,True
2012/01/23,60.49,True
2012/01/24,60.0,True
2012/01/25,59.59,True
2012/01/26,59.32,True
2012/01/27,58.71,True
2012/01/30,58.2,True
2012/01/31,58.05,True
2012/02/01,59.25,True
2012/02/02,58.3,True
2012/02/03,58.31,True
2012/02/06,58.8,True
2012/02/07,59.84,True
2012/02/08,60.5,True
2012/02/09,60.21,True
2012/02/10,59.81,True
2012/02/13,60.3,True
2012/02/14,60.21,True
2012/02/15,59.65,True
2012/02/16,59.68,True
2012/02/17,60.08,True
2012/02/21,59.86,True
2012/02/22,60.05,True
2012/02/23,59.62,True
2012/02/24,59.92,True
2012/02/27,60.05,True
2012/02/28,59.89,True
2012/02/29,59.81,True
2012/03/01,60.21,True
2012/03/02,59.76,True
2012/03/05,59.93,True
2012/03/06,59.67,True
2012/03/07,59.96,True
2012/03/08,60.37,True
2012/03/09,60.18,True
2012/03/12,60.65,True
2012/03/13,61.54,True
2012/03/14,62.06,True
2012/03/15,61.97,True
2012/03/16,61.99,True
2012/03/19,61.87,True
2012/03/20,61.07,True
2012/03/21,60.83,True
2012/03/22,60.97,True
2012/03/23,60.57,True
2012/03/26,61.53,True
2012/03/27,61.13,True
2012/03/28,60.85,True
2012/03/29,60.89,True
2012/03/30,61.08,True
2012/04/02,61.82,True
2012/04/03,61.51,True
2012/04/04,61.45,True
2012/04/05,60.85,True
2012/04/09,60.03,True
2012/04/10,59.73,True
2012/04/11,60.19,True
2012/04/12,61.29,True
2012/04/13,60.81,True
2012/04/16,61.04,True
2012/04/17,61.77,True
2012/04/18,61.92,True
2012/04/19,61.02,True
2012/04/20,61.81,True
2012/04/23,61.58,True
2012/04/24,62.73,True
2012/04/25,63.01,True
2012/04/26,63.44,True
2012/04/27,63.75,True
2012/04/30,63.28,True
2012/05/01,63.46,True
2012/05/02,63.35,True
2012/05/03,62.84,True
2012/05/04,61.9,True
2012/05/07,61.78,True
2012/05/08,61.37,True
2012/05/09,60.68,True
2012/05/10,60.7,True
2012/05/11,59.91,True
2012/05/14,60.11,True
2012/05/15,59.8,True
2012/05/16,59.57,True
2012/05/17,58.5,True
2012/05/18,58.08,True
2012/05/21,58.99,True
2012/05/22,59.1,True
2012/05/23,58.64,True
2012/05/24,58.81,True
2012/05/25,58.5,True
2012/05/29,58.98,True
2012/05/30,58.85,True
2012/05/31,58.75,True
2012/06/01,57.42,True
2012/06/04,57.11,True
2012/06/05,57.29,True
2012/06/06,58.59,True
2012/06/07,59.35,True
2012/06/08,59.77,True
2012/06/11,59.28,True
2012/06/12,59.93,True
2012/06/13,59.75,True
2012/06/14,60.53,True
2012/06/15,61.18,True
2012/06/18,61.52,True
2012/06/19,62.24,True
2012/06/20,62.29,True
2012/06/21,61.84,True
2012/06/22,62.11,True
2012/06/25,61.48,True
2012/06/26,61.08,True
2012/06/27,62.13,True
2012/06/28,61.73,True
2012/06/29,63.79,True
2012/07/02,63.54,True
2012/07/03,63.94,True
2012/07/05,63.93,True
2012/07/06,63.47,True
2012/07/09,63.61,True
2012/07/10,63.08,True
2012/07/11,62.82,True
2012/07/12,62.16,True
2012/07/13,63.79,True
2012/07/16,63.49,True
2012/07/17,64.13,True
2012/07/18,65.12,True
2012/07/19,65.12,True
2012/07/20,64.76,True
2012/07/23,63.76,True
2012/07/24,64.18,True
2012/07/25,63.91,True
2012/07/26,64.8,True
2012/07/27,65.8,True
2012/07/30,66.76,True
2012/07/31,66.2,True
2012/08/01,65.84,True
2012/08/02,65.61,True
2012/08/03,66.37,True
2012/08/06,66.31,True
2012/08/07,67.2,True
2012/08/08,67.85,True
2012/08/09,68.4,True
2012/08/10,68.5,True
2012/08/13,68.67,True
2012/08/14,68.36,True
2012/08/15,68.28,True
2012/08/16,68.79,True
2012/08/17,69.32,True
2012/08/20,69.75,True
2012/08/21,69.52,True
2012/08/22,68.34,True
2012/08/23,66.92,True
2012/08/24,67.4,True
2012/08/27,67.11,True
2012/08/28,66.91,True
2012/08/29,67.25,True
2012/08/30,66.56,True
2012/08/31,66.89,True
2012/09/04,66.75,True
2012/09/05,66.52,True
2012/09/06,67.69,True
2012/09/07,67.37,True
2012/09/10,67.05,True
2012/09/11,67.42,True
2012/09/12,67.93,True
2012/09/13,67.01,True
2012/09/14,66.33,True
2012/09/17,66.48,True
2012/09/18,66.89,True
2012/09/19,66.9,True
2012/09/20,66.94,True
2012/09/21,66.89,True
2012/09/24,66.56,True
2012/09/25,65.79,True
2012/09/26,66.19,True
2012/09/27,66.47,True
2012/09/28,66.43,True
2012/10/01,67.58,True
2012/10/02,67.86,True
2012/10/03,68.08,True
2012/10/04,68.79,True
2012/10/05,69.41,True
2012/10/08,69.09,True
2012/10/09,69.0,True
2012/10/10,68.21,True
2012/10/11,68.64,True
2012/10/12,68.82,True
2012/10/15,69.46,True
2012/10/16,70.36,True
2012/10/17,70.6,True
2012/10/18,71.13,True
2012/10/19,70.27,True
2012/10/22,70.2,True
2012/10/23,69.66,True
2012/10/24,69.33,True
2012/10/25,69.04,True
2012/10/26,68.02,True
2012/10/31,68.69,True
2012/11/01,68.92,True
2012/11/02,68.98,True
2012/11/05,68.96,True
2012/11/06,69.88,True
2012/11/07,66.7,True
2012/11/08,65.42,True
2012/11/09,65.6,True
2012/11/12,65.4,True
2012/11/13,65.37,True
2012/11/14,63.59,True
2012/11/15,63.23,True
2012/11/16,63.57,True
2012/11/19,64.72,True
2012/11/20,65.08,True
2012/11/21,64.93,True
2012/11/23,65.36,True
2012/11/26,64.99,True
2012/11/27,65.33,True
2012/11/28,66.06,True
2012/11/29,66.65,True
2012/11/30,66.7,True
2012/12/03,65.79,True
2012/12/04,66.65,True
2012/12/05,66.76,True
2012/12/06,67.27,True
2012/12/07,67.53,True
2012/12/10,68.04,True
2012/12/11,67.95,True
2012/12/12,68.15,True
2012/12/13,67.37,True
2012/12/14,66.8,True
2012/12/17,67.13,True
2012/12/18,68.51,True
2012/12/19,68.7,True
2012/12/20,69.0,True
2012/12/21,68.63,True
2012/12/24,68.69,True
2012/12/26,68.02,True
2012/12/27,67.74,True
2012/12/28,66.76,True
2012/12/31,67.58,True
2013/01/01,67.69020036412746,False
2013/01/02,67.89202063580035,False
