date,PRC,is_prediction
2012/01/03,17.97,True
2012/01/04,17.98,True
2012/01/05,18.05,True
2012/01/06,17.69,True
2012/01/09,17.54,True
2012/01/10,17.63,True
2012/01/11,17.59,True
2012/01/12,17.63,True
2012/01/13,17.69,True
2012/01/17,17.24,True
2012/01/18,17.24,True
2012/01/19,16.42,True
2012/01/20,16.15,True
2012/01/23,16.63,True
2012/01/24,16.5,True
2012/01/25,17.33,True
2012/01/26,17.08,True
2012/01/27,16.68,True
2012/01/30,16.8,True
2012/01/31,16.88,True
2012/02/01,16.81,True
2012/02/02,16.86,True
2012/02/03,17.26,True
2012/02/06,16.95,True
2012/02/07,17.12,True
2012/02/08,17.12,True
2012/02/09,17.08,True
2012/02/10,17.32,True
2012/02/13,17.08,True
2012/02/14,17.05,True
2012/02/15,16.93,True
2012/02/16,17.34,True
2012/02/17,17.5,True
2012/02/21,17.77,True
2012/02/22,17.55,True
2012/02/23,17.74,True
2012/02/24,17.85,True
2012/02/27,17.6,True
2012/02/28,17.55,True
2012/02/29,17.1,True
2012/03/01,17.2,True
2012/03/02,17.29,True
2012/03/05,17.19,True
2012/03/06,16.72,True
2012/03/07,16.62,True
2012/03/08,16.69,True
2012/03/09,16.73,True
2012/03/12,16.48,True
2012/03/13,16.72,True
2012/03/14,16.6,True
2012/03/15,16.41,True
2012/03/16,16.77,True
2012/03/19,16.41,True
2012/03/20,16.48,True
2012/03/21,16.92,True
2012/03/22,16.65,True
2012/03/23,16.71,True
2012/03/26,16.58,True
2012/03/27,16.5,True
2012/03/28,16.11,True
2012/03/29,15.74,True
2012/03/30,15.67,True
2012/04/02,15.6,True
2012/04/03,15.5,True
2012/04/04,15.55,True
2012/04/05,15.18,True
2012/04/09,14.86,True
2012/04/10,14.62,True
2012/04/11,14.65,True
2012/04/12,14.74,True
2012/04/13,14.58,True
2012/04/16,14.34,True
2012/04/17,15.03,True
2012/04/18,14.97,True
2012/04/19,15.06,True
2012/04/20,15.39,True
2012/04/23,15.35,True
2012/04/24,15.9,True
2012/04/25,16.36,True
2012/04/26,16.69,True
2012/04/27,16.63,True
2012/04/30,17.0,True
2012/05/01,16.97,True
2012/05/02,16.61,True
2012/05/03,16.21,True
2012/05/04,15.47,True
2012/05/07,15.49,True
2012/05/08,15.16,True
2012/05/09,15.42,True
2012/05/10,16.13,True
2012/05/11,16.29,True
2012/05/14,16.07,True
2012/05/15,15.72,True
2012/05/16,15.77,True
2012/05/17,15.62,True
2012/05/18,15.44,True
2012/05/21,15.76,True
2012/05/22,15.84,True
2012/05/23,15.67,True
2012/05/24,15.69,True
2012/05/25,15.64,True
2012/05/29,15.72,True
2012/05/30,15.32,True
2012/05/31,15.32,True
2012/06/01,14.84,True
2012/06/04,15.14,True
2012/06/05,15.49,True
2012/06/06,16.07,True
2012/06/07,15.82,True
2012/06/08,15.93,True
2012/06/11,15.24,True
2012/06/12,15.3,True
2012/06/13,15.03,True
2012/06/14,15.09,True
2012/06/15,15.02,True
2012/06/18,15.21,True
2012/06/19,15.84,True
2012/06/20,15.81,True
2012/06/21,15.26,True
2012/06/22,15.61,True
2012/06/25,15.5,True
2012/06/26,15.61,True
2012/06/27,16.55,True
2012/06/28,16.83,True
2012/06/29,17.36,True
2012/07/02,17.26,True
2012/07/03,17.67,True
2012/07/05,17.31,True
2012/07/06,17.14,True
2012/07/09,16.95,True
2012/07/10,16.83,True
2012/07/11,17.1,True
2012/07/12,17.23,True
2012/07/13,17.6,True
2012/07/16,17.46,True
2012/07/17,17.49,True
2012/07/18,17.93,True
2012/07/19,18.1,True
2012/07/20,18.05,True
2012/07/23,19.52,True
2012/07/24,18.75,True
2012/07/25,19.02,True
2012/07/26,19.6,True
2012/07/27,19.78,True
2012/07/30,19.89,True
2012/07/31,19.82,True
