date,PRC,is_prediction
2012/01/03,73.79,True
2012/01/04,75.05,True
2012/01/05,75.76,True
2012/01/06,75.31,True
2012/01/09,76.44,True
2012/01/10,77.72,True
2012/01/11,78.0,True
2012/01/12,78.24,True
2012/01/13,76.5,True
2012/01/17,76.31,True
2012/01/18,76.33,True
2012/01/19,77.94,True
2012/01/20,77.26,True
2012/01/23,75.95,True
2012/01/24,75.48,True
2012/01/25,75.17,True
2012/01/26,74.87,True
2012/01/27,73.94,True
2012/01/30,73.18,True
2012/01/31,72.2,True
2012/02/01,72.68,True
2012/02/02,72.38,True
2012/02/03,73.61,True
2012/02/06,72.14,True
2012/02/07,72.34,True
2012/02/08,72.55,True
2012/02/09,72.33,True
2012/02/10,71.53,True
2012/02/13,71.05,True
2012/02/14,70.4,True
2012/02/15,67.84,True
2012/02/16,68.44,True
2012/02/17,68.81,True
2012/02/21,68.72,True
2012/02/22,68.45,True
2012/02/23,69.31,True
2012/02/24,70.03,True
2012/02/27,70.59,True
2012/02/28,69.57,True
2012/02/29,68.9,True
2012/03/01,68.97,True
2012/03/02,68.1,True
2012/03/05,67.68,True
2012/03/06,65.95,True
2012/03/07,65.27,True
2012/03/08,66.77,True
2012/03/09,66.48,True
2012/03/12,66.09,True
2012/03/13,67.05,True
2012/03/14,64.95,True
2012/03/15,68.53,True
2012/03/16,68.98,True
2012/03/19,68.3,True
2012/03/20,66.95,True
2012/03/21,67.2,True
2012/03/22,64.7,True
2012/03/23,64.45,True
2012/03/26,66.13,True
2012/03/27,66.3,True
2012/03/28,65.9,True
2012/03/29,66.17,True
2012/03/30,65.83,True
2012/04/02,67.02,True
2012/04/03,66.28,True
2012/04/04,66.98,True
2012/04/05,67.83,True
2012/04/09,66.71,True
2012/04/10,65.32,True
2012/04/11,66.17,True
2012/04/12,67.91,True
2012/04/13,67.44,True
2012/04/16,68.24,True
2012/04/17,69.05,True
2012/04/18,69.67,True
2012/04/19,68.7,True
2012/04/20,69.53,True
2012/04/23,69.4,True
2012/04/24,70.22,True
2012/04/25,72.91,True
2012/04/26,73.23,True
2012/04/27,73.37,True
2012/04/30,72.93,True
2012/05/01,74.41,True
2012/05/02,73.72,True
2012/05/03,72.97,True
2012/05/04,71.63,True
2012/05/07,71.99,True
2012/05/08,70.23,True
2012/05/09,68.39,True
2012/05/10,68.17,True
2012/05/11,68.44,True
2012/05/14,68.01,True
2012/05/15,67.89,True
2012/05/16,67.94,True
2012/05/17,66.21,True
2012/05/18,65.34,True
2012/05/21,67.41,True
2012/05/22,67.28,True
2012/05/23,68.09,True
2012/05/24,67.44,True
2012/05/25,66.43,True
2012/05/29,66.5,True
2012/05/30,65.34,True
2012/05/31,65.52,True
2012/06/01,64.29,True
2012/06/04,63.69,True
2012/06/05,63.67,True
2012/06/06,65.55,True
2012/06/07,66.0,True
2012/06/08,66.44,True
2012/06/11,65.92,True
2012/06/12,67.19,True
2012/06/13,67.17,True
2012/06/14,68.2,True
2012/06/15,68.97,True
2012/06/18,71.07,True
2012/06/19,71.31,True
2012/06/20,71.69,True
2012/06/21,71.14,True
2012/06/22,70.0,True
2012/06/25,68.74,True
2012/06/26,69.31,True
2012/06/27,69.76,True
2012/06/28,70.07,True
2012/06/29,71.77,True
2012/07/02,71.42,True
2012/07/03,71.91,True
2012/07/05,71.91,True
2012/07/06,72.2,True
2012/07/09,72.07,True
2012/07/10,70.99,True
2012/07/11,71.27,True
2012/07/12,71.84,True
2012/07/13,73.69,True
2012/07/16,73.75,True
2012/07/17,73.89,True
2012/07/18,73.8,True
2012/07/19,74.18,True
2012/07/20,72.99,True
2012/07/23,72.19,True
2012/07/24,71.96,True
2012/07/25,71.7,True
2012/07/26,73.0,True
2012/07/27,74.69,True
2012/07/30,74.18,True
2012/07/31,74.05,True
2012/08/01,73.31,True
2012/08/02,73.4,True
2012/08/03,74.94,True
2012/08/06,74.72,True
2012/08/07,74.97,True
2012/08/08,74.81,True
2012/08/09,73.69,True
2012/08/10,74.56,True
2012/08/13,74.28,True
2012/08/14,74.09,True
2012/08/15,74.72,True
2012/08/16,74.69,True
2012/08/17,75.1,True
2012/08/20,74.83,True
2012/08/21,74.88,True
2012/08/22,74.67,True
2012/08/23,73.58,True
2012/08/24,73.6,True
2012/08/27,73.37,True
2012/08/28,73.66,True
2012/08/29,73.66,True
2012/08/30,72.64,True
2012/08/31,72.46,True
2012/09/04,71.06,True
2012/09/05,70.08,True
2012/09/06,72.02,True
2012/09/07,71.92,True
2012/09/10,72.4,True
2012/09/11,73.52,True
2012/09/12,74.02,True
2012/09/13,74.53,True
2012/09/14,74.69,True
2012/09/17,74.23,True
2012/09/18,73.93,True
2012/09/19,72.69,True
2012/09/20,66.11,True
2012/09/21,65.0,True
2012/09/24,66.28,True
2012/09/25,65.07,True
2012/09/26,64.57,True
2012/09/27,64.18,True
2012/09/28,63.63,True
2012/10/01,64.45,True
2012/10/02,65.02,True
2012/10/03,65.6,True
2012/10/04,66.18,True
2012/10/05,66.9,True
2012/10/08,67.28,True
2012/10/09,66.95,True
2012/10/10,66.4,True
2012/10/11,65.96,True
2012/10/12,67.28,True
2012/10/15,67.61,True
2012/10/16,67.71,True
2012/10/17,67.21,True
2012/10/18,66.7,True
2012/10/19,65.64,True
2012/10/22,66.83,True
2012/10/23,66.01,True
2012/10/24,61.09,True
2012/10/25,62.57,True
2012/10/26,62.77,True
2012/10/31,61.35,True
2012/11/01,61.77,True
2012/11/02,61.13,True
2012/11/05,60.99,True
2012/11/06,61.5,True
2012/11/07,59.98,True
2012/11/08,59.14,True
2012/11/09,58.0,True
2012/11/12,58.06,True
2012/11/13,58.51,True
2012/11/14,57.51,True
2012/11/15,57.02,True
2012/11/16,56.34,True
2012/11/19,58.03,True
2012/11/20,56.91,True
