date,PRC,is_prediction
2012/01/03,36.775,True
2012/01/04,35.64,True
2012/01/05,34.67,True
2012/01/06,35.325,True
2012/01/09,35.035,True
2012/01/10,35.13,True
2012/01/11,34.75,True
2012/01/12,34.43,True
2012/01/13,33.98,True
2012/01/17,33.73,True
2012/01/18,34.65,True
2012/01/19,37.51,True
2012/01/20,36.85,True
2012/01/23,37.24,True
2012/01/24,37.66,True
2012/01/25,37.8,True
2012/01/26,37.56,True
2012/01/27,37.28,True
2012/01/30,37.43,True
2012/01/31,37.74,True
2012/02/01,39.4,True
2012/02/02,39.43,True
2012/02/03,40.35,True
2012/02/06,39.93,True
2012/02/07,39.41,True
2012/02/08,39.775,True
2012/02/09,41.11,True
2012/02/10,39.685,True
2012/02/13,38.98,True
2012/02/14,39.12,True
2012/02/15,39.88,True
2012/02/16,42.74,True
2012/02/17,42.2,True
2012/02/21,43.0,True
2012/02/22,42.63,True
2012/02/23,43.28,True
2012/02/24,43.08,True
2012/02/27,43.26,True
2012/02/28,43.575,True
2012/02/29,43.0,True
2012/03/01,43.31,True
2012/03/02,43.55,True
2012/03/05,42.32,True
2012/03/06,40.95,True
2012/03/07,41.58,True
2012/03/08,41.84,True
2012/03/09,42.94,True
2012/03/12,42.53,True
2012/03/13,43.51,True
2012/03/14,42.87,True
2012/03/15,43.33,True
2012/03/16,43.39,True
2012/03/19,44.06,True
2012/03/20,45.31,True
2012/03/21,46.02,True
2012/03/22,45.19,True
2012/03/23,45.62,True
2012/03/26,46.33,True
2012/03/27,46.06,True
2012/03/28,45.29,True
2012/03/29,44.67,True
2012/03/30,44.77,True
2012/04/02,45.05,True
2012/04/03,45.47,True
2012/04/04,44.71,True
2012/04/05,43.72,True
2012/04/09,42.77,True
2012/04/10,42.02,True
2012/04/11,40.87,True
2012/04/12,40.94,True
2012/04/13,40.13,True
2012/04/16,39.79,True
2012/04/17,40.44,True
2012/04/18,40.11,True
2012/04/19,39.67,True
2012/04/20,38.74,True
2012/04/23,38.68,True
2012/04/24,38.68,True
2012/04/25,39.26,True
2012/04/26,39.41,True
2012/04/27,39.03,True
2012/04/30,38.825,True
2012/05/01,40.68,True
2012/05/02,39.29,True
2012/05/03,38.48,True
2012/05/04,38.42,True
2012/05/07,37.99,True
2012/05/08,37.81,True
2012/05/09,37.78,True
2012/05/10,35.7,True
2012/05/11,36.08,True
2012/05/14,35.79,True
2012/05/15,35.17,True
2012/05/16,34.64,True
2012/05/17,34.27,True
2012/05/18,33.06,True
2012/05/21,33.52,True
2012/05/22,33.3,True
2012/05/23,32.86,True
2012/05/24,28.82,True
2012/05/25,28.61,True
2012/05/29,29.71,True
2012/05/30,29.6,True
2012/05/31,29.76,True
2012/06/01,29.44,True
2012/06/04,29.9,True
2012/06/05,31.14,True
2012/06/06,32.07,True
2012/06/07,31.31,True
2012/06/08,30.33,True
2012/06/11,29.65,True
2012/06/12,30.26,True
2012/06/13,30.18,True
2012/06/14,30.09,True
2012/06/15,30.73,True
2012/06/18,30.78,True
2012/06/19,30.9,True
2012/06/20,30.97,True
2012/06/21,29.55,True
2012/06/22,30.16,True
2012/06/25,30.02,True
2012/06/26,29.66,True
2012/06/27,30.59,True
2012/06/28,29.89,True
2012/06/29,31.82,True
2012/07/02,30.95,True
2012/07/03,31.1,True
2012/07/05,31.12,True
2012/07/06,29.76,True
2012/07/09,29.14,True
2012/07/10,28.83,True
2012/07/11,28.76,True
2012/07/12,28.37,True
2012/07/13,28.6,True
2012/07/16,28.62,True
2012/07/17,28.54,True
2012/07/18,30.26,True
2012/07/19,31.115,True
2012/07/20,31.19,True
2012/07/23,30.6,True
2012/07/24,31.24,True
2012/07/25,31.47,True
2012/07/26,32.085,True
2012/07/27,32.91,True
2012/07/30,32.49,True
2012/07/31,32.67,True
2012/08/01,32.09,True
2012/08/02,31.61,True
2012/08/03,32.34,True
2012/08/06,32.06,True
2012/08/07,33.45,True
2012/08/08,32.98,True
2012/08/09,32.13,True
2012/08/10,32.58,True
2012/08/13,31.81,True
2012/08/14,31.42,True
2012/08/15,31.748,True
2012/08/16,32.97,True
2012/08/17,33.46,True
2012/08/20,33.08,True
2012/08/21,33.14,True
2012/08/22,33.39,True
2012/08/23,33.4,True
2012/08/24,34.78,True
2012/08/27,34.91,True
2012/08/28,34.68,True
2012/08/29,34.93,True
2012/08/30,34.13,True
2012/08/31,34.52,True
2012/09/04,34.62,True
2012/09/05,34.55,True
2012/09/06,35.56,True
2012/09/07,35.8,True
2012/09/10,35.08,True
2012/09/11,35.18,True
2012/09/12,35.2,True
2012/09/13,35.28,True
2012/09/14,35.81,True
2012/09/17,35.41,True
2012/09/18,35.46,True
2012/09/19,35.74,True
2012/09/20,35.51,True
2012/09/21,36.26,True
2012/09/24,35.4,True
2012/09/25,34.42,True
2012/09/26,32.975,True
2012/09/27,33.23,True
2012/09/28,32.88,True
