date,PRC,is_prediction
2012/01/03,40.52,True
2012/01/04,40.88,True
2012/01/05,40.95,True
2012/01/06,41.17,True
2012/01/09,41.08,True
2012/01/10,41.58,True
2012/01/11,42.11,True
2012/01/12,42.27,True
2012/01/13,41.86,True
2012/01/17,41.99,True
2012/01/18,42.62,True
2012/01/19,42.9,True
2012/01/20,42.87,True
2012/01/23,42.9,True
2012/01/24,43.2,True
2012/01/25,43.74,True
2012/01/26,44.13,True
2012/01/27,44.5,True
2012/01/30,44.6,True
2012/01/31,44.49,True
2012/02/01,44.82,True
2012/02/02,44.56,True
2012/02/03,45.41,True
2012/02/06,45.13,True
2012/02/07,45.33,True
2012/02/08,45.31,True
2012/02/09,45.4,True
2012/02/10,44.47,True
2012/02/13,43.92,True
2012/02/14,43.37,True
2012/02/15,43.16,True
2012/02/16,44.14,True
2012/02/17,43.91,True
2012/02/21,44.36,True
2012/02/22,43.57,True
2012/02/23,43.63,True
2012/02/24,43.86,True
2012/02/27,44.15,True
2012/02/28,44.03,True
2012/02/29,43.53,True
2012/03/01,43.83,True
2012/03/02,43.57,True
2012/03/05,42.52,True
2012/03/06,41.31,True
2012/03/07,41.45,True
2012/03/08,41.65,True
2012/03/09,42.25,True
2012/03/12,42.32,True
2012/03/13,43.6,True
2012/03/14,43.91,True
2012/03/15,43.45,True
2012/03/16,44.23,True
2012/03/19,44.8,True
2012/03/20,43.83,True
2012/03/21,43.58,True
2012/03/22,42.89,True
2012/03/23,43.15,True
2012/03/26,43.76,True
2012/03/27,43.47,True
2012/03/28,42.55,True
2012/03/29,42.81,True
2012/03/30,42.95,True
2012/04/02,43.49,True
2012/04/03,42.82,True
2012/04/04,42.1,True
2012/04/05,41.69,True
2012/04/09,41.12,True
2012/04/10,40.7,True
2012/04/11,41.15,True
2012/04/12,42.25,True
2012/04/13,41.57,True
2012/04/16,41.68,True
2012/04/17,42.32,True
2012/04/18,42.2,True
2012/04/19,40.09,True
2012/04/20,39.67,True
2012/04/23,38.92,True
2012/04/24,38.9,True
2012/04/25,39.34,True
2012/04/26,39.5,True
2012/04/27,39.33,True
