date,PRC,is_prediction
2012/01/03,16.23,True
2012/01/04,16.27,True
2012/01/05,16.66,True
2012/01/06,17.0,True
2012/01/09,17.18,True
2012/01/10,17.19,True
2012/01/11,17.36,True
2012/01/12,17.43,True
2012/01/13,17.19,True
2012/01/17,16.94,True
2012/01/18,17.19,True
2012/01/19,17.46,True
2012/01/20,17.3,True
2012/01/23,17.19,True
2012/01/24,17.07,True
2012/01/25,17.33,True
2012/01/26,17.43,True
2012/01/27,18.82,True
2012/01/30,18.6,True
2012/01/31,18.47,True
2012/02/01,18.55,True
2012/02/02,18.39,True
2012/02/03,18.72,True
2012/02/06,18.9,True
2012/02/07,19.17,True
2012/02/08,19.03,True
2012/02/09,19.3,True
2012/02/10,18.88,True
2012/02/13,18.97,True
2012/02/14,18.91,True
2012/02/15,18.72,True
2012/02/16,19.1,True
2012/02/17,19.26,True
2012/02/21,18.99,True
2012/02/22,18.82,True
2012/02/23,18.51,True
2012/02/24,18.38,True
2012/02/27,18.35,True
2012/02/28,18.29,True
2012/02/29,18.3,True
2012/03/01,18.51,True
2012/03/02,18.17,True
2012/03/05,18.02,True
2012/03/06,17.28,True
2012/03/07,17.48,True
2012/03/08,17.95,True
2012/03/09,17.92,True
2012/03/12,17.67,True
2012/03/13,18.46,True
2012/03/14,18.65,True
2012/03/15,18.72,True
2012/03/16,18.47,True
2012/03/19,18.3,True
2012/03/20,18.16,True
2012/03/21,18.13,True
2012/03/22,17.96,True
2012/03/23,18.12,True
2012/03/26,18.26,True
2012/03/27,18.07,True
2012/03/28,17.91,True
2012/03/29,17.88,True
2012/03/30,17.81,True
2012/04/02,17.87,True
2012/04/03,17.97,True
2012/04/04,17.49,True
2012/04/05,17.46,True
2012/04/09,17.11,True
2012/04/10,16.79,True
2012/04/11,16.89,True
2012/04/12,17.24,True
2012/04/13,17.13,True
2012/04/16,17.19,True
2012/04/17,17.44,True
2012/04/18,17.34,True
2012/04/19,17.36,True
2012/04/20,17.4,True
2012/04/23,17.21,True
2012/04/24,17.48,True
2012/04/25,17.85,True
2012/04/26,17.96,True
2012/04/27,18.57,True
2012/04/30,18.2,True
2012/05/01,18.27,True
2012/05/02,18.6,True
2012/05/03,18.65,True
2012/05/04,18.56,True
2012/05/07,18.64,True
2012/05/08,18.36,True
2012/05/09,18.27,True
2012/05/10,18.43,True
2012/05/11,18.32,True
2012/05/14,18.26,True
2012/05/15,18.01,True
2012/05/16,18.1,True
2012/05/17,17.6,True
2012/05/18,17.69,True
2012/05/21,17.95,True
2012/05/22,17.96,True
2012/05/23,18.23,True
2012/05/24,18.39,True
2012/05/25,18.94,True
2012/05/29,19.03,True
2012/05/30,18.49,True
2012/05/31,18.4,True
2012/06/01,17.66,True
2012/06/04,17.64,True
2012/06/05,17.57,True
2012/06/06,18.04,True
2012/06/07,18.05,True
2012/06/08,17.99,True
2012/06/11,18.12,True
2012/06/12,18.48,True
2012/06/13,18.28,True
2012/06/14,18.41,True
2012/06/15,18.49,True
2012/06/18,18.57,True
2012/06/19,18.45,True
2012/06/20,18.4,True
2012/06/21,18.02,True
2012/06/22,18.01,True
2012/06/25,17.61,True
2012/06/26,17.43,True
2012/06/27,17.4,True
2012/06/28,17.47,True
2012/06/29,18.14,True
2012/07/02,18.16,True
2012/07/03,18.12,True
2012/07/05,18.64,True
2012/07/06,18.29,True
2012/07/09,18.03,True
2012/07/10,17.7,True
2012/07/11,17.42,True
2012/07/12,17.4,True
2012/07/13,17.7,True
2012/07/16,17.51,True
2012/07/17,17.76,True
2012/07/18,17.99,True
2012/07/19,18.33,True
2012/07/20,18.12,True
2012/07/23,17.56,True
2012/07/24,17.43,True
2012/07/25,17.43,True
2012/07/26,17.7,True
2012/07/27,18.09,True
2012/07/30,17.78,True
2012/07/31,17.65,True
2012/08/01,17.28,True
2012/08/02,16.67,True
2012/08/03,17.07,True
2012/08/06,17.17,True
2012/08/07,17.42,True
2012/08/08,17.42,True
2012/08/09,17.25,True
2012/08/10,16.98,True
2012/08/13,17.04,True
2012/08/14,16.89,True
2012/08/15,16.88,True
2012/08/16,17.21,True
2012/08/17,17.6,True
2012/08/20,17.65,True
2012/08/21,17.66,True
2012/08/22,17.51,True
2012/08/23,17.55,True
2012/08/24,17.65,True
2012/08/27,17.29,True
2012/08/28,17.36,True
