date,PRC,is_prediction
2012/01/03,18.67,True
2012/01/04,18.55,True
2012/01/05,18.72,True
2012/01/06,18.6,True
2012/01/09,18.6,True
2012/01/10,18.92,True
2012/01/11,19.03,True
2012/01/12,19.14,True
2012/01/13,18.92,True
2012/01/17,19.29,True
2012/01/18,19.57,True
2012/01/19,20.05,True
2012/01/20,19.66,True
2012/01/23,19.77,True
2012/01/24,19.67,True
2012/01/25,19.48,True
2012/01/26,19.5,True
2012/01/27,19.52,True
2012/01/30,19.58,True
2012/01/31,19.47,True
2012/02/01,19.84,True
2012/02/02,19.61,True
2012/02/03,19.96,True
2012/02/06,20.2,True
2012/02/07,20.19,True
2012/02/08,20.21,True
2012/02/09,19.96,True
2012/02/10,19.85,True
2012/02/13,20.11,True
2012/02/14,19.91,True
2012/02/15,19.7,True
2012/02/16,19.96,True
2012/02/17,20.25,True
2012/02/21,20.21,True
2012/02/22,20.04,True
2012/02/23,20.24,True
2012/02/24,20.17,True
2012/02/27,20.08,True
2012/02/28,20.27,True
2012/02/29,20.29,True
2012/03/01,20.36,True
2012/03/02,20.15,True
2012/03/05,19.84,True
2012/03/06,19.44,True
2012/03/07,19.75,True
2012/03/08,19.95,True
2012/03/09,20.13,True
2012/03/12,19.8,True
2012/03/13,20.29,True
2012/03/14,20.28,True
2012/03/15,20.43,True
2012/03/16,20.29,True
2012/03/19,20.44,True
2012/03/20,20.12,True
2012/03/21,20.21,True
2012/03/22,19.98,True
2012/03/23,20.04,True
2012/03/26,20.42,True
2012/03/27,20.49,True
2012/03/28,19.95,True
2012/03/29,19.67,True
2012/03/30,19.97,True
2012/04/02,20.2,True
2012/04/03,20.16,True
2012/04/04,19.72,True
2012/04/05,19.76,True
2012/04/09,19.31,True
2012/04/10,18.92,True
2012/04/11,19.12,True
2012/04/12,19.675,True
2012/04/13,19.52,True
2012/04/16,19.44,True
2012/04/17,19.78,True
2012/04/18,19.63,True
2012/04/19,19.25,True
2012/04/20,19.35,True
2012/04/23,19.28,True
2012/04/24,19.55,True
2012/04/25,19.62,True
2012/04/26,19.9,True
2012/04/27,19.87,True
2012/04/30,19.84,True
2012/05/01,20.08,True
2012/05/02,20.18,True
2012/05/03,19.99,True
2012/05/04,19.49,True
2012/05/07,19.68,True
2012/05/08,19.62,True
2012/05/09,19.6,True
2012/05/10,20.6,True
2012/05/11,20.51,True
2012/05/14,20.4,True
2012/05/15,20.17,True
2012/05/16,19.99,True
2012/05/17,19.69,True
2012/05/18,19.47,True
2012/05/21,19.69,True
2012/05/22,19.73,True
2012/05/23,19.42,True
2012/05/24,19.58,True
2012/05/25,19.63,True
2012/05/29,19.9,True
2012/05/30,19.59,True
2012/05/31,19.4,True
2012/06/01,18.73,True
2012/06/04,18.81,True
2012/06/05,18.83,True
2012/06/06,19.57,True
2012/06/07,19.47,True
2012/06/08,19.68,True
2012/06/11,19.37,True
2012/06/12,19.86,True
2012/06/13,19.74,True
2012/06/14,20.04,True
2012/06/15,20.26,True
2012/06/18,20.32,True
2012/06/19,20.51,True
2012/06/20,20.72,True
2012/06/21,20.42,True
2012/06/22,20.57,True
2012/06/25,20.28,True
2012/06/26,21.96,True
2012/06/27,22.41,True
2012/06/28,22.27,True
2012/06/29,22.52,True
2012/07/02,22.95,True
2012/07/03,22.9,True
2012/07/05,22.58,True
2012/07/06,22.37,True
2012/07/09,22.14,True
2012/07/10,22.0,True
2012/07/11,21.88,True
2012/07/12,21.73,True
2012/07/13,22.11,True
2012/07/16,22.02,True
2012/07/17,22.47,True
2012/07/18,22.62,True
2012/07/19,22.615,True
2012/07/20,22.23,True
2012/07/23,22.0,True
2012/07/24,21.94,True
2012/07/25,22.27,True
2012/07/26,22.82,True
2012/07/27,23.56,True
2012/07/30,23.48,True
2012/07/31,23.19,True
2012/08/01,23.18,True
2012/08/02,23.31,True
2012/08/03,23.61,True
2012/08/06,23.74,True
2012/08/07,23.98,True
2012/08/08,23.89,True
2012/08/09,23.82,True
2012/08/10,23.6,True
2012/08/13,23.435,True
2012/08/14,23.48,True
2012/08/15,23.54,True
2012/08/16,23.66,True
2012/08/17,23.45,True
2012/08/20,23.27,True
2012/08/21,23.54,True
2012/08/22,23.68,True
2012/08/23,23.47,True
2012/08/24,23.48,True
2012/08/27,23.62,True
2012/08/28,23.51,True
2012/08/29,23.61,True
2012/08/30,23.37,True
2012/08/31,23.55,True
2012/09/04,23.68,True
2012/09/05,23.88,True
2012/09/06,24.66,True
2012/09/07,24.66,True
2012/09/10,24.35,True
2012/09/11,24.6,True
2012/09/12,24.48,True
2012/09/13,24.73,True
2012/09/14,24.91,True
2012/09/17,24.82,True
2012/09/18,24.74,True
2012/09/19,25.09,True
2012/09/20,25.22,True
2012/09/21,25.08,True
2012/09/24,25.03,True
2012/09/25,24.69,True
2012/09/26,24.56,True
2012/09/27,24.95,True
2012/09/28,24.79,True
2012/10/01,24.84,True
2012/10/02,24.91,True
2012/10/03,25.1,True
2012/10/04,25.35,True
2012/10/05,25.48,True
2012/10/08,25.5,True
2012/10/09,25.0,True
2012/10/10,24.72,True
2012/10/11,24.58,True
2012/10/12,24.58,True
2012/10/15,24.8,True
2012/10/16,25.17,True
2012/10/17,25.64,True
2012/10/18,25.84,True
2012/10/19,25.36,True
2012/10/22,25.19,True
2012/10/23,24.58,True
2012/10/24,24.8711,True
2012/10/25,24.58,True
2012/10/26,24.21,True
2012/10/31,24.36,True
2012/11/01,24.68,True
2012/11/02,24.26,True
2012/11/05,24.36,True
2012/11/06,24.59,True
2012/11/07,24.98,True
2012/11/08,24.75,True
2012/11/09,24.74,True
