date,PRC,is_prediction
2012/01/03,87.42,True
2012/01/04,87.35,True
2012/01/05,87.44,True
2012/01/06,87.21,True
2012/01/09,86.76,True
2012/01/10,88.16,True
2012/01/11,88.36,True
2012/01/12,87.65,True
2012/01/13,88.81,True
2012/01/17,88.02,True
2012/01/18,88.74,True
2012/01/19,88.48,True
2012/01/20,87.92,True
2012/01/23,87.93,True
2012/01/24,87.25,True
2012/01/25,87.65,True
2012/01/26,88.02,True
2012/01/27,85.1,True
2012/01/30,83.64,True
2012/01/31,83.16,True
2012/02/01,81.73,True
2012/02/02,80.9,True
2012/02/03,81.7,True
2012/02/06,81.73,True
2012/02/07,82.56,True
2012/02/08,81.95,True
2012/02/09,81.71,True
2012/02/10,81.01,True
2012/02/13,81.55,True
2012/02/14,81.27,True
2012/02/15,80.45,True
2012/02/16,82.37,True
2012/02/17,82.09,True
2012/02/21,83.26,True
2012/02/22,83.34,True
2012/02/23,84.16,True
2012/02/24,83.87,True
2012/02/27,83.34,True
2012/02/28,82.08,True
2012/02/29,82.64,True
2012/03/01,82.6,True
2012/03/02,82.79,True
2012/03/05,83.12,True
2012/03/06,82.54,True
2012/03/07,82.32,True
2012/03/08,82.6,True
2012/03/09,83.26,True
2012/03/12,84.49,True
2012/03/13,85.01,True
2012/03/14,83.91,True
2012/03/15,83.57,True
2012/03/16,82.85,True
2012/03/19,83.05,True
2012/03/20,82.83,True
2012/03/21,82.28,True
2012/03/22,81.52,True
2012/03/23,82.18,True
2012/03/26,82.6,True
2012/03/27,82.39,True
2012/03/28,81.83,True
2012/03/29,81.89,True
2012/03/30,81.66,True
2012/04/02,81.61,True
2012/04/03,81.9,True
2012/04/04,80.95,True
2012/04/05,81.1,True
2012/04/09,80.68,True
2012/04/10,79.36,True
2012/04/11,80.54,True
2012/04/12,80.47,True
2012/04/13,80.22,True
2012/04/16,80.0,True
2012/04/17,81.09,True
2012/04/18,80.93,True
2012/04/19,80.94,True
2012/04/20,82.83,True
2012/04/23,82.18,True
2012/04/24,82.69,True
2012/04/25,84.36,True
2012/04/26,84.96,True
2012/04/27,85.49,True
2012/04/30,85.89,True
2012/05/01,86.78,True
2012/05/02,86.6,True
2012/05/03,86.58,True
2012/05/04,86.62,True
2012/05/07,86.34,True
2012/05/08,85.8,True
2012/05/09,85.25,True
2012/05/10,86.72,True
2012/05/11,86.45,True
2012/05/14,84.61,True
2012/05/15,84.36,True
2012/05/16,84.26,True
2012/05/17,82.17,True
2012/05/18,81.57,True
2012/05/21,83.55,True
2012/05/22,84.18,True
2012/05/23,82.81,True
2012/05/24,83.66,True
2012/05/25,83.6,True
2012/05/29,84.69,True
2012/05/30,83.21,True
2012/05/31,82.99,True
2012/06/01,79.8,True
2012/06/04,39.49,True
2012/06/05,40.16,True
2012/06/06,41.32,True
2012/06/07,41.32,True
2012/06/08,41.28,True
2012/06/11,41.19,True
2012/06/12,42.05,True
2012/06/13,42.04,True
2012/06/14,42.36,True
2012/06/15,42.91,True
2012/06/18,43.43,True
2012/06/19,43.98,True
2012/06/20,43.53,True
2012/06/21,42.31,True
2012/06/22,42.59,True
2012/06/25,41.55,True
2012/06/26,41.24,True
2012/06/27,41.52,True
2012/06/28,41.55,True
2012/06/29,42.31,True
2012/07/02,42.73,True
2012/07/03,43.0,True
2012/07/05,42.91,True
2012/07/06,42.78,True
2012/07/09,42.6,True
2012/07/10,42.26,True
2012/07/11,42.33,True
2012/07/12,42.93,True
2012/07/13,43.29,True
2012/07/16,43.41,True
2012/07/17,43.85,True
2012/07/18,44.0,True
2012/07/19,44.1,True
2012/07/20,44.06,True
2012/07/23,43.95,True
2012/07/24,43.36,True
2012/07/25,43.12,True
2012/07/26,43.6,True
2012/07/27,45.32,True
2012/07/30,45.35,True
2012/07/31,44.51,True
2012/08/01,44.68,True
2012/08/02,44.04,True
2012/08/03,44.72,True
2012/08/06,44.99,True
2012/08/07,44.83,True
2012/08/08,44.64,True
2012/08/09,44.65,True
2012/08/10,44.75,True
2012/08/13,44.44,True
2012/08/14,44.37,True
2012/08/15,44.37,True
2012/08/16,44.53,True
2012/08/17,44.3,True
2012/08/20,44.4,True
2012/08/21,44.5,True
2012/08/22,44.49,True
2012/08/23,44.33,True
2012/08/24,44.59,True
2012/08/27,44.67,True
2012/08/28,44.47,True
2012/08/29,44.75,True
2012/08/30,44.5,True
2012/08/31,44.53,True
2012/09/04,45.0,True
2012/09/05,44.88,True
2012/09/06,45.58,True
2012/09/07,45.75,True
2012/09/10,45.9,True
2012/09/11,46.15,True
2012/09/12,46.31,True
2012/09/13,46.96,True
2012/09/14,47.09,True
2012/09/17,46.98,True
2012/09/18,46.76,True
2012/09/19,46.91,True
2012/09/20,46.98,True
2012/09/21,47.11,True
2012/09/24,47.81,True
2012/09/25,47.11,True
2012/09/26,47.8,True
2012/09/27,48.03,True
2012/09/28,48.31,True
2012/10/01,48.08,True
2012/10/02,48.1,True
2012/10/03,48.83,True
2012/10/04,49.11,True
2012/10/05,49.39,True
2012/10/08,49.07,True
2012/10/09,48.68,True
2012/10/10,48.06,True
2012/10/11,47.95,True
2012/10/12,47.8,True
2012/10/15,47.84,True
2012/10/16,48.28,True
2012/10/17,48.89,True
2012/10/18,48.41,True
2012/10/19,47.62,True
2012/10/22,47.15,True
2012/10/23,46.8,True
2012/10/24,47.19,True
2012/10/25,47.25,True
2012/10/26,47.14,True
2012/10/31,47.3,True
2012/11/01,46.77,True
2012/11/02,45.69,True
2012/11/05,45.35,True
2012/11/06,45.8,True
2012/11/07,45.24,True
2012/11/08,44.63,True
2012/11/09,44.92,True
2012/11/12,44.18,True
2012/11/13,44.52,True
2012/11/14,44.6,True
2012/11/15,44.65,True
2012/11/16,45.66,True
2012/11/19,45.9,True
2012/11/20,46.04,True
2012/11/21,46.0,True
2012/11/23,45.98,True
2012/11/26,45.93,True
2012/11/27,45.58,True
2012/11/28,44.88,True
2012/11/29,44.37,True
2012/11/30,44.87,True
2012/12/03,44.64,True
2012/12/04,44.55,True
2012/12/05,44.41,True
2012/12/06,43.67,True
2012/12/07,43.0,True
2012/12/10,42.95,True
2012/12/11,43.69,True
2012/12/12,43.59,True
2012/12/13,43.17,True
2012/12/14,42.9,True
2012/12/17,43.72,True
2012/12/18,43.52,True
2012/12/19,43.45,True
2012/12/20,43.85,True
2012/12/21,43.41,True
2012/12/24,43.24,True
2012/12/26,42.4,True
2012/12/27,42.16,True
2012/12/28,42.07,True
2012/12/31,42.75,True
2013/01/01,42.675944721758185,False
2013/01/02,42.465714963061814,False
2013/01/03,42.34385269068632,False
2013/01/04,42.121266098242955,False
2013/01/07,41.92864110815856,False
2013/01/08,41.71610769304072,False
2013/01/09,41.557714477439156,False
2013/01/10,41.387524077593234,False
2013/01/11,41.20320076317372,False
2013/01/14,41.02949063610709,False
2013/01/15,40.84931396492296,False
2013/01/16,40.670447783174936,False
2013/01/17,40.48948053707923,False
2013/01/18,40.310184277736944,False
2013/01/21,40.13163725626767,False
2013/01/22,39.95189630310287,False
2013/01/23,39.772901081666774,False
2013/01/24,39.59365793398449,False
2013/01/25,39.41445116164522,False
2013/01/28,39.235175120210215,False
2013/01/29,39.055877112168474,False
2013/01/30,38.876677843285194,False
2013/01/31,38.69740142534139,False
2013/02/01,38.5181572181361,False
2013/02/04,38.338911539571654,False
2013/02/05,38.15966263668746,False
2013/02/06,37.980416616808455,False
2013/02/07,37.80116383032473,False
2013/02/08,37.62191768136067,False
2013/02/11,37.44266808709883,False
2013/02/12,37.26341901349643,False
2013/02/13,37.084170448585205,False
2013/02/14,36.904921613383024,False
2013/02/15,36.72567325789923,False
2013/02/18,36.54642426861388,False
2013/02/19,36.36717560521947,False
2013/02/20,36.187926780981435,False
2013/02/21,36.00867783386594,False
2013/02/22,35.82942952896339,False
2013/02/25,35.65018083750133,False
2013/02/26,35.470932079290556,False
2013/02/27,35.291683570826414,False
2013/02/28,35.11243444486932,False
2013/03/01,34.933185642873276,False
2013/03/04,34.75393664160068,False
2013/03/05,34.57468779549086,False
2013/03/06,34.395439034702356,False
2013/03/07,34.21619016066409,False
2013/03/08,34.03694151945172,False
2013/03/11,33.85769244230869,False
