date,PRC,is_prediction
2012/01/03,45.0,True
2012/01/04,44.74,True
2012/01/05,44.15,True
2012/01/06,44.04,True
2012/01/09,44.25,True
2012/01/10,45.3,True
2012/01/11,45.05,True
2012/01/12,45.87,True
2012/01/13,46.46,True
2012/01/17,46.59,True
2012/01/18,47.09,True
2012/01/19,47.69,True
2012/01/20,46.71,True
2012/01/23,46.17,True
2012/01/24,46.18,True
2012/01/25,46.67,True
2012/01/26,46.74,True
2012/01/27,46.52,True
2012/01/30,46.26,True
2012/01/31,45.61,True
2012/02/01,46.71,True
2012/02/02,46.17,True
2012/02/03,47.19,True
2012/02/06,47.38,True
2012/02/07,47.47,True
2012/02/08,47.46,True
2012/02/09,47.91,True
2012/02/10,47.56,True
2012/02/13,48.02,True
2012/02/14,48.0,True
2012/02/15,47.42,True
2012/02/16,48.09,True
2012/02/17,48.42,True
2012/02/21,48.73,True
2012/02/22,48.4,True
2012/02/23,48.79,True
2012/02/24,48.61,True
2012/02/27,48.6,True
2012/02/28,48.86,True
2012/02/29,49.44,True
2012/03/01,48.76,True
2012/03/02,48.35,True
2012/03/05,48.4,True
2012/03/06,47.7,True
2012/03/07,47.89,True
2012/03/08,48.89,True
2012/03/09,48.49,True
2012/03/12,48.58,True
2012/03/13,49.14,True
2012/03/14,49.1,True
2012/03/15,49.83,True
2012/03/16,50.01,True
2012/03/19,50.08,True
2012/03/20,49.88,True
2012/03/21,49.9,True
2012/03/22,50.16,True
2012/03/23,50.18,True
2012/03/26,51.0,True
2012/03/27,50.93,True
2012/03/28,50.41,True
2012/03/29,50.27,True
2012/03/30,50.65,True
2012/04/02,49.91,True
2012/04/03,49.89,True
2012/04/04,49.13,True
2012/04/05,49.4,True
2012/04/09,48.42,True
2012/04/10,47.51,True
2012/04/11,48.2,True
2012/04/12,49.49,True
2012/04/13,48.73,True
2012/04/16,49.19,True
2012/04/17,48.64,True
2012/04/18,49.0,True
2012/04/19,49.39,True
2012/04/20,50.05,True
2012/04/23,49.47,True
2012/04/24,49.79,True
2012/04/25,50.25,True
2012/04/26,51.06,True
2012/04/27,51.54,True
2012/04/30,51.31,True
2012/05/01,51.56,True
2012/05/02,51.84,True
2012/05/03,52.05,True
2012/05/04,51.2,True
2012/05/07,51.52,True
2012/05/08,51.12,True
2012/05/09,50.65,True
2012/05/10,50.52,True
2012/05/11,51.13,True
2012/05/14,50.45,True
2012/05/15,50.45,True
2012/05/16,50.36,True
2012/05/17,49.6,True
2012/05/18,48.48,True
2012/05/21,49.86,True
2012/05/22,49.95,True
2012/05/23,49.83,True
2012/05/24,50.1,True
2012/05/25,49.78,True
2012/05/29,49.76,True
2012/05/30,48.51,True
2012/05/31,47.68,True
2012/06/01,46.37,True
2012/06/04,46.38,True
2012/06/05,46.56,True
2012/06/06,47.24,True
2012/06/07,47.73,True
2012/06/08,48.06,True
2012/06/11,47.69,True
2012/06/12,47.85,True
2012/06/13,47.04,True
2012/06/14,47.12,True
2012/06/15,47.71,True
2012/06/18,47.68,True
2012/06/19,48.11,True
2012/06/20,48.32,True
2012/06/21,47.5,True
2012/06/22,46.98,True
2012/06/25,46.26,True
2012/06/26,46.08,True
2012/06/27,46.58,True
2012/06/28,46.96,True
2012/06/29,48.6,True
2012/07/02,49.15,True
2012/07/03,48.96,True
2012/07/05,48.75,True
2012/07/06,48.22,True
2012/07/09,47.55,True
2012/07/10,47.61,True
2012/07/11,47.57,True
2012/07/12,47.84,True
2012/07/13,48.55,True
2012/07/16,49.14,True
2012/07/17,49.75,True
2012/07/18,50.29,True
2012/07/19,50.01,True
2012/07/20,49.28,True
2012/07/23,48.49,True
2012/07/24,48.29,True
2012/07/25,48.57,True
2012/07/26,49.6,True
2012/07/27,50.4,True
2012/07/30,50.62,True
2012/07/31,50.18,True
2012/08/01,49.57,True
2012/08/02,49.39,True
2012/08/03,50.95,True
2012/08/06,50.77,True
2012/08/07,51.05,True
2012/08/08,51.45,True
2012/08/09,51.63,True
2012/08/10,51.93,True
2012/08/13,51.66,True
2012/08/14,51.45,True
2012/08/15,51.43,True
2012/08/16,51.62,True
2012/08/17,52.39,True
2012/08/20,52.28,True
2012/08/21,51.79,True
2012/08/22,51.59,True
2012/08/23,50.89,True
2012/08/24,51.36,True
2012/08/27,51.2,True
2012/08/28,51.1,True
2012/08/29,51.32,True
2012/08/30,50.8,True
2012/08/31,51.37,True
2012/09/04,51.63,True
2012/09/05,51.67,True
2012/09/06,52.84,True
2012/09/07,53.07,True
2012/09/10,53.32,True
2012/09/11,53.53,True
2012/09/12,53.54,True
2012/09/13,54.0,True
2012/09/14,53.94,True
2012/09/17,53.8,True
2012/09/18,53.77,True
2012/09/19,54.23,True
2012/09/20,53.2,True
2012/09/21,53.74,True
2012/09/24,53.64,True
2012/09/25,52.78,True
2012/09/26,51.72,True
2012/09/27,52.36,True
2012/09/28,51.56,True
2012/10/01,51.68,True
2012/10/02,51.96,True
2012/10/03,52.03,True
2012/10/04,52.44,True
2012/10/05,52.49,True
2012/10/08,52.51,True
2012/10/09,52.44,True
2012/10/10,51.75,True
2012/10/11,52.02,True
2012/10/12,51.73,True
2012/10/15,52.46,True
2012/10/16,50.73,True
2012/10/17,49.87,True
2012/10/18,49.65,True
2012/10/19,48.91,True
2012/10/22,48.91,True
2012/10/23,48.23,True
2012/10/24,48.09,True
2012/10/25,48.22,True
2012/10/26,48.11,True
2012/10/31,47.91,True
2012/11/01,49.17,True
2012/11/02,48.18,True
2012/11/05,48.26,True
2012/11/06,48.66,True
2012/11/07,48.24,True
2012/11/08,46.95,True
2012/11/09,47.01,True
2012/11/12,47.02,True
2012/11/13,46.65,True
2012/11/14,46.01,True
2012/11/15,45.62,True
2012/11/16,45.93,True
2012/11/19,46.82,True
2012/11/20,46.6,True
2012/11/21,46.28,True
2012/11/23,47.46,True
2012/11/26,47.49,True
2012/11/27,47.8,True
2012/11/28,48.56,True
2012/11/29,49.15,True
2012/11/30,49.74,True
2012/12/03,49.42,True
2012/12/04,49.67,True
2012/12/05,49.77,True
2012/12/06,49.64,True
2012/12/07,49.82,True
2012/12/10,49.41,True
2012/12/11,49.57,True
2012/12/12,49.51,True
2012/12/13,49.24,True
2012/12/14,49.2,True
2012/12/17,49.77,True
2012/12/18,50.53,True
2012/12/19,50.61,True
2012/12/20,50.78,True
2012/12/21,50.21,True
2012/12/24,50.0,True
2012/12/26,49.21,True
2012/12/27,49.41,True
2012/12/28,49.16,True
2012/12/31,49.96,True
2013/01/01,50.05946430990787,False
2013/01/02,50.23835425482615,False
2013/01/03,50.21668615990994,False
2013/01/04,50.25928159376018,False
2013/01/07,50.12689092580867,False
2013/01/08,50.176638938402014,False
2013/01/09,50.147492548717175,False
2013/01/10,50.17957212905076,False
2013/01/11,50.19858647717576,False
2013/01/14,50.24333720696308,False
2013/01/15,50.25311841073422,False
2013/01/16,50.28780675216299,False
2013/01/17,50.3019046706464,False
2013/01/18,50.323078270391875,False
2013/01/21,50.33941719056922,False
2013/01/22,50.36142736423148,False
2013/01/23,50.37810080798304,False
2013/01/24,50.400278360158666,False
2013/01/25,50.41950640153508,False
2013/01/28,50.44034944832562,False
2013/01/29,50.46010521090059,False
2013/01/30,50.48080926866907,False
2013/01/31,50.50034346762408,False
2013/02/01,50.520745269851886,False
2013/02/04,50.54057995455467,False
2013/02/05,50.560734077851265,False
2013/02/06,50.58069466843064,False
2013/02/07,50.600873008086076,False
2013/02/08,50.620853573610454,False
2013/02/11,50.64099562302715,False
2013/02/12,50.66103353736435,False
2013/02/13,50.681128043387,False
2013/02/14,50.70117833012,False
2013/02/15,50.72126797567088,False
2013/02/18,50.74132008185948,False
2013/02/19,50.76140153170358,False
2013/02/20,50.78146474060094,False
2013/02/21,50.8015396300115,False
2013/02/22,50.8216061679054,False
2013/02/25,50.841680462755654,False
2013/02/26,50.86174777846535,False
2013/02/27,50.88182028735466,False
2013/02/28,50.90188931284951,False
2013/03/01,50.92196051900816,False
2013/03/04,50.94203007290879,False
2013/03/05,50.96210110101865,False
