date,PRC,is_prediction
2012/01/03,96.63,True
2012/01/04,96.92,True
2012/01/05,96.15,True
2012/01/06,95.77,True
2012/01/09,96.93,True
2012/01/10,97.88,True
2012/01/11,96.58,True
2012/01/12,97.82,True
2012/01/13,97.62,True
2012/01/17,99.3,True
2012/01/18,100.93,True
2012/01/19,99.86,True
2012/01/20,100.37,True
2012/01/23,102.06,True
2012/01/24,100.92,True
2012/01/25,103.46,True
2012/01/26,100.19,True
2012/01/27,100.25,True
2012/01/30,99.62,True
2012/01/31,99.77,True
2012/02/01,99.3,True
2012/02/02,98.48,True
2012/02/03,102.63,True
2012/02/06,104.0,True
2012/02/07,104.84,True
2012/02/08,103.8,True
2012/02/09,104.23,True
2012/02/10,102.7,True
2012/02/13,104.06,True
2012/02/14,104.0,True
2012/02/15,103.76,True
2012/02/16,104.33,True
2012/02/17,103.92,True
2012/02/21,104.41,True
2012/02/22,103.26,True
2012/02/23,104.67,True
2012/02/24,103.86,True
2012/02/27,104.49,True
2012/02/28,105.46,True
2012/02/29,104.37,True
2012/03/01,104.87,True
2012/03/02,104.36,True
2012/03/05,103.52,True
2012/03/06,101.03,True
2012/03/07,99.89,True
2012/03/08,100.86,True
2012/03/09,100.7,True
2012/03/12,98.44,True
2012/03/13,99.98,True
2012/03/14,98.92,True
2012/03/15,98.9,True
2012/03/16,100.58,True
2012/03/19,101.5,True
2012/03/20,97.96,True
2012/03/21,97.73,True
2012/03/22,95.75,True
2012/03/23,97.62,True
2012/03/26,99.17,True
2012/03/27,98.41,True
2012/03/28,94.85,True
2012/03/29,94.43,True
2012/03/30,95.23,True
2012/04/02,97.48,True
2012/04/03,96.47,True
2012/04/04,94.42,True
2012/04/05,93.29,True
2012/04/09,91.38,True
2012/04/10,89.61,True
2012/04/11,88.81,True
2012/04/12,91.12,True
2012/04/13,88.57,True
2012/04/16,87.26,True
2012/04/17,88.73,True
2012/04/18,87.97,True
2012/04/19,88.22,True
2012/04/20,88.61,True
2012/04/23,87.92,True
2012/04/24,88.22,True
2012/04/25,90.11,True
2012/04/26,91.9,True
2012/04/27,91.74,True
2012/04/30,91.22,True
2012/05/01,92.89,True
2012/05/02,92.38,True
2012/05/03,89.82,True
2012/05/04,87.88,True
2012/05/07,87.7,True
2012/05/08,86.93,True
2012/05/09,84.28,True
2012/05/10,85.02,True
2012/05/11,83.76,True
2012/05/14,81.66,True
2012/05/15,79.9,True
2012/05/16,79.23,True
2012/05/17,78.67,True
2012/05/18,79.65,True
2012/05/21,80.87,True
2012/05/22,80.84,True
2012/05/23,81.11,True
2012/05/24,81.38,True
2012/05/25,81.02,True
2012/05/29,82.89,True
2012/05/30,80.29,True
2012/05/31,79.27,True
2012/06/01,78.57,True
2012/06/04,80.16,True
2012/06/05,81.18,True
2012/06/06,84.57,True
2012/06/07,84.94,True
2012/06/08,85.05,True
2012/06/11,83.16,True
2012/06/12,83.58,True
2012/06/13,83.27,True
2012/06/14,83.48,True
2012/06/15,85.24,True
2012/06/18,83.81,True
2012/06/19,84.01,True
2012/06/20,84.41,True
2012/06/21,79.27,True
2012/06/22,79.49,True
2012/06/25,77.33,True
2012/06/26,79.03,True
2012/06/27,80.29,True
2012/06/28,80.94,True
2012/06/29,85.77,True
2012/07/02,85.94,True
2012/07/03,88.04,True
2012/07/05,86.47,True
2012/07/06,85.25,True
2012/07/09,85.19,True
2012/07/10,83.24,True
2012/07/11,84.57,True
2012/07/12,83.94,True
2012/07/13,85.33,True
2012/07/16,85.48,True
2012/07/17,86.55,True
2012/07/18,86.94,True
2012/07/19,87.17,True
2012/07/20,87.2,True
2012/07/23,84.96,True
2012/07/24,83.74,True
2012/07/25,83.52,True
2012/07/26,87.32,True
2012/07/27,88.62,True
2012/07/30,89.23,True
2012/07/31,87.03,True
2012/08/01,87.82,True
2012/08/02,85.65,True
2012/08/03,88.57,True
2012/08/06,88.26,True
2012/08/07,90.74,True
2012/08/08,91.14,True
2012/08/09,90.51,True
2012/08/10,91.4,True
2012/08/13,90.05,True
2012/08/14,89.89,True
2012/08/15,89.03,True
2012/08/16,89.26,True
2012/08/17,88.71,True
2012/08/20,88.62,True
2012/08/21,88.13,True
2012/08/22,88.83,True
2012/08/23,87.26,True
2012/08/24,87.9,True
2012/08/27,87.5,True
2012/08/28,87.45,True
2012/08/29,86.23,True
2012/08/30,84.28,True
2012/08/31,85.01,True
2012/09/04,83.11,True
2012/09/05,82.65,True
2012/09/06,84.3,True
2012/09/07,87.15,True
2012/09/10,86.32,True
2012/09/11,86.44,True
2012/09/12,86.86,True
2012/09/13,90.46,True
2012/09/14,91.95,True
2012/09/17,90.06,True
2012/09/18,89.25,True
2012/09/19,87.47,True
2012/09/20,87.6,True
2012/09/21,87.39,True
2012/09/24,86.81,True
2012/09/25,85.33,True
2012/09/26,85.01,True
2012/09/27,86.26,True
2012/09/28,86.06,True
2012/10/01,86.38,True
2012/10/02,85.15,True
2012/10/03,83.68,True
2012/10/04,85.39,True
2012/10/05,85.01,True
2012/10/08,84.2,True
2012/10/09,83.41,True
2012/10/10,82.22,True
2012/10/11,82.62,True
2012/10/12,81.93,True
2012/10/15,81.7,True
2012/10/16,83.17,True
2012/10/17,84.6,True
2012/10/18,85.52,True
2012/10/19,84.35,True
2012/10/22,82.81,True
2012/10/23,81.28,True
2012/10/24,80.68,True
2012/10/25,82.52,True
2012/10/26,80.44,True
2012/10/31,78.96,True
2012/11/01,79.06,True
2012/11/02,78.33,True
2012/11/05,77.83,True
2012/11/06,79.58,True
2012/11/07,77.45,True
2012/11/08,76.41,True
2012/11/09,76.65,True
2012/11/12,76.53,True
2012/11/13,74.86,True
2012/11/14,73.97,True
2012/11/15,73.92,True
2012/11/16,73.81,True
2012/11/19,75.46,True
2012/11/20,74.87,True
2012/11/21,75.11,True
2012/11/23,76.17,True
2012/11/26,75.24,True
2012/11/27,75.48,True
2012/11/28,76.2,True
2012/11/29,76.26,True
2012/11/30,75.21,True
2012/12/03,73.5801,True
2012/12/04,73.69,True
2012/12/05,74.49,True
2012/12/06,74.52,True
2012/12/07,75.37,True
2012/12/10,75.35,True
2012/12/11,76.01,True
2012/12/12,76.42,True
