date,PRC,is_prediction
2012/01/03,30.43,True
2012/01/04,30.23,True
2012/01/05,30.76,True
2012/01/06,30.79,True
2012/01/09,31.13,True
2012/01/10,31.1,True
2012/01/11,31.12,True
2012/01/12,31.12,True
2012/01/13,30.99,True
2012/01/17,31.2,True
2012/01/18,31.67,True
2012/01/19,32.33,True
2012/01/20,32.31,True
2012/01/23,32.25,True
2012/01/24,32.34,True
2012/01/25,32.46,True
2012/01/26,32.56,True
2012/01/27,32.19,True
2012/01/30,31.57,True
2012/01/31,31.51,True
2012/02/01,31.81,True
2012/02/02,31.6,True
2012/02/03,31.95,True
2012/02/06,31.725,True
2012/02/07,31.7,True
2012/02/08,31.65,True
2012/02/09,31.68,True
2012/02/10,31.31,True
2012/02/13,31.31,True
2012/02/14,31.22,True
2012/02/15,31.18,True
2012/02/16,31.6,True
2012/02/17,31.48,True
2012/02/21,31.31,True
2012/02/22,31.27,True
2012/02/23,31.32,True
2012/02/24,31.42,True
2012/02/27,31.23,True
2012/02/28,31.42,True
2012/02/29,31.3,True
2012/03/01,31.59,True
2012/03/02,31.3,True
2012/03/05,31.43,True
2012/03/06,31.03,True
2012/03/07,31.12,True
2012/03/08,31.3,True
2012/03/09,31.49,True
2012/03/12,31.55,True
2012/03/13,31.89,True
2012/03/14,31.75,True
2012/03/15,31.77,True
2012/03/16,31.83,True
2012/03/19,31.87,True
2012/03/20,31.82,True
2012/03/21,31.95,True
2012/03/22,31.98,True
2012/03/23,31.74,True
2012/03/26,32.13,True
2012/03/27,32.1,True
2012/03/28,31.98,True
2012/03/29,31.35,True
2012/03/30,30.99,True
2012/04/02,31.76,True
2012/04/03,32.02,True
2012/04/04,31.52,True
2012/04/05,31.55,True
2012/04/09,31.05,True
2012/04/10,30.63,True
2012/04/11,30.96,True
2012/04/12,31.21,True
2012/04/13,30.83,True
2012/04/16,30.94,True
2012/04/17,31.18,True
2012/04/18,30.97,True
2012/04/19,30.77,True
2012/04/20,30.76,True
2012/04/23,30.58,True
2012/04/24,30.49,True
2012/04/25,30.9,True
2012/04/26,31.11,True
2012/04/27,31.14,True
2012/04/30,30.98,True
2012/05/01,30.9,True
2012/05/02,30.74,True
2012/05/03,30.63,True
2012/05/04,29.92,True
2012/05/07,29.81,True
2012/05/08,30.09,True
2012/05/09,29.91,True
2012/05/10,29.86,True
2012/05/11,29.91,True
2012/05/14,29.89,True
2012/05/15,30.06,True
2012/05/16,30.26,True
2012/05/17,29.91,True
2012/05/18,29.41,True
2012/05/21,29.77,True
2012/05/22,29.9,True
2012/05/23,30.19,True
2012/05/24,30.42,True
2012/05/25,30.29,True
2012/05/29,30.43,True
2012/05/30,30.1,True
2012/05/31,29.97,True
2012/06/01,29.28,True
2012/06/04,29.38,True
2012/06/05,29.51,True
2012/06/06,30.37,True
2012/06/07,30.66,True
2012/06/08,31.01,True
2012/06/11,30.82,True
2012/06/12,31.07,True
2012/06/13,31.06,True
2012/06/14,31.72,True
2012/06/15,32.03,True
2012/06/18,32.33,True
2012/06/19,32.58,True
2012/06/20,32.53,True
2012/06/21,32.105,True
2012/06/22,32.26,True
2012/06/25,31.73,True
2012/06/26,31.76,True
2012/06/27,31.93,True
2012/06/28,30.98,True
2012/06/29,31.41,True
2012/07/02,31.38,True
2012/07/03,31.4,True
2012/07/05,31.74,True
2012/07/06,31.15,True
2012/07/09,31.44,True
2012/07/10,31.33,True
2012/07/11,31.65,True
2012/07/12,31.5,True
2012/07/13,31.87,True
2012/07/16,32.025,True
2012/07/17,32.49,True
2012/07/18,33.19,True
2012/07/19,32.73,True
2012/07/20,32.43,True
2012/07/23,32.17,True
2012/07/24,31.975,True
2012/07/25,31.99,True
2012/07/26,32.535,True
2012/07/27,33.08,True
2012/07/30,32.88,True
2012/07/31,32.69,True
2012/08/01,32.38,True
2012/08/02,32.06,True
2012/08/03,32.61,True
2012/08/06,32.43,True
2012/08/07,32.56,True
2012/08/08,32.92,True
2012/08/09,32.92,True
2012/08/10,33.18,True
2012/08/13,33.14,True
2012/08/14,32.97,True
2012/08/15,32.84,True
2012/08/16,33.28,True
2012/08/17,33.24,True
2012/08/20,32.77,True
2012/08/21,32.9,True
2012/08/22,32.86,True
2012/08/23,32.98,True
2012/08/24,33.19,True
2012/08/27,33.23,True
2012/08/28,33.23,True
2012/08/29,33.24,True
2012/08/30,33.2,True
2012/08/31,33.26,True
2012/09/04,33.47,True
2012/09/05,33.5,True
2012/09/06,34.22,True
2012/09/07,34.22,True
2012/09/10,34.13,True
2012/09/11,34.11,True
2012/09/12,33.72,True
2012/09/13,34.14,True
2012/09/14,34.46,True
2012/09/17,34.24,True
2012/09/18,34.3,True
2012/09/19,34.48,True
2012/09/20,34.47,True
2012/09/21,34.55,True
2012/09/24,34.38,True
2012/09/25,33.41,True
2012/09/26,33.17,True
2012/09/27,33.2,True
2012/09/28,33.29,True
2012/10/01,32.71,True
2012/10/02,33.01,True
2012/10/03,33.27,True
2012/10/04,33.37,True
2012/10/05,33.57,True
2012/10/08,33.35,True
2012/10/09,32.97,True
2012/10/10,32.76,True
2012/10/11,32.7,True
2012/10/12,32.63,True
2012/10/15,32.84,True
2012/10/16,32.97,True
2012/10/17,33.07,True
2012/10/18,32.96,True
2012/10/19,32.55,True
2012/10/22,32.64,True
2012/10/23,32.76,True
2012/10/24,32.77,True
2012/10/25,32.81,True
2012/10/26,32.93,True
2012/10/31,32.4197,True
2012/11/01,33.3,True
2012/11/02,32.94,True
2012/11/05,32.75,True
2012/11/06,33.02,True
2012/11/07,32.65,True
2012/11/08,32.22,True
2012/11/09,32.16,True
2012/11/12,32.225,True
2012/11/13,32.12,True
2012/11/14,31.545,True
2012/11/15,31.57,True
2012/11/16,31.74,True
2012/11/19,31.93,True
2012/11/20,32.01,True
2012/11/21,32.13,True
2012/11/23,32.44,True
2012/11/26,32.24,True
2012/11/27,32.08,True
2012/11/28,32.24,True
2012/11/29,32.44,True
2012/11/30,32.54,True
2012/12/03,32.48,True
2012/12/04,32.79,True
2012/12/05,32.97,True
2012/12/06,33.13,True
2012/12/07,33.19,True
2012/12/10,33.26,True
2012/12/11,33.9,True
2012/12/12,33.82,True
2012/12/13,33.71,True
2012/12/14,33.71,True
2012/12/17,33.92,True
2012/12/18,33.16,True
2012/12/19,33.05,True
2012/12/20,32.39,True
2012/12/21,31.4,True
2012/12/24,31.5,True
2012/12/26,31.15,True
2012/12/27,31.11,True
2012/12/28,30.88,True
2012/12/31,31.1,True
2013/01/01,31.107291835637696,False
2013/01/02,31.161406816996276,False
2013/01/03,31.169717160742604,False
2013/01/04,31.162085763616805,False
2013/01/07,31.148392672889432,False
2013/01/08,31.165494248226263,False
2013/01/09,31.159448818493768,False
2013/01/10,31.165821167365376,False
2013/01/11,31.169099949230617,False
2013/01/14,31.169530063934882,False
2013/01/15,31.172233763650166,False
2013/01/16,31.1759569257941,False
2013/01/17,31.177416467881596,False
2013/01/18,31.18075697217686,False
2013/01/21,31.183305370434628,False
2013/01/22,31.18562307797935,False
2013/01/23,31.188411775487843,False
2013/01/24,31.191011007708063,False
2013/01/25,31.19349765704339,False
2013/01/28,31.196211946141723,False
2013/01/29,31.198767920118218,False
2013/01/30,31.201348864216726,False
2013/01/31,31.203982126803897,False
2013/02/01,31.2065644287614,False
2013/02/04,31.209160170022738,False
2013/02/05,31.211773275998976,False
2013/02/06,31.21436298223967,False
2013/02/07,31.216964228834854,False
2013/02/08,31.21956718887991,False
2013/02/11,31.222163116816365,False
2013/02/12,31.22476387501358,False
2013/02/13,31.22736432708679,False
2013/02/14,31.22996238622146,False
2013/02/15,31.232562666520902,False
2013/02/18,31.235162237887764,False
2013/02/19,31.237761262332835,False
2013/02/20,31.24036107629313,False
2013/02/21,31.24296049205189,False
2013/02/22,31.245559803397292,False
2013/02/25,31.248159388802282,False
2013/02/26,31.250758769037397,False
2013/02/27,31.253358157955766,False
