date,PRC,is_prediction
2012/01/03,38.8,True
2012/01/04,38.65,True
2012/01/05,40.36,True
2012/01/06,40.14,True
2012/01/09,40.62,True
2012/01/10,42.05,True
2012/01/11,42.19,True
2012/01/12,42.31,True
2012/01/13,42.44,True
2012/01/17,42.9,True
2012/01/18,43.01,True
2012/01/19,43.91,True
2012/01/20,43.9,True
2012/01/23,44.29,True
2012/01/24,45.0,True
2012/01/25,45.55,True
2012/01/26,44.55,True
2012/01/27,44.59,True
2012/01/30,44.18,True
2012/01/31,44.2,True
2012/02/01,44.1,True
2012/02/02,43.24,True
2012/02/03,44.25,True
2012/02/06,43.81,True
2012/02/07,43.87,True
2012/02/08,43.79,True
2012/02/09,43.76,True
2012/02/10,43.27,True
2012/02/13,44.04,True
2012/02/14,43.42,True
2012/02/15,44.34,True
2012/02/16,46.51,True
2012/02/17,46.18,True
2012/02/21,46.2,True
2012/02/22,45.76,True
2012/02/23,45.89,True
2012/02/24,45.84,True
2012/02/27,46.26,True
2012/02/28,46.51,True
2012/02/29,46.01,True
2012/03/01,46.03,True
2012/03/02,44.91,True
2012/03/05,45.01,True
2012/03/06,44.14,True
2012/03/07,44.63,True
2012/03/08,45.27,True
2012/03/09,45.85,True
2012/03/12,45.89,True
2012/03/13,47.12,True
2012/03/14,47.35,True
2012/03/15,47.75,True
2012/03/16,47.37,True
2012/03/19,47.34,True
2012/03/20,46.9,True
2012/03/21,46.8,True
2012/03/22,46.22,True
2012/03/23,46.45,True
2012/03/26,47.53,True
2012/03/27,47.35,True
2012/03/28,46.61,True
2012/03/29,46.85,True
2012/03/30,46.83,True
2012/04/02,47.14,True
2012/04/03,46.65,True
2012/04/04,45.91,True
2012/04/05,45.96,True
2012/04/09,44.58,True
2012/04/10,43.63,True
2012/04/11,42.45,True
2012/04/12,43.295,True
2012/04/13,42.75,True
2012/04/16,43.06,True
2012/04/17,43.54,True
2012/04/18,42.69,True
2012/04/19,42.51,True
2012/04/20,42.22,True
