date,PRC,is_prediction
2012/01/03,40.82,True
2012/01/04,40.85,True
2012/01/05,41.05,True
2012/01/06,41.06,True
2012/01/09,41.05,True
2012/01/10,41.13,True
2012/01/11,41.65,True
2012/01/12,41.91,True
2012/01/13,41.28,True
2012/01/17,41.74,True
2012/01/18,41.44,True
2012/01/19,41.2,True
2012/01/20,40.36,True
2012/01/23,40.64,True
2012/01/24,40.16,True
2012/01/25,41.09,True
2012/01/26,41.26,True
2012/01/27,40.83,True
2012/01/30,40.4,True
2012/01/31,40.66,True
2012/02/01,41.16,True
2012/02/02,41.07,True
2012/02/03,41.41,True
2012/02/06,41.15,True
2012/02/07,41.27,True
2012/02/08,41.73,True
2012/02/09,41.27,True
2012/02/10,41.245,True
2012/02/13,41.33,True
2012/02/14,41.54,True
2012/02/15,41.45,True
2012/02/16,42.3,True
2012/02/17,42.34,True
2012/02/21,42.3,True
2012/02/22,41.91,True
2012/02/23,41.66,True
2012/02/24,41.75,True
2012/02/27,41.6,True
2012/02/28,41.67,True
2012/02/29,41.68,True
2012/03/01,41.95,True
2012/03/02,42.08,True
2012/03/05,41.95,True
2012/03/06,41.85,True
2012/03/07,42.0,True
2012/03/08,42.27,True
2012/03/09,42.84,True
2012/03/12,43.26,True
2012/03/13,43.51,True
2012/03/14,43.09,True
2012/03/15,43.25,True
2012/03/16,43.29,True
2012/03/19,43.15,True
2012/03/20,43.69,True
2012/03/21,43.62,True
2012/03/22,43.33,True
2012/03/23,43.39,True
2012/03/26,43.6,True
2012/03/27,43.72,True
2012/03/28,42.86,True
2012/03/29,42.99,True
2012/03/30,43.41,True
2012/04/02,43.49,True
2012/04/03,43.19,True
2012/04/04,43.28,True
2012/04/05,42.88,True
2012/04/09,42.55,True
2012/04/10,42.04,True
2012/04/11,42.19,True
2012/04/12,42.65,True
2012/04/13,42.26,True
2012/04/16,43.01,True
2012/04/17,43.08,True
2012/04/18,42.9,True
2012/04/19,42.79,True
2012/04/20,43.2,True
2012/04/23,43.09,True
2012/04/24,43.48,True
2012/04/25,43.54,True
2012/04/26,43.65,True
2012/04/27,43.88,True
2012/04/30,44.18,True
2012/05/01,44.19,True
2012/05/02,44.11,True
2012/05/03,44.37,True
2012/05/04,44.43,True
2012/05/07,44.31,True
2012/05/08,44.43,True
2012/05/09,44.11,True
2012/05/10,44.27,True
2012/05/11,44.18,True
2012/05/14,44.08,True
2012/05/15,43.76,True
2012/05/16,43.83,True
2012/05/17,43.55,True
2012/05/18,43.44,True
2012/05/21,43.64,True
2012/05/22,44.13,True
2012/05/23,44.05,True
2012/05/24,43.86,True
2012/05/25,43.74,True
2012/05/29,43.85,True
2012/05/30,43.4,True
2012/05/31,43.7,True
2012/06/01,43.61,True
2012/06/04,43.8,True
2012/06/05,43.38,True
2012/06/06,44.43,True
2012/06/07,44.61,True
2012/06/08,45.09,True
2012/06/11,45.065,True
2012/06/12,44.91,True
2012/06/13,45.0,True
2012/06/14,45.24,True
2012/06/15,45.28,True
2012/06/18,45.19,True
2012/06/19,45.12,True
2012/06/20,44.66,True
2012/06/21,44.04,True
2012/06/22,43.84,True
2012/06/25,43.89,True
2012/06/26,44.45,True
2012/06/27,45.19,True
2012/06/28,44.92,True
2012/06/29,45.27,True
2012/07/02,45.52,True
2012/07/03,45.24,True
2012/07/05,45.04,True
2012/07/06,45.01,True
2012/07/09,45.09,True
2012/07/10,44.93,True
2012/07/11,45.42,True
2012/07/12,45.35,True
2012/07/13,45.37,True
2012/07/16,44.81,True
2012/07/17,44.99,True
2012/07/18,45.25,True
2012/07/19,45.3,True
2012/07/20,45.48,True
2012/07/23,44.9,True
2012/07/24,44.44,True
2012/07/25,44.9,True
2012/07/26,45.67,True
2012/07/27,46.11,True
2012/07/30,46.5,True
2012/07/31,46.16,True
2012/08/01,45.94,True
2012/08/02,45.74,True
2012/08/03,46.5,True
2012/08/06,46.51,True
2012/08/07,45.78,True
2012/08/08,45.13,True
2012/08/09,45.39,True
2012/08/10,45.24,True
2012/08/13,45.19,True
2012/08/14,45.28,True
2012/08/15,44.91,True
2012/08/16,44.3,True
2012/08/17,44.57,True
2012/08/20,44.89,True
2012/08/21,44.33,True
2012/08/22,44.28,True
2012/08/23,43.79,True
2012/08/24,44.07,True
2012/08/27,43.98,True
2012/08/28,44.02,True
2012/08/29,43.88,True
2012/08/30,43.56,True
2012/08/31,43.41,True
2012/09/04,43.44,True
2012/09/05,42.98,True
2012/09/06,43.19,True
2012/09/07,43.47,True
2012/09/10,43.45,True
2012/09/11,43.32,True
2012/09/12,43.09,True
2012/09/13,43.33,True
2012/09/14,43.25,True
2012/09/17,42.53,True
2012/09/18,42.56,True
2012/09/19,42.54,True
2012/09/20,42.65,True
2012/09/21,42.59,True
2012/09/24,42.81,True
2012/09/25,42.65,True
2012/09/26,43.0,True
2012/09/27,42.41,True
2012/09/28,42.67,True
2012/10/01,42.24,True
2012/10/02,42.27,True
2012/10/03,42.51,True
2012/10/04,42.86,True
2012/10/05,42.67,True
2012/10/08,43.48,True
2012/10/09,43.05,True
2012/10/10,43.13,True
2012/10/11,43.07,True
2012/10/12,42.5,True
2012/10/15,42.63,True
2012/10/16,42.63,True
2012/10/17,43.43,True
2012/10/18,43.21,True
2012/10/19,42.78,True
2012/10/22,42.47,True
2012/10/23,42.18,True
2012/10/24,41.92,True
2012/10/25,42.04,True
2012/10/26,42.0,True
2012/10/31,42.52,True
2012/11/01,42.09,True
2012/11/02,42.0,True
2012/11/05,41.51,True
2012/11/06,41.91,True
2012/11/07,41.14,True
2012/11/08,40.92,True
2012/11/09,40.89,True
2012/11/12,40.53,True
2012/11/13,40.85,True
2012/11/14,40.39,True
2012/11/15,40.17,True
2012/11/16,40.44,True
2012/11/19,40.52,True
2012/11/20,40.22,True
2012/11/21,40.09,True
2012/11/23,40.17,True
2012/11/26,40.75,True
2012/11/27,40.54,True
2012/11/28,40.4,True
2012/11/29,40.53,True
2012/11/30,40.95,True
2012/12/03,40.56,True
2012/12/04,40.35,True
2012/12/05,40.69,True
2012/12/06,40.66,True
2012/12/07,40.77,True
2012/12/10,40.88,True
2012/12/11,40.87,True
2012/12/12,40.75,True
2012/12/13,40.57,True
2012/12/14,40.51,True
2012/12/17,40.98,True
2012/12/18,41.4798,True
2012/12/19,41.51,True
2012/12/20,41.92,True
2012/12/21,41.49,True
2012/12/24,40.9,True
2012/12/26,40.26,True
2012/12/27,40.02,True
2012/12/28,39.71,True
2012/12/31,40.18,True
2013/01/01,40.26251112930362,False
2013/01/02,40.31228593939195,False
2013/01/03,40.207637499219885,False
2013/01/04,40.193364535982774,False
2013/01/07,40.115615033094834,False
2013/01/08,40.13360164898662,False
2013/01/09,40.14956843299059,False
2013/01/10,40.173006383593254,False
2013/01/11,40.16403756065403,False
2013/01/14,40.16164934162882,False
2013/01/15,40.149368024467265,False
2013/01/16,40.144488441785874,False
2013/01/17,40.14113935782603,False
2013/01/18,40.14262632949786,False
2013/01/21,40.140855427384444,False
2013/01/22,40.138995474933374,False
2013/01/23,40.13552950610095,False
2013/01/24,40.13245644123948,False
2013/01/25,40.12926235022958,False
2013/01/28,40.12691542089755,False
2013/01/29,40.12451183411309,False
2013/01/30,40.12214803316505,False
2013/01/31,40.11953849644455,False
2013/02/01,40.116919974658394,False
2013/02/04,40.114224518271286,False
2013/02/05,40.11160979262103,False
2013/02/06,40.109019022056565,False
2013/02/07,40.10646167477935,False
2013/02/08,40.10388106396593,False
2013/02/11,40.101295512918135,False
2013/02/12,40.098693681643454,False
2013/02/13,40.09609467854572,False
2013/02/14,40.093497330558606,False
2013/02/15,40.09090709410273,False
2013/02/18,40.088316733999946,False
2013/02/19,40.08572653834974,False
2013/02/20,40.0831340593604,False
2013/02/21,40.08054107603097,False
2013/02/22,40.077947608359686,False
2013/02/25,40.075354925696864,False
2013/02/26,40.0727625416963,False
2013/02/27,40.07017044180275,False
2013/02/28,40.06757816307275,False
2013/03/01,40.06498579177783,False
2013/03/04,40.06239327283062,False
2013/03/05,40.059800783758526,False
2013/03/06,40.057208334810895,False
2013/03/07,40.05461595403936,False
2013/03/08,40.05202358549124,False
2013/03/11,40.049431218372995,False
