date,PRC,is_prediction
2012/01/03,66.4,True
2012/01/04,66.74,True
2012/01/05,66.22,True
2012/01/06,65.39,True
2012/01/09,65.73,True
2012/01/10,65.66,True
2012/01/11,65.01,True
2012/01/12,64.62,True
2012/01/13,64.4,True
2012/01/17,64.65,True
2012/01/18,64.85,True
2012/01/19,65.91,True
2012/01/20,66.28,True
2012/01/23,66.1,True
2012/01/24,66.2,True
2012/01/25,66.7,True
2012/01/26,66.52,True
2012/01/27,65.81,True
2012/01/30,65.41,True
2012/01/31,65.67,True
2012/02/01,66.38,True
2012/02/02,66.4,True
2012/02/03,66.66,True
2012/02/06,66.52,True
2012/02/07,66.76,True
2012/02/08,66.74,True
2012/02/09,64.27,True
2012/02/10,63.95,True
2012/02/13,63.69,True
2012/02/14,63.52,True
2012/02/15,63.07,True
2012/02/16,62.73,True
2012/02/17,62.68,True
2012/02/21,63.14,True
2012/02/22,63.1,True
2012/02/23,63.13,True
2012/02/24,63.31,True
2012/02/27,63.32,True
2012/02/28,63.32,True
2012/02/29,62.94,True
2012/03/01,62.55,True
2012/03/02,62.52,True
2012/03/05,62.79,True
2012/03/06,62.28,True
2012/03/07,62.62,True
2012/03/08,62.95,True
2012/03/09,63.15,True
2012/03/12,63.94,True
2012/03/13,64.34,True
2012/03/14,64.06,True
2012/03/15,64.17,True
2012/03/16,64.47,True
2012/03/19,64.73,True
2012/03/20,65.28,True
2012/03/21,65.36,True
2012/03/22,65.39,True
2012/03/23,65.3,True
2012/03/26,65.78,True
2012/03/27,66.01,True
2012/03/28,65.93,True
2012/03/29,66.02,True
2012/03/30,66.35,True
2012/04/02,66.74,True
2012/04/03,66.56,True
2012/04/04,66.34,True
2012/04/05,66.15,True
2012/04/09,65.35,True
2012/04/10,64.85,True
2012/04/11,65.15,True
2012/04/12,65.38,True
2012/04/13,65.06,True
2012/04/16,65.99,True
2012/04/17,66.4,True
2012/04/18,66.21,True
2012/04/19,66.15,True
2012/04/20,66.63,True
2012/04/23,66.18,True
2012/04/24,66.51,True
2012/04/25,66.67,True
2012/04/26,66.37,True
2012/04/27,66.1,True
2012/04/30,66.0,True
2012/05/01,66.49,True
2012/05/02,66.83,True
2012/05/03,66.91,True
2012/05/04,65.9,True
2012/05/07,66.62,True
2012/05/08,66.52,True
2012/05/09,65.94,True
2012/05/10,66.79,True
2012/05/11,66.8,True
2012/05/14,67.15,True
2012/05/15,67.85,True
2012/05/16,68.75,True
2012/05/17,68.77,True
2012/05/18,68.12,True
2012/05/21,67.98,True
2012/05/22,68.08,True
2012/05/23,68.0,True
2012/05/24,68.81,True
2012/05/25,68.64,True
2012/05/29,69.33,True
2012/05/30,68.22,True
2012/05/31,67.85,True
2012/06/01,67.51,True
2012/06/04,67.48,True
2012/06/05,67.0,True
2012/06/06,67.49,True
2012/06/07,67.68,True
2012/06/08,68.31,True
2012/06/11,68.05,True
2012/06/12,68.4,True
2012/06/13,68.55,True
2012/06/14,69.27,True
2012/06/15,69.48,True
2012/06/18,69.6,True
2012/06/19,69.31,True
2012/06/20,68.91,True
2012/06/21,68.5,True
2012/06/22,68.7,True
2012/06/25,68.61,True
2012/06/26,68.94,True
2012/06/27,69.75,True
2012/06/28,69.6,True
2012/06/29,70.66,True
2012/07/02,70.76,True
2012/07/03,70.76,True
2012/07/05,70.17,True
2012/07/06,70.22,True
2012/07/09,69.99,True
2012/07/10,69.87,True
2012/07/11,70.13,True
2012/07/12,69.85,True
2012/07/13,70.41,True
2012/07/16,70.35,True
2012/07/17,70.33,True
2012/07/18,70.38,True
2012/07/19,70.42,True
2012/07/20,69.955,True
2012/07/23,69.34,True
2012/07/24,68.79,True
2012/07/25,70.3,True
2012/07/26,71.22,True
2012/07/27,72.26,True
2012/07/30,72.75,True
2012/07/31,72.73,True
2012/08/01,72.4,True
2012/08/02,71.8,True
2012/08/03,72.87,True
2012/08/06,72.48,True
2012/08/07,72.29,True
2012/08/08,72.57,True
2012/08/09,72.14,True
2012/08/10,72.13,True
2012/08/13,71.99,True
2012/08/14,72.24,True
2012/08/15,72.62,True
2012/08/16,73.58,True
2012/08/17,73.39,True
2012/08/20,73.33,True
2012/08/21,73.01,True
2012/08/22,72.89,True
2012/08/23,72.66,True
2012/08/24,73.06,True
2012/08/27,73.17,True
2012/08/28,73.12,True
2012/08/29,72.78,True
2012/08/30,72.18,True
2012/08/31,72.43,True
2012/09/04,72.48,True
2012/09/05,71.54,True
2012/09/06,72.15,True
2012/09/07,72.1,True
2012/09/10,71.84,True
2012/09/11,71.58,True
2012/09/12,70.06,True
2012/09/13,70.88,True
2012/09/14,70.46,True
2012/09/17,70.39,True
2012/09/18,70.73,True
2012/09/19,70.85,True
2012/09/20,71.24,True
2012/09/21,70.55,True
2012/09/24,70.7,True
2012/09/25,70.35,True
2012/09/26,70.42,True
2012/09/27,70.64,True
2012/09/28,70.77,True
2012/10/01,70.65,True
2012/10/02,70.62,True
2012/10/03,70.7,True
2012/10/04,70.87,True
2012/10/05,71.1,True
2012/10/08,71.19,True
2012/10/09,71.11,True
2012/10/10,70.29,True
2012/10/11,69.82,True
2012/10/12,70.05,True
2012/10/15,70.34,True
2012/10/16,70.3,True
2012/10/17,70.1,True
2012/10/18,70.76,True
2012/10/19,69.88,True
2012/10/22,69.6,True
2012/10/23,68.52,True
2012/10/24,68.4,True
2012/10/25,68.89,True
2012/10/26,68.98,True
2012/10/31,69.24,True
2012/11/01,69.44,True
2012/11/02,69.05,True
2012/11/05,69.0,True
2012/11/06,69.35,True
2012/11/07,68.99,True
2012/11/08,68.79,True
2012/11/09,68.85,True
2012/11/12,68.61,True
2012/11/13,68.58,True
2012/11/14,68.17,True
2012/11/15,68.19,True
2012/11/16,68.31,True
2012/11/19,68.78,True
2012/11/20,68.91,True
2012/11/21,69.31,True
2012/11/23,70.19,True
2012/11/26,70.0,True
2012/11/27,70.11,True
2012/11/28,70.35,True
2012/11/29,70.31,True
2012/11/30,70.21,True
2012/12/03,69.87,True
2012/12/04,69.86,True
2012/12/05,69.71,True
2012/12/06,70.02,True
2012/12/07,70.26,True
2012/12/10,70.21,True
2012/12/11,70.42,True
2012/12/12,70.24,True
2012/12/13,70.21,True
2012/12/14,70.16,True
2012/12/17,70.37,True
2012/12/18,70.53,True
2012/12/19,69.88,True
2012/12/20,70.11,True
2012/12/21,69.63,True
2012/12/24,69.43,True
2012/12/26,68.84,True
2012/12/27,68.67,True
2012/12/28,68.02,True
2012/12/31,68.43,True
2013/01/01,68.55328466867435,False
2013/01/02,68.67318600677118,False
2013/01/03,68.80730670927232,False
2013/01/04,68.84472841220311,False
2013/01/07,68.8891427211051,False
2013/01/08,68.82826681898267,False
2013/01/09,68.81355059546871,False
2013/01/10,68.79851067936379,False
2013/01/11,68.79279609572885,False
2013/01/14,68.8047478597383,False
2013/01/15,68.81875686710045,False
2013/01/16,68.84155500564627,False
2013/01/17,68.85687273265881,False
2013/01/18,68.87094417892644,False
2013/01/21,68.88204440595733,False
2013/01/22,68.89061100583916,False
2013/01/23,68.89908380826455,False
2013/01/24,68.90723624444016,False
2013/01/25,68.91671406758441,False
2013/01/28,68.9266477299362,False
2013/01/29,68.93713810970767,False
2013/01/30,68.94788399808156,False
2013/01/31,68.95853135592496,False
2013/02/01,68.96907571114535,False
2013/02/04,68.97938196051186,False
2013/02/05,68.98959265497773,False
2013/02/06,68.99973175419248,False
2013/02/07,69.0098680518033,False
2013/02/08,69.02004516874759,False
2013/02/11,69.0302590617103,False
2013/02/12,69.04051217050647,False
2013/02/13,69.05077848765599,False
2013/02/14,69.06104885093144,False
2013/02/15,69.07131219459266,False
2013/02/18,69.08156502200607,False
2013/02/19,69.09181011293327,False
2013/02/20,69.10204992697389,False
2013/02/21,69.11228908832575,False
2013/02/22,69.12252939224118,False
2013/02/25,69.13277206813682,False
2013/02/26,69.14301689948351,False
2013/02/27,69.15326298595114,False
2013/02/28,69.16350957542352,False
2013/03/01,69.17375592149304,False
2013/03/04,69.18400182698419,False
2013/03/05,69.19424723475551,False
2013/03/06,69.2044923439336,False
2013/03/07,69.21473736347349,False
2013/03/08,69.22498244413335,False
2013/03/11,69.23522768340065,False
