date,PRC,is_prediction
2012/01/03,19.34,True
2012/01/04,19.26,True
2012/01/05,19.43,True
2012/01/06,19.51,True
2012/01/09,19.55,True
2012/01/10,19.62,True
2012/01/11,19.65,True
2012/01/12,19.7,True
2012/01/13,19.47,True
2012/01/17,19.63,True
2012/01/18,19.85,True
2012/01/19,20.76,True
2012/01/20,20.83,True
2012/01/23,20.69,True
2012/01/24,20.33,True
2012/01/25,20.56,True
2012/01/26,20.58,True
2012/01/27,20.43,True
2012/01/30,20.2,True
2012/01/31,20.28,True
2012/02/01,20.8,True
2012/02/02,20.96,True
2012/02/03,21.35,True
2012/02/06,21.15,True
2012/02/07,21.22,True
2012/02/08,21.33,True
2012/02/09,21.44,True
2012/02/10,21.44,True
2012/02/13,21.73,True
2012/02/14,21.77,True
2012/02/15,21.34,True
2012/02/16,21.58,True
2012/02/17,21.44,True
2012/02/21,21.59,True
2012/02/22,21.37,True
2012/02/23,21.55,True
2012/02/24,21.43,True
2012/02/27,21.44,True
2012/02/28,21.54,True
2012/02/29,21.42,True
2012/03/01,21.38,True
2012/03/02,21.57,True
2012/03/05,21.79,True
2012/03/06,21.22,True
2012/03/07,21.23,True
2012/03/08,21.38,True
2012/03/09,21.65,True
2012/03/12,21.86,True
2012/03/13,22.64,True
2012/03/14,22.85,True
2012/03/15,22.92,True
2012/03/16,22.59,True
2012/03/19,22.82,True
2012/03/20,22.83,True
2012/03/21,22.65,True
2012/03/22,22.59,True
2012/03/23,22.81,True
2012/03/26,23.12,True
2012/03/27,23.07,True
2012/03/28,23.2,True
2012/03/29,23.02,True
2012/03/30,23.18,True
2012/04/02,23.3,True
2012/04/03,23.01,True
2012/04/04,23.11,True
2012/04/05,23.11,True
2012/04/09,22.84,True
2012/04/10,22.75,True
2012/04/11,22.62,True
2012/04/12,22.59,True
2012/04/13,22.34,True
2012/04/16,22.61,True
2012/04/17,22.7,True
2012/04/18,22.6,True
2012/04/19,22.38,True
2012/04/20,21.37,True
2012/04/23,21.25,True
2012/04/24,21.41,True
2012/04/25,21.42,True
2012/04/26,21.39,True
2012/04/27,21.51,True
2012/04/30,21.3,True
2012/05/01,21.66,True
2012/05/02,21.71,True
2012/05/03,21.8,True
2012/05/04,21.79,True
2012/05/07,21.97,True
2012/05/08,22.02,True
2012/05/09,21.95,True
2012/05/10,22.03,True
2012/05/11,21.99,True
2012/05/14,21.97,True
2012/05/15,21.85,True
2012/05/16,21.35,True
2012/05/17,21.34,True
2012/05/18,21.31,True
2012/05/21,21.3,True
2012/05/22,21.25,True
2012/05/23,21.43,True
2012/05/24,21.51,True
2012/05/25,21.61,True
2012/05/29,21.79,True
2012/05/30,21.59,True
2012/05/31,21.73,True
2012/06/01,21.27,True
2012/06/04,21.1,True
2012/06/05,21.15,True
2012/06/06,21.99,True
2012/06/07,21.89,True
2012/06/08,21.9,True
2012/06/11,21.38,True
2012/06/12,21.7,True
2012/06/13,20.74,True
2012/06/14,20.77,True
2012/06/15,20.75,True
2012/06/18,20.78,True
2012/06/19,21.0,True
2012/06/20,21.05,True
2012/06/21,20.61,True
2012/06/22,20.6,True
2012/06/25,20.39,True
2012/06/26,20.44,True
2012/06/27,20.77,True
2012/06/28,20.62,True
2012/06/29,20.83,True
2012/07/02,20.69,True
2012/07/03,20.75,True
2012/07/05,20.6,True
2012/07/06,20.58,True
2012/07/09,20.55,True
2012/07/10,20.54,True
2012/07/11,20.55,True
2012/07/12,19.53,True
2012/07/13,19.98,True
2012/07/16,19.88,True
2012/07/17,19.99,True
2012/07/18,20.03,True
2012/07/19,20.09,True
2012/07/20,20.02,True
2012/07/23,19.86,True
2012/07/24,19.52,True
2012/07/25,19.56,True
2012/07/26,19.59,True
2012/07/27,19.78,True
2012/07/30,19.83,True
2012/07/31,19.74,True
2012/08/01,19.76,True
2012/08/02,19.24,True
2012/08/03,19.57,True
2012/08/06,19.49,True
2012/08/07,19.8,True
