date,PRC,is_prediction
2012/01/03,78.83,True
2012/01/04,78.5,True
2012/01/05,78.94,True
2012/01/06,77.64,True
2012/01/09,78.82,True
2012/01/10,81.22,True
2012/01/11,81.72,True
2012/01/12,83.08,True
2012/01/13,82.44,True
2012/01/17,83.47,True
2012/01/18,85.06,True
2012/01/19,84.97,True
2012/01/20,81.52,True
2012/01/23,81.7,True
2012/01/24,81.27,True
2012/01/25,82.37,True
2012/01/26,81.5,True
2012/01/27,81.5,True
2012/01/30,81.46,True
2012/01/31,80.68,True
2012/02/01,82.61,True
2012/02/02,82.51,True
2012/02/03,85.72,True
2012/02/06,86.68,True
2012/02/07,87.75,True
2012/02/08,88.16,True
2012/02/09,88.18,True
2012/02/10,87.51,True
2012/02/13,90.25,True
2012/02/14,88.98,True
2012/02/15,87.6,True
2012/02/16,89.26,True
2012/02/17,88.57,True
2012/02/21,90.0,True
2012/02/22,90.0,True
2012/02/23,90.42,True
2012/02/24,89.63,True
2012/02/27,90.24,True
2012/02/28,90.24,True
2012/02/29,89.81,True
2012/03/01,89.34,True
2012/03/02,88.54,True
2012/03/05,88.15,True
2012/03/06,85.54,True
2012/03/07,86.19,True
2012/03/08,87.85,True
2012/03/09,88.22,True
2012/03/12,89.13,True
2012/03/13,89.7,True
2012/03/14,89.24,True
2012/03/15,90.75,True
2012/03/16,90.15,True
2012/03/19,89.58,True
2012/03/20,87.9,True
2012/03/21,87.34,True
2012/03/22,84.89,True
2012/03/23,85.63,True
2012/03/26,86.97,True
2012/03/27,85.99,True
2012/03/28,84.43,True
2012/03/29,84.59,True
2012/03/30,84.55,True
2012/04/02,86.03,True
2012/04/03,85.29,True
2012/04/04,83.47,True
2012/04/05,83.1,True
2012/04/09,82.6,True
2012/04/10,81.44,True
2012/04/11,82.01,True
2012/04/12,83.69,True
2012/04/13,82.03,True
2012/04/16,81.96,True
2012/04/17,83.26,True
2012/04/18,82.7,True
2012/04/19,81.58,True
2012/04/20,82.79,True
2012/04/23,80.94,True
2012/04/24,87.96,True
2012/04/25,87.08,True
2012/04/26,87.32,True
2012/04/27,88.99,True
2012/04/30,87.69,True
2012/05/01,87.58,True
2012/05/02,88.17,True
2012/05/03,86.76,True
2012/05/04,85.14,True
2012/05/07,84.71,True
2012/05/08,85.39,True
2012/05/09,85.54,True
2012/05/10,86.21,True
2012/05/11,86.85,True
2012/05/14,85.11,True
2012/05/15,84.23,True
2012/05/16,83.18,True
2012/05/17,81.2,True
2012/05/18,80.61,True
2012/05/21,82.76,True
2012/05/22,83.61,True
2012/05/23,84.8,True
2012/05/24,84.46,True
2012/05/25,84.36,True
2012/05/29,86.48,True
2012/05/30,84.49,True
2012/05/31,81.74,True
2012/06/01,77.87,True
2012/06/04,77.83,True
2012/06/05,78.36,True
2012/06/06,80.25,True
2012/06/07,80.79,True
2012/06/08,81.27,True
2012/06/11,80.3,True
