date,PRC,is_prediction
2012/01/03,6.52,True
2012/01/04,6.54,True
2012/01/05,7.04,True
2012/01/06,7.1,True
2012/01/09,7.25,True
2012/01/10,7.34,True
2012/01/11,7.7,True
2012/01/12,7.69,True
2012/01/13,7.62,True
2012/01/17,7.5,True
2012/01/18,7.94,True
2012/01/19,8.08,True
2012/01/20,7.76,True
2012/01/23,7.42,True
2012/01/24,7.76,True
2012/01/25,7.99,True
2012/01/26,7.8,True
2012/01/27,7.79,True
2012/01/30,7.63,True
2012/01/31,7.45,True
2012/02/01,7.83,True
2012/02/02,7.75,True
2012/02/03,8.3,True
2012/02/06,8.26,True
2012/02/07,8.37,True
2012/02/08,8.65,True
2012/02/09,9.07,True
2012/02/10,8.79,True
2012/02/13,9.09,True
2012/02/14,9.08,True
2012/02/15,9.03,True
2012/02/16,8.87,True
2012/02/17,8.91,True
2012/02/21,8.59,True
2012/02/22,8.33,True
2012/02/23,8.73,True
2012/02/24,8.49,True
2012/02/27,8.53,True
2012/02/28,8.3,True
2012/02/29,8.82,True
2012/03/01,8.59,True
2012/03/02,8.46,True
2012/03/05,8.43,True
2012/03/06,8.17,True
2012/03/07,8.5,True
2012/03/08,8.92,True
2012/03/09,9.02,True
2012/03/12,9.06,True
2012/03/13,9.48,True
2012/03/14,9.34,True
2012/03/15,9.61,True
2012/03/16,9.29,True
2012/03/19,9.16,True
2012/03/20,9.21,True
2012/03/21,9.39,True
2012/03/22,9.12,True
2012/03/23,8.88,True
2012/03/26,8.79,True
2012/03/27,9.06,True
2012/03/28,9.48,True
2012/03/29,9.26,True
2012/03/30,8.85,True
2012/04/02,8.67,True
2012/04/03,8.64,True
2012/04/04,8.48,True
2012/04/05,8.26,True
2012/04/09,8.23,True
2012/04/10,7.69,True
2012/04/11,8.39,True
2012/04/12,8.66,True
2012/04/13,8.54,True
2012/04/16,8.43,True
2012/04/17,8.65,True
2012/04/18,8.37,True
2012/04/19,8.23,True
2012/04/20,8.37,True
2012/04/23,8.22,True
2012/04/24,8.6,True
2012/04/25,8.7,True
2012/04/26,9.58,True
2012/04/27,10.07,True
2012/04/30,9.84,True
2012/05/01,10.03,True
2012/05/02,10.27,True
2012/05/03,10.06,True
2012/05/04,9.94,True
2012/05/07,10.0,True
2012/05/08,9.61,True
2012/05/09,9.86,True
2012/05/10,9.68,True
2012/05/11,9.84,True
2012/05/14,9.56,True
2012/05/15,9.73,True
2012/05/16,9.49,True
2012/05/17,8.68,True
2012/05/18,8.49,True
2012/05/21,8.86,True
2012/05/22,9.08,True
2012/05/23,9.3,True
2012/05/24,9.4,True
2012/05/25,9.33,True
2012/05/29,9.52,True
2012/05/30,9.19,True
2012/05/31,9.36,True
2012/06/01,8.26,True
2012/06/04,7.7,True
2012/06/05,8.16,True
2012/06/06,8.76,True
2012/06/07,8.88,True
2012/06/08,8.98,True
2012/06/11,8.41,True
2012/06/12,8.58,True
2012/06/13,8.41,True
2012/06/14,8.85,True
2012/06/15,9.02,True
2012/06/18,9.33,True
2012/06/19,9.61,True
2012/06/20,9.53,True
2012/06/21,9.14,True
2012/06/22,9.39,True
2012/06/25,9.23,True
2012/06/26,9.72,True
2012/06/27,9.88,True
2012/06/28,9.98,True
2012/06/29,10.7,True
2012/07/02,10.91,True
2012/07/03,10.85,True
2012/07/05,11.13,True
2012/07/06,11.1,True
2012/07/09,11.09,True
2012/07/10,10.79,True
2012/07/11,10.54,True
2012/07/12,10.84,True
2012/07/13,11.0,True
2012/07/16,10.93,True
2012/07/17,11.17,True
2012/07/18,10.8,True
2012/07/19,10.47,True
2012/07/20,10.86,True
2012/07/23,11.01,True
2012/07/24,10.48,True
2012/07/25,10.02,True
2012/07/26,11.86,True
2012/07/27,12.01,True
2012/07/30,11.6,True
2012/07/31,11.3,True
2012/08/01,11.04,True
2012/08/02,11.57,True
2012/08/03,11.48,True
2012/08/06,11.49,True
2012/08/07,11.71,True
2012/08/08,12.09,True
2012/08/09,12.67,True
2012/08/10,12.48,True
2012/08/13,12.44,True
2012/08/14,12.7,True
2012/08/15,12.78,True
2012/08/16,13.6,True
2012/08/17,13.38,True
2012/08/20,13.01,True
2012/08/21,12.79,True
2012/08/22,13.29,True
2012/08/23,13.32,True
2012/08/24,13.51,True
2012/08/27,13.24,True
2012/08/28,13.28,True
2012/08/29,13.4,True
2012/08/30,13.35,True
2012/08/31,13.68,True
2012/09/04,13.75,True
2012/09/05,14.04,True
2012/09/06,14.61,True
2012/09/07,14.75,True
2012/09/10,14.51,True
2012/09/11,14.67,True
2012/09/12,15.55,True
2012/09/13,16.02,True
2012/09/14,16.52,True
2012/09/17,16.13,True
2012/09/18,15.76,True
2012/09/19,16.43,True
2012/09/20,16.72,True
