date,PRC,is_prediction
2012/01/03,20.6,True
2012/01/04,20.37,True
2012/01/05,20.53,True
2012/01/06,21.12,True
2012/01/09,21.24,True
2012/01/10,21.76,True
2012/01/11,22.03,True
2012/01/12,22.37,True
2012/01/13,22.32,True
2012/01/17,22.7,True
2012/01/18,23.16,True
2012/01/19,23.39,True
2012/01/20,23.34,True
2012/01/23,23.22,True
2012/01/24,23.84,True
2012/01/25,24.12,True
2012/01/26,23.81,True
2012/01/27,23.99,True
2012/01/30,23.82,True
2012/01/31,23.98,True
2012/02/01,24.96,True
2012/02/02,24.69,True
2012/02/03,26.23,True
2012/02/06,26.0,True
2012/02/07,26.18,True
2012/02/08,26.29,True
2012/02/09,26.49,True
2012/02/10,25.89,True
2012/02/13,26.07,True
2012/02/14,26.08,True
2012/02/15,26.4,True
2012/02/16,26.86,True
2012/02/17,26.96,True
2012/02/21,26.59,True
2012/02/22,26.86,True
2012/02/23,26.65,True
2012/02/24,27.24,True
2012/02/27,27.14,True
2012/02/28,27.23,True
2012/02/29,27.0,True
2012/03/01,26.99,True
2012/03/02,26.74,True
2012/03/05,26.57,True
2012/03/06,25.86,True
2012/03/07,26.21,True
2012/03/08,26.61,True
2012/03/09,26.76,True
2012/03/12,26.45,True
2012/03/13,27.21,True
2012/03/14,27.02,True
2012/03/15,27.31,True
2012/03/16,27.3,True
2012/03/19,27.34,True
2012/03/20,27.22,True
2012/03/21,27.16,True
2012/03/22,27.05,True
2012/03/23,27.33,True
2012/03/26,27.84,True
2012/03/27,27.85,True
2012/03/28,27.58,True
2012/03/29,27.67,True
2012/03/30,27.66,True
2012/04/02,27.97,True
2012/04/03,27.7,True
2012/04/04,27.36,True
2012/04/05,27.35,True
2012/04/09,26.75,True
2012/04/10,25.99,True
2012/04/11,26.43,True
2012/04/12,26.9,True
2012/04/13,26.26,True
2012/04/16,26.15,True
2012/04/17,26.79,True
2012/04/18,26.56,True
2012/04/19,26.39,True
2012/04/20,26.51,True
2012/04/23,26.26,True
2012/04/24,25.88,True
2012/04/25,26.74,True
2012/04/26,26.84,True
2012/04/27,27.55,True
2012/04/30,27.6,True
2012/05/01,27.93,True
2012/05/02,28.08,True
2012/05/03,27.97,True
2012/05/04,27.36,True
2012/05/07,27.53,True
2012/05/08,27.37,True
2012/05/09,27.01,True
2012/05/10,27.11,True
2012/05/11,27.1,True
2012/05/14,26.71,True
2012/05/15,26.44,True
2012/05/16,26.1,True
2012/05/17,25.94,True
2012/05/18,25.57,True
2012/05/21,26.21,True
2012/05/22,26.21,True
2012/05/23,26.23,True
2012/05/24,26.52,True
2012/05/25,26.4,True
2012/05/29,27.0,True
2012/05/30,26.65,True
2012/05/31,26.6,True
2012/06/01,25.8,True
2012/06/04,25.36,True
2012/06/05,25.52,True
2012/06/06,26.08,True
2012/06/07,26.08,True
2012/06/08,26.02,True
2012/06/11,25.55,True
2012/06/12,25.85,True
2012/06/13,25.63,True
2012/06/14,25.43,True
2012/06/15,25.56,True
2012/06/18,25.66,True
2012/06/19,26.41,True
2012/06/20,26.37,True
2012/06/21,25.62,True
2012/06/22,25.65,True
2012/06/25,24.82,True
2012/06/26,24.83,True
2012/06/27,25.19,True
2012/06/28,25.07,True
2012/06/29,25.8,True
2012/07/02,25.88,True
2012/07/03,26.28,True
2012/07/05,26.12,True
2012/07/06,25.38,True
2012/07/09,24.9,True
2012/07/10,24.44,True
2012/07/11,24.25,True
2012/07/12,24.19,True
2012/07/13,24.52,True
2012/07/16,24.38,True
2012/07/17,24.51,True
2012/07/18,25.09,True
2012/07/19,25.26,True
2012/07/20,24.85,True
2012/07/23,24.4,True
2012/07/24,23.88,True
2012/07/25,24.39,True
2012/07/26,24.88,True
2012/07/27,25.74,True
2012/07/30,25.62,True
2012/07/31,25.55,True
2012/08/01,25.4,True
2012/08/02,24.83,True
2012/08/03,26.78,True
2012/08/06,27.34,True
2012/08/07,28.02,True
2012/08/08,28.0,True
2012/08/09,27.96,True
2012/08/10,27.82,True
2012/08/13,27.81,True
2012/08/14,27.51,True
2012/08/15,27.56,True
2012/08/16,27.3,True
2012/08/17,27.37,True
2012/08/20,27.19,True
2012/08/21,27.54,True
2012/08/22,27.53,True
2012/08/23,27.41,True
2012/08/24,27.29,True
2012/08/27,27.21,True
2012/08/28,26.99,True
2012/08/29,26.81,True
2012/08/30,26.95,True
2012/08/31,27.3,True
2012/09/04,27.56,True
2012/09/05,27.58,True
2012/09/06,28.29,True
2012/09/07,28.55,True
2012/09/10,28.45,True
2012/09/11,28.78,True
2012/09/12,28.73,True
2012/09/13,29.4,True
2012/09/14,30.36,True
2012/09/17,30.09,True
2012/09/18,30.18,True
2012/09/19,30.08,True
2012/09/20,30.15,True
2012/09/21,30.05,True
2012/09/24,29.82,True
2012/09/25,29.61,True
2012/09/26,29.36,True
2012/09/27,29.55,True
2012/09/28,29.47,True
2012/10/01,29.41,True
2012/10/02,29.48,True
2012/10/03,29.8,True
2012/10/04,30.2,True
2012/10/05,30.4,True
2012/10/08,30.3,True
2012/10/09,29.71,True
2012/10/10,29.39,True
2012/10/11,29.53,True
2012/10/12,29.69,True
2012/10/15,29.83,True
2012/10/16,30.31,True
2012/10/17,30.48,True
2012/10/18,29.43,True
2012/10/19,28.57,True
2012/10/22,28.47,True
2012/10/23,27.84,True
2012/10/24,28.36,True
2012/10/25,28.5,True
2012/10/26,31.29,True
2012/10/31,30.93,True
2012/11/01,31.63,True
2012/11/02,31.28,True
2012/11/05,31.48,True
2012/11/06,31.42,True
2012/11/07,31.18,True
2012/11/08,30.67,True
2012/11/09,30.71,True
2012/11/12,30.46,True
2012/11/13,30.52,True
2012/11/14,30.14,True
2012/11/15,30.06,True
2012/11/16,30.19,True
2012/11/19,30.58,True
2012/11/20,30.9,True
2012/11/21,30.9,True
2012/11/23,31.48,True
2012/11/26,31.19,True
2012/11/27,30.96,True
2012/11/28,31.18,True
2012/11/29,31.42,True
2012/11/30,31.65,True
2012/12/03,31.41,True
2012/12/04,31.26,True
2012/12/05,31.1,True
2012/12/06,30.89,True
2012/12/07,30.78,True
2012/12/10,31.18,True
2012/12/11,31.64,True
2012/12/12,31.42,True
2012/12/13,31.39,True
2012/12/14,31.43,True
2012/12/17,31.91,True
2012/12/18,32.29,True
2012/12/19,31.79,True
2012/12/20,32.05,True
2012/12/21,31.52,True
2012/12/24,31.63,True
2012/12/26,31.35,True
2012/12/27,31.4,True
2012/12/28,31.03,True
2012/12/31,31.74,True
2013/01/01,31.75972989302006,False
2013/01/02,31.992543588972126,False
2013/01/03,31.988861930989543,False
2013/01/04,32.04507399652416,False
2013/01/07,32.00375547301315,False
2013/01/08,32.03600417775035,False
2013/01/09,32.039875763355326,False
2013/01/10,32.09373367813595,False
2013/01/11,32.137654837247325,False
2013/01/14,32.19830288546196,False
2013/01/15,32.24726698996664,False
2013/01/16,32.29843464626764,False
2013/01/17,32.34097045423746,False
2013/01/18,32.384345090408424,False
2013/01/21,32.424905634964524,False
2013/01/22,32.46751355443535,False
2013/01/23,32.51010820962298,False
2013/01/24,32.554301643741546,False
2013/01/25,32.59852926033007,False
2013/01/28,32.643216430170405,False
2013/01/29,32.6875392960418,False
2013/01/30,32.73178962144227,False
2013/01/31,32.77573077683328,False
2013/02/01,32.819632766937275,False
2013/02/04,32.86345851327112,False
2013/02/05,32.907351844748376,False
2013/02/06,32.95127352159773,False
2013/02/07,32.995256761281325,False
2013/02/08,33.03925334466521,False
2013/02/11,33.08326267170909,False
2013/02/12,33.12725878401228,False
2013/02/13,33.17124658061502,False
2013/02/14,33.21522173061342,False
