date,PRC,is_prediction
2012/01/03,59.03,True
2012/01/04,59.22,True
2012/01/05,59.81,True
2012/01/06,59.91,True
2012/01/09,60.4,True
2012/01/10,61.57,True
2012/01/11,61.65,True
2012/01/12,62.09,True
2012/01/13,61.73,True
2012/01/17,61.24,True
2012/01/18,59.64,True
2012/01/19,59.4,True
2012/01/20,59.63,True
2012/01/23,59.73,True
2012/01/24,59.52,True
2012/01/25,59.62,True
2012/01/26,58.9,True
2012/01/27,59.08,True
2012/01/30,59.02,True
2012/01/31,58.92,True
2012/02/01,59.86,True
2012/02/02,59.81,True
2012/02/03,62.2,True
2012/02/06,61.07,True
2012/02/07,60.7,True
2012/02/08,60.43,True
2012/02/09,60.39,True
2012/02/10,59.67,True
2012/02/13,60.09,True
2012/02/14,59.56,True
2012/02/15,59.51,True
2012/02/16,60.7,True
2012/02/17,61.14,True
2012/02/21,61.26,True
2012/02/22,59.71,True
2012/02/23,59.68,True
2012/02/24,59.38,True
2012/02/27,59.42,True
2012/02/28,59.54,True
2012/02/29,59.52,True
2012/03/01,60.29,True
2012/03/02,59.61,True
2012/03/05,58.76,True
2012/03/06,57.14,True
2012/03/07,57.92,True
2012/03/08,58.73,True
2012/03/09,59.4,True
2012/03/12,59.5,True
2012/03/13,61.94,True
2012/03/14,61.35,True
2012/03/15,63.0,True
2012/03/16,63.42,True
2012/03/19,63.64,True
2012/03/20,63.49,True
2012/03/21,63.45,True
2012/03/22,62.6,True
2012/03/23,63.36,True
2012/03/26,63.99,True
2012/03/27,63.11,True
2012/03/28,64.7,True
2012/03/29,63.95,True
2012/03/30,64.49,True
2012/04/02,64.72,True
2012/04/03,64.7,True
2012/04/04,63.87,True
2012/04/05,63.53,True
2012/04/09,62.64,True
2012/04/10,61.75,True
2012/04/11,62.47,True
2012/04/12,63.41,True
2012/04/13,61.28,True
2012/04/16,62.14,True
2012/04/17,63.41,True
2012/04/18,63.78,True
2012/04/19,64.6,True
2012/04/20,65.38,True
2012/04/23,64.98,True
2012/04/24,65.57,True
2012/04/25,66.26,True
2012/04/26,67.22,True
2012/04/27,66.73,True
2012/04/30,66.32,True
2012/05/01,67.33,True
2012/05/02,66.73,True
2012/05/03,66.27,True
2012/05/04,65.26,True
2012/05/07,66.05,True
2012/05/08,65.89,True
2012/05/09,64.63,True
2012/05/10,65.53,True
2012/05/11,65.48,True
2012/05/14,64.26,True
2012/05/15,63.39,True
2012/05/16,62.52,True
2012/05/17,61.64,True
2012/05/18,61.33,True
2012/05/21,62.26,True
2012/05/22,62.02,True
2012/05/23,61.91,True
2012/05/24,62.2,True
2012/05/25,62.09,True
2012/05/29,62.8,True
2012/05/30,61.35,True
2012/05/31,61.42,True
2012/06/01,58.07,True
2012/06/04,56.84,True
2012/06/05,57.23,True
2012/06/06,58.7,True
2012/06/07,58.63,True
2012/06/08,59.35,True
2012/06/11,58.17,True
2012/06/12,57.5,True
2012/06/13,57.81,True
2012/06/14,57.9,True
2012/06/15,59.01,True
2012/06/18,58.06,True
2012/06/19,59.54,True
2012/06/20,59.86,True
2012/06/21,58.64,True
2012/06/22,59.15,True
2012/06/25,58.56,True
2012/06/26,58.86,True
2012/06/27,59.6,True
2012/06/28,59.51,True
2012/06/29,61.11,True
2012/07/02,61.49,True
2012/07/03,62.14,True
2012/07/05,61.09,True
2012/07/06,60.7,True
2012/07/09,60.24,True
2012/07/10,59.66,True
2012/07/11,61.41,True
2012/07/12,60.35,True
2012/07/13,61.42,True
2012/07/16,61.11,True
2012/07/17,61.59,True
2012/07/18,61.01,True
2012/07/19,61.315,True
2012/07/20,59.14,True
2012/07/23,57.61,True
2012/07/24,57.37,True
2012/07/25,57.67,True
2012/07/26,58.44,True
2012/07/27,59.56,True
2012/07/30,59.82,True
2012/07/31,59.1,True
