date,PRC,is_prediction
2012/01/03,47.83,True
2012/01/04,47.51,True
2012/01/05,47.54,True
2012/01/06,47.39,True
2012/01/09,47.15,True
2012/01/10,47.81,True
2012/01/11,47.55,True
2012/01/12,47.66,True
2012/01/13,47.62,True
2012/01/17,47.65,True
2012/01/18,47.77,True
2012/01/19,47.49,True
2012/01/20,47.75,True
2012/01/23,47.51,True
2012/01/24,47.47,True
2012/01/25,48.24,True
2012/01/26,48.53,True
2012/01/27,48.2,True
2012/01/30,47.27,True
2012/01/31,47.26,True
2012/02/01,47.66,True
2012/02/02,47.56,True
2012/02/03,47.5,True
2012/02/06,47.31,True
2012/02/07,48.19,True
2012/02/08,48.08,True
2012/02/09,47.96,True
2012/02/10,47.49,True
2012/02/13,47.55,True
2012/02/14,47.32,True
2012/02/15,47.43,True
2012/02/16,47.91,True
2012/02/17,47.86,True
2012/02/21,47.4,True
2012/02/22,47.4,True
2012/02/23,47.48,True
2012/02/24,47.51,True
2012/02/27,47.5,True
2012/02/28,47.16,True
2012/02/29,47.03,True
2012/03/01,46.88,True
2012/03/02,46.59,True
2012/03/05,46.41,True
2012/03/06,46.39,True
2012/03/07,46.77,True
2012/03/08,47.12,True
2012/03/09,47.45,True
2012/03/12,48.02,True
2012/03/13,48.08,True
2012/03/14,47.18,True
2012/03/15,46.9,True
2012/03/16,47.02,True
2012/03/19,46.84,True
2012/03/20,46.98,True
2012/03/21,47.04,True
2012/03/22,47.08,True
2012/03/23,47.24,True
2012/03/26,47.71,True
2012/03/27,47.9,True
2012/03/28,47.52,True
2012/03/29,47.63,True
2012/03/30,47.9,True
2012/04/02,48.12,True
2012/04/03,48.18,True
2012/04/04,47.71,True
2012/04/05,47.14,True
2012/04/09,46.83,True
2012/04/10,46.06,True
2012/04/11,46.12,True
2012/04/12,46.34,True
2012/04/13,46.23,True
2012/04/16,46.68,True
2012/04/17,47.2,True
2012/04/18,47.2,True
2012/04/19,47.06,True
2012/04/20,47.77,True
2012/04/23,47.45,True
2012/04/24,48.11,True
2012/04/25,48.42,True
2012/04/26,48.41,True
2012/04/27,48.21,True
2012/04/30,48.35,True
2012/05/01,48.23,True
2012/05/02,47.79,True
2012/05/03,47.62,True
2012/05/04,47.82,True
2012/05/07,47.75,True
2012/05/08,47.84,True
2012/05/09,48.06,True
2012/05/10,48.97,True
2012/05/11,48.6,True
2012/05/14,48.45,True
2012/05/15,47.97,True
2012/05/16,48.35,True
2012/05/17,48.11,True
2012/05/18,47.8,True
2012/05/21,48.2,True
2012/05/22,48.7,True
2012/05/23,48.64,True
2012/05/24,48.88,True
2012/05/25,49.11,True
2012/05/29,49.35,True
2012/05/30,48.85,True
2012/05/31,49.38,True
2012/06/01,49.43,True
2012/06/04,49.84,True
2012/06/05,50.34,True
2012/06/06,50.91,True
2012/06/07,50.85,True
2012/06/08,51.07,True
2012/06/11,50.76,True
2012/06/12,51.27,True
2012/06/13,51.2,True
2012/06/14,51.58,True
2012/06/15,52.01,True
2012/06/18,52.05,True
2012/06/19,51.8,True
2012/06/20,51.19,True
2012/06/21,50.81,True
2012/06/22,50.56,True
2012/06/25,50.64,True
2012/06/26,50.67,True
2012/06/27,51.24,True
2012/06/28,51.42,True
2012/06/29,51.74,True
2012/07/02,52.25,True
2012/07/03,52.13,True
2012/07/05,52.01,True
2012/07/06,52.08,True
2012/07/09,52.05,True
2012/07/10,52.19,True
2012/07/11,52.13,True
2012/07/12,52.21,True
2012/07/13,53.05,True
2012/07/16,52.87,True
2012/07/17,53.28,True
2012/07/18,53.31,True
2012/07/19,53.3,True
2012/07/20,53.76,True
2012/07/23,53.22,True
2012/07/24,52.86,True
2012/07/25,52.67,True
2012/07/26,53.47,True
2012/07/27,54.32,True
2012/07/30,53.97,True
2012/07/31,53.54,True
2012/08/01,53.4,True
2012/08/02,53.23,True
2012/08/03,54.09,True
2012/08/06,54.01,True
2012/08/07,53.38,True
2012/08/08,53.37,True
2012/08/09,53.35,True
2012/08/10,53.42,True
2012/08/13,53.18,True
2012/08/14,53.26,True
2012/08/15,53.26,True
2012/08/16,53.34,True
2012/08/17,52.8,True
2012/08/20,52.67,True
2012/08/21,52.58,True
2012/08/22,52.31,True
2012/08/23,51.49,True
2012/08/24,51.72,True
2012/08/27,51.69,True
2012/08/28,51.61,True
2012/08/29,51.69,True
2012/08/30,51.52,True
2012/08/31,51.37,True
2012/09/04,52.2,True
2012/09/05,51.88,True
2012/09/06,52.56,True
2012/09/07,52.41,True
2012/09/10,52.41,True
2012/09/11,52.38,True
2012/09/12,52.27,True
2012/09/13,53.66,True
2012/09/14,53.55,True
2012/09/17,52.74,True
2012/09/18,52.05,True
2012/09/19,52.37,True
2012/09/20,52.42,True
2012/09/21,52.56,True
2012/09/24,53.4,True
2012/09/25,53.19,True
2012/09/26,53.48,True
2012/09/27,52.64,True
2012/09/28,52.8,True
2012/10/01,52.49,True
2012/10/02,52.65,True
2012/10/03,53.1,True
2012/10/04,53.3,True
2012/10/05,53.25,True
2012/10/08,53.27,True
2012/10/09,53.17,True
2012/10/10,52.88,True
2012/10/11,52.84,True
2012/10/12,52.71,True
2012/10/15,53.04,True
2012/10/16,53.13,True
2012/10/17,53.89,True
2012/10/18,54.17,True
2012/10/19,53.63,True
2012/10/22,53.71,True
2012/10/23,52.86,True
2012/10/24,52.78,True
2012/10/25,53.08,True
2012/10/26,52.86,True
2012/10/31,52.97,True
2012/11/01,52.93,True
2012/11/02,52.17,True
2012/11/05,51.8,True
2012/11/06,51.59,True
2012/11/07,50.31,True
2012/11/08,50.11,True
2012/11/09,49.36,True
2012/11/12,49.28,True
2012/11/13,49.58,True
2012/11/14,49.33,True
2012/11/15,49.16,True
2012/11/16,49.81,True
2012/11/19,49.58,True
2012/11/20,49.65,True
2012/11/21,49.48,True
2012/11/23,49.28,True
2012/11/26,49.78,True
2012/11/27,49.9,True
2012/11/28,50.47,True
2012/11/29,50.83,True
2012/11/30,51.46,True
2012/12/03,51.46,True
2012/12/04,51.38,True
2012/12/05,51.71,True
2012/12/06,51.44,True
2012/12/07,51.34,True
2012/12/10,51.53,True
2012/12/11,51.49,True
2012/12/12,51.24,True
2012/12/13,50.75,True
2012/12/14,50.75,True
2012/12/17,51.69,True
2012/12/18,52.11,True
2012/12/19,51.86,True
2012/12/20,52.23,True
2012/12/21,52.14,True
2012/12/24,51.93,True
2012/12/26,51.33,True
2012/12/27,51.03,True
2012/12/28,50.52,True
2012/12/31,50.98,True
2013/01/01,51.09165688331175,False
2013/01/02,51.18059834281567,False
2013/01/03,51.253180887134306,False
2013/01/04,51.262837284856275,False
2013/01/07,51.29902609867339,False
2013/01/08,51.28130016199187,False
2013/01/09,51.27774776132427,False
2013/01/10,51.28335107510471,False
2013/01/11,51.29239682831496,False
2013/01/14,51.3086406228626,False
2013/01/15,51.32303639824314,False
2013/01/16,51.339565925771204,False
2013/01/17,51.35514917444121,False
2013/01/18,51.369505979769606,False
2013/01/21,51.383437415733184,False
2013/01/22,51.396765058114276,False
2013/01/23,51.41022914559449,False
2013/01/24,51.4237025440788,False
2013/01/25,51.4372880990264,False
2013/01/28,51.45100673289441,False
2013/01/29,51.46476660616725,False
2013/01/30,51.47856371131553,False
2013/01/31,51.49234447931745,False
2013/02/01,51.506109606728884,False
2013/02/04,51.51986061398672,False
2013/02/05,51.53359916749057,False
2013/02/06,51.547334840277124,False
2013/02/07,51.56106967564415,False
2013/02/08,51.57480693716576,False
2013/02/11,51.588546686137406,False
2013/02/12,51.60228799258619,False
2013/02/13,51.61603027442434,False
2013/02/14,51.62977263059233,False
2013/02/15,51.643514816518525,False
2013/02/18,51.65725667215927,False
2013/02/19,51.67099824707349,False
2013/02/20,51.68473966185128,False
2013/02/21,51.69848107581114,False
2013/02/22,51.712222530480794,False
2013/02/25,51.72596404565662,False
2013/02/26,51.73970565537308,False
2013/02/27,51.75344726245893,False
2013/02/28,51.76718889907509,False
2013/03/01,51.780930544924324,False
2013/03/04,51.79467219484687,False
2013/03/05,51.80841384671535,False
2013/03/06,51.822155520951895,False
2013/03/07,51.83589721026713,False
2013/03/08,51.84963892653094,False
2013/03/11,51.863380626696184,False
