date,PRC,is_prediction
2012/01/03,28.82,True
2012/01/04,28.73,True
2012/01/05,28.77,True
2012/01/06,28.52,True
2012/01/09,28.78,True
2012/01/10,28.75,True
2012/01/11,28.21,True
2012/01/12,28.0,True
2012/01/13,28.09,True
2012/01/17,27.93,True
2012/01/18,28.09,True
2012/01/19,27.8,True
2012/01/20,27.5,True
2012/01/23,27.82,True
2012/01/24,27.64,True
2012/01/25,28.23,True
2012/01/26,28.2,True
2012/01/27,27.8,True
2012/01/30,27.59,True
2012/01/31,27.79,True
2012/02/01,27.86,True
2012/02/02,27.56,True
2012/02/03,27.54,True
2012/02/06,27.49,True
2012/02/07,27.72,True
2012/02/08,27.78,True
2012/02/09,27.71,True
2012/02/10,28.45,True
2012/02/13,27.92,True
2012/02/14,27.85,True
2012/02/15,27.95,True
2012/02/16,28.37,True
2012/02/17,28.47,True
2012/02/21,28.28,True
2012/02/22,28.55,True
2012/02/23,28.61,True
2012/02/24,28.85,True
2012/02/27,28.73,True
2012/02/28,28.68,True
2012/02/29,28.55,True
2012/03/01,28.57,True
2012/03/02,28.46,True
2012/03/05,28.56,True
2012/03/06,28.25,True
2012/03/07,27.95,True
2012/03/08,28.08,True
2012/03/09,28.26,True
2012/03/12,28.51,True
2012/03/13,28.38,True
2012/03/14,28.1,True
2012/03/15,28.18,True
2012/03/16,28.31,True
2012/03/19,28.09,True
2012/03/20,27.81,True
2012/03/21,27.71,True
2012/03/22,27.67,True
2012/03/23,27.67,True
2012/03/26,27.74,True
2012/03/27,28.16,True
2012/03/28,27.92,True
2012/03/29,28.01,True
2012/03/30,28.26,True
2012/04/02,28.2,True
2012/04/03,28.17,True
2012/04/04,27.89,True
2012/04/05,27.63,True
2012/04/09,27.66,True
2012/04/10,27.06,True
2012/04/11,27.07,True
2012/04/12,27.1,True
2012/04/13,26.77,True
2012/04/16,26.93,True
2012/04/17,27.09,True
2012/04/18,26.9,True
2012/04/19,26.9,True
2012/04/20,27.15,True
2012/04/23,27.06,True
2012/04/24,27.27,True
2012/04/25,27.09,True
2012/04/26,27.38,True
2012/04/27,27.31,True
2012/04/30,27.35,True
2012/05/01,27.58,True
2012/05/02,27.46,True
2012/05/03,27.25,True
2012/05/04,27.35,True
2012/05/07,27.37,True
2012/05/08,27.58,True
2012/05/09,27.45,True
2012/05/10,27.72,True
2012/05/11,27.52,True
2012/05/14,27.38,True
2012/05/15,27.09,True
2012/05/16,27.37,True
2012/05/17,27.32,True
2012/05/18,27.19,True
2012/05/21,27.11,True
2012/05/22,27.32,True
2012/05/23,27.1,True
2012/05/24,27.41,True
2012/05/25,27.52,True
2012/05/29,27.61,True
2012/05/30,27.29,True
2012/05/31,27.37,True
2012/06/01,27.47,True
2012/06/04,27.55,True
2012/06/05,27.6,True
2012/06/06,27.56,True
2012/06/07,27.65,True
2012/06/08,27.88,True
2012/06/11,27.64,True
2012/06/12,27.61,True
2012/06/13,27.59,True
2012/06/14,27.73,True
2012/06/15,27.81,True
2012/06/18,27.86,True
2012/06/19,28.0,True
2012/06/20,27.72,True
2012/06/21,27.63,True
2012/06/22,27.49,True
2012/06/25,27.45,True
2012/06/26,27.49,True
2012/06/27,27.7,True
2012/06/28,27.76,True
2012/06/29,27.81,True
2012/07/02,28.17,True
2012/07/03,28.12,True
2012/07/05,27.87,True
2012/07/06,27.91,True
2012/07/09,27.82,True
2012/07/10,27.99,True
2012/07/11,28.22,True
2012/07/12,28.14,True
2012/07/13,28.47,True
2012/07/16,28.6,True
2012/07/17,28.76,True
2012/07/18,28.76,True
2012/07/19,28.94,True
2012/07/20,29.03,True
2012/07/23,28.86,True
2012/07/24,28.63,True
2012/07/25,28.53,True
2012/07/26,28.79,True
2012/07/27,29.17,True
2012/07/30,29.2,True
2012/07/31,28.9,True
2012/08/01,28.87,True
2012/08/02,28.59,True
2012/08/03,28.68,True
2012/08/06,28.74,True
2012/08/07,28.49,True
2012/08/08,29.13,True
2012/08/09,29.56,True
2012/08/10,29.92,True
2012/08/13,29.93,True
2012/08/14,29.74,True
2012/08/15,29.7,True
2012/08/16,29.5,True
2012/08/17,29.41,True
2012/08/20,29.49,True
2012/08/21,29.31,True
2012/08/22,29.29,True
2012/08/23,29.07,True
2012/08/24,29.28,True
2012/08/27,29.28,True
2012/08/28,29.3,True
2012/08/29,29.4,True
2012/08/30,29.36,True
2012/08/31,29.33,True
2012/09/04,29.61,True
2012/09/05,29.64,True
2012/09/06,29.21,True
2012/09/07,29.24,True
2012/09/10,29.13,True
2012/09/11,28.93,True
2012/09/12,28.81,True
2012/09/13,29.24,True
2012/09/14,29.07,True
2012/09/17,28.97,True
2012/09/18,28.83,True
2012/09/19,28.77,True
2012/09/20,28.7,True
2012/09/21,28.73,True
2012/09/24,29.07,True
2012/09/25,28.98,True
2012/09/26,28.87,True
2012/09/27,28.64,True
2012/09/28,29.05,True
2012/10/01,28.8,True
2012/10/02,28.96,True
2012/10/03,29.19,True
2012/10/04,29.36,True
2012/10/05,29.12,True
2012/10/08,29.24,True
2012/10/09,29.32,True
2012/10/10,29.3,True
2012/10/11,29.47,True
2012/10/12,29.44,True
2012/10/15,29.45,True
2012/10/16,29.52,True
2012/10/17,29.86,True
2012/10/18,30.15,True
2012/10/19,29.78,True
2012/10/22,29.74,True
2012/10/23,29.56,True
2012/10/24,29.37,True
2012/10/25,29.55,True
2012/10/26,29.49,True
2012/10/31,29.57,True
2012/11/01,29.43,True
2012/11/02,29.19,True
2012/11/05,28.78,True
2012/11/06,28.81,True
2012/11/07,28.3,True
2012/11/08,28.73,True
2012/11/09,28.68,True
2012/11/12,28.26,True
2012/11/13,28.32,True
2012/11/14,27.98,True
2012/11/15,27.95,True
2012/11/16,28.54,True
2012/11/19,28.37,True
2012/11/20,28.33,True
2012/11/21,28.23,True
2012/11/23,28.08,True
2012/11/26,28.44,True
2012/11/27,28.81,True
2012/11/28,28.94,True
2012/11/29,29.06,True
2012/11/30,29.35,True
2012/12/03,29.07,True
2012/12/04,28.96,True
2012/12/05,29.35,True
2012/12/06,29.0,True
2012/12/07,28.98,True
2012/12/10,29.0,True
2012/12/11,28.98,True
2012/12/12,29.06,True
2012/12/13,29.1,True
2012/12/14,28.79,True
2012/12/17,29.27,True
2012/12/18,29.45,True
2012/12/19,29.14,True
2012/12/20,29.11,True
2012/12/21,28.92,True
2012/12/24,28.92,True
2012/12/26,28.62,True
2012/12/27,28.52,True
2012/12/28,28.18,True
2012/12/31,28.63,True
2013/01/01,28.624757884510895,False
2013/01/02,28.60690360125769,False
2013/01/03,28.62329632419193,False
2013/01/04,28.60089175430653,False
2013/01/07,28.602027684202437,False
2013/01/08,28.631758707988553,False
2013/01/09,28.602940858135693,False
2013/01/10,28.60450989980225,False
2013/01/11,28.60656842967466,False
2013/01/14,28.601974457100383,False
2013/01/15,28.60485973133943,False
2013/01/16,28.604310783258303,False
2013/01/17,28.600944413396622,False
2013/01/18,28.602318804042774,False
2013/01/21,28.601263027665926,False
2013/01/22,28.600242761447426,False
2013/01/23,28.600076941380504,False
2013/01/24,28.599002074054837,False
2013/01/25,28.598279878441346,False
2013/01/28,28.597820310233445,False
2013/01/29,28.59694714975168,False
2013/01/30,28.596295126157532,False
2013/01/31,28.595635694062864,False
2013/02/01,28.594880540357842,False
2013/02/04,28.59422196681995,False
2013/02/05,28.593529337908176,False
2013/02/06,28.592812428028896,False
2013/02/07,28.592133657686553,False
2013/02/08,28.591433544906554,False
2013/02/11,28.59073424460721,False
