date,PRC,is_prediction
2012/05/01,32.76,True
2012/05/02,32.0,True
2012/05/03,31.39,True
2012/05/04,30.16,True
2012/05/07,29.35,True
2012/05/08,30.1,True
2012/05/09,32.49,True
2012/05/10,32.48,True
2012/05/11,31.83,True
2012/05/14,31.32,True
2012/05/15,31.67,True
2012/05/16,32.1,True
2012/05/17,31.26,True
2012/05/18,31.38,True
2012/05/21,32.19,True
2012/05/22,31.63,True
2012/05/23,31.41,True
2012/05/24,31.13,True
2012/05/25,31.3,True
2012/05/29,31.01,True
2012/05/30,30.44,True
2012/05/31,30.03,True
2012/06/01,29.92,True
2012/06/04,29.53,True
2012/06/05,29.9,True
2012/06/06,31.53,True
2012/06/07,31.83,True
2012/06/08,32.12,True
2012/06/11,32.6,True
2012/06/12,33.49,True
2012/06/13,32.77,True
2012/06/14,33.53,True
2012/06/15,34.9,True
2012/06/18,33.86,True
2012/06/19,33.86,True
2012/06/20,34.66,True
2012/06/21,33.48,True
2012/06/22,34.16,True
2012/06/25,32.87,True
2012/06/26,32.58,True
2012/06/27,31.89,True
2012/06/28,32.31,True
2012/06/29,33.24,True
2012/07/02,34.0,True
2012/07/03,34.24,True
2012/07/05,33.8,True
2012/07/06,33.37,True
2012/07/09,33.25,True
2012/07/10,32.68,True
2012/07/11,33.48,True
2012/07/12,33.01,True
2012/07/13,34.94,True
2012/07/16,36.1,True
2012/07/17,36.69,True
2012/07/18,37.1,True
2012/07/19,35.6,True
2012/07/20,35.32,True
2012/07/23,35.02,True
2012/07/24,35.23,True
2012/07/25,35.4,True
2012/07/26,35.96,True
2012/07/27,36.52,True
2012/07/30,37.65,True
2012/07/31,37.6,True
2012/08/01,38.27,True
2012/08/02,38.3,True
2012/08/03,39.67,True
2012/08/06,40.07,True
2012/08/07,39.77,True
2012/08/08,40.15,True
2012/08/09,40.32,True
2012/08/10,40.0,True
2012/08/13,40.15,True
2012/08/14,39.93,True
2012/08/15,40.36,True
2012/08/16,41.18,True
2012/08/17,42.77,True
2012/08/20,43.07,True
2012/08/21,41.55,True
2012/08/22,41.48,True
2012/08/23,41.33,True
2012/08/24,41.36,True
2012/08/27,41.07,True
2012/08/28,41.96,True
2012/08/29,41.98,True
2012/08/30,42.48,True
2012/08/31,42.0,True
2012/09/04,42.41,True
2012/09/05,41.74,True
2012/09/06,43.42,True
2012/09/07,44.26,True
