date,PRC,is_prediction
2012/01/03,71.22,True
2012/01/04,73.86,True
2012/01/05,72.68,True
2012/01/06,73.66,True
2012/01/09,73.8,True
2012/01/10,74.0,True
2012/01/11,73.9,True
2012/01/12,76.17,True
2012/01/13,75.4,True
2012/01/17,74.99,True
2012/01/18,76.01,True
2012/01/19,76.95,True
2012/01/20,76.64,True
2012/01/23,76.28,True
2012/01/24,77.94,True
2012/01/25,77.6,True
2012/01/26,76.94,True
2012/01/27,76.7,True
2012/01/30,76.62,True
2012/01/31,77.19,True
2012/02/01,76.47,True
2012/02/02,76.26,True
2012/02/03,78.11,True
2012/02/06,78.31,True
2012/02/07,79.12,True
2012/02/08,81.05,True
2012/02/09,81.27,True
2012/02/10,81.3,True
2012/02/13,82.04,True
2012/02/14,82.37,True
2012/02/15,81.7,True
2012/02/16,82.12,True
2012/02/17,82.23,True
2012/02/21,82.26,True
2012/02/22,82.22,True
2012/02/23,82.16,True
2012/02/24,82.42,True
2012/02/27,82.95,True
2012/02/28,83.34,True
2012/02/29,85.01,True
2012/03/01,85.55,True
2012/03/02,84.72,True
2012/03/05,85.18,True
2012/03/06,83.01,True
2012/03/07,83.5,True
2012/03/08,84.69,True
2012/03/09,86.93,True
2012/03/12,87.28,True
2012/03/13,89.0,True
2012/03/14,88.94,True
2012/03/15,88.73,True
2012/03/16,89.27,True
2012/03/19,89.0,True
2012/03/20,89.33,True
2012/03/21,89.53,True
2012/03/22,89.97,True
2012/03/23,89.55,True
2012/03/26,90.83,True
2012/03/27,89.81,True
2012/03/28,88.64,True
2012/03/29,89.49,True
2012/03/30,89.33,True
2012/04/02,91.4,True
2012/04/03,91.73,True
2012/04/04,91.25,True
2012/04/05,91.88,True
2012/04/09,90.64,True
2012/04/10,87.19,True
2012/04/11,88.06,True
2012/04/12,88.5,True
2012/04/13,89.01,True
2012/04/16,88.6,True
2012/04/17,89.87,True
2012/04/18,90.02,True
2012/04/19,88.68,True
2012/04/20,88.52,True
2012/04/23,87.08,True
2012/04/24,86.74,True
2012/04/25,88.93,True
2012/04/26,90.54,True
2012/04/27,90.06,True
2012/04/30,88.8,True
2012/05/01,89.62,True
2012/05/02,92.35,True
2012/05/03,90.98,True
2012/05/04,85.66,True
2012/05/07,84.08,True
2012/05/08,81.32,True
2012/05/09,81.39,True
2012/05/10,80.21,True
2012/05/11,81.23,True
2012/05/14,79.51,True
2012/05/15,79.41,True
2012/05/16,76.34,True
2012/05/17,72.7,True
2012/05/18,72.71,True
2012/05/21,75.98,True
2012/05/22,77.55,True
2012/05/23,77.37,True
2012/05/24,82.38,True
2012/05/25,82.46,True
2012/05/29,84.64,True
2012/05/30,83.04,True
2012/05/31,81.0,True
2012/06/01,76.47,True
2012/06/04,77.18,True
2012/06/05,79.66,True
2012/06/06,80.25,True
2012/06/07,78.79,True
2012/06/08,79.96,True
2012/06/11,77.46,True
2012/06/12,78.09,True
2012/06/13,75.95,True
2012/06/14,77.31,True
2012/06/15,79.39,True
2012/06/18,80.18,True
2012/06/19,80.81,True
2012/06/20,79.48,True
2012/06/21,79.46,True
2012/06/22,79.8,True
2012/06/25,77.89,True
2012/06/26,78.19,True
2012/06/27,77.89,True
2012/06/28,75.32,True
2012/06/29,77.79,True
2012/07/02,78.81,True
2012/07/03,80.1,True
2012/07/05,82.1,True
2012/07/06,79.68,True
2012/07/09,77.59,True
2012/07/10,78.62,True
2012/07/11,75.52,True
2012/07/12,74.47,True
2012/07/13,76.39,True
2012/07/16,76.44,True
2012/07/17,76.19,True
2012/07/18,77.4,True
2012/07/19,80.36,True
2012/07/20,79.13,True
2012/07/23,77.81,True
2012/07/24,76.18,True
2012/07/25,75.46,True
2012/07/26,78.19,True
2012/07/27,80.92,True
2012/07/30,81.22,True
2012/07/31,79.43,True
2012/08/01,77.98,True
2012/08/02,75.19,True
2012/08/03,77.54,True
2012/08/06,78.86,True
2012/08/07,84.25,True
2012/08/08,84.54,True
2012/08/09,84.08,True
2012/08/10,83.84,True
2012/08/13,84.9,True
2012/08/14,85.27,True
2012/08/15,86.78,True
2012/08/16,87.56,True
2012/08/17,89.01,True
2012/08/20,87.19,True
2012/08/21,87.75,True
2012/08/22,87.48,True
2012/08/23,87.07,True
2012/08/24,87.94,True
2012/08/27,88.49,True
2012/08/28,92.77,True
2012/08/29,93.82,True
2012/08/30,93.49,True
2012/08/31,93.9,True
2012/09/04,94.37,True
2012/09/05,93.0,True
2012/09/06,94.56,True
2012/09/07,94.07,True
2012/09/10,93.6,True
2012/09/11,92.73,True
2012/09/12,92.76,True
2012/09/13,93.34,True
2012/09/14,94.79,True
2012/09/17,94.27,True
2012/09/18,91.57,True
2012/09/19,92.31,True
2012/09/20,92.51,True
2012/09/21,92.63,True
2012/09/24,94.27,True
2012/09/25,92.75,True
2012/09/26,92.59,True
2012/09/27,93.43,True
2012/09/28,93.72,True
2012/10/01,92.95,True
2012/10/02,92.92,True
2012/10/03,94.71,True
2012/10/04,95.83,True
2012/10/05,95.5,True
2012/10/08,94.46,True
2012/10/09,93.25,True
2012/10/10,93.19,True
2012/10/11,94.06,True
2012/10/12,92.75,True
2012/10/15,94.96,True
2012/10/16,97.12,True
2012/10/17,98.0,True
2012/10/18,98.3,True
2012/10/19,96.73,True
2012/10/22,95.41,True
2012/10/23,94.49,True
2012/10/24,93.87,True
2012/10/25,93.01,True
2012/10/26,91.5,True
2012/10/31,109.99,True
2012/11/01,114.75,True
2012/11/02,111.12,True
2012/11/05,111.37,True
2012/11/06,114.11,True
2012/11/07,112.25,True
2012/11/08,110.21,True
2012/11/09,108.88,True
2012/11/12,109.99,True
2012/11/13,108.6,True
2012/11/14,107.06,True
2012/11/15,107.31,True
2012/11/16,108.29,True
2012/11/19,111.24,True
2012/11/20,110.45,True
2012/11/21,109.6,True
2012/11/23,110.97,True
2012/11/26,110.74,True
2012/11/27,109.29,True
2012/11/28,116.46,True
2012/11/29,114.84,True
2012/11/30,114.59,True
2012/12/03,115.09,True
2012/12/04,113.73,True
2012/12/05,111.14,True
2012/12/06,112.18,True
2012/12/07,112.51,True
2012/12/10,110.56,True
2012/12/11,110.95,True
2012/12/12,109.37,True
2012/12/13,108.76,True
2012/12/14,108.36,True
2012/12/17,110.23,True
2012/12/18,111.93,True
2012/12/19,112.47,True
2012/12/20,112.19,True
2012/12/21,109.95,True
2012/12/24,110.56,True
2012/12/26,107.8,True
2012/12/27,109.21,True
2012/12/28,108.22,True
2012/12/31,111.01,True
2013/01/01,111.57133849225826,False
2013/01/02,112.0160528316112,False
2013/01/03,111.84721717669093,False
2013/01/04,112.10530324743429,False
2013/01/07,111.7386840173824,False
2013/01/08,111.76853547772488,False
2013/01/09,111.81839525047802,False
2013/01/10,112.04963047349112,False
2013/01/11,112.23791127591483,False
2013/01/14,112.51302724477765,False
2013/01/15,112.70598239680574,False
2013/01/16,112.890366840033,False
2013/01/17,113.0296096271434,False
2013/01/18,113.17049664802457,False
2013/01/21,113.29888918495907,False
2013/01/22,113.44522057242953,False
2013/01/23,113.59628253983378,False
2013/01/24,113.75838153030055,False
2013/01/25,113.9212231070062,False
2013/01/28,114.08571824921391,False
2013/01/29,114.24606096515723,False
2013/01/30,114.40452887526168,False
2013/01/31,114.56027849517687,False
2013/02/01,114.71567029267375,False
2013/02/04,114.87092153643093,False
2013/02/05,115.02720379675816,False
2013/02/06,115.18411683300327,False
2013/02/07,115.34170630554843,False
2013/02/08,115.49941125952478,False
2013/02/11,115.65709378393467,False
2013/02/12,115.81450547657816,False
2013/02/13,115.97172168187213,False
2013/02/14,116.12876733649237,False
2013/02/15,116.2857807158546,False
2013/02/18,116.44281299920176,False
2013/02/19,116.59991895840047,False
2013/02/20,116.75708260289781,False
2013/02/21,116.91428955446827,False
2013/02/22,117.07150454091257,False
2013/02/25,117.2287112853571,False
2013/02/26,117.38589742845325,False
2013/02/27,117.54306686969736,False
2013/02/28,117.70022509943784,False
2013/03/01,117.85738129335645,False
2013/03/04,118.01454039080653,False
2013/03/05,118.17170519296782,False
2013/03/06,118.32887456281152,False
2013/03/07,118.48604672521542,False
2013/03/08,118.64321923449806,False
2013/03/11,118.8003906694767,False
