date,PRC,is_prediction
2012/01/03,21.56,True
2012/01/04,21.61,True
2012/01/05,21.88,True
2012/01/06,21.72,True
2012/01/09,21.61,True
2012/01/10,22.03,True
2012/01/11,22.05,True
2012/01/12,22.14,True
2012/01/13,22.04,True
2012/01/17,21.66,True
2012/01/18,21.55,True
2012/01/19,21.69,True
2012/01/20,21.4,True
2012/01/23,20.86,True
2012/01/24,20.89,True
2012/01/25,21.48,True
2012/01/26,21.47,True
2012/01/27,21.67,True
2012/01/30,21.8,True
2012/01/31,21.6,True
2012/02/01,22.08,True
2012/02/02,22.21,True
2012/02/03,22.3,True
2012/02/06,22.44,True
2012/02/07,22.44,True
2012/02/08,22.2,True
2012/02/09,22.46,True
2012/02/10,21.88,True
2012/02/13,21.95,True
2012/02/14,22.2,True
2012/02/15,21.92,True
2012/02/16,21.88,True
2012/02/17,21.74,True
2012/02/21,21.79,True
2012/02/22,21.27,True
2012/02/23,21.28,True
2012/02/24,21.07,True
2012/02/27,21.34,True
2012/02/28,21.3,True
2012/02/29,20.9,True
2012/03/01,21.18,True
2012/03/02,20.98,True
2012/03/05,21.25,True
2012/03/06,20.72,True
2012/03/07,21.03,True
2012/03/08,21.42,True
2012/03/09,21.66,True
2012/03/12,21.6,True
2012/03/13,21.78,True
2012/03/14,21.65,True
2012/03/15,21.89,True
2012/03/16,21.94,True
2012/03/19,21.78,True
2012/03/20,21.39,True
2012/03/21,21.31,True
2012/03/22,21.25,True
2012/03/23,21.41,True
2012/03/26,21.64,True
2012/03/27,21.36,True
2012/03/28,21.06,True
2012/03/29,20.94,True
2012/03/30,20.9,True
2012/04/02,21.03,True
2012/04/03,21.12,True
2012/04/04,21.56,True
2012/04/05,21.65,True
2012/04/09,20.89,True
2012/04/10,20.34,True
2012/04/11,20.73,True
2012/04/12,20.98,True
2012/04/13,20.74,True
2012/04/16,20.89,True
2012/04/17,21.35,True
2012/04/18,21.13,True
2012/04/19,20.78,True
2012/04/20,21.23,True
2012/04/23,20.82,True
2012/04/24,21.07,True
2012/04/25,21.43,True
2012/04/26,21.62,True
2012/04/27,22.06,True
2012/04/30,22.12,True
2012/05/01,22.31,True
2012/05/02,22.63,True
2012/05/03,23.5,True
2012/05/04,23.16,True
2012/05/07,23.5,True
2012/05/08,23.37,True
2012/05/09,23.11,True
2012/05/10,23.04,True
2012/05/11,23.13,True
2012/05/14,22.9,True
2012/05/15,22.6,True
2012/05/16,22.74,True
2012/05/17,22.01,True
2012/05/18,21.66,True
2012/05/21,22.13,True
2012/05/22,22.23,True
2012/05/23,22.6,True
2012/05/24,22.91,True
2012/05/25,22.7,True
2012/05/29,22.53,True
2012/05/30,22.14,True
2012/05/31,22.58,True
2012/06/01,21.6,True
2012/06/04,21.37,True
2012/06/05,21.29,True
2012/06/06,21.93,True
2012/06/07,22.27,True
2012/06/08,22.54,True
2012/06/11,22.18,True
2012/06/12,22.39,True
2012/06/13,22.29,True
2012/06/14,22.88,True
2012/06/15,22.81,True
2012/06/18,23.33,True
2012/06/19,23.24,True
2012/06/20,23.15,True
2012/06/21,22.73,True
2012/06/22,22.83,True
2012/06/25,22.34,True
2012/06/26,22.57,True
2012/06/27,22.91,True
2012/06/28,23.54,True
2012/06/29,24.07,True
2012/07/02,23.89,True
2012/07/03,23.65,True
2012/07/05,23.83,True
2012/07/06,23.5,True
2012/07/09,23.5,True
2012/07/10,23.09,True
2012/07/11,22.73,True
2012/07/12,23.11,True
2012/07/13,23.39,True
2012/07/16,23.28,True
2012/07/17,23.51,True
2012/07/18,23.5,True
2012/07/19,22.71,True
2012/07/20,22.01,True
2012/07/23,22.22,True
2012/07/24,22.05,True
2012/07/25,22.11,True
2012/07/26,22.69,True
2012/07/27,23.14,True
2012/07/30,23.27,True
2012/07/31,22.99,True
2012/08/01,22.47,True
2012/08/02,23.93,True
2012/08/03,24.71,True
2012/08/06,24.48,True
2012/08/07,24.56,True
2012/08/08,24.76,True
2012/08/09,24.58,True
2012/08/10,24.78,True
2012/08/13,24.56,True
2012/08/14,24.55,True
2012/08/15,24.77,True
2012/08/16,25.08,True
2012/08/17,24.96,True
2012/08/20,24.68,True
2012/08/21,24.76,True
2012/08/22,24.34,True
2012/08/23,24.31,True
2012/08/24,24.2,True
2012/08/27,24.13,True
2012/08/28,24.23,True
2012/08/29,23.92,True
