date,PRC,is_prediction
2012/01/03,92.63,True
2012/01/04,93.56,True
2012/01/05,95.5,True
2012/01/06,94.01,True
2012/01/09,95.01,True
2012/01/10,97.66,True
2012/01/11,94.35,True
2012/01/12,96.56,True
2012/01/13,97.63,True
2012/01/17,99.15,True
2012/01/18,99.6,True
2012/01/19,100.89,True
2012/01/20,97.71,True
2012/01/23,100.09,True
2012/01/24,98.23,True
2012/01/25,101.49,True
2012/01/26,98.71,True
2012/01/27,97.42,True
2012/01/30,97.64,True
2012/01/31,99.3,True
2012/02/01,98.91,True
2012/02/02,102.66,True
2012/02/03,104.39,True
2012/02/06,105.74,True
2012/02/07,108.35,True
2012/02/08,109.84,True
2012/02/09,110.17,True
2012/02/10,109.17,True
2012/02/13,111.85,True
2012/02/14,110.79,True
2012/02/15,113.46,True
2012/02/16,114.88,True
2012/02/17,113.67,True
2012/02/21,113.76,True
2012/02/22,113.7,True
2012/02/23,114.7,True
2012/02/24,116.24,True
2012/02/27,113.9,True
2012/02/28,111.91,True
2012/02/29,109.64,True
2012/03/01,111.9,True
2012/03/02,108.4,True
2012/03/05,106.16,True
2012/03/06,103.27,True
2012/03/07,105.34,True
2012/03/08,107.7,True
2012/03/09,108.55,True
2012/03/12,106.96,True
2012/03/13,107.93,True
2012/03/14,106.4,True
2012/03/15,106.55,True
2012/03/16,110.01,True
2012/03/19,111.31,True
2012/03/20,106.35,True
2012/03/21,103.79,True
2012/03/22,100.69,True
2012/03/23,101.75,True
2012/03/26,105.0,True
2012/03/27,106.65,True
2012/03/28,105.36,True
2012/03/29,105.2,True
2012/03/30,111.59,True
2012/04/02,112.1,True
2012/04/03,111.93,True
2012/04/04,109.63,True
2012/04/05,109.6,True
2012/04/09,107.48,True
2012/04/10,105.12,True
2012/04/11,103.64,True
2012/04/12,107.83,True
2012/04/13,106.69,True
2012/04/16,104.6,True
2012/04/17,107.69,True
2012/04/18,105.72,True
2012/04/19,105.89,True
2012/04/20,104.98,True
2012/04/23,105.49,True
2012/04/24,106.71,True
2012/04/25,113.61,True
2012/04/26,115.64,True
2012/04/27,115.64,True
2012/04/30,115.82,True
2012/05/01,116.16,True
2012/05/02,112.64,True
2012/05/03,110.86,True
2012/05/04,106.93,True
2012/05/07,105.47,True
2012/05/08,103.88,True
2012/05/09,102.19,True
2012/05/10,104.23,True
2012/05/11,101.95,True
2012/05/14,98.76,True
2012/05/15,97.95,True
2012/05/16,97.66,True
2012/05/17,96.72,True
2012/05/18,95.36,True
2012/05/21,99.84,True
2012/05/22,100.68,True
2012/05/23,99.3,True
2012/05/24,98.03,True
2012/05/25,99.21,True
2012/05/29,102.71,True
2012/05/30,98.35,True
2012/05/31,96.7,True
2012/06/01,88.3,True
2012/06/04,86.82,True
2012/06/05,89.52,True
2012/06/06,94.53,True
2012/06/07,95.27,True
2012/06/08,94.29,True
2012/06/11,90.29,True
2012/06/12,92.76,True
2012/06/13,88.95,True
2012/06/14,88.17,True
2012/06/15,89.85,True
2012/06/18,87.05,True
2012/06/19,90.32,True
2012/06/20,86.0,True
2012/06/21,80.84,True
2012/06/22,83.13,True
2012/06/25,78.78,True
2012/06/26,80.69,True
2012/06/27,82.24,True
2012/06/28,83.31,True
2012/06/29,88.21,True
2012/07/02,86.72,True
2012/07/03,91.05,True
2012/07/05,88.04,True
2012/07/06,86.16,True
2012/07/09,85.98,True
2012/07/10,82.8,True
2012/07/11,85.08,True
2012/07/12,83.88,True
2012/07/13,85.05,True
2012/07/16,84.87,True
2012/07/17,88.36,True
2012/07/18,89.9,True
2012/07/19,93.49,True
2012/07/20,92.75,True
2012/07/23,88.71,True
2012/07/24,86.96,True
2012/07/25,87.79,True
2012/07/26,89.52,True
2012/07/27,92.36,True
2012/07/30,90.38,True
2012/07/31,88.63,True
2012/08/01,93.86,True
2012/08/02,92.0,True
2012/08/03,97.43,True
2012/08/06,96.87,True
2012/08/07,98.57,True
2012/08/08,99.43,True
2012/08/09,99.87,True
2012/08/10,98.29,True
2012/08/13,97.26,True
2012/08/14,97.18,True
2012/08/15,98.75,True
2012/08/16,100.07,True
2012/08/17,100.43,True
2012/08/20,98.31,True
2012/08/21,96.82,True
2012/08/22,97.38,True
2012/08/23,96.13,True
2012/08/24,98.65,True
2012/08/27,98.06,True
2012/08/28,98.37,True
2012/08/29,98.54,True
2012/08/30,96.14,True
2012/08/31,97.36,True
2012/09/04,97.26,True
2012/09/05,96.02,True
2012/09/06,99.31,True
2012/09/07,103.17,True
2012/09/10,103.2,True
2012/09/11,105.57,True
2012/09/12,106.57,True
2012/09/13,109.28,True
2012/09/14,113.16,True
2012/09/17,112.02,True
2012/09/18,108.72,True
2012/09/19,107.14,True
2012/09/20,106.52,True
2012/09/21,106.23,True
2012/09/24,104.08,True
2012/09/25,103.01,True
2012/09/26,101.58,True
2012/09/27,104.66,True
2012/09/28,104.4,True
2012/10/01,103.9,True
2012/10/02,104.67,True
2012/10/03,102.93,True
2012/10/04,104.0,True
2012/10/05,102.94,True
2012/10/08,102.59,True
2012/10/09,105.33,True
2012/10/10,102.56,True
2012/10/11,104.11,True
2012/10/12,102.15,True
2012/10/15,105.47,True
2012/10/16,108.36,True
2012/10/17,108.18,True
2012/10/18,107.78,True
2012/10/19,105.3,True
2012/10/22,104.84,True
2012/10/23,102.55,True
2012/10/24,101.65,True
2012/10/25,104.27,True
2012/10/26,103.63,True
2012/10/31,105.65,True
2012/11/01,109.34,True
2012/11/02,105.96,True
2012/11/05,107.77,True
