date,PRC,is_prediction
2012/01/03,41.65,True
2012/01/04,42.4,True
2012/01/05,42.7,True
2012/01/06,43.04,True
2012/01/09,42.34,True
2012/01/10,42.96,True
2012/01/11,43.04,True
2012/01/12,43.11,True
2012/01/13,42.43,True
2012/01/17,43.22,True
2012/01/18,45.48,True
2012/01/19,46.9,True
2012/01/20,46.24,True
2012/01/23,47.0,True
2012/01/24,47.51,True
2012/01/25,47.77,True
2012/01/26,47.4,True
2012/01/27,47.5,True
2012/01/30,46.65,True
2012/01/31,46.37,True
2012/02/01,47.07,True
2012/02/02,47.48,True
2012/02/03,48.95,True
2012/02/06,48.25,True
2012/02/07,48.01,True
2012/02/08,48.08,True
2012/02/09,48.78,True
2012/02/10,47.97,True
2012/02/13,48.84,True
2012/02/14,48.81,True
2012/02/15,48.15,True
2012/02/16,49.08,True
2012/02/17,48.61,True
2012/02/21,48.27,True
2012/02/22,48.69,True
2012/02/23,48.9,True
2012/02/24,50.01,True
2012/02/27,49.58,True
2012/02/28,49.68,True
2012/02/29,49.46,True
2012/03/01,50.72,True
2012/03/02,50.23,True
2012/03/05,49.3,True
2012/03/06,48.7,True
2012/03/07,49.62,True
2012/03/08,50.67,True
2012/03/09,50.57,True
2012/03/12,50.94,True
2012/03/13,51.06,True
2012/03/14,50.33,True
2012/03/15,50.73,True
2012/03/16,50.64,True
2012/03/19,51.03,True
2012/03/20,50.69,True
2012/03/21,52.03,True
2012/03/22,51.54,True
2012/03/23,51.87,True
2012/03/26,53.13,True
2012/03/27,51.9,True
2012/03/28,51.39,True
2012/03/29,61.43,True
2012/03/30,59.89,True
2012/04/02,60.8,True
2012/04/03,61.74,True
2012/04/04,60.67,True
2012/04/05,60.95,True
2012/04/09,59.73,True
2012/04/10,58.56,True
2012/04/11,59.53,True
2012/04/12,60.81,True
2012/04/13,60.2,True
2012/04/16,60.06,True
2012/04/17,59.94,True
2012/04/18,60.21,True
2012/04/19,60.13,True
2012/04/20,60.55,True
2012/04/23,58.87,True
2012/04/24,57.11,True
2012/04/25,59.23,True
2012/04/26,59.79,True
2012/04/27,60.91,True
2012/04/30,59.61,True
2012/05/01,60.39,True
2012/05/02,61.95,True
2012/05/03,60.8,True
2012/05/04,58.7,True
