date,PRC,is_prediction
2012/01/03,32.05,True
2012/01/04,32.0,True
2012/01/05,32.93,True
2012/01/06,32.79,True
2012/01/09,32.97,True
2012/01/10,34.19,True
2012/01/11,34.18,True
2012/01/12,32.96,True
2012/01/13,32.41,True
2012/01/17,32.48,True
2012/01/18,32.98,True
2012/01/19,34.66,True
2012/01/20,34.68,True
2012/01/23,34.6,True
2012/01/24,34.25,True
2012/01/25,34.29,True
2012/01/26,34.4,True
2012/01/27,34.51,True
2012/01/30,34.54,True
2012/01/31,35.0,True
2012/02/01,35.65,True
2012/02/02,34.98,True
2012/02/03,35.99,True
2012/02/06,35.54,True
2012/02/07,35.33,True
2012/02/08,35.13,True
2012/02/09,35.31,True
2012/02/10,34.53,True
2012/02/13,34.91,True
2012/02/14,34.68,True
2012/02/15,34.44,True
2012/02/16,34.95,True
2012/02/17,35.44,True
2012/02/21,35.32,True
2012/02/22,34.9,True
2012/02/23,35.41,True
2012/02/24,35.38,True
2012/02/27,35.26,True
2012/02/28,35.02,True
2012/02/29,35.37,True
2012/03/01,36.14,True
2012/03/02,35.69,True
2012/03/05,35.25,True
2012/03/06,34.19,True
2012/03/07,34.52,True
2012/03/08,34.95,True
2012/03/09,35.45,True
2012/03/12,35.43,True
2012/03/13,36.96,True
2012/03/14,36.65,True
2012/03/15,37.03,True
2012/03/16,37.16,True
2012/03/19,37.21,True
2012/03/20,37.34,True
2012/03/21,37.24,True
2012/03/22,36.83,True
2012/03/23,37.43,True
2012/03/26,37.95,True
2012/03/27,37.36,True
2012/03/28,36.99,True
2012/03/29,36.3,True
2012/03/30,36.53,True
2012/04/02,36.54,True
2012/04/03,36.63,True
2012/04/04,35.84,True
2012/04/05,35.84,True
2012/04/09,35.09,True
2012/04/10,34.74,True
2012/04/11,35.35,True
2012/04/12,36.13,True
2012/04/13,35.06,True
2012/04/16,35.1,True
2012/04/17,35.91,True
2012/04/18,35.44,True
2012/04/19,35.21,True
2012/04/20,35.11,True
2012/04/23,34.57,True
2012/04/24,34.91,True
2012/04/25,35.23,True
2012/04/26,36.84,True
2012/04/27,36.99,True
2012/04/30,36.62,True
2012/05/01,36.86,True
2012/05/02,36.9,True
2012/05/03,36.46,True
2012/05/04,36.25,True
2012/05/07,36.01,True
2012/05/08,35.94,True
2012/05/09,35.33,True
