date,PRC,is_prediction
2012/01/03,25.61,True
2012/01/04,24.98,True
2012/01/05,24.81,True
2012/01/06,24.92,True
2012/01/09,24.82,True
2012/01/10,26.14,True
2012/01/11,26.47,True
2012/01/12,26.05,True
2012/01/13,25.8,True
2012/01/17,26.13,True
2012/01/18,26.0,True
2012/01/19,26.37,True
2012/01/20,26.03,True
2012/01/23,26.71,True
2012/01/24,26.86,True
2012/01/25,27.39,True
2012/01/26,27.21,True
2012/01/27,30.06,True
2012/01/30,29.29,True
2012/01/31,29.03,True
2012/02/01,29.14,True
2012/02/02,29.18,True
2012/02/03,29.6,True
2012/02/06,29.35,True
2012/02/07,29.68,True
2012/02/08,29.73,True
2012/02/09,29.92,True
2012/02/10,29.73,True
2012/02/13,29.88,True
2012/02/14,29.35,True
2012/02/15,29.4,True
2012/02/16,29.41,True
2012/02/17,29.11,True
2012/02/21,28.94,True
2012/02/22,28.97,True
2012/02/23,28.88,True
2012/02/24,29.42,True
2012/02/27,29.42,True
2012/02/28,29.44,True
2012/02/29,29.3,True
2012/03/01,29.85,True
2012/03/02,30.06,True
2012/03/05,29.79,True
2012/03/06,29.05,True
2012/03/07,29.25,True
2012/03/08,29.83,True
2012/03/09,29.98,True
2012/03/12,30.14,True
2012/03/13,31.0,True
2012/03/14,31.47,True
2012/03/15,31.6,True
2012/03/16,31.56,True
2012/03/19,31.97,True
2012/03/20,31.86,True
2012/03/21,31.64,True
2012/03/22,31.43,True
2012/03/23,31.7,True
2012/03/26,31.99,True
2012/03/27,31.5,True
2012/03/28,30.96,True
2012/03/29,30.99,True
2012/03/30,30.91,True
2012/04/02,31.07,True
2012/04/03,31.52,True
2012/04/04,30.85,True
2012/04/05,30.74,True
2012/04/09,30.37,True
2012/04/10,29.84,True
2012/04/11,30.52,True
2012/04/12,30.83,True
2012/04/13,30.29,True
2012/04/16,29.99,True
2012/04/17,30.48,True
2012/04/18,30.43,True
2012/04/19,30.23,True
2012/04/20,30.5,True
2012/04/23,30.47,True
2012/04/24,31.25,True
2012/04/25,31.71,True
2012/04/26,32.05,True
2012/04/27,34.11,True
2012/04/30,34.01,True
2012/05/01,34.44,True
2012/05/02,35.01,True
2012/05/03,34.4,True
2012/05/04,33.81,True
2012/05/07,33.8,True
2012/05/08,33.42,True
2012/05/09,33.56,True
2012/05/10,34.2,True
2012/05/11,33.71,True
2012/05/14,33.36,True
2012/05/15,34.03,True
2012/05/16,33.21,True
2012/05/17,32.1,True
2012/05/18,31.65,True
2012/05/21,32.22,True
2012/05/22,32.17,True
2012/05/23,32.14,True
2012/05/24,32.09,True
2012/05/25,31.58,True
2012/05/29,31.39,True
2012/05/30,31.12,True
2012/05/31,30.98,True
2012/06/01,30.56,True
2012/06/04,30.42,True
2012/06/05,30.87,True
2012/06/06,31.76,True
2012/06/07,31.96,True
2012/06/08,32.05,True
2012/06/11,31.67,True
2012/06/12,32.17,True
2012/06/13,31.97,True
2012/06/14,31.79,True
2012/06/15,31.79,True
2012/06/18,32.06,True
2012/06/19,32.46,True
2012/06/20,32.36,True
2012/06/21,30.98,True
2012/06/22,31.43,True
2012/06/25,30.54,True
2012/06/26,30.48,True
2012/06/27,30.54,True
2012/06/28,30.23,True
2012/06/29,31.2,True
2012/07/02,31.19,True
2012/07/03,30.94,True
2012/07/05,30.93,True
2012/07/06,30.86,True
2012/07/09,31.01,True
2012/07/10,30.85,True
2012/07/11,31.27,True
2012/07/12,31.41,True
2012/07/13,31.87,True
2012/07/16,31.68,True
2012/07/17,32.37,True
