date,PRC,is_prediction
2012/01/03,88.21,True
2012/01/04,88.02,True
2012/01/05,89.47,True
2012/01/06,89.84,True
2012/01/09,90.4,True
2012/01/10,91.65,True
2012/01/11,92.06,True
2012/01/12,92.62,True
2012/01/13,92.82,True
2012/01/17,92.94,True
2012/01/18,93.62,True
2012/01/19,94.78,True
2012/01/20,94.08,True
2012/01/23,94.15,True
2012/01/24,95.0,True
2012/01/25,95.3,True
2012/01/26,94.25,True
2012/01/27,94.37,True
2012/01/30,94.34,True
2012/01/31,93.39,True
2012/02/01,96.48,True
2012/02/02,93.43,True
2012/02/03,93.86,True
2012/02/06,94.31,True
2012/02/07,94.6,True
2012/02/08,94.43,True
2012/02/09,94.42,True
2012/02/10,93.21,True
2012/02/13,94.29,True
2012/02/14,94.21,True
2012/02/15,93.35,True
2012/02/16,94.52,True
2012/02/17,94.66,True
2012/02/21,95.29,True
2012/02/22,95.0,True
2012/02/23,94.33,True
2012/02/24,94.58,True
2012/02/27,94.5,True
2012/02/28,93.19,True
2012/02/29,91.52,True
2012/03/01,93.4,True
2012/03/02,93.53,True
2012/03/05,93.55,True
2012/03/06,91.65,True
2012/03/07,93.0,True
2012/03/08,94.24,True
2012/03/09,95.05,True
2012/03/12,95.55,True
2012/03/13,97.87,True
2012/03/14,99.15,True
2012/03/15,99.08,True
2012/03/16,99.4,True
2012/03/19,99.44,True
2012/03/20,99.78,True
2012/03/21,99.83,True
2012/03/22,99.3,True
2012/03/23,99.7,True
2012/03/26,100.49,True
2012/03/27,100.71,True
2012/03/28,99.15,True
2012/03/29,98.78,True
2012/03/30,99.16,True
2012/04/02,99.26,True
2012/04/03,99.11,True
2012/04/04,98.26,True
2012/04/05,98.07,True
2012/04/09,96.94,True
2012/04/10,95.24,True
2012/04/11,96.36,True
2012/04/12,98.6,True
2012/04/13,97.69,True
2012/04/16,97.95,True
2012/04/17,99.9,True
2012/04/18,98.84,True
2012/04/19,96.95,True
2012/04/20,98.14,True
2012/04/23,98.85,True
2012/04/24,98.8,True
2012/04/25,101.24,True
