date,PRC,is_prediction
2012/01/03,47.29,True
2012/01/04,47.62,True
2012/01/05,50.42,True
2012/01/06,50.74,True
2012/01/09,50.38,True
2012/01/10,50.31,True
2012/01/11,50.7,True
2012/01/12,51.15,True
2012/01/13,51.15,True
2012/01/17,51.66,True
2012/01/18,51.49,True
2012/01/19,51.13,True
2012/01/20,51.53,True
2012/01/23,51.71,True
2012/01/24,52.02,True
2012/01/25,52.38,True
2012/01/26,51.63,True
2012/01/27,51.09,True
2012/01/30,50.7,True
2012/01/31,50.82,True
2012/02/01,51.23,True
2012/02/02,51.19,True
2012/02/03,51.76,True
2012/02/06,51.32,True
2012/02/07,51.97,True
2012/02/08,51.64,True
2012/02/09,51.86,True
2012/02/10,51.95,True
2012/02/13,51.94,True
2012/02/14,51.9,True
2012/02/15,51.23,True
2012/02/16,51.58,True
2012/02/17,51.83,True
2012/02/21,52.05,True
2012/02/22,52.94,True
2012/02/23,52.69,True
2012/02/24,52.79,True
2012/02/27,53.09,True
2012/02/28,53.59,True
2012/02/29,53.33,True
2012/03/01,54.25,True
2012/03/02,53.9,True
2012/03/05,54.93,True
2012/03/06,54.73,True
2012/03/07,54.93,True
2012/03/08,55.36,True
2012/03/09,55.98,True
2012/03/12,56.61,True
2012/03/13,56.95,True
2012/03/14,56.57,True
2012/03/15,56.35,True
2012/03/16,55.79,True
2012/03/19,55.71,True
2012/03/20,56.83,True
2012/03/21,57.38,True
2012/03/22,57.23,True
2012/03/23,57.11,True
2012/03/26,58.76,True
2012/03/27,59.0,True
2012/03/28,59.34,True
2012/03/29,58.75,True
2012/03/30,58.1,True
2012/04/02,58.53,True
2012/04/03,58.4,True
2012/04/04,58.37,True
2012/04/05,59.81,True
2012/04/09,59.2,True
2012/04/10,57.19,True
2012/04/11,58.15,True
2012/04/12,59.05,True
2012/04/13,59.06,True
2012/04/16,59.22,True
2012/04/17,59.7,True
2012/04/18,60.34,True
2012/04/19,59.92,True
2012/04/20,60.03,True
2012/04/23,59.7,True
2012/04/24,59.32,True
2012/04/25,60.49,True
2012/04/26,61.17,True
2012/04/27,62.22,True
2012/04/30,61.5,True
2012/05/01,62.46,True
2012/05/02,63.85,True
2012/05/03,63.71,True
2012/05/04,62.44,True
2012/05/07,62.24,True
2012/05/08,60.98,True
2012/05/09,61.17,True
2012/05/10,61.79,True
2012/05/11,61.59,True
2012/05/14,60.54,True
2012/05/15,61.18,True
2012/05/16,62.21,True
2012/05/17,60.64,True
2012/05/18,60.66,True
2012/05/21,60.35,True
2012/05/22,61.26,True
2012/05/23,62.02,True
2012/05/24,62.42,True
2012/05/25,62.47,True
2012/05/29,62.96,True
2012/05/30,62.55,True
2012/05/31,63.23,True
2012/06/01,61.59,True
2012/06/04,61.96,True
2012/06/05,62.31,True
2012/06/06,63.76,True
2012/06/07,62.92,True
2012/06/08,64.5,True
2012/06/11,63.76,True
2012/06/12,65.04,True
2012/06/13,64.24,True
2012/06/14,65.52,True
2012/06/15,66.605,True
2012/06/18,68.2,True
2012/06/19,67.91,True
2012/06/20,67.53,True
2012/06/21,66.15,True
2012/06/22,66.48,True
2012/06/25,65.42,True
2012/06/26,66.24,True
2012/06/27,63.7,True
2012/06/28,61.67,True
2012/06/29,62.47,True
2012/07/02,63.22,True
2012/07/03,62.78,True
2012/07/05,67.19,True
2012/07/06,67.12,True
2012/07/09,66.89,True
2012/07/10,66.88,True
2012/07/11,66.72,True
2012/07/12,67.64,True
2012/07/13,68.21,True
2012/07/16,68.51,True
2012/07/17,69.23,True
2012/07/18,69.23,True
2012/07/19,68.54,True
2012/07/20,67.41,True
2012/07/23,66.9,True
