date,PRC,is_prediction
2012/01/03,61.18,True
2012/01/04,61.19,True
2012/01/05,61.39,True
2012/01/06,60.74,True
2012/01/09,58.65,True
2012/01/10,58.02,True
2012/01/11,54.36,True
2012/01/12,54.36,True
2012/01/13,54.16,True
2012/01/17,54.53,True
2012/01/18,56.37,True
2012/01/19,54.06,True
2012/01/20,54.02,True
2012/01/23,59.0,True
2012/01/24,57.2,True
2012/01/25,59.86,True
2012/01/26,55.92,True
2012/01/27,57.43,True
2012/01/30,57.76,True
2012/01/31,57.52,True
2012/02/01,58.53,True
2012/02/02,58.38,True
2012/02/03,59.2,True
2012/02/06,60.81,True
2012/02/07,62.23,True
2012/02/08,61.68,True
2012/02/09,63.35,True
2012/02/10,62.82,True
2012/02/13,63.29,True
2012/02/14,63.25,True
2012/02/15,63.11,True
2012/02/16,63.37,True
2012/02/17,65.72,True
2012/02/21,64.27,True
2012/02/22,66.1,True
2012/02/23,66.07,True
2012/02/24,65.94,True
2012/02/27,64.1,True
2012/02/28,63.72,True
2012/02/29,63.68,True
2012/03/01,64.6,True
2012/03/02,62.75,True
2012/03/05,63.48,True
2012/03/06,62.56,True
2012/03/07,63.35,True
2012/03/08,64.29,True
2012/03/09,63.51,True
2012/03/12,62.05,True
2012/03/13,62.02,True
2012/03/14,60.84,True
2012/03/15,60.59,True
2012/03/16,62.31,True
2012/03/19,63.46,True
2012/03/20,62.46,True
2012/03/21,62.45,True
2012/03/22,58.9,True
2012/03/23,59.03,True
2012/03/26,59.27,True
2012/03/27,58.57,True
2012/03/28,57.54,True
2012/03/29,56.96,True
2012/03/30,58.14,True
2012/04/02,58.73,True
2012/04/03,58.16,True
2012/04/04,57.61,True
2012/04/05,57.65,True
2012/04/09,56.49,True
2012/04/10,56.79,True
2012/04/11,55.02,True
2012/04/12,56.3,True
2012/04/13,55.86,True
2012/04/16,55.25,True
2012/04/17,56.58,True
2012/04/18,56.69,True
2012/04/19,58.58,True
2012/04/20,57.69,True
2012/04/23,58.07,True
2012/04/24,58.54,True
2012/04/25,60.16,True
2012/04/26,62.64,True
2012/04/27,63.91,True
2012/04/30,66.66,True
2012/05/01,68.34,True
2012/05/02,65.12,True
2012/05/03,64.67,True
2012/05/04,63.68,True
2012/05/07,63.56,True
2012/05/08,64.9,True
2012/05/09,67.83,True
2012/05/10,67.22,True
2012/05/11,67.04,True
2012/05/14,66.06,True
2012/05/15,64.12,True
2012/05/16,64.28,True
2012/05/17,62.56,True
2012/05/18,61.46,True
2012/05/21,63.12,True
2012/05/22,63.83,True
2012/05/23,64.35,True
2012/05/24,62.17,True
2012/05/25,61.01,True
2012/05/29,60.85,True
2012/05/30,58.68,True
2012/05/31,57.44,True
2012/06/01,54.57,True
2012/06/04,54.63,True
2012/06/05,55.74,True
2012/06/06,58.59,True
2012/06/07,56.65,True
2012/06/08,56.6,True
2012/06/11,55.42,True
2012/06/12,56.18,True
2012/06/13,55.25,True
2012/06/14,57.23,True
2012/06/15,57.01,True
2012/06/18,58.75,True
2012/06/19,60.25,True
2012/06/20,59.33,True
2012/06/21,56.92,True
2012/06/22,59.23,True
2012/06/25,58.09,True
2012/06/26,59.69,True
2012/06/27,62.63,True
2012/06/28,61.37,True
2012/06/29,61.87,True
2012/07/02,60.89,True
2012/07/03,62.69,True
2012/07/05,61.63,True
2012/07/06,60.8,True
2012/07/09,61.59,True
2012/07/10,59.75,True
2012/07/11,58.76,True
2012/07/12,57.5,True
2012/07/13,58.95,True
2012/07/16,60.06,True
