date,PRC,is_prediction
2012/01/03,27.55,True
2012/01/04,27.4,True
2012/01/05,27.6,True
2012/01/06,27.84,True
2012/01/09,27.74,True
2012/01/10,27.78,True
2012/01/11,27.3,True
2012/01/12,28.17,True
2012/01/13,27.73,True
2012/01/17,27.51,True
2012/01/18,27.66,True
2012/01/19,27.96,True
2012/01/20,28.1,True
2012/01/23,28.38,True
2012/01/24,28.35,True
2012/01/25,28.56,True
2012/01/26,28.69,True
2012/01/27,28.95,True
2012/01/30,29.07,True
2012/01/31,29.28,True
2012/02/01,30.01,True
2012/02/02,29.65,True
2012/02/03,30.04,True
2012/02/06,29.98,True
2012/02/07,29.72,True
2012/02/08,29.96,True
2012/02/09,30.09,True
2012/02/10,30.15,True
2012/02/13,30.45,True
2012/02/14,30.16,True
2012/02/15,29.8,True
2012/02/16,29.69,True
2012/02/17,29.6,True
2012/02/21,29.73,True
2012/02/22,29.77,True
2012/02/23,29.84,True
2012/02/24,29.84,True
2012/02/27,29.8,True
2012/02/28,29.62,True
2012/02/29,29.83,True
2012/03/01,29.93,True
2012/03/02,29.82,True
2012/03/05,29.85,True
2012/03/06,29.59,True
2012/03/07,29.52,True
2012/03/08,30.02,True
2012/03/09,30.55,True
2012/03/12,30.56,True
2012/03/13,30.7,True
2012/03/14,30.63,True
2012/03/15,30.54,True
2012/03/16,30.5,True
2012/03/19,30.59,True
2012/03/20,30.34,True
2012/03/21,30.3,True
2012/03/22,30.36,True
2012/03/23,30.24,True
2012/03/26,30.52,True
2012/03/27,30.61,True
2012/03/28,30.49,True
2012/03/29,30.29,True
2012/03/30,30.56,True
2012/04/02,30.88,True
2012/04/03,30.7,True
2012/04/04,30.45,True
2012/04/05,30.75,True
2012/04/09,30.65,True
2012/04/10,30.1,True
2012/04/11,30.49,True
2012/04/12,30.89,True
2012/04/13,30.78,True
2012/04/16,30.73,True
2012/04/17,30.96,True
2012/04/18,30.98,True
2012/04/19,30.82,True
2012/04/20,31.01,True
2012/04/23,30.77,True
2012/04/24,30.77,True
2012/04/25,31.04,True
2012/04/26,31.14,True
2012/04/27,27.01,True
2012/04/30,27.37,True
2012/05/01,27.52,True
2012/05/02,27.33,True
2012/05/03,27.16,True
2012/05/04,26.88,True
2012/05/07,26.9,True
2012/05/08,26.82,True
2012/05/09,26.49,True
2012/05/10,27.03,True
2012/05/11,26.72,True
2012/05/14,25.73,True
2012/05/15,25.67,True
2012/05/16,25.97,True
2012/05/17,25.9,True
2012/05/18,25.99,True
2012/05/21,26.41,True
2012/05/22,26.63,True
2012/05/23,26.91,True
2012/05/24,26.66,True
2012/05/25,26.81,True
2012/05/29,26.77,True
2012/05/30,26.26,True
2012/05/31,26.36,True
2012/06/01,26.05,True
2012/06/04,25.83,True
2012/06/05,25.74,True
2012/06/06,26.16,True
2012/06/07,26.06,True
2012/06/08,26.29,True
2012/06/11,25.93,True
2012/06/12,25.65,True
2012/06/13,25.76,True
2012/06/14,25.85,True
2012/06/15,25.78,True
2012/06/18,25.87,True
2012/06/19,26.21,True
2012/06/20,26.15,True
2012/06/21,25.76,True
2012/06/22,25.58,True
2012/06/25,25.39,True
2012/06/26,25.49,True
2012/06/27,25.59,True
2012/06/28,25.42,True
2012/06/29,26.46,True
2012/07/02,26.14,True
2012/07/03,26.1,True
2012/07/05,26.02,True
2012/07/06,25.85,True
2012/07/09,25.97,True
2012/07/10,26.39,True
2012/07/11,26.48,True
2012/07/12,26.55,True
2012/07/13,26.87,True
2012/07/16,26.79,True
2012/07/17,27.0,True
2012/07/18,27.19,True
2012/07/19,27.52,True
2012/07/20,27.22,True
2012/07/23,27.12,True
2012/07/24,27.1,True
2012/07/25,27.12,True
2012/07/26,27.22,True
2012/07/27,28.17,True
2012/07/30,28.56,True
2012/07/31,28.93,True
2012/08/01,28.63,True
2012/08/02,28.3,True
2012/08/03,28.73,True
2012/08/06,28.93,True
2012/08/07,28.84,True
2012/08/08,28.78,True
2012/08/09,28.79,True
2012/08/10,28.84,True
2012/08/13,28.72,True
2012/08/14,28.67,True
2012/08/15,28.73,True
2012/08/16,28.9,True
2012/08/17,28.81,True
2012/08/20,28.25,True
2012/08/21,28.09,True
2012/08/22,28.1,True
2012/08/23,27.84,True
2012/08/24,27.84,True
2012/08/27,27.71,True
2012/08/28,27.71,True
2012/08/29,27.6,True
2012/08/30,27.63,True
2012/08/31,27.65,True
2012/09/04,27.49,True
2012/09/05,27.5,True
2012/09/06,28.02,True
2012/09/07,28.38,True
2012/09/10,28.21,True
2012/09/11,28.22,True
2012/09/12,28.24,True
2012/09/13,28.84,True
2012/09/14,28.61,True
2012/09/17,28.48,True
2012/09/18,28.66,True
2012/09/19,28.52,True
2012/09/20,28.22,True
2012/09/21,28.01,True
2012/09/24,27.99,True
2012/09/25,27.7,True
2012/09/26,27.37,True
2012/09/27,27.33,True
2012/09/28,27.51,True
2012/10/01,27.29,True
2012/10/02,27.4,True
2012/10/03,27.48,True
2012/10/04,27.62,True
2012/10/05,27.86,True
2012/10/08,27.91,True
2012/10/09,27.64,True
2012/10/10,27.56,True
2012/10/11,27.66,True
2012/10/12,27.8,True
2012/10/15,28.03,True
2012/10/16,27.94,True
2012/10/17,28.44,True
2012/10/18,28.62,True
2012/10/19,28.34,True
2012/10/22,28.36,True
2012/10/23,28.28,True
2012/10/24,28.07,True
2012/10/25,28.49,True
2012/10/26,28.22,True
2012/10/31,28.35,True
2012/11/01,28.31,True
2012/11/02,26.48,True
2012/11/05,26.85,True
2012/11/06,27.04,True
2012/11/07,26.9,True
2012/11/08,26.84,True
2012/11/09,26.75,True
2012/11/12,26.75,True
2012/11/13,26.73,True
2012/11/14,26.54,True
2012/11/15,26.62,True
2012/11/16,27.01,True
2012/11/19,27.32,True
2012/11/20,27.48,True
2012/11/21,27.65,True
2012/11/23,27.93,True
2012/11/26,28.1,True
2012/11/27,28.07,True
2012/11/28,28.25,True
2012/11/29,28.24,True
2012/11/30,28.47,True
2012/12/03,28.41,True
2012/12/04,28.59,True
2012/12/05,29.13,True
2012/12/06,29.11,True
2012/12/07,29.1,True
2012/12/10,29.03,True
2012/12/11,28.86,True
2012/12/12,28.91,True
2012/12/13,29.13,True
2012/12/14,29.13,True
2012/12/17,29.28,True
2012/12/18,29.74,True
2012/12/19,29.96,True
2012/12/20,29.92,True
2012/12/21,29.79,True
2012/12/24,29.74,True
2012/12/26,29.56,True
2012/12/27,29.51,True
2012/12/28,29.01,True
2012/12/31,29.33,True
2013/01/01,29.35450873478971,False
2013/01/02,29.286051564365206,False
2013/01/03,29.301398862110233,False
2013/01/04,29.310525617847336,False
2013/01/07,29.30859347172593,False
2013/01/08,29.312198822302296,False
2013/01/09,29.324470919901046,False
2013/01/10,29.330176778028246,False
2013/01/11,29.335343248781694,False
2013/01/14,29.342938677356162,False
2013/01/15,29.35000300043486,False
2013/01/16,29.35674850397553,False
2013/01/17,29.363827372231146,False
2013/01/18,29.3709570411487,False
2013/01/21,29.377949755865753,False
2013/01/22,29.384982580346897,False
2013/01/23,29.39206146953054,False
2013/01/24,29.399117875965686,False
2013/01/25,29.40617214179586,False
2013/01/28,29.41323637595258,False
