date,PRC,is_prediction
2012/01/03,48.53,True
2012/01/04,48.59,True
2012/01/05,48.05,True
2012/01/06,48.08,True
2012/01/09,48.16,True
2012/01/10,48.7,True
2012/01/11,48.8,True
2012/01/12,49.48,True
2012/01/13,48.67,True
2012/01/17,48.88,True
2012/01/18,49.62,True
2012/01/19,49.98,True
2012/01/20,49.88,True
2012/01/23,49.84,True
2012/01/24,49.69,True
2012/01/25,49.71,True
2012/01/26,49.89,True
2012/01/27,48.64,True
2012/01/30,48.0,True
2012/01/31,47.99,True
2012/02/01,48.74,True
2012/02/02,48.55,True
2012/02/03,48.97,True
2012/02/06,49.3,True
2012/02/07,49.17,True
2012/02/08,49.78,True
2012/02/09,49.97,True
2012/02/10,49.53,True
2012/02/13,50.31,True
2012/02/14,50.36,True
2012/02/15,49.34,True
2012/02/16,48.81,True
2012/02/17,49.86,True
2012/02/21,50.14,True
2012/02/22,50.41,True
2012/02/23,50.36,True
2012/02/24,50.78,True
2012/02/27,50.84,True
2012/02/28,50.67,True
2012/02/29,50.52,True
2012/03/01,51.0,True
2012/03/02,51.37,True
2012/03/05,51.62,True
2012/03/06,50.85,True
2012/03/07,50.71,True
2012/03/08,51.72,True
2012/03/09,51.83,True
2012/03/12,51.92,True
2012/03/13,52.73,True
2012/03/14,52.5,True
2012/03/15,52.27,True
2012/03/16,52.12,True
2012/03/19,52.19,True
2012/03/20,51.77,True
2012/03/21,51.5,True
2012/03/22,51.96,True
2012/03/23,52.16,True
2012/03/26,52.96,True
2012/03/27,52.93,True
2012/03/28,52.52,True
2012/03/29,52.86,True
2012/03/30,52.78,True
2012/04/02,52.7,True
2012/04/03,52.56,True
2012/04/04,52.44,True
2012/04/05,52.35,True
2012/04/09,51.77,True
2012/04/10,51.09,True
2012/04/11,51.51,True
2012/04/12,52.7,True
2012/04/13,52.53,True
2012/04/16,52.6,True
2012/04/17,53.03,True
2012/04/18,52.93,True
2012/04/19,52.53,True
2012/04/20,53.11,True
2012/04/23,52.7,True
2012/04/24,52.98,True
2012/04/25,52.91,True
2012/04/26,53.93,True
2012/04/27,53.91,True
2012/04/30,54.14,True
2012/05/01,54.3,True
2012/05/02,54.02,True
2012/05/03,54.0,True
2012/05/04,53.56,True
2012/05/07,53.68,True
2012/05/08,53.45,True
2012/05/09,52.66,True
2012/05/10,52.37,True
2012/05/11,52.15,True
2012/05/14,51.83,True
2012/05/15,51.31,True
2012/05/16,51.13,True
2012/05/17,50.16,True
2012/05/18,49.94,True
2012/05/21,50.28,True
2012/05/22,50.46,True
2012/05/23,50.26,True
2012/05/24,49.92,True
2012/05/25,49.67,True
2012/05/29,50.18,True
2012/05/30,50.39,True
2012/05/31,50.32,True
