date,PRC,is_prediction
2012/01/03,43.1,True
2012/01/04,43.16,True
2012/01/05,43.13,True
2012/01/06,43.15,True
2012/01/09,43.56,True
2012/01/10,44.25,True
2012/01/11,44.42,True
2012/01/12,44.72,True
2012/01/13,44.56,True
2012/01/17,44.56,True
2012/01/18,45.06,True
2012/01/19,45.39,True
2012/01/20,44.97,True
2012/01/23,45.01,True
2012/01/24,44.73,True
2012/01/25,45.08,True
2012/01/26,45.0,True
2012/01/27,45.82,True
2012/01/30,45.67,True
2012/01/31,45.72,True
2012/02/01,45.69,True
2012/02/02,45.55,True
2012/02/03,45.57,True
2012/02/06,45.45,True
2012/02/07,45.3,True
2012/02/08,45.24,True
2012/02/09,45.47,True
2012/02/10,45.19,True
2012/02/13,45.48,True
2012/02/14,45.39,True
2012/02/15,45.47,True
2012/02/16,46.26,True
2012/02/17,46.27,True
2012/02/21,47.02,True
2012/02/22,46.75,True
2012/02/23,46.96,True
2012/02/24,46.84,True
2012/02/27,46.91,True
2012/02/28,47.6,True
2012/02/29,46.93,True
2012/03/01,47.05,True
2012/03/02,47.1,True
2012/03/05,47.6,True
2012/03/06,47.52,True
2012/03/07,48.06,True
2012/03/08,49.135,True
2012/03/09,49.67,True
2012/03/12,49.62,True
2012/03/13,50.06,True
2012/03/14,49.72,True
2012/03/15,49.65,True
2012/03/16,49.94,True
2012/03/19,50.18,True
2012/03/20,50.15,True
2012/03/21,50.38,True
2012/03/22,50.71,True
2012/03/23,50.42,True
2012/03/26,50.72,True
2012/03/27,50.7,True
2012/03/28,50.49,True
2012/03/29,50.58,True
2012/03/30,50.81,True
2012/04/02,50.91,True
2012/04/03,50.08,True
2012/04/04,49.69,True
2012/04/05,50.47,True
2012/04/09,50.9,True
2012/04/10,50.12,True
2012/04/11,51.56,True
2012/04/12,51.95,True
2012/04/13,52.14,True
2012/04/16,52.26,True
2012/04/17,52.6,True
2012/04/18,52.04,True
2012/04/19,51.86,True
2012/04/20,51.98,True
2012/04/23,51.6,True
2012/04/24,51.53,True
2012/04/25,52.49,True
2012/04/26,53.35,True
2012/04/27,53.62,True
2012/04/30,53.79,True
2012/05/01,54.33,True
2012/05/02,54.53,True
2012/05/03,54.3,True
2012/05/04,53.82,True
2012/05/07,54.37,True
2012/05/08,53.6,True
2012/05/09,53.23,True
2012/05/10,53.03,True
2012/05/11,53.05,True
2012/05/14,51.91,True
2012/05/15,52.13,True
2012/05/16,51.74,True
2012/05/17,50.35,True
2012/05/18,49.88,True
2012/05/21,50.41,True
2012/05/22,50.75,True
2012/05/23,51.32,True
2012/05/24,52.32,True
2012/05/25,52.27,True
2012/05/29,52.4,True
2012/05/30,51.93,True
2012/05/31,51.95,True
2012/06/01,51.33,True
2012/06/04,51.24,True
2012/06/05,51.39,True
2012/06/06,52.45,True
2012/06/07,52.45,True
2012/06/08,52.65,True
2012/06/11,52.21,True
2012/06/12,52.94,True
2012/06/13,53.13,True
2012/06/14,53.57,True
2012/06/15,53.72,True
2012/06/18,54.69,True
2012/06/19,55.15,True
2012/06/20,54.7,True
2012/06/21,54.0,True
2012/06/22,54.75,True
2012/06/25,55.64,True
2012/06/26,57.15,True
2012/06/27,57.45,True
2012/06/28,56.88,True
2012/06/29,57.05,True
2012/07/02,57.79,True
2012/07/03,58.19,True
2012/07/05,57.91,True
2012/07/06,57.96,True
2012/07/09,58.43,True
2012/07/10,57.68,True
2012/07/11,56.77,True
2012/07/12,56.89,True
2012/07/13,56.91,True
2012/07/16,57.05,True
2012/07/17,57.4,True
2012/07/18,56.62,True
2012/07/19,56.5,True
2012/07/20,56.29,True
2012/07/23,56.3,True
2012/07/24,56.15,True
2012/07/25,56.34,True
2012/07/26,57.89,True
2012/07/27,58.83,True
2012/07/30,59.41,True
2012/07/31,59.06,True
2012/08/01,58.39,True
2012/08/02,58.46,True
2012/08/03,59.19,True
2012/08/06,60.0,True
2012/08/07,60.07,True
2012/08/08,60.05,True
2012/08/09,60.29,True
2012/08/10,60.41,True
2012/08/13,60.4,True
2012/08/14,60.62,True
2012/08/15,61.44,True
2012/08/16,60.53,True
2012/08/17,60.51,True
2012/08/20,60.56,True
2012/08/21,59.74,True
2012/08/22,59.63,True
2012/08/23,59.31,True
2012/08/24,59.68,True
2012/08/27,59.89,True
2012/08/28,59.95,True
2012/08/29,60.05,True
2012/08/30,60.09,True
2012/08/31,59.78,True
2012/09/04,59.97,True
2012/09/05,60.2,True
2012/09/06,60.68,True
2012/09/07,60.04,True
2012/09/10,59.83,True
2012/09/11,60.04,True
2012/09/12,59.44,True
2012/09/13,60.055,True
2012/09/14,59.54,True
2012/09/17,59.92,True
2012/09/18,60.42,True
2012/09/19,61.02,True
2012/09/20,60.94,True
2012/09/21,61.5,True
2012/09/24,61.54,True
2012/09/25,61.215,True
2012/09/26,61.51,True
2012/09/27,62.13,True
2012/09/28,62.9,True
2012/10/01,63.17,True
2012/10/02,62.45,True
2012/10/03,63.69,True
2012/10/04,63.92,True
2012/10/05,64.43,True
2012/10/08,64.52,True
2012/10/09,65.16,True
2012/10/10,65.39,True
2012/10/11,64.34,True
2012/10/12,65.22,True
2012/10/15,66.23,True
2012/10/16,66.35,True
2012/10/17,66.6831,True
2012/10/18,66.7,True
2012/10/19,66.1,True
2012/10/22,65.7,True
2012/10/23,65.17,True
2012/10/24,65.55,True
2012/10/25,65.78,True
2012/10/26,66.07,True
2012/10/31,66.3614,True
2012/11/01,66.62,True
2012/11/02,66.6,True
2012/11/05,66.15,True
2012/11/06,66.4,True
2012/11/07,66.98,True
2012/11/08,67.48,True
2012/11/09,67.23,True
2012/11/12,67.06,True
2012/11/13,66.74,True
2012/11/14,66.005,True
2012/11/15,64.84,True
2012/11/16,65.9701,True
2012/11/19,67.01,True
2012/11/20,67.08,True
2012/11/21,67.25,True
2012/11/23,67.75,True
2012/11/26,67.25,True
2012/11/27,67.44,True
2012/11/28,67.8,True
2012/11/29,68.08,True
2012/11/30,68.82,True
2012/12/03,68.42,True
2012/12/04,68.52,True
2012/12/05,67.89,True
2012/12/06,68.32,True
2012/12/07,69.08,True
2012/12/10,68.9,True
2012/12/11,68.54,True
2012/12/12,69.22,True
2012/12/13,69.06,True
2012/12/14,69.6212,True
2012/12/17,70.12,True
2012/12/18,69.81,True
2012/12/19,69.8,True
2012/12/20,70.08,True
2012/12/21,70.9,True
2012/12/24,70.74,True
2012/12/26,70.42,True
2012/12/27,70.59,True
2012/12/28,70.27,True
2012/12/31,70.98,True
2013/01/01,71.22588478084775,False
2013/01/02,71.43759591791515,False
2013/01/03,71.48349758547701,False
2013/01/04,71.57601087454886,False
2013/01/07,71.62815929896999,False
