date,PRC,is_prediction
2012/01/03,44.46,True
2012/01/04,44.12,True
2012/01/05,43.94,True
2012/01/06,43.76,True
2012/01/09,43.71,True
2012/01/10,44.3,True
2012/01/11,44.16,True
2012/01/12,44.17,True
2012/01/13,44.05,True
2012/01/17,44.77,True
2012/01/18,44.85,True
2012/01/19,44.64,True
2012/01/20,44.72,True
2012/01/23,44.66,True
2012/01/24,44.44,True
2012/01/25,45.05,True
2012/01/26,45.01,True
2012/01/27,44.95,True
2012/01/30,44.7,True
2012/01/31,44.83,True
2012/02/01,45.2,True
2012/02/02,45.0,True
2012/02/03,45.32,True
2012/02/06,45.2,True
2012/02/07,45.68,True
2012/02/08,45.73,True
2012/02/09,45.49,True
2012/02/10,45.31,True
2012/02/13,45.15,True
2012/02/14,45.0,True
2012/02/15,44.6,True
2012/02/16,44.78,True
2012/02/17,44.85,True
2012/02/21,44.81,True
2012/02/22,45.1,True
2012/02/23,45.18,True
2012/02/24,45.35,True
2012/02/27,45.35,True
2012/02/28,45.15,True
2012/02/29,45.0,True
2012/03/01,44.73,True
2012/03/02,44.63,True
2012/03/05,44.75,True
2012/03/06,44.58,True
2012/03/07,44.39,True
2012/03/08,44.59,True
2012/03/09,44.85,True
2012/03/12,45.42,True
2012/03/13,45.64,True
2012/03/14,45.0,True
2012/03/15,44.88,True
2012/03/16,44.69,True
2012/03/19,44.6,True
2012/03/20,44.44,True
2012/03/21,44.44,True
2012/03/22,44.54,True
2012/03/23,44.61,True
2012/03/26,45.2,True
2012/03/27,45.34,True
2012/03/28,45.36,True
2012/03/29,45.65,True
2012/03/30,45.61,True
2012/04/02,45.6,True
2012/04/03,45.34,True
2012/04/04,45.2,True
2012/04/05,45.05,True
2012/04/09,44.77,True
2012/04/10,44.01,True
2012/04/11,44.0,True
2012/04/12,44.4,True
2012/04/13,44.28,True
2012/04/16,44.36,True
2012/04/17,44.95,True
2012/04/18,44.84,True
2012/04/19,44.86,True
2012/04/20,45.59,True
2012/04/23,45.18,True
2012/04/24,45.59,True
2012/04/25,45.64,True
2012/04/26,45.85,True
2012/04/27,46.12,True
2012/04/30,46.12,True
2012/05/01,46.37,True
2012/05/02,45.97,True
2012/05/03,45.87,True
2012/05/04,45.67,True
2012/05/07,45.59,True
2012/05/08,45.69,True
2012/05/09,45.81,True
2012/05/10,46.61,True
2012/05/11,46.53,True
2012/05/14,46.65,True
2012/05/15,46.33,True
2012/05/16,46.36,True
2012/05/17,46.07,True
2012/05/18,45.87,True
2012/05/21,46.02,True
2012/05/22,46.49,True
2012/05/23,46.08,True
2012/05/24,46.4,True
2012/05/25,46.65,True
2012/05/29,46.77,True
2012/05/30,46.58,True
2012/05/31,46.95,True
2012/06/01,46.76,True
2012/06/04,46.7,True
2012/06/05,47.01,True
2012/06/06,47.5,True
2012/06/07,47.09,True
2012/06/08,46.99,True
2012/06/11,47.38,True
2012/06/12,47.59,True
2012/06/13,47.58,True
2012/06/14,47.85,True
2012/06/15,48.04,True
2012/06/18,47.97,True
2012/06/19,47.69,True
2012/06/20,47.32,True
2012/06/21,46.73,True
2012/06/22,46.56,True
2012/06/25,46.4,True
2012/06/26,46.64,True
2012/06/27,47.27,True
2012/06/28,47.42,True
2012/06/29,47.84,True
2012/07/02,48.46,True
2012/07/03,48.38,True
2012/07/05,48.09,True
2012/07/06,48.15,True
2012/07/09,47.92,True
2012/07/10,47.99,True
2012/07/11,48.35,True
2012/07/12,48.28,True
2012/07/13,48.73,True
2012/07/16,48.53,True
2012/07/17,48.51,True
2012/07/18,48.52,True
2012/07/19,48.62,True
2012/07/20,48.67,True
2012/07/23,48.16,True
2012/07/24,47.73,True
2012/07/25,47.8,True
2012/07/26,48.51,True
2012/07/27,49.46,True
2012/07/30,49.65,True
2012/07/31,49.17,True
2012/08/01,48.89,True
2012/08/02,48.57,True
2012/08/03,49.34,True
2012/08/06,49.18,True
2012/08/07,48.84,True
2012/08/08,48.64,True
2012/08/09,48.63,True
2012/08/10,48.96,True
2012/08/13,48.89,True
2012/08/14,49.02,True
2012/08/15,48.65,True
2012/08/16,48.6,True
2012/08/17,48.57,True
2012/08/20,48.67,True
2012/08/21,48.38,True
2012/08/22,48.14,True
2012/08/23,47.59,True
2012/08/24,47.93,True
2012/08/27,47.9,True
2012/08/28,47.72,True
2012/08/29,47.74,True
2012/08/30,47.38,True
2012/08/31,47.36,True
2012/09/04,47.9,True
2012/09/05,48.16,True
2012/09/06,48.43,True
2012/09/07,48.32,True
2012/09/10,48.25,True
2012/09/11,48.27,True
2012/09/12,48.25,True
2012/09/13,48.97,True
2012/09/14,48.42,True
2012/09/17,48.11,True
2012/09/18,48.04,True
2012/09/19,48.44,True
2012/09/20,48.49,True
2012/09/21,48.44,True
2012/09/24,48.69,True
2012/09/25,48.62,True
2012/09/26,48.68,True
2012/09/27,48.13,True
2012/09/28,48.27,True
2012/10/01,47.88,True
2012/10/02,48.19,True
2012/10/03,48.62,True
2012/10/04,48.85,True
2012/10/05,48.94,True
2012/10/08,48.94,True
2012/10/09,48.75,True
2012/10/10,48.57,True
2012/10/11,48.51,True
2012/10/12,48.3,True
2012/10/15,48.51,True
2012/10/16,48.68,True
2012/10/17,49.39,True
2012/10/18,49.52,True
2012/10/19,49.12,True
2012/10/22,48.82,True
2012/10/23,48.39,True
2012/10/24,48.14,True
2012/10/25,48.6,True
2012/10/26,48.64,True
2012/10/31,49.08,True
2012/11/01,48.99,True
2012/11/02,48.47,True
2012/11/05,47.91,True
2012/11/06,47.75,True
2012/11/07,46.63,True
2012/11/08,46.6,True
2012/11/09,46.46,True
2012/11/12,46.26,True
2012/11/13,46.14,True
2012/11/14,45.9,True
2012/11/15,45.51,True
2012/11/16,46.1,True
2012/11/19,45.6,True
2012/11/20,45.45,True
2012/11/21,45.29,True
2012/11/23,45.13,True
2012/11/26,45.45,True
2012/11/27,45.57,True
2012/11/28,45.75,True
2012/11/29,45.81,True
2012/11/30,46.34,True
2012/12/03,46.18,True
2012/12/04,45.71,True
2012/12/05,46.33,True
2012/12/06,45.78,True
2012/12/07,45.9,True
2012/12/10,46.08,True
2012/12/11,46.24,True
2012/12/12,46.17,True
2012/12/13,45.86,True
2012/12/14,45.64,True
2012/12/17,46.57,True
2012/12/18,46.87,True
2012/12/19,46.32,True
2012/12/20,46.43,True
2012/12/21,46.22,True
2012/12/24,46.02,True
2012/12/26,45.68,True
2012/12/27,45.62,True
2012/12/28,45.1,True
2012/12/31,45.64,True
2013/01/01,45.72934247268792,False
2013/01/02,45.817498483086524,False
2013/01/03,45.87552111267435,False
2013/01/04,45.8678520271782,False
2013/01/07,45.840456578624135,False
2013/01/08,45.86428819786331,False
2013/01/09,45.81400136910717,False
2013/01/10,45.81041054753553,False
2013/01/11,45.81252914288332,False
2013/01/14,45.81799127326449,False
2013/01/15,45.83235264489867,False
2013/01/16,45.845635854644215,False
2013/01/17,45.851896687546315,False
2013/01/18,45.86224643063383,False
2013/01/21,45.86753709142352,False
2013/01/22,45.87221694565569,False
2013/01/23,45.877162254620146,False
2013/01/24,45.88162933676608,False
2013/01/25,45.88673107688899,False
2013/01/28,45.8927414606205,False
2013/01/29,45.8985306180991,False
2013/01/30,45.904739475956454,False
2013/01/31,45.91089353232243,False
2013/02/01,45.91689157757735,False
2013/02/04,45.92286341500293,False
