date,PRC,is_prediction
2012/01/03,17.38,True
2012/01/04,17.51,True
2012/01/05,17.39,True
2012/01/06,17.54,True
2012/01/09,17.52,True
2012/01/10,17.48,True
2012/01/11,17.61,True
2012/01/12,18.03,True
2012/01/13,17.98,True
2012/01/17,18.82,True
2012/01/18,19.11,True
2012/01/19,19.33,True
2012/01/20,19.3,True
2012/01/23,19.4,True
2012/01/24,19.91,True
2012/01/25,20.12,True
2012/01/26,20.03,True
2012/01/27,19.9,True
2012/01/30,19.57,True
2012/01/31,19.93,True
2012/02/01,20.27,True
2012/02/02,20.02,True
2012/02/03,20.71,True
2012/02/06,20.57,True
2012/02/07,20.47,True
2012/02/08,20.45,True
2012/02/09,20.76,True
2012/02/10,20.08,True
2012/02/13,19.64,True
2012/02/14,19.31,True
2012/02/15,19.76,True
2012/02/16,20.59,True
2012/02/17,21.04,True
2012/02/21,20.63,True
2012/02/22,19.9,True
2012/02/23,19.93,True
2012/02/24,19.83,True
2012/02/27,19.95,True
2012/02/28,19.94,True
2012/02/29,19.63,True
2012/03/01,19.72,True
2012/03/02,19.78,True
2012/03/05,19.62,True
2012/03/06,19.6,True
2012/03/07,19.57,True
2012/03/08,19.46,True
2012/03/09,19.5,True
2012/03/12,19.23,True
2012/03/13,19.74,True
2012/03/14,19.88,True
2012/03/15,20.07,True
2012/03/16,20.32,True
2012/03/19,20.16,True
2012/03/20,19.9,True
2012/03/21,19.91,True
2012/03/22,19.66,True
2012/03/23,19.56,True
2012/03/26,19.61,True
2012/03/27,19.72,True
2012/03/28,19.5,True
2012/03/29,19.46,True
2012/03/30,19.31,True
2012/04/02,19.42,True
2012/04/03,19.92,True
2012/04/04,19.95,True
2012/04/05,19.43,True
2012/04/09,18.82,True
2012/04/10,18.23,True
2012/04/11,18.37,True
2012/04/12,18.77,True
2012/04/13,18.73,True
2012/04/16,18.57,True
2012/04/17,19.03,True
2012/04/18,19.12,True
2012/04/19,19.12,True
2012/04/20,19.11,True
2012/04/23,18.67,True
2012/04/24,18.46,True
2012/04/25,18.92,True
2012/04/26,19.17,True
2012/04/27,19.24,True
2012/04/30,19.18,True
2012/05/01,19.28,True
2012/05/02,18.95,True
2012/05/03,18.31,True
2012/05/04,17.69,True
2012/05/07,17.6,True
2012/05/08,17.96,True
2012/05/09,18.15,True
2012/05/10,18.12,True
2012/05/11,17.8,True
2012/05/14,17.54,True
2012/05/15,17.21,True
2012/05/16,16.86,True
2012/05/17,16.26,True
2012/05/18,16.03,True
2012/05/21,16.2,True
2012/05/22,16.07,True
2012/05/23,16.26,True
2012/05/24,16.08,True
2012/05/25,16.0,True
2012/05/29,16.23,True
2012/05/30,15.72,True
2012/05/31,15.65,True
2012/06/01,15.26,True
2012/06/04,14.94,True
2012/06/05,15.25,True
2012/06/06,15.66,True
2012/06/07,15.54,True
2012/06/08,15.63,True
2012/06/11,15.4,True
2012/06/12,15.65,True
2012/06/13,15.33,True
2012/06/14,15.52,True
2012/06/15,15.54,True
2012/06/18,15.61,True
2012/06/19,15.88,True
2012/06/20,15.81,True
2012/06/21,15.44,True
2012/06/22,15.58,True
2012/06/25,15.3,True
2012/06/26,15.27,True
2012/06/27,14.9,True
2012/06/28,14.95,True
2012/06/29,15.44,True
2012/07/02,15.54,True
2012/07/03,15.95,True
2012/07/05,15.95,True
2012/07/06,15.82,True
2012/07/09,15.68,True
2012/07/10,15.64,True
2012/07/11,15.55,True
2012/07/12,15.08,True
2012/07/13,15.36,True
2012/07/16,15.29,True
2012/07/17,15.47,True
2012/07/18,15.44,True
2012/07/19,15.67,True
2012/07/20,15.58,True
2012/07/23,15.41,True
2012/07/24,15.39,True
2012/07/25,15.28,True
2012/07/26,15.33,True
2012/07/27,15.94,True
2012/07/30,16.11,True
2012/07/31,16.2,True
2012/08/01,15.8,True
2012/08/02,13.15,True
2012/08/03,13.82,True
2012/08/06,13.8,True
2012/08/07,13.93,True
2012/08/08,13.91,True
2012/08/09,14.01,True
2012/08/10,13.99,True
2012/08/13,13.68,True
2012/08/14,13.67,True
2012/08/15,13.55,True
2012/08/16,13.84,True
2012/08/17,13.58,True
2012/08/20,13.35,True
2012/08/21,13.34,True
2012/08/22,13.47,True
2012/08/23,13.11,True
2012/08/24,13.26,True
2012/08/27,13.12,True
2012/08/28,13.13,True
2012/08/29,14.58,True
2012/08/30,14.31,True
2012/08/31,14.27,True
2012/09/04,14.12,True
2012/09/05,14.96,True
2012/09/06,14.99,True
2012/09/07,15.06,True
2012/09/10,15.65,True
2012/09/11,15.6,True
2012/09/12,15.8,True
2012/09/13,16.22,True
2012/09/14,16.3,True
2012/09/17,16.0,True
2012/09/18,16.09,True
2012/09/19,16.11,True
2012/09/20,16.57,True
2012/09/21,16.67,True
2012/09/24,16.35,True
2012/09/25,15.67,True
2012/09/26,15.57,True
2012/09/27,15.59,True
2012/09/28,15.46,True
2012/10/01,15.68,True
2012/10/02,15.35,True
2012/10/03,15.24,True
2012/10/04,15.43,True
2012/10/05,15.91,True
2012/10/08,15.71,True
2012/10/09,15.59,True
2012/10/10,15.4,True
2012/10/11,15.48,True
2012/10/12,15.35,True
2012/10/15,15.5,True
2012/10/16,15.96,True
2012/10/17,16.28,True
2012/10/18,16.51,True
2012/10/19,15.95,True
2012/10/22,16.04,True
2012/10/23,15.72,True
2012/10/24,15.74,True
2012/10/25,15.92,True
2012/10/26,15.84,True
2012/10/31,16.22,True
2012/11/01,16.68,True
2012/11/02,16.67,True
2012/11/05,16.85,True
2012/11/06,16.85,True
2012/11/07,16.64,True
2012/11/08,16.57,True
2012/11/09,16.68,True
2012/11/12,16.77,True
2012/11/13,17.2,True
2012/11/14,16.63,True
2012/11/15,16.49,True
2012/11/16,16.39,True
2012/11/19,16.75,True
2012/11/20,16.74,True
2012/11/21,16.79,True
2012/11/23,17.16,True
2012/11/26,17.18,True
2012/11/27,16.91,True
2012/11/28,16.94,True
2012/11/29,16.8,True
2012/11/30,16.82,True
2012/12/03,16.54,True
2012/12/04,16.45,True
2012/12/05,16.44,True
2012/12/06,16.7,True
2012/12/07,16.51,True
2012/12/10,16.57,True
2012/12/11,16.49,True
2012/12/12,16.36,True
2012/12/13,16.43,True
2012/12/14,16.13,True
