date,PRC,is_prediction
2012/01/03,51.24,True
2012/01/04,51.12,True
2012/01/05,51.8,True
2012/01/06,52.01,True
2012/01/09,52.39,True
2012/01/10,53.38,True
2012/01/11,53.53,True
2012/01/12,54.02,True
2012/01/13,53.03,True
2012/01/17,53.11,True
2012/01/18,53.71,True
2012/01/19,54.29,True
2012/01/20,54.41,True
2012/01/23,54.47,True
2012/01/24,54.94,True
2012/01/25,56.18,True
2012/01/26,56.18,True
2012/01/27,56.76,True
2012/01/30,56.2,True
2012/01/31,56.51,True
2012/02/01,57.06,True
2012/02/02,58.19,True
2012/02/03,59.59,True
2012/02/06,59.8,True
2012/02/07,59.84,True
2012/02/08,60.0,True
2012/02/09,60.73,True
2012/02/10,60.98,True
2012/02/13,62.18,True
2012/02/14,62.09,True
2012/02/15,60.48,True
2012/02/16,61.99,True
2012/02/17,62.16,True
2012/02/21,61.9,True
2012/02/22,61.06,True
2012/02/23,61.31,True
2012/02/24,60.73,True
2012/02/27,61.07,True
2012/02/28,61.3,True
2012/02/29,61.13,True
2012/03/01,61.2,True
2012/03/02,60.33,True
2012/03/05,60.3,True
2012/03/06,58.53,True
2012/03/07,59.07,True
2012/03/08,60.21,True
2012/03/09,60.45,True
2012/03/12,60.42,True
2012/03/13,61.3,True
2012/03/14,61.29,True
2012/03/15,62.18,True
2012/03/16,61.51,True
2012/03/19,61.0,True
2012/03/20,60.44,True
2012/03/21,60.49,True
2012/03/22,60.24,True
2012/03/23,60.58,True
2012/03/26,61.8,True
2012/03/27,61.77,True
2012/03/28,60.98,True
2012/03/29,61.07,True
2012/03/30,60.97,True
2012/04/02,61.31,True
2012/04/03,60.62,True
2012/04/04,60.28,True
2012/04/05,59.71,True
2012/04/09,59.19,True
2012/04/10,57.65,True
2012/04/11,58.71,True
2012/04/12,59.75,True
2012/04/13,59.27,True
2012/04/16,59.54,True
2012/04/17,60.62,True
2012/04/18,59.65,True
2012/04/19,61.56,True
2012/04/20,61.65,True
2012/04/23,60.66,True
2012/04/24,61.89,True
2012/04/25,62.24,True
2012/04/26,62.57,True
2012/04/27,63.55,True
2012/04/30,62.54,True
2012/05/01,62.63,True
2012/05/02,62.81,True
2012/05/03,62.79,True
2012/05/04,62.35,True
2012/05/07,62.48,True
2012/05/08,61.94,True
2012/05/09,61.22,True
2012/05/10,60.97,True
2012/05/11,61.33,True
2012/05/14,60.44,True
2012/05/15,60.32,True
2012/05/16,60.17,True
2012/05/17,58.22,True
2012/05/18,58.1,True
2012/05/21,59.54,True
2012/05/22,60.02,True
2012/05/23,60.68,True
2012/05/24,60.62,True
2012/05/25,60.12,True
2012/05/29,60.97,True
2012/05/30,60.25,True
2012/05/31,60.51,True
2012/06/01,58.57,True
2012/06/04,57.63,True
2012/06/05,58.57,True
2012/06/06,60.73,True
2012/06/07,61.72,True
2012/06/08,62.66,True
2012/06/11,61.34,True
2012/06/12,63.04,True
2012/06/13,62.17,True
2012/06/14,62.41,True
2012/06/15,63.19,True
2012/06/18,63.64,True
2012/06/19,64.24,True
2012/06/20,63.36,True
2012/06/21,61.95,True
2012/06/22,62.1,True
2012/06/25,60.28,True
2012/06/26,60.0,True
2012/06/27,59.99,True
2012/06/28,59.45,True
2012/06/29,62.25,True
2012/07/02,61.93,True
2012/07/03,62.53,True
2012/07/05,62.52,True
2012/07/06,61.66,True
2012/07/09,61.78,True
2012/07/10,60.72,True
2012/07/11,60.1,True
2012/07/12,59.96,True
2012/07/13,61.21,True
2012/07/16,60.41,True
2012/07/17,59.9,True
2012/07/18,61.34,True
2012/07/19,67.24,True
2012/07/20,67.65,True
2012/07/23,67.2,True
2012/07/24,66.9,True
2012/07/25,67.67,True
2012/07/26,69.18,True
2012/07/27,70.2,True
2012/07/30,68.94,True
2012/07/31,67.78,True
2012/08/01,66.44,True
2012/08/02,65.91,True
2012/08/03,67.45,True
2012/08/06,67.45,True
2012/08/07,68.15,True
2012/08/08,68.43,True
2012/08/09,68.25,True
2012/08/10,68.64,True
2012/08/13,68.62,True
2012/08/14,68.54,True
2012/08/15,68.12,True
2012/08/16,69.86,True
2012/08/17,70.31,True
2012/08/20,69.91,True
2012/08/21,70.02,True
2012/08/22,70.38,True
2012/08/23,69.77,True
2012/08/24,69.96,True
2012/08/27,69.57,True
2012/08/28,69.46,True
2012/08/29,69.54,True
2012/08/30,69.39,True
2012/08/31,69.42,True
2012/09/04,70.02,True
2012/09/05,69.96,True
2012/09/06,72.98,True
2012/09/07,73.23,True
2012/09/10,72.52,True
2012/09/11,72.21,True
2012/09/12,72.42,True
2012/09/13,72.63,True
2012/09/14,73.43,True
2012/09/17,72.5,True
2012/09/18,72.95,True
2012/09/19,72.91,True
2012/09/20,72.3,True
2012/09/21,71.98,True
2012/09/24,71.51,True
2012/09/25,71.23,True
2012/09/26,70.36,True
2012/09/27,71.22,True
2012/09/28,71.87,True
2012/10/01,71.5,True
2012/10/02,71.85,True
2012/10/03,71.63,True
2012/10/04,72.39,True
2012/10/05,72.77,True
2012/10/08,72.8,True
2012/10/09,71.53,True
2012/10/10,71.59,True
2012/10/11,71.84,True
2012/10/12,71.28,True
2012/10/15,72.66,True
2012/10/16,73.64,True
2012/10/17,74.25,True
2012/10/18,76.97,True
2012/10/19,75.85,True
2012/10/22,75.25,True
2012/10/23,75.45,True
2012/10/24,76.02,True
2012/10/25,76.37,True
2012/10/26,76.51,True
2012/10/31,77.33,True
2012/11/01,79.17,True
2012/11/02,78.75,True
2012/11/05,79.41,True
2012/11/06,79.86,True
2012/11/07,77.5,True
2012/11/08,77.04,True
2012/11/09,77.17,True
2012/11/12,77.19,True
2012/11/13,76.5,True
2012/11/14,74.45,True
2012/11/15,74.15,True
2012/11/16,74.76,True
2012/11/19,76.8,True
2012/11/20,77.76,True
2012/11/21,77.7,True
2012/11/23,77.83,True
2012/11/26,78.21,True
2012/11/27,77.69,True
2012/11/28,78.56,True
2012/11/29,80.03,True
2012/11/30,79.44,True
2012/12/03,78.94,True
2012/12/04,78.65,True
2012/12/05,78.34,True
2012/12/06,78.53,True
2012/12/07,78.06,True
2012/12/10,79.72,True
