date,PRC,is_prediction
2012/01/03,26.99,True
2012/01/04,26.49,True
2012/01/05,26.85,True
2012/01/06,26.87,True
2012/01/09,27.04,True
2012/01/10,27.47,True
2012/01/11,27.69,True
2012/01/12,27.81,True
2012/01/13,27.81,True
2012/01/17,28.02,True
2012/01/18,28.49,True
2012/01/19,28.82,True
2012/01/20,29.2,True
2012/01/23,29.2,True
2012/01/24,29.14,True
2012/01/25,29.19,True
2012/01/26,29.18,True
2012/01/27,29.23,True
2012/01/30,29.07,True
2012/01/31,29.17,True
2012/02/01,29.49,True
2012/02/02,29.58,True
2012/02/03,29.63,True
2012/02/06,29.74,True
2012/02/07,29.76,True
2012/02/08,30.03,True
2012/02/09,30.25,True
2012/02/10,30.06,True
2012/02/13,30.13,True
2012/02/14,30.37,True
2012/02/15,30.21,True
2012/02/16,30.44,True
2012/02/17,30.35,True
2012/02/21,30.39,True
2012/02/22,30.63,True
2012/02/23,30.51,True
2012/02/24,30.69,True
2012/02/27,30.62,True
2012/02/28,30.82,True
2012/02/29,30.47,True
2012/03/01,30.27,True
2012/03/02,29.93,True
2012/03/05,29.56,True
2012/03/06,29.28,True
2012/03/07,29.56,True
2012/03/08,29.87,True
2012/03/09,30.11,True
2012/03/12,30.18,True
2012/03/13,30.74,True
2012/03/14,30.43,True
2012/03/15,30.77,True
2012/03/16,30.35,True
2012/03/19,30.4,True
2012/03/20,30.19,True
2012/03/21,30.2,True
2012/03/22,29.97,True
2012/03/23,30.2,True
2012/03/26,30.56,True
2012/03/27,30.57,True
2012/03/28,30.77,True
2012/03/29,31.02,True
2012/03/30,30.66,True
2012/04/02,30.93,True
2012/04/03,31.04,True
2012/04/04,30.47,True
2012/04/05,30.21,True
2012/04/09,30.17,True
2012/04/10,29.69,True
2012/04/11,29.85,True
2012/04/12,30.19,True
2012/04/13,29.85,True
2012/04/16,29.9,True
2012/04/17,30.04,True
2012/04/18,29.69,True
2012/04/19,29.59,True
2012/04/20,29.61,True
2012/04/23,29.2,True
2012/04/24,29.06,True
2012/04/25,29.47,True
2012/04/26,30.25,True
2012/04/27,30.32,True
2012/04/30,30.01,True
2012/05/01,30.49,True
2012/05/02,30.35,True
2012/05/03,30.12,True
2012/05/04,29.67,True
2012/05/07,29.48,True
2012/05/08,29.31,True
2012/05/09,29.12,True
2012/05/10,28.88,True
2012/05/11,29.09,True
2012/05/14,29.19,True
2012/05/15,29.11,True
2012/05/16,28.65,True
2012/05/17,28.12,True
2012/05/18,27.49,True
2012/05/21,28.04,True
2012/05/22,28.04,True
2012/05/23,28.2,True
2012/05/24,29.85,True
2012/05/25,29.89,True
2012/05/29,30.17,True
2012/05/30,29.55,True
2012/05/31,29.55,True
2012/06/01,28.65,True
2012/06/04,28.38,True
2012/06/05,28.8,True
2012/06/06,29.4,True
2012/06/07,29.07,True
2012/06/08,29.46,True
2012/06/11,28.89,True
2012/06/12,29.0,True
2012/06/13,28.8,True
2012/06/14,28.84,True
2012/06/15,29.02,True
2012/06/18,29.12,True
2012/06/19,29.13,True
2012/06/20,29.28,True
2012/06/21,28.4,True
2012/06/22,28.51,True
2012/06/25,28.04,True
2012/06/26,28.06,True
2012/06/27,28.03,True
2012/06/28,28.33,True
2012/06/29,29.43,True
2012/07/02,29.47,True
2012/07/03,30.01,True
2012/07/05,30.11,True
2012/07/06,29.62,True
2012/07/09,29.48,True
2012/07/10,29.57,True
2012/07/11,29.57,True
2012/07/12,29.65,True
2012/07/13,30.19,True
2012/07/16,30.21,True
2012/07/17,30.42,True
2012/07/18,30.89,True
2012/07/19,30.825,True
2012/07/20,30.71,True
2012/07/23,30.04,True
2012/07/24,29.575,True
2012/07/25,29.86,True
2012/07/26,30.77,True
2012/07/27,31.07,True
2012/07/30,30.71,True
2012/07/31,30.29,True
2012/08/01,30.1,True
2012/08/02,30.11,True
2012/08/03,30.55,True
2012/08/06,30.65,True
2012/08/07,30.84,True
2012/08/08,30.8,True
2012/08/09,30.8,True
2012/08/10,30.75,True
2012/08/13,30.58,True
2012/08/14,30.29,True
2012/08/15,30.91,True
2012/08/16,31.2,True
2012/08/17,31.28,True
2012/08/20,31.34,True
2012/08/21,31.7,True
2012/08/22,31.65,True
2012/08/23,33.255,True
2012/08/24,33.28,True
2012/08/27,33.32,True
2012/08/28,33.44,True
2012/08/29,33.24,True
2012/08/30,32.87,True
2012/08/31,33.03,True
2012/09/04,33.69,True
2012/09/05,33.69,True
2012/09/06,34.1,True
2012/09/07,33.73,True
2012/09/10,33.66,True
2012/09/11,33.66,True
2012/09/12,34.06,True
2012/09/13,33.95,True
2012/09/14,33.61,True
2012/09/17,33.87,True
2012/09/18,33.89,True
2012/09/19,33.95,True
2012/09/20,33.9,True
2012/09/21,33.73,True
2012/09/24,33.5,True
2012/09/25,32.89,True
2012/09/26,32.77,True
2012/09/27,33.14,True
2012/09/28,32.995,True
2012/10/01,32.37,True
2012/10/02,32.56,True
2012/10/03,32.72,True
2012/10/04,32.86,True
2012/10/05,32.87,True
2012/10/08,32.68,True
2012/10/09,32.08,True
2012/10/10,32.11,True
2012/10/11,32.25,True
2012/10/12,32.1,True
2012/10/15,32.18,True
2012/10/16,32.8,True
2012/10/17,32.785,True
2012/10/18,32.56,True
2012/10/19,32.0,True
2012/10/22,32.0,True
2012/10/23,32.19,True
2012/10/24,32.34,True
2012/10/25,32.28,True
2012/10/26,32.31,True
2012/10/31,32.2,True
2012/11/01,33.32,True
2012/11/02,32.55,True
2012/11/05,32.28,True
2012/11/06,32.42,True
2012/11/07,31.65,True
2012/11/08,31.35,True
2012/11/09,31.96,True
2012/11/12,31.85,True
2012/11/13,31.97,True
2012/11/14,31.45,True
2012/11/15,31.72,True
2012/11/16,31.27,True
2012/11/19,31.98,True
2012/11/20,32.01,True
2012/11/21,32.43,True
2012/11/23,32.76,True
2012/11/26,32.84,True
2012/11/27,32.71,True
2012/11/28,32.92,True
2012/11/29,32.65,True
2012/11/30,32.86,True
2012/12/03,33.14,True
2012/12/04,33.23,True
2012/12/05,33.33,True
2012/12/06,32.92,True
2012/12/07,32.92,True
2012/12/10,32.93,True
2012/12/11,32.91,True
2012/12/12,32.38,True
2012/12/13,31.83,True
2012/12/14,31.86,True
2012/12/17,32.22,True
2012/12/18,32.38,True
2012/12/19,32.0,True
2012/12/20,32.0,True
2012/12/21,31.74,True
2012/12/24,31.81,True
2012/12/26,31.55,True
2012/12/27,31.75,True
2012/12/28,31.63,True
2012/12/31,31.8354,True
2013/01/01,31.846474370943188,False
2013/01/02,31.916175741013724,False
2013/01/03,31.888851774429327,False
2013/01/04,31.927622870397574,False
2013/01/07,31.899355929806926,False
2013/01/08,31.932015746206577,False
2013/01/09,31.941415021878793,False
2013/01/10,31.973559603458927,False
2013/01/11,31.990139367598157,False
2013/01/14,32.01906745993869,False
2013/01/15,32.03296445759373,False
2013/01/16,32.05457865964071,False
2013/01/17,32.07025028733617,False
2013/01/18,32.09029020548057,False
2013/01/21,32.10789264613353,False
2013/01/22,32.12874536179799,False
2013/01/23,32.14745346325354,False
2013/01/24,32.16767836445433,False
2013/01/25,32.18663496339179,False
2013/01/28,32.206203084785635,False
2013/01/29,32.22509219280786,False
2013/01/30,32.244521639962635,False
2013/01/31,32.26358791773597,False
2013/02/01,32.282996484329175,False
2013/02/04,32.302224789250616,False
2013/02/05,32.32160272060499,False
2013/02/06,32.34084806389921,False
2013/02/07,32.36017780291085,False
2013/02/08,32.37942347128398,False
2013/02/11,32.39872207690155,False
2013/02/12,32.41798479731697,False
2013/02/13,32.43728042670579,False
2013/02/14,32.456555803404584,False
2013/02/15,32.47585044546606,False
2013/02/18,32.49513058019212,False
2013/02/19,32.51441977850037,False
2013/02/20,32.53370072366425,False
2013/02/21,32.552986853461846,False
2013/02/22,32.57226865070693,False
2013/02/25,32.59155415868639,False
2013/02/26,32.61083734206176,False
2013/02/27,32.6301225683351,False
2013/02/28,32.649406397779565,False
2013/03/01,32.668691226174005,False
2013/03/04,32.687975135578654,False
2013/03/05,32.70725963332013,False
2013/03/06,32.72654363340119,False
2013/03/07,32.74582800024245,False
2013/03/08,32.765112119247654,False
2013/03/11,32.7843964504753,False
